"","FN13","FN23"
"ENSG00000086475","ENSG00000086475","SEPHS1"
"ENSG00000086504","ENSG00000086504","MRPL28"
"ENSG00000086544","ENSG00000086544","ITPKC"
"ENSG00000086548","ENSG00000086548","CEACAM6"
"ENSG00000086589","ENSG00000086589","RBM22"
"ENSG00000086598","ENSG00000086598","TMED2"
"ENSG00000086619","ENSG00000086619","ERO1B"
"ENSG00000086666","ENSG00000086666","ZFAND6"
"ENSG00000086696","ENSG00000086696","HSD17B2"
"ENSG00000086712","ENSG00000086712","TXLNG"
"ENSG00000086730","ENSG00000086730","LAT2"
"ENSG00000086758","ENSG00000086758","HUWE1"
"ENSG00000086827","ENSG00000086827","ZW10"
"ENSG00000086848","ENSG00000086848","ALG9"
"ENSG00000086991","ENSG00000086991","NOX4"
"ENSG00000087008","ENSG00000087008","ACOX3"
"ENSG00000087053","ENSG00000087053","MTMR2"
"ENSG00000087074","ENSG00000087074","PPP1R15A"
"ENSG00000087076","ENSG00000087076","HSD17B14"
"ENSG00000087077","ENSG00000087077","TRIP6"
"ENSG00000087085","ENSG00000087085","ACHE"
"ENSG00000087086","ENSG00000087086","FTL"
"ENSG00000087087","ENSG00000087087","SRRT"
"ENSG00000087088","ENSG00000087088","BAX"
"ENSG00000087095","ENSG00000087095","NLK"
"ENSG00000087111","ENSG00000087111","PIGS"
"ENSG00000087116","ENSG00000087116","ADAMTS2"
"ENSG00000087152","ENSG00000087152","ATXN7L3"
"ENSG00000087157","ENSG00000087157","PGS1"
"ENSG00000087191","ENSG00000087191","PSMC5"
"ENSG00000087206","ENSG00000087206","UIMC1"
"ENSG00000087237","ENSG00000087237","CETP"
"ENSG00000087245","ENSG00000087245","MMP2"
"ENSG00000087253","ENSG00000087253","LPCAT2"
"ENSG00000087258","ENSG00000087258","GNAO1"
"ENSG00000087263","ENSG00000087263","OGFOD1"
"ENSG00000087266","ENSG00000087266","SH3BP2"
"ENSG00000087269","ENSG00000087269","NOP14"
"ENSG00000087274","ENSG00000087274","ADD1"
"ENSG00000087299","ENSG00000087299","L2HGDH"
"ENSG00000087301","ENSG00000087301","TXNDC16"
"ENSG00000087302","ENSG00000087302","RTRAF"
"ENSG00000087303","ENSG00000087303","NID2"
"ENSG00000087338","ENSG00000087338","GMCL1"
"ENSG00000087365","ENSG00000087365","SF3B2"
"ENSG00000087448","ENSG00000087448","KLHL42"
"ENSG00000087460","ENSG00000087460","GNAS"
"ENSG00000087470","ENSG00000087470","DNM1L"
"ENSG00000087495","ENSG00000087495","PHACTR3"
"ENSG00000087502","ENSG00000087502","ERGIC2"
"ENSG00000087586","ENSG00000087586","AURKA"
"ENSG00000087589","ENSG00000087589","CASS4"
"ENSG00000087842","ENSG00000087842","PIR"
"ENSG00000087884","ENSG00000087884","AAMDC"
"ENSG00000087903","ENSG00000087903","RFX2"
"ENSG00000087995","ENSG00000087995","METTL2A"
"ENSG00000088035","ENSG00000088035","ALG6"
"ENSG00000088038","ENSG00000088038","CNOT3"
"ENSG00000088179","ENSG00000088179","PTPN4"
"ENSG00000088205","ENSG00000088205","DDX18"
"ENSG00000088247","ENSG00000088247","KHSRP"
"ENSG00000088256","ENSG00000088256","GNA11"
"ENSG00000088280","ENSG00000088280","ASAP3"
"ENSG00000088298","ENSG00000088298","EDEM2"
"ENSG00000088305","ENSG00000088305","DNMT3B"
"ENSG00000088325","ENSG00000088325","TPX2"
"ENSG00000088340","ENSG00000088340","FER1L4"
"ENSG00000088356","ENSG00000088356","PDRG1"
"ENSG00000088367","ENSG00000088367","EPB41L1"
"ENSG00000088386","ENSG00000088386","SLC15A1"
"ENSG00000088387","ENSG00000088387","DOCK9"
"ENSG00000088448","ENSG00000088448","ANKRD10"
"ENSG00000088451","ENSG00000088451","TGDS"
"ENSG00000088543","ENSG00000088543","C3orf18"
"ENSG00000088682","ENSG00000088682","COQ9"
"ENSG00000088726","ENSG00000088726","TMEM40"
"ENSG00000088727","ENSG00000088727","KIF9"
"ENSG00000088756","ENSG00000088756","ARHGAP28"
"ENSG00000088766","ENSG00000088766","CRLS1"
"ENSG00000088808","ENSG00000088808","PPP1R13B"
"ENSG00000088812","ENSG00000088812","ATRN"
"ENSG00000088826","ENSG00000088826","SMOX"
"ENSG00000088827","ENSG00000088827","SIGLEC1"
"ENSG00000088832","ENSG00000088832","FKBP1A"
"ENSG00000088833","ENSG00000088833","NSFL1C"
"ENSG00000088836","ENSG00000088836","SLC4A11"
"ENSG00000088854","ENSG00000088854","C20orf194"
"ENSG00000088876","ENSG00000088876","ZNF343"
"ENSG00000088881","ENSG00000088881","EBF4"
"ENSG00000088882","ENSG00000088882","CPXM1"
"ENSG00000088888","ENSG00000088888","MAVS"
"ENSG00000088899","ENSG00000088899","LZTS3"
"ENSG00000088926","ENSG00000088926","F11"
"ENSG00000088930","ENSG00000088930","XRN2"
"ENSG00000088970","ENSG00000088970","KIZ"
"ENSG00000088986","ENSG00000088986","DYNLL1"
"ENSG00000088992","ENSG00000088992","TESC"
"ENSG00000089006","ENSG00000089006","SNX5"
"ENSG00000089009","ENSG00000089009","RPL6"
"ENSG00000089012","ENSG00000089012","SIRPG"
"ENSG00000089022","ENSG00000089022","MAPKAPK5"
"ENSG00000089041","ENSG00000089041","P2RX7"
"ENSG00000089048","ENSG00000089048","ESF1"
"ENSG00000089050","ENSG00000089050","RBBP9"
"ENSG00000089053","ENSG00000089053","ANAPC5"
"ENSG00000089057","ENSG00000089057","SLC23A2"
"ENSG00000089060","ENSG00000089060","SLC8B1"
"ENSG00000089063","ENSG00000089063","TMEM230"
"ENSG00000089091","ENSG00000089091","DZANK1"
"ENSG00000089094","ENSG00000089094","KDM2B"
"ENSG00000089123","ENSG00000089123","TASP1"
"ENSG00000089127","ENSG00000089127","OAS1"
"ENSG00000089154","ENSG00000089154","GCN1"
"ENSG00000089157","ENSG00000089157","RPLP0"
"ENSG00000089159","ENSG00000089159","PXN"
"ENSG00000089163","ENSG00000089163","SIRT4"
"ENSG00000089177","ENSG00000089177","KIF16B"
"ENSG00000089195","ENSG00000089195","TRMT6"
"ENSG00000089220","ENSG00000089220","PEBP1"
"ENSG00000089234","ENSG00000089234","BRAP"
"ENSG00000089248","ENSG00000089248","ERP29"
"ENSG00000089280","ENSG00000089280","FUS"
"ENSG00000089289","ENSG00000089289","IGBP1"
"ENSG00000089327","ENSG00000089327","FXYD5"
"ENSG00000089335","ENSG00000089335","ZNF302"
"ENSG00000089351","ENSG00000089351","GRAMD1A"
"ENSG00000089472","ENSG00000089472","HEPH"
"ENSG00000089486","ENSG00000089486","CDIP1"
"ENSG00000089505","ENSG00000089505","CMTM1"
"ENSG00000089558","ENSG00000089558","KCNH4"
"ENSG00000089597","ENSG00000089597","GANAB"
"ENSG00000089639","ENSG00000089639","GMIP"
"ENSG00000089682","ENSG00000089682","RBM41"
"ENSG00000089685","ENSG00000089685","BIRC5"
"ENSG00000089692","ENSG00000089692","LAG3"
"ENSG00000089693","ENSG00000089693","MLF2"
"ENSG00000089723","ENSG00000089723","OTUB2"
"ENSG00000089737","ENSG00000089737","DDX24"
"ENSG00000089775","ENSG00000089775","ZBTB25"
"ENSG00000089818","ENSG00000089818","NECAP1"
"ENSG00000089820","ENSG00000089820","ARHGAP4"
"ENSG00000089847","ENSG00000089847","ANKRD24"
"ENSG00000089876","ENSG00000089876","DHX32"
"ENSG00000089902","ENSG00000089902","RCOR1"
"ENSG00000089916","ENSG00000089916","GPATCH2L"
"ENSG00000090006","ENSG00000090006","LTBP4"
"ENSG00000090013","ENSG00000090013","BLVRB"
"ENSG00000090020","ENSG00000090020","SLC9A1"
"ENSG00000090054","ENSG00000090054","SPTLC1"
"ENSG00000090060","ENSG00000090060","PAPOLA"
"ENSG00000090061","ENSG00000090061","CCNK"
"ENSG00000090097","ENSG00000090097","PCBP4"
"ENSG00000090104","ENSG00000090104","RGS1"
"ENSG00000090238","ENSG00000090238","YPEL3"
"ENSG00000090263","ENSG00000090263","MRPS33"
"ENSG00000090266","ENSG00000090266","NDUFB2"
"ENSG00000090273","ENSG00000090273","NUDC"
"ENSG00000090316","ENSG00000090316","MAEA"
"ENSG00000090339","ENSG00000090339","ICAM1"
"ENSG00000090372","ENSG00000090372","STRN4"
"ENSG00000090376","ENSG00000090376","IRAK3"
"ENSG00000090382","ENSG00000090382","LYZ"
"ENSG00000090432","ENSG00000090432","MUL1"
"ENSG00000090447","ENSG00000090447","TFAP4"
"ENSG00000090470","ENSG00000090470","PDCD7"
"ENSG00000090487","ENSG00000090487","SPG21"
"ENSG00000090512","ENSG00000090512","FETUB"
"ENSG00000090520","ENSG00000090520","DNAJB11"
"ENSG00000090530","ENSG00000090530","P3H2"
"ENSG00000090534","ENSG00000090534","THPO"
"ENSG00000090539","ENSG00000090539","CHRD"
"ENSG00000090565","ENSG00000090565","RAB11FIP3"
"ENSG00000090581","ENSG00000090581","GNPTG"
"ENSG00000090612","ENSG00000090612","ZNF268"
"ENSG00000090615","ENSG00000090615","GOLGA3"
"ENSG00000090621","ENSG00000090621","PABPC4"
"ENSG00000090659","ENSG00000090659","CD209"
"ENSG00000090661","ENSG00000090661","CERS4"
"ENSG00000090674","ENSG00000090674","MCOLN1"
"ENSG00000090686","ENSG00000090686","USP48"
"ENSG00000090776","ENSG00000090776","EFNB1"
"ENSG00000090857","ENSG00000090857","PDPR"
"ENSG00000090861","ENSG00000090861","AARS1"
"ENSG00000090863","ENSG00000090863","GLG1"
"ENSG00000090889","ENSG00000090889","KIF4A"
"ENSG00000090905","ENSG00000090905","TNRC6A"
"ENSG00000090924","ENSG00000090924","PLEKHG2"
"ENSG00000090971","ENSG00000090971","NAT14"
"ENSG00000090975","ENSG00000090975","PITPNM2"
"ENSG00000090989","ENSG00000090989","EXOC1"
"ENSG00000091009","ENSG00000091009","RBM27"
"ENSG00000091039","ENSG00000091039","OSBPL8"
"ENSG00000091073","ENSG00000091073","DTX2"
"ENSG00000091106","ENSG00000091106","NLRC4"
"ENSG00000091127","ENSG00000091127","PUS7"
"ENSG00000091129","ENSG00000091129","NRCAM"
"ENSG00000091136","ENSG00000091136","LAMB1"
"ENSG00000091137","ENSG00000091137","SLC26A4"
"ENSG00000091138","ENSG00000091138","SLC26A3"
"ENSG00000091140","ENSG00000091140","DLD"
"ENSG00000091157","ENSG00000091157","WDR7"
"ENSG00000091164","ENSG00000091164","TXNL1"
"ENSG00000091262","ENSG00000091262","ABCC6"
"ENSG00000091317","ENSG00000091317","CMTM6"
"ENSG00000091409","ENSG00000091409","ITGA6"
"ENSG00000091428","ENSG00000091428","RAPGEF4"
"ENSG00000091436","ENSG00000091436","MAP3K20"
"ENSG00000091482","ENSG00000091482","SMPX"
"ENSG00000091483","ENSG00000091483","FH"
"ENSG00000091490","ENSG00000091490","SEL1L3"
"ENSG00000091513","ENSG00000091513","TF"
"ENSG00000091527","ENSG00000091527","CDV3"
"ENSG00000091536","ENSG00000091536","MYO15A"
"ENSG00000091542","ENSG00000091542","ALKBH5"
"ENSG00000091583","ENSG00000091583","APOH"
"ENSG00000091592","ENSG00000091592","NLRP1"
"ENSG00000091622","ENSG00000091622","PITPNM3"
"ENSG00000091640","ENSG00000091640","SPAG7"
"ENSG00000091651","ENSG00000091651","ORC6"
"ENSG00000091656","ENSG00000091656","ZFHX4"
"ENSG00000091732","ENSG00000091732","ZC3HC1"
"ENSG00000091831","ENSG00000091831","ESR1"
"ENSG00000091879","ENSG00000091879","ANGPT2"
"ENSG00000091947","ENSG00000091947","TMEM101"
"ENSG00000091972","ENSG00000091972","CD200"
"ENSG00000091986","ENSG00000091986","CCDC80"
"ENSG00000092010","ENSG00000092010","PSME1"
"ENSG00000092020","ENSG00000092020","PPP2R3C"
"ENSG00000092036","ENSG00000092036","HAUS4"
"ENSG00000092051","ENSG00000092051","JPH4"
"ENSG00000092054","ENSG00000092054","MYH7"
"ENSG00000092068","ENSG00000092068","SLC7A8"
"ENSG00000092094","ENSG00000092094","OSGEP"
"ENSG00000092096","ENSG00000092096","SLC22A17"
"ENSG00000092098","ENSG00000092098","RNF31"
"ENSG00000092108","ENSG00000092108","SCFD1"
"ENSG00000092140","ENSG00000092140","G2E3"
"ENSG00000092148","ENSG00000092148","HECTD1"
"ENSG00000092199","ENSG00000092199","HNRNPC"
"ENSG00000092200","ENSG00000092200","RPGRIP1"
"ENSG00000092201","ENSG00000092201","SUPT16H"
"ENSG00000092203","ENSG00000092203","TOX4"
"ENSG00000092208","ENSG00000092208","GEMIN2"
"ENSG00000092295","ENSG00000092295","TGM1"
"ENSG00000092330","ENSG00000092330","TINF2"
"ENSG00000092377","ENSG00000092377","TBL1Y"
"ENSG00000092421","ENSG00000092421","SEMA6A"
"ENSG00000092439","ENSG00000092439","TRPM7"
"ENSG00000092445","ENSG00000092445","TYRO3"
"ENSG00000092470","ENSG00000092470","WDR76"
"ENSG00000092529","ENSG00000092529","CAPN3"
"ENSG00000092531","ENSG00000092531","SNAP23"
"ENSG00000092607","ENSG00000092607","TBX15"
"ENSG00000092621","ENSG00000092621","PHGDH"
"ENSG00000092758","ENSG00000092758","COL9A3"
"ENSG00000092820","ENSG00000092820","EZR"
"ENSG00000092841","ENSG00000092841","MYL6"
"ENSG00000092847","ENSG00000092847","AGO1"
"ENSG00000092853","ENSG00000092853","CLSPN"
"ENSG00000092871","ENSG00000092871","RFFL"
"ENSG00000092929","ENSG00000092929","UNC13D"
"ENSG00000092931","ENSG00000092931","MFSD11"
"ENSG00000092964","ENSG00000092964","DPYSL2"
"ENSG00000092969","ENSG00000092969","TGFB2"
"ENSG00000092978","ENSG00000092978","GPATCH2"
"ENSG00000093000","ENSG00000093000","NUP50"
"ENSG00000093009","ENSG00000093009","CDC45"
"ENSG00000093010","ENSG00000093010","COMT"
"ENSG00000093072","ENSG00000093072","ADA2"
"ENSG00000093134","ENSG00000093134","VNN3"
"ENSG00000093144","ENSG00000093144","ECHDC1"
"ENSG00000093167","ENSG00000093167","LRRFIP2"
"ENSG00000093183","ENSG00000093183","SEC22C"
"ENSG00000093217","ENSG00000093217","XYLB"
"ENSG00000094631","ENSG00000094631","HDAC6"
"ENSG00000094755","ENSG00000094755","GABRP"
"ENSG00000094804","ENSG00000094804","CDC6"
"ENSG00000094841","ENSG00000094841","UPRT"
"ENSG00000094880","ENSG00000094880","CDC23"
"ENSG00000094914","ENSG00000094914","AAAS"
"ENSG00000094916","ENSG00000094916","CBX5"
"ENSG00000094963","ENSG00000094963","FMO2"
"ENSG00000094975","ENSG00000094975","SUCO"
"ENSG00000095002","ENSG00000095002","MSH2"
"ENSG00000095015","ENSG00000095015","MAP3K1"
"ENSG00000095059","ENSG00000095059","DHPS"
"ENSG00000095066","ENSG00000095066","HOOK2"
"ENSG00000095139","ENSG00000095139","ARCN1"
"ENSG00000095203","ENSG00000095203","EPB41L4B"
"ENSG00000095209","ENSG00000095209","TMEM38B"
"ENSG00000095261","ENSG00000095261","PSMD5"
"ENSG00000095303","ENSG00000095303","PTGS1"
"ENSG00000095319","ENSG00000095319","NUP188"
"ENSG00000095321","ENSG00000095321","CRAT"
"ENSG00000095370","ENSG00000095370","SH2D3C"
"ENSG00000095380","ENSG00000095380","NANS"
"ENSG00000095383","ENSG00000095383","TBC1D2"
"ENSG00000095397","ENSG00000095397","WHRN"
"ENSG00000095464","ENSG00000095464","PDE6C"
"ENSG00000095485","ENSG00000095485","CWF19L1"
"ENSG00000095539","ENSG00000095539","SEMA4G"
"ENSG00000095564","ENSG00000095564","BTAF1"
"ENSG00000095574","ENSG00000095574","IKZF5"
"ENSG00000095585","ENSG00000095585","BLNK"
"ENSG00000095596","ENSG00000095596","CYP26A1"
"ENSG00000095627","ENSG00000095627","TDRD1"
"ENSG00000095637","ENSG00000095637","SORBS1"
"ENSG00000095739","ENSG00000095739","BAMBI"
"ENSG00000095752","ENSG00000095752","IL11"
"ENSG00000095787","ENSG00000095787","WAC"
"ENSG00000095794","ENSG00000095794","CREM"
"ENSG00000095906","ENSG00000095906","NUBP2"
"ENSG00000095932","ENSG00000095932","SMIM24"
"ENSG00000095951","ENSG00000095951","HIVEP1"
"ENSG00000095970","ENSG00000095970","TREM2"
"ENSG00000096006","ENSG00000096006","CRISP3"
"ENSG00000096060","ENSG00000096060","FKBP5"
"ENSG00000096063","ENSG00000096063","SRPK1"
"ENSG00000096070","ENSG00000096070","BRPF3"
"ENSG00000096080","ENSG00000096080","MRPS18A"
"ENSG00000096092","ENSG00000096092","TMEM14A"
"ENSG00000096093","ENSG00000096093","EFHC1"
"ENSG00000096384","ENSG00000096384","HSP90AB1"
"ENSG00000096401","ENSG00000096401","CDC5L"
"ENSG00000096433","ENSG00000096433","ITPR3"
"ENSG00000096654","ENSG00000096654","ZNF184"
"ENSG00000096696","ENSG00000096696","DSP"
"ENSG00000096717","ENSG00000096717","SIRT1"
"ENSG00000096746","ENSG00000096746","HNRNPH3"
"ENSG00000096872","ENSG00000096872","IFT74"
"ENSG00000096968","ENSG00000096968","JAK2"
"ENSG00000096996","ENSG00000096996","IL12RB1"
"ENSG00000097007","ENSG00000097007","ABL1"
"ENSG00000097021","ENSG00000097021","ACOT7"
"ENSG00000097033","ENSG00000097033","SH3GLB1"
"ENSG00000097046","ENSG00000097046","CDC7"
"ENSG00000097096","ENSG00000097096","SYDE2"
"ENSG00000099139","ENSG00000099139","PCSK5"
"ENSG00000099194","ENSG00000099194","SCD"
"ENSG00000099203","ENSG00000099203","TMED1"
"ENSG00000099204","ENSG00000099204","ABLIM1"
"ENSG00000099219","ENSG00000099219","ERMP1"
"ENSG00000099246","ENSG00000099246","RAB18"
"ENSG00000099250","ENSG00000099250","NRP1"
"ENSG00000099251","ENSG00000099251","HSD17B7P2"
"ENSG00000099256","ENSG00000099256","PRTFDC1"
"ENSG00000099260","ENSG00000099260","PALMD"
"ENSG00000099282","ENSG00000099282","TSPAN15"
"ENSG00000099284","ENSG00000099284","MACROH2A2"
"ENSG00000099290","ENSG00000099290","WASHC2A"
"ENSG00000099308","ENSG00000099308","MAST3"
"ENSG00000099326","ENSG00000099326","MZF1"
"ENSG00000099330","ENSG00000099330","OCEL1"
"ENSG00000099331","ENSG00000099331","MYO9B"
"ENSG00000099337","ENSG00000099337","KCNK6"
"ENSG00000099338","ENSG00000099338","CATSPERG"
"ENSG00000099341","ENSG00000099341","PSMD8"
"ENSG00000099364","ENSG00000099364","FBXL19"
"ENSG00000099365","ENSG00000099365","STX1B"
"ENSG00000099377","ENSG00000099377","HSD3B7"
"ENSG00000099381","ENSG00000099381","SETD1A"
"ENSG00000099385","ENSG00000099385","BCL7C"
"ENSG00000099617","ENSG00000099617","EFNA2"
"ENSG00000099622","ENSG00000099622","CIRBP"
"ENSG00000099624","ENSG00000099624","ATP5F1D"
"ENSG00000099625","ENSG00000099625","CBARP"
"ENSG00000099725","ENSG00000099725","PRKY"
"ENSG00000099769","ENSG00000099769","IGFALS"
"ENSG00000099783","ENSG00000099783","HNRNPM"
"ENSG00000099785","ENSG00000099785","MARCHF2"
"ENSG00000099795","ENSG00000099795","NDUFB7"
"ENSG00000099797","ENSG00000099797","TECR"
"ENSG00000099800","ENSG00000099800","TIMM13"
"ENSG00000099804","ENSG00000099804","CDC34"
"ENSG00000099810","ENSG00000099810","MTAP"
"ENSG00000099812","ENSG00000099812","MISP"
"ENSG00000099814","ENSG00000099814","CEP170B"
"ENSG00000099817","ENSG00000099817","POLR2E"
"ENSG00000099821","ENSG00000099821","POLRMT"
"ENSG00000099822","ENSG00000099822","HCN2"
"ENSG00000099834","ENSG00000099834","CDHR5"
"ENSG00000099840","ENSG00000099840","IZUMO4"
"ENSG00000099849","ENSG00000099849","RASSF7"
"ENSG00000099860","ENSG00000099860","GADD45B"
"ENSG00000099864","ENSG00000099864","PALM"
"ENSG00000099866","ENSG00000099866","MADCAM1"
"ENSG00000099869","ENSG00000099869","IGF2-AS"
"ENSG00000099875","ENSG00000099875","MKNK2"
"ENSG00000099889","ENSG00000099889","ARVCF"
"ENSG00000099899","ENSG00000099899","TRMT2A"
"ENSG00000099901","ENSG00000099901","RANBP1"
"ENSG00000099904","ENSG00000099904","ZDHHC8"
"ENSG00000099910","ENSG00000099910","KLHL22"
"ENSG00000099917","ENSG00000099917","MED15"
"ENSG00000099937","ENSG00000099937","SERPIND1"
"ENSG00000099940","ENSG00000099940","SNAP29"
"ENSG00000099942","ENSG00000099942","CRKL"
"ENSG00000099949","ENSG00000099949","LZTR1"
"ENSG00000099953","ENSG00000099953","MMP11"
"ENSG00000099954","ENSG00000099954","CECR2"
"ENSG00000099956","ENSG00000099956","SMARCB1"
"ENSG00000099957","ENSG00000099957","P2RX6"
"ENSG00000099958","ENSG00000099958","DERL3"
"ENSG00000099968","ENSG00000099968","BCL2L13"
"ENSG00000099974","ENSG00000099974","DDTL"
"ENSG00000099977","ENSG00000099977","DDT"
"ENSG00000099984","ENSG00000099984","GSTT2"
"ENSG00000099985","ENSG00000099985","OSM"
"ENSG00000099991","ENSG00000099991","CABIN1"
"ENSG00000099992","ENSG00000099992","TBC1D10A"
"ENSG00000099994","ENSG00000099994","SUSD2"
"ENSG00000099995","ENSG00000099995","SF3A1"
"ENSG00000099998","ENSG00000099998","GGT5"
"ENSG00000099999","ENSG00000099999","RNF215"
"ENSG00000100003","ENSG00000100003","SEC14L2"
"ENSG00000100012","ENSG00000100012","SEC14L3"
"ENSG00000100014","ENSG00000100014","SPECC1L"
"ENSG00000100023","ENSG00000100023","PPIL2"
"ENSG00000100024","ENSG00000100024","UPB1"
"ENSG00000100027","ENSG00000100027","YPEL1"
"ENSG00000100028","ENSG00000100028","SNRPD3"
"ENSG00000100029","ENSG00000100029","PES1"
"ENSG00000100030","ENSG00000100030","MAPK1"
"ENSG00000100031","ENSG00000100031","GGT1"
"ENSG00000100033","ENSG00000100033","PRODH"
"ENSG00000100034","ENSG00000100034","PPM1F"
"ENSG00000100036","ENSG00000100036","SLC35E4"
"ENSG00000100053","ENSG00000100053","CRYBB3"
"ENSG00000100055","ENSG00000100055","CYTH4"
"ENSG00000100056","ENSG00000100056","ESS2"
"ENSG00000100058","ENSG00000100058","CRYBB2P1"
"ENSG00000100060","ENSG00000100060","MFNG"
"ENSG00000100065","ENSG00000100065","CARD10"
"ENSG00000100068","ENSG00000100068","LRP5L"
"ENSG00000100075","ENSG00000100075","SLC25A1"
"ENSG00000100077","ENSG00000100077","GRK3"
"ENSG00000100079","ENSG00000100079","LGALS2"
"ENSG00000100083","ENSG00000100083","GGA1"
"ENSG00000100084","ENSG00000100084","HIRA"
"ENSG00000100092","ENSG00000100092","SH3BP1"
"ENSG00000100097","ENSG00000100097","LGALS1"
"ENSG00000100099","ENSG00000100099","HPS4"
"ENSG00000100100","ENSG00000100100","PIK3IP1"
"ENSG00000100104","ENSG00000100104","SRRD"
"ENSG00000100105","ENSG00000100105","PATZ1"
"ENSG00000100106","ENSG00000100106","TRIOBP"
"ENSG00000100109","ENSG00000100109","TFIP11"
"ENSG00000100116","ENSG00000100116","GCAT"
"ENSG00000100122","ENSG00000100122","CRYBB1"
"ENSG00000100124","ENSG00000100124","ANKRD54"
"ENSG00000100129","ENSG00000100129","EIF3L"
"ENSG00000100138","ENSG00000100138","SNU13"
"ENSG00000100139","ENSG00000100139","MICALL1"
"ENSG00000100142","ENSG00000100142","POLR2F"
"ENSG00000100146","ENSG00000100146","SOX10"
"ENSG00000100147","ENSG00000100147","CCDC134"
"ENSG00000100150","ENSG00000100150","DEPDC5"
"ENSG00000100151","ENSG00000100151","PICK1"
"ENSG00000100154","ENSG00000100154","TTC28"
"ENSG00000100156","ENSG00000100156","SLC16A8"
"ENSG00000100162","ENSG00000100162","CENPM"
"ENSG00000100170","ENSG00000100170","SLC5A1"
"ENSG00000100181","ENSG00000100181","TPTEP1"
"ENSG00000100196","ENSG00000100196","KDELR3"
"ENSG00000100197","ENSG00000100197","CYP2D6"
"ENSG00000100201","ENSG00000100201","DDX17"
"ENSG00000100207","ENSG00000100207","TCF20"
"ENSG00000100209","ENSG00000100209","HSCB"
"ENSG00000100211","ENSG00000100211","CBY1"
"ENSG00000100216","ENSG00000100216","TOMM22"
"ENSG00000100219","ENSG00000100219","XBP1"
"ENSG00000100220","ENSG00000100220","RTCB"
"ENSG00000100221","ENSG00000100221","JOSD1"
"ENSG00000100225","ENSG00000100225","FBXO7"
"ENSG00000100226","ENSG00000100226","GTPBP1"
"ENSG00000100227","ENSG00000100227","POLDIP3"
"ENSG00000100228","ENSG00000100228","RAB36"
"ENSG00000100234","ENSG00000100234","TIMP3"
"ENSG00000100239","ENSG00000100239","PPP6R2"
"ENSG00000100241","ENSG00000100241","SBF1"
"ENSG00000100242","ENSG00000100242","SUN2"
"ENSG00000100243","ENSG00000100243","CYB5R3"
"ENSG00000100246","ENSG00000100246","DNAL4"
"ENSG00000100258","ENSG00000100258","LMF2"
"ENSG00000100263","ENSG00000100263","RHBDD3"
"ENSG00000100266","ENSG00000100266","PACSIN2"
"ENSG00000100271","ENSG00000100271","TTLL1"
"ENSG00000100276","ENSG00000100276","RASL10A"
"ENSG00000100280","ENSG00000100280","AP1B1"
"ENSG00000100281","ENSG00000100281","HMGXB4"
"ENSG00000100284","ENSG00000100284","TOM1"
"ENSG00000100285","ENSG00000100285","NEFH"
"ENSG00000100288","ENSG00000100288","CHKB"
"ENSG00000100290","ENSG00000100290","BIK"
"ENSG00000100292","ENSG00000100292","HMOX1"
"ENSG00000100294","ENSG00000100294","MCAT"
"ENSG00000100296","ENSG00000100296","THOC5"
"ENSG00000100297","ENSG00000100297","MCM5"
"ENSG00000100299","ENSG00000100299","ARSA"
"ENSG00000100300","ENSG00000100300","TSPO"
"ENSG00000100302","ENSG00000100302","RASD2"
"ENSG00000100304","ENSG00000100304","TTLL12"
"ENSG00000100307","ENSG00000100307","CBX7"
"ENSG00000100311","ENSG00000100311","PDGFB"
"ENSG00000100316","ENSG00000100316","RPL3"
"ENSG00000100319","ENSG00000100319","ZMAT5"
"ENSG00000100320","ENSG00000100320","RBFOX2"
"ENSG00000100321","ENSG00000100321","SYNGR1"
"ENSG00000100324","ENSG00000100324","TAB1"
"ENSG00000100325","ENSG00000100325","ASCC2"
"ENSG00000100330","ENSG00000100330","MTMR3"
"ENSG00000100335","ENSG00000100335","MIEF1"
"ENSG00000100336","ENSG00000100336","APOL4"
"ENSG00000100341","ENSG00000100341","PNPLA5"
"ENSG00000100342","ENSG00000100342","APOL1"
"ENSG00000100344","ENSG00000100344","PNPLA3"
"ENSG00000100345","ENSG00000100345","MYH9"
"ENSG00000100347","ENSG00000100347","SAMM50"
"ENSG00000100348","ENSG00000100348","TXN2"
"ENSG00000100350","ENSG00000100350","FOXRED2"
"ENSG00000100351","ENSG00000100351","GRAP2"
"ENSG00000100353","ENSG00000100353","EIF3D"
"ENSG00000100354","ENSG00000100354","TNRC6B"
"ENSG00000100359","ENSG00000100359","SGSM3"
"ENSG00000100360","ENSG00000100360","IFT27"
"ENSG00000100362","ENSG00000100362","PVALB"
"ENSG00000100364","ENSG00000100364","KIAA0930"
"ENSG00000100365","ENSG00000100365","NCF4"
"ENSG00000100368","ENSG00000100368","CSF2RB"
"ENSG00000100372","ENSG00000100372","SLC25A17"
"ENSG00000100376","ENSG00000100376","FAM118A"
"ENSG00000100379","ENSG00000100379","KCTD17"
"ENSG00000100380","ENSG00000100380","ST13"
"ENSG00000100385","ENSG00000100385","IL2RB"
"ENSG00000100387","ENSG00000100387","RBX1"
"ENSG00000100393","ENSG00000100393","EP300"
"ENSG00000100395","ENSG00000100395","L3MBTL2"
"ENSG00000100399","ENSG00000100399","CHADL"
"ENSG00000100401","ENSG00000100401","RANGAP1"
"ENSG00000100403","ENSG00000100403","ZC3H7B"
