"","original.FBgn","updated.FBgn","Entrez.NCBI.gene.ID","Symbol","KEGG.ID","cluster","mt","Chromosome","Location"
"FBgn0004177","FBgn0004177","FBgn0004177","45959","mts","dme:Dmel_CG7109",5,0,"2L",7827792
"FBgn0004179","FBgn0004179","FBgn0004179","40459","Csp","dme:Dmel_CG6395",5,0,"3L",22267567
"FBgn0004181","FBgn0004181","FBgn0004181","38009","Ebp","dme:Dmel_CG2668",0,0,"2R",-25175452
"FBgn0004183","FBgn0004183","FBgn0004183","3771770","snRNA:U1:82Eb","dme:Dmel_CR32862",0,0,"3R",-4947932
"FBgn0004186","FBgn0004186","FBgn0004186","3772474","snRNA:U1:95Cb","dme:Dmel_CR32866",0,0,"2L",-901490
"FBgn0004187","FBgn0004187","FBgn0004187","3772462","snRNA:U1:95Cc","dme:Dmel_CR31185",0,0,"3R",23826333
"FBgn0004188","FBgn0004188","FBgn0004188","3772327","snRNA:U6:96Aa","dme:Dmel_CR31379",0,0,"3R",24556087
"FBgn0004189","FBgn0004189","FBgn0004189","3772330","snRNA:U6:96Ab","dme:Dmel_CR32867",0,0,"3R",24556087
"FBgn0004190","FBgn0004190","FBgn0004190","3772628","snRNA:U6:96Ac","dme:Dmel_CR31539",0,0,"3R",24556087
"FBgn0004191","FBgn0004191","FBgn0004191","3772392","snRNA:U2:34ABa","dme:Dmel_CR31850",0,0,"2L",-13211924
"FBgn0004192","FBgn0004192","FBgn0004192","3771927","snRNA:U2:34ABb","dme:Dmel_CR31854",0,0,"2L",13215838
"FBgn0004197","FBgn0004197","FBgn0004197","43275","Ser","dme:Dmel_CG6127",0,0,"3R",-27172089
"FBgn0004198","FBgn0004198","FBgn0004198","44540","ct","dme:Dmel_CG11387",0,0,"X",7609147
"FBgn0004227","FBgn0004227","FBgn0004227","32603","nonA","dme:Dmel_CG4211",0,0,"X",16361568
"FBgn0004228","FBgn0004228","FBgn0004228","39677","mex1","dme:Dmel_CG7936",2,0,"3L",-15517472
"FBgn0004237","FBgn0004237","FBgn0004237","48535","Hrb87F","dme:Dmel_CG12749",0,0,"3R",-13656845
"FBgn0004240","FBgn0004240","FBgn0004240","37183","DptA","dme:Dmel_CG12763",0,0,"2R",18865764
"FBgn0004242","FBgn0004242","FBgn0004242","33473","Syt1","dme:Dmel_CG3139",3,0,"2L",-2780740
"FBgn0004244","FBgn0004244","FBgn0004244","39054","Rdl","dme:Dmel_CG10537",0,0,"3L",-9150614
"FBgn0004359","FBgn0004359","FBgn0004359","43235","T48","dme:Dmel_CG5507",5,0,"3R",26881733
"FBgn0004360","FBgn0004360","FBgn0004360","35975","Wnt2","dme:Dmel_CG1916",0,0,"2R",9494165
"FBgn0004362","FBgn0004362","FBgn0004362","37481","HmgD","dme:Dmel_CG17950",0,0,"2R",21713355
"FBgn0004363","FBgn0004363","FBgn0004363","34500","porin","dme:Dmel_CG6647",5,0,"2L",-10847226
"FBgn0004364","FBgn0004364","FBgn0004364","37277","18w","dme:Dmel_CG8896",3,0,"2R",20111510
"FBgn0004367","FBgn0004367","FBgn0004367","32608","mei-41","dme:Dmel_CG4252",0,0,"X",16391697
"FBgn0004368","FBgn0004368","FBgn0004368","31425","Ptp4E","dme:Dmel_CG6899",3,0,"X",4939127
"FBgn0004369","FBgn0004369","FBgn0004369","43469","Ptp99A","dme:Dmel_CG11516",0,0,"3R",29457569
"FBgn0004370","FBgn0004370","FBgn0004370","32115","Ptp10D","dme:Dmel_CG1817",0,0,"X",11622014
"FBgn0004372","FBgn0004372","FBgn0004372","45960","aly","dme:Dmel_CG2075",1,0,"3L",-3024128
"FBgn0004373","FBgn0004373","FBgn0004373","45374","fwd","dme:Dmel_CG7004",0,0,"3L",-305392
"FBgn0004374","FBgn0004374","FBgn0004374","35293","neb","dme:Dmel_CG10718",1,0,"2L",20075756
"FBgn0004378","FBgn0004378","FBgn0004378","38135","Klp61F","dme:Dmel_CG9191",1,0,"3L",-1241567
"FBgn0004379","FBgn0004379","FBgn0004379","39068","Klp67A","dme:Dmel_CG10923",1,0,"3L",-9362635
"FBgn0004380","FBgn0004380","FBgn0004380","38611","Klp64D","dme:Dmel_CG10642",5,0,"3L",-5356863
"FBgn0004381","FBgn0004381","FBgn0004381","39332","Klp68D","dme:Dmel_CG7293",3,0,"3L",11795613
"FBgn0004387","FBgn0004387","FBgn0004387","43310","Klp98A","dme:Dmel_CG5658",0,0,"3R",-27547774
"FBgn0004390","FBgn0004390","FBgn0004390","39158","RasGAP1","dme:Dmel_CG6721",5,0,"3L",-9839685
"FBgn0004391","FBgn0004391","FBgn0004391","32473","shtd","dme:Dmel_CG9198",0,0,"X",-15455543
"FBgn0004394","FBgn0004394","FBgn0004394","34673","pdm2","dme:Dmel_CG12287",3,0,"2L",12657823
"FBgn0004395","FBgn0004395","FBgn0004395","42738","unk","dme:Dmel_CG4620",0,0,"3R",-23151563
"FBgn0004396","FBgn0004396","FBgn0004396","39682","CrebA","dme:Dmel_CG7450",5,0,"3L",15535394
"FBgn0004397","FBgn0004397","FBgn0004397","31201","Vinc","dme:Dmel_CG3299",5,0,"X",-2214346
"FBgn0004400","FBgn0004400","FBgn0004400","44879","rhi","dme:Dmel_CG10683",0,0,"2R",-17628490
"FBgn0004401","FBgn0004401","FBgn0004401","45961","Pep","dme:Dmel_CG6143",0,0,"3L",-17638117
"FBgn0004403","FBgn0004403","FBgn0004403","47218","RpS14a","dme:Dmel_CG1524",5,0,"X",7933741
"FBgn0004404","FBgn0004404","FBgn0004404","47219","RpS14b","dme:Dmel_CG1527",5,0,"X",7935171
"FBgn0004406","FBgn0004406","FBgn0004406","34792","tam","dme:Dmel_CG8987",0,0,"2L",-13823979
"FBgn0004414","FBgn0004414","FBgn0004414","45962","msopa","dme:Dmel_CG14560",2,0,"3L",22082719
"FBgn0004419","FBgn0004419","FBgn0004419","34364","me31B","dme:Dmel_CG4916",0,0,"2L",10239340
"FBgn0004425","FBgn0004425","FBgn0004425","38125","LysB","dme:Dmel_CG1179",4,0,"3L",1207370
"FBgn0004426","FBgn0004426","FBgn0004426","26067588","LysC","",1,0,"0",NA
"FBgn0004427","FBgn0004427","FBgn0004427","38127","LysD","dme:Dmel_CG9118",0,0,"3L",-1210716
"FBgn0004428","FBgn0004428","FBgn0004428","38128","LysE","dme:Dmel_CG1180",0,0,"3L",1212826
"FBgn0004429","FBgn0004429","FBgn0004429","38129","LysP","dme:Dmel_CG9116",4,0,"3L",-1218081
"FBgn0004430","FBgn0004430","FBgn0004430","38130","LysS","dme:Dmel_CG1165",0,0,"3L",1227746
"FBgn0004431","FBgn0004431","FBgn0004431","38122","LysX","dme:Dmel_CG9120",0,0,"3L",-1194738
"FBgn0004432","FBgn0004432","FBgn0004432","32595","Cyp1","dme:Dmel_CG9916",5,0,"X",-16317672
"FBgn0004435","FBgn0004435","FBgn0004435","36384","Galphaq","dme:Dmel_CG17759",0,0,"2R",12612739
"FBgn0004436","FBgn0004436","FBgn0004436","40610","Ubc6","dme:Dmel_CG2013",5,0,"3R",-4948754
"FBgn0004449","FBgn0004449","FBgn0004449","40464","Ten-m","dme:Dmel_CG5723",0,0,"3L",-22293043
"FBgn0004456","FBgn0004456","FBgn0004456","32275","mew","dme:Dmel_CG1771",0,0,"X",-13214408
"FBgn0261613","FBgn0261613","FBgn0284250","36609","Oaz","dme:Dmel_CG42702",0,0,"2R",14458482
"FBgn0004463","FBgn0004463","FBgn0004463","36289","RpIII128","dme:Dmel_CG8344",0,0,"2R",12039040
"FBgn0004465","FBgn0004465","FBgn0004465","39856","Su(P)","dme:Dmel_CG4086",5,0,"3L",-16610661
"FBgn0004507","FBgn0004507","FBgn0004507","33386","GlyP","dme:Dmel_CG7254",3,0,"2L",2130812
"FBgn0004509","FBgn0004509","FBgn0004509","47220","Fur1","dme:Dmel_CG10772",2,0,"3R",-25351510
"FBgn0004510","FBgn0004510","FBgn0004510","43236","Ets97D","dme:Dmel_CG6338",0,0,"3R",-26910774
"FBgn0004512","FBgn0004512","FBgn0004512","36428","Mdr49","dme:Dmel_CG3879",2,0,"2R",-12940322
"FBgn0004513","FBgn0004513","FBgn0004513","38726","Mdr65","dme:Dmel_CG10181",0,0,"3L",-6240499
"FBgn0004514","FBgn0004514","FBgn0004514","42452","Oct-TyrR","dme:Dmel_CG7485",0,0,"3L",22035002
"FBgn0004516","FBgn0004516","FBgn0004516","38484","Gad1","dme:Dmel_CG14994",0,0,"3L",-4074076
"FBgn0004552","FBgn0004552","FBgn0004552","38495","Akh","dme:Dmel_CG1171",0,0,"3L",4141466
"FBgn0004554","FBgn0004554","FBgn0004554","42117","Edg91","dme:Dmel_CG7539",0,0,"3R",-17610855
"FBgn0004556","FBgn0004556","FBgn0004556","39871","Dbp73D","dme:Dmel_CG9680",0,0,"3L",-16728495
"FBgn0004567","FBgn0004567","FBgn0004567","33608","slp2","dme:Dmel_CG2939",0,0,"2L",3836839
"FBgn0004569","FBgn0004569","FBgn0004569","39833","aos","dme:Dmel_CG4531",5,0,"3L",-16470385
"FBgn0004573","FBgn0004573","FBgn0004573","43669","5-HT7","dme:Dmel_CG12073",0,0,"3R",-30968235
"FBgn0004574","FBgn0004574","FBgn0004574","38493","Rop","dme:Dmel_CG15811",0,0,"3L",-4136358
"FBgn0004575","FBgn0004575","FBgn0004575","41247","Syn","dme:Dmel_CG3985",0,0,"3R",10190688
"FBgn0004580","FBgn0004580","FBgn0004580","36905","Cbp53E","dme:Dmel_CG6702",0,0,"2R",16973926
"FBgn0004581","FBgn0004581","FBgn0004581","47873","bgcn","dme:Dmel_CG30170",1,0,"2R",-23853269
"FBgn0004583","FBgn0004583","FBgn0004583","33218","ex","dme:Dmel_CG4114",0,0,"2L",431226
"FBgn0004584","FBgn0004584","FBgn0004584","33500","Rrp1","dme:Dmel_CG3178",0,0,"2L",-2969772
"FBgn0004587","FBgn0004587","FBgn0004587","41670","B52","dme:Dmel_CG10851",3,0,"3R",13661310
"FBgn0004589","FBgn0004589","FBgn0004589","39701","Eig71Eb","dme:Dmel_CG7355",0,0,"3L",15649935
"FBgn0004593","FBgn0004593","FBgn0004593","39707","Eig71Ef","dme:Dmel_CG7599",0,0,"3L",-15656654
"FBgn0004595","FBgn0004595","FBgn0004595","41363","pros","dme:Dmel_CG17228",0,0,"3R",11372787
"FBgn0004597","FBgn0004597","FBgn0004597","41801","CycC","dme:Dmel_CG7281",0,0,"3R",-14889003
"FBgn0004598","FBgn0004598","FBgn0004598","32604","Fur2","dme:Dmel_CG18734",3,0,"X",16373221
"FBgn0004606","FBgn0004606","FBgn0004606","43650","zfh1","dme:Dmel_CG1322",0,0,"3R",30765925
"FBgn0004607","FBgn0004607","FBgn0004607","43795","zfh2","dme:Dmel_CG1449",5,0,"4",501809
"FBgn0004611","FBgn0004611","FBgn0004611","33204","Plc21C","dme:Dmel_CG4574",2,0,"2L",310199
"FBgn0004619","FBgn0004619","FBgn0004619","38742","GluRIA","dme:Dmel_CG8442",0,0,"3L",6624031
"FBgn0004620","FBgn0004620","FBgn0004620","33788","GluRIIA","dme:Dmel_CG6992",0,0,"2L",5555071
"FBgn0004622","FBgn0004622","FBgn0004622","43551","TkR99D","dme:Dmel_CG7887",0,0,"3R",-29950795
"FBgn0004629","FBgn0004629","FBgn0004629","41767","Cys","dme:Dmel_CG8050",0,0,"3R",-14569102
"FBgn0004635","FBgn0004635","FBgn0004635","38168","rho","dme:Dmel_CG1004",3,0,"3L",1463810
"FBgn0004636","FBgn0004636","FBgn0004636","38244","Rap1","dme:Dmel_CG1956",3,0,"3L",-1859114
"FBgn0004638","FBgn0004638","FBgn0004638","36497","drk","dme:Dmel_CG6033",0,0,"2R",-13495221
"FBgn0004643","FBgn0004643","FBgn0004643","47874","Zw10","dme:Dmel_CG9900",0,0,"X",2604196
"FBgn0004644","FBgn0004644","FBgn0004644","42737","hh","dme:Dmel_CG4637",0,0,"3R",-23128168
"FBgn0004646","FBgn0004646","FBgn0004646","45382","ogre","dme:Dmel_CG3039",5,0,"X",-6974033
"FBgn0004647","FBgn0004647","FBgn0004647","31293","N","dme:Dmel_CG3936",0,0,"X",3134869
"FBgn0004648","FBgn0004648","FBgn0004648","30998","svr","dme:Dmel_CG4122",5,0,"X",499280
"FBgn0004649","FBgn0004649","FBgn0004649","32367","yl","dme:Dmel_CG1372",0,0,"X",14193213
"FBgn0004650","FBgn0004650","FBgn0004650","45973","fs(1)N","dme:Dmel_CG11411",1,0,"X",1322512
"FBgn0004652","FBgn0004652","FBgn0004652","42226","fru","dme:Dmel_CG14307",0,0,"3R",-18415472
"FBgn0004654","FBgn0004654","FBgn0004654","31185","Pgd","dme:Dmel_CG3724",3,0,"X",2145362
"FBgn0004655","FBgn0004655","FBgn0004655","31187","wapl","dme:Dmel_CG3707",0,0,"X",-2150106
"FBgn0004656","FBgn0004656","FBgn0004656","31722","fs(1)h","dme:Dmel_CG2252",3,0,"X",-8038790
"FBgn0004657","FBgn0004657","FBgn0004657","44885","mys","dme:Dmel_CG1560",3,0,"X",8061644
"FBgn0004666","FBgn0004666","FBgn0004666","41612","sim","dme:Dmel_CG7771",0,0,"3R",13072398
"FBgn0004687","FBgn0004687","FBgn0004687","31474","Mlc-c","dme:Dmel_CG3201",5,0,"X",-5619135
"FBgn0004698","FBgn0004698","FBgn0004698","36697","Xpc","dme:Dmel_CG8153",0,0,"2R",15311509
"FBgn0004777","FBgn0004777","FBgn0004777","40819","Ccp84Ag","dme:Dmel_CG2342",0,0,"3R",6686727
"FBgn0004780","FBgn0004780","FBgn0004780","40822","Ccp84Ad","dme:Dmel_CG2341",0,0,"3R",6692731
"FBgn0004781","FBgn0004781","FBgn0004781","40823","Ccp84Ac","dme:Dmel_CG1327",0,0,"3R",-6695147
"FBgn0004782","FBgn0004782","FBgn0004782","40824","Ccp84Ab","dme:Dmel_CG1252",0,0,"3R",-6701967
"FBgn0004783","FBgn0004783","FBgn0004783","40825","Ccp84Aa","dme:Dmel_CG2360",0,0,"3R",6704083
"FBgn0004795","FBgn0004795","FBgn0004795","45976","retn","dme:Dmel_CG5403",5,0,"2R",23632609
"FBgn0004797","FBgn0004797","FBgn0004797","44887","mdy","dme:Dmel_CG31991",4,0,"2L",16816659
"FBgn0004811","FBgn0004811","FBgn0004811","49505","fs(2)ltoPP43","dme:Dmel_CG10528",0,0,"2L",-19793610
"FBgn0004828","FBgn0004828","FBgn0004828","31848","His3.3B","dme:Dmel_CG8989",5,0,"X",-9153237
"FBgn0004832","FBgn0004832","FBgn0004832","31357","Xpac","dme:Dmel_CG6358",0,0,"X",-4102954
"FBgn0004837","FBgn0004837","FBgn0004837","34881","Su(H)","dme:Dmel_CG3497",0,0,"2L",15039487
"FBgn0004838","FBgn0004838","FBgn0004838","33968","Hrb27C","dme:Dmel_CG10377",5,0,"2L",6921259
"FBgn0004839","FBgn0004839","FBgn0004839","36283","otk","dme:Dmel_CG8967",2,0,"2R",-12001472
"FBgn0004841","FBgn0004841","FBgn0004841","41286","TkR86C","dme:Dmel_CG6515",0,0,"3R",-10737591
"FBgn0004842","FBgn0004842","FBgn0004842","43253","RYa-R","dme:Dmel_CG5811",2,0,"3R",26996979
"FBgn0004852","FBgn0004852","FBgn0004852","40180","Ac76E","dme:Dmel_CG7978",2,0,"3L",19939286
"FBgn0004854","FBgn0004854","FBgn0004854","32723","B-H2","dme:Dmel_CG5488",0,0,"X",17314580
"FBgn0004855","FBgn0004855","FBgn0004855","41741","RpII15","dme:Dmel_CG3284",0,0,"3R",14309088
"FBgn0004856","FBgn0004856","FBgn0004856","31840","Bx42","dme:Dmel_CG8264",0,0,"X",-9104317
"FBgn0004858","FBgn0004858","FBgn0004858","34844","elB","dme:Dmel_CG4220",0,0,"2L",-14390627
"FBgn0004859","FBgn0004859","FBgn0004859","43767","ci","dme:Dmel_CG2125",3,0,"4",-47709
"FBgn0004860","FBgn0004860","FBgn0004860","44889","ph-d","dme:Dmel_CG3895",5,0,"X",-2115726
"FBgn0004861","FBgn0004861","FBgn0004861","31181","ph-p","dme:Dmel_CG18412",5,0,"X",-2126209
"FBgn0004862","FBgn0004862","FBgn0004862","42537","bap","dme:Dmel_CG7902",0,0,"3R",21388879
"FBgn0004863","FBgn0004863","FBgn0004863","42544","C15","dme:Dmel_CG7937",0,0,"3R",21499985
"FBgn0004864","FBgn0004864","FBgn0004864","32080","hop","dme:Dmel_CG1594",0,0,"X",-11360929
"FBgn0004865","FBgn0004865","FBgn0004865","40345","Eip78C","dme:Dmel_CG18023",0,0,"3L",21226918
"FBgn0004867","FBgn0004867","FBgn0004867","34309","RpS2","dme:Dmel_CG5920",0,0,"2L",-9896264
"FBgn0004868","FBgn0004868","FBgn0004868","34264","Gdi","dme:Dmel_CG4422",5,0,"2L",-9491175
"FBgn0004870","FBgn0004870","FBgn0004870","38116","bab1","dme:Dmel_CG9097",0,0,"3L",-1036368
"FBgn0004872","FBgn0004872","FBgn0004872","34521","piwi","dme:Dmel_CG6122",1,0,"2L",-10982308
"FBgn0004875","FBgn0004875","FBgn0004875","44543","enc","dme:Dmel_CG10847",5,0,"3L",3818678
"FBgn0004876","FBgn0004876","FBgn0004876","42289","cdi","dme:Dmel_CG6027",4,0,"3R",-19045693
"FBgn0004880","FBgn0004880","FBgn0004880","38469","scrt","dme:Dmel_CG1130",0,0,"3L",3983895
"FBgn0004882","FBgn0004882","FBgn0004882","42752","orb","dme:Dmel_CG10868",1,0,"3R",-23265639
"FBgn0004885","FBgn0004885","FBgn0004885","42944","tok","dme:Dmel_CG6863",2,0,"3R",24720056
"FBgn0004888","FBgn0004888","FBgn0004888","38447","Scsalpha","dme:Dmel_CG1065",2,0,"3L",3814210
"FBgn0004889","FBgn0004889","FBgn0004889","47877","tws","dme:Dmel_CG6235",0,0,"3R",-10127126
"FBgn0004892","FBgn0004892","FBgn0004892","33581","sob","dme:Dmel_CG3242",5,0,"2L",-3578012
"FBgn0004893","FBgn0004893","FBgn0004893","33602","bowl","dme:Dmel_CG10021",2,0,"2L",3771699
"FBgn0004901","FBgn0004901","FBgn0004901","40935","Prat","dme:Dmel_CG2867",5,0,"3R",-7909597
"FBgn0004903","FBgn0004903","FBgn0004903","43231","Rb97D","dme:Dmel_CG6354",4,0,"3R",-26872582
"FBgn0004907","FBgn0004907","FBgn0004907","36059","14-3-3zeta","dme:Dmel_CG17870",5,0,"2R",10099676
"FBgn0004908","FBgn0004908","FBgn0004908","40993","Arl2","dme:Dmel_CG7435",0,0,"3R",8341099
"FBgn0004910","FBgn0004910","FBgn0004910","47878","Eip63F-1","dme:Dmel_CG15855",2,0,"3L",-3909972
"FBgn0004911","FBgn0004911","FBgn0004911","4379905","Eig63F-2","dme:Dmel_CR32265",0,0,"3L",3934717
"FBgn0004913","FBgn0004913","FBgn0004913","40607","Gnf1","dme:Dmel_CG1119",4,0,"3R",4906621
"FBgn0004914","FBgn0004914","FBgn0004914","44544","Hnf4","dme:Dmel_CG9310",5,0,"2L",-8687225
"FBgn0004915","FBgn0004915","FBgn0004915","34430","TfIIB","dme:Dmel_CG5193",4,0,"2L",10431337
"FBgn0004919","FBgn0004919","FBgn0004919","38006","gol","dme:Dmel_CG2679",5,0,"2R",-25073668
"FBgn0004921","FBgn0004921","FBgn0004921","35881","Ggamma1","dme:Dmel_CG8261",5,0,"2R",8901432
"FBgn0004924","FBgn0004924","FBgn0004924","32458","Top1","dme:Dmel_CG6146",5,0,"X",15322845
"FBgn0004926","FBgn0004926","FBgn0004926","39433","eIF2beta","dme:Dmel_CG4153",0,0,"3L",-12525092
"FBgn0004956","FBgn0004956","FBgn0004956","32813","upd1","dme:Dmel_CG5993",1,0,"X",-18305353
"FBgn0004957","FBgn0004957","FBgn0004957","32818","por","dme:Dmel_CG6205",0,0,"X",-18378003
"FBgn0005198","FBgn0005198","FBgn0005198","40201","gig","dme:Dmel_CG6975",5,0,"3L",20129180
"FBgn0005278","FBgn0005278","FBgn0005278","48552","Sam-S","dme:Dmel_CG2674",3,0,"2L",107760
"FBgn0005322","FBgn0005322","FBgn0005322","44021","nmd","dme:Dmel_CG5395",0,0,"2L",-10302591
"FBgn0005355","FBgn0005355","FBgn0005355","41565","Su(fu)","dme:Dmel_CG6054",0,0,"3R",-12689872
"FBgn0005386","FBgn0005386","FBgn0005386","40133","ash1","dme:Dmel_CG8887",4,0,"3L",-19590772
"FBgn0005390","FBgn0005390","FBgn0005390","45994","fs(1)M3","dme:Dmel_CG4790",0,0,"X",-5958206
"FBgn0005411","FBgn0005411","FBgn0005411","32602","U2af50","dme:Dmel_CG9998",0,0,"X",-16356695
"FBgn0005427","FBgn0005427","FBgn0005427","30975","ewg","dme:Dmel_CG3114",5,0,"X",-268523
"FBgn0005533","FBgn0005533","FBgn0005533","39088","RpS17","dme:Dmel_CG3922",5,0,"3L",-9428794
"FBgn0005536","FBgn0005536","FBgn0005536","49070","Mbs","dme:Dmel_CG32156",3,0,"3L",16051958
"FBgn0005558","FBgn0005558","FBgn0005558","43812","ey","dme:Dmel_CG1464",0,0,"4",704650
"FBgn0005561","FBgn0005561","FBgn0005561","43825","sv","dme:Dmel_CG11049",0,0,"4",1088797
"FBgn0005564","FBgn0005564","FBgn0005564","40129","Shal","dme:Dmel_CG9262",0,0,"3L",-19571581
"FBgn0005585","FBgn0005585","FBgn0005585","41166","Calr","dme:Dmel_CG9429",5,0,"3R",-9628937
"FBgn0005586","FBgn0005586","FBgn0005586","36127","Rab3","dme:Dmel_CG7576",0,0,"2R",-10721334
"FBgn0261606","FBgn0261606","FBgn0285948","33654","RpL27A","dme:Dmel_CG15442",5,0,"2L",-4457185
"FBgn0005593","FBgn0005593","FBgn0005593","34352","RpL7","dme:Dmel_CG4897",5,0,"2L",10201003
"FBgn0005596","FBgn0005596","FBgn0005596","43439","yem","dme:Dmel_CG14513",4,0,"3R",-29118329
"FBgn0005612","FBgn0005612","FBgn0005612","37822","Sox14","dme:Dmel_CG3090",3,0,"2R",23979894
"FBgn0005613","FBgn0005613","FBgn0005613","36575","Sox15","dme:Dmel_CG8404",0,0,"2R",-14201389
"FBgn0005614","FBgn0005614","FBgn0005614","36003","trpl","dme:Dmel_CG18345",0,0,"2R",9753696
"FBgn0005616","FBgn0005616","FBgn0005616","33565","msl-2","dme:Dmel_CG3241",5,0,"2L",-3462217
"FBgn0005617","FBgn0005617","FBgn0005617","35121","msl-1","dme:Dmel_CG10385",5,0,"2L",-18684983
"FBgn0005619","FBgn0005619","FBgn0005619","36076","Hdc","dme:Dmel_CG3454",0,0,"2R",10240868
"FBgn0005624","FBgn0005624","FBgn0005624","36431","Psc","dme:Dmel_CG3886",5,0,"2R",-12966321
"FBgn0005626","FBgn0005626","FBgn0005626","38746","ple","dme:Dmel_CG10118",0,0,"3L",-6714037
"FBgn0261593","FBgn0261593","FBgn0285947","32953","RpS10b","dme:Dmel_CG14206",5,0,"X",19598030
"FBgn0005631","FBgn0005631","FBgn0005631","37603","robo1","dme:Dmel_CG13521",0,0,"2R",-22692523
"FBgn0005632","FBgn0005632","FBgn0005632","43749","faf","dme:Dmel_CG1945",3,0,"3R",31777019
"FBgn0005633","FBgn0005633","FBgn0005633","40185","fln","dme:Dmel_CG7445",0,0,"3L",-19989550
"FBgn0005636","FBgn0005636","FBgn0005636","37886","nvy","dme:Dmel_CG3385",0,0,"2R",24275733
"FBgn0005638","FBgn0005638","FBgn0005638","37889","slbo","dme:Dmel_CG4354",0,0,"2R",-24331521
"FBgn0005640","FBgn0005640","FBgn0005640","38433","Eip63E","dme:Dmel_CG10579",5,0,"3L",3543579
"FBgn0005642","FBgn0005642","FBgn0005642","43398","wdn","dme:Dmel_CG1454",0,0,"3R",-28807982
"FBgn0005648","FBgn0005648","FBgn0005648","35788","Pabp2","dme:Dmel_CG2163",0,0,"2R",8131430
"FBgn0005649","FBgn0005649","FBgn0005649","42848","Rox8","dme:Dmel_CG5422",3,0,"3R",-24043055
"FBgn0005655","FBgn0005655","FBgn0005655","37290","PCNA","dme:Dmel_CG9193",4,0,"2R",-20261753
"FBgn0005658","FBgn0005658","FBgn0005658","38700","Ets65A","dme:Dmel_CG7018",0,0,"3L",6097616
"FBgn0005659","FBgn0005659","FBgn0005659","43334","Ets98B","dme:Dmel_CG5583",0,0,"3R",27736537
"FBgn0005660","FBgn0005660","FBgn0005660","33229","Ets21C","dme:Dmel_CG2914",2,0,"2L",-547015
"FBgn0005664","FBgn0005664","FBgn0005664","34604","Crys","dme:Dmel_CG16963",2,0,"2L",11944128
"FBgn0005666","FBgn0005666","FBgn0005666","43814","bt","dme:Dmel_CG32019",5,0,"4",725355
"FBgn0005670","FBgn0005670","FBgn0005670","31188","Cyp4d1","dme:Dmel_CG3656",0,0,"X",-2159144
"FBgn0005671","FBgn0005671","FBgn0005671","41550","Vha55","dme:Dmel_CG17369",5,0,"3R",-12623761
"FBgn0005672","FBgn0005672","FBgn0005672","35253","spi","dme:Dmel_CG10334",0,0,"2L",-19567899
"FBgn0005674","FBgn0005674","FBgn0005674","42834","GluProRS","dme:Dmel_CG5394",5,0,"3R",-23952135
"FBgn0005677","FBgn0005677","FBgn0005677","34982","dac","dme:Dmel_CG4952",1,0,"2L",-16466511
"FBgn0005683","FBgn0005683","FBgn0005683","44315","pie","dme:Dmel_CG5354",0,0,"2L",-10420624
"FBgn0005694","FBgn0005694","FBgn0005694","40370","Aef1","dme:Dmel_CG5683",5,0,"3L",21433427
"FBgn0005695","FBgn0005695","FBgn0005695","35864","gcl","dme:Dmel_CG8411",3,0,"2R",8724257
"FBgn0005696","FBgn0005696","FBgn0005696","43278","DNApol-alpha73","dme:Dmel_CG5923",0,0,"3R",27239162
"FBgn0005771","FBgn0005771","FBgn0005771","34847","noc","dme:Dmel_CG4491",3,0,"2L",14490858
"FBgn0005775","FBgn0005775","FBgn0005775","38590","Con","dme:Dmel_CG7503",0,0,"3L",-4938056
"FBgn0005777","FBgn0005777","FBgn0005777","49779","PpD3","dme:Dmel_CG8402",0,0,"3R",9747874
"FBgn0005778","FBgn0005778","FBgn0005778","44148","PpD5","dme:Dmel_CG10138",1,0,"2R",-22041666
"FBgn0005779","FBgn0005779","FBgn0005779","49780","PpD6","dme:Dmel_CG8822",1,0,"2L",3109671
"FBgn0008635","FBgn0008635","FBgn0008635","32820","betaCOP","dme:Dmel_CG6223",5,0,"X",-18381548
"FBgn0008636","FBgn0008636","FBgn0008636","47894","hbn","dme:Dmel_CG33152",0,0,"2R",-20954667
"FBgn0008646","FBgn0008646","FBgn0008646","45396","E5","dme:Dmel_CG9930",0,0,"3R",-13867344
"FBgn0008651","FBgn0008651","FBgn0008651","42541","lbl","dme:Dmel_CG6570",5,0,"3R",-21409978
"FBgn0010014","FBgn0010014","FBgn0010014","44317","CanB","dme:Dmel_CG4209",0,0,"X",5332498
"FBgn0010015","FBgn0010015","FBgn0010015","43670","CanA1","dme:Dmel_CG1455",0,0,"3R",31039373
"FBgn0010019","FBgn0010019","FBgn0010019","30986","Cyp4g1","dme:Dmel_CG3972",5,0,"X",-467056
"FBgn0010038","FBgn0010038","FBgn0010038","48335","GstD2","dme:Dmel_CG4181",2,0,"3R",12371970
"FBgn0010039","FBgn0010039","FBgn0010039","48336","GstD3","dme:Dmel_CG4381",1,0,"3R",12373067
"FBgn0010040","FBgn0010040","FBgn0010040","48337","GstD4","dme:Dmel_CG11512",0,0,"3R",12374099
"FBgn0010041","FBgn0010041","FBgn0010041","48338","GstD5","dme:Dmel_CG12242",2,0,"3R",12375732
"FBgn0010042","FBgn0010042","FBgn0010042","48339","GstD6","dme:Dmel_CG4423",3,0,"3R",12377127
"FBgn0010043","FBgn0010043","FBgn0010043","48340","GstD7","dme:Dmel_CG4371",0,0,"3R",12378499
