© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
SIRT1	 	transcription regulator	 	0.411	6.45E-03	6.05E-02	CD83,CELA1,CPT1A,DDIT3,EDEM1,Hsd3b4 (includes others),IL1B,KLF2,PPARGC1A,RGS16,SYNPO,TBC1D8,THBD,USP18	 
RNA polymerase II	 	complex	 	 	6.49E-03	6.05E-02	Ccl9,CD14,CD83,CYP7A1,GADD45B,HSPA1A/HSPA1B,IL1B,SOCS3	 
TLR3	 	transmembrane receptor	Activated	2.386	6.91E-03	6.31E-02	BCAR3,GADD45B,IL1A,IL1B,NFKBIZ,NR4A1,SERPINE1,SOCS3,USP18	 
EGLN1	 	enzyme	 	-0.849	7.00E-03	6.31E-02	HES1,IL1A,IL1B,NOS3	10 (2)
PIN1	 	enzyme	 	1.000	7.00E-03	6.31E-02	DDIT3,HES1,IL1B,PPARGC1A	 
GNAQ	 	enzyme	 	1.964	7.00E-03	6.31E-02	ADAMTS1,SERPINE1,SOCS3,THBD	 
TP53	 	transcription regulator	 	-1.677	7.18E-03	6.31E-02	ABCA2,Abcb1b,ABCB4,ACADL,ACLY,ACSS2,ALDOA,BCL6B,CPT1A,CYP1A1,DNAJB4,DNAJC11,ECH1,EPHA2,FERMT2,FH,GADD45B,GJA1,HADHB,HSP90AA1,HSPH1,ID2,ID3,IER5,IL1A,IL1B,IRF5,NDUFS6,NLRP12,PPARGC1A,RBM3,SERPINE1,SLC6A6,TFRC,TIMM10,ULK2	 
HIF1A	 	transcription regulator	 	0.603	7.19E-03	6.31E-02	GJA1,IL1A,IL1B,NFKBIZ,NOS3,NR4A1,SERPINE1,SOCS3,TFRC	 
SIGIRR	 	transmembrane receptor	 	 	7.24E-03	6.31E-02	IL18,IL1A,IL1B	 
CREB3L3	 	transcription regulator	 	 	7.24E-03	6.31E-02	APOA4,CIDEC,CYP7A1	 
NCOR2	 	transcription regulator	 	 	7.24E-03	6.31E-02	IL1A,IL1B,KLF2	 
KEAP1	 	transcription regulator	 	 	7.24E-03	6.31E-02	GCLC,IL18,IL1B	 
TFAM	 	transcription regulator	 	 	7.24E-03	6.31E-02	ACADL,ECH1,SLC25A20	 
APC	 	enzyme	 	-0.900	7.25E-03	6.31E-02	FABP2,FH,HADHB,HES1,ID2,ID3,SNAI2	39 (2)
DDIT3	1.239	transcription regulator	 	 	7.72E-03	6.68E-02	ATF5,DDIT3,IL1B,PPARGC1A	 
RXRA	 	ligand-dependent nuclear receptor	 	-1.455	8.02E-03	6.90E-02	Ccl9,CYP1A2,CYP4A11,CYP7A1,GCLC,IL1A,IL1B	 
CYB5R4	 	enzyme	 	 	8.38E-03	6.96E-02	DDIT3,GCLC,PPARGC1A	 
LGR5	 	transmembrane receptor	 	 	8.38E-03	6.96E-02	CYP1A2,HSD17B13,LHPP	 
MGLL	0.937	enzyme	 	 	8.38E-03	6.96E-02	CPT1A,IL1A,PPARGC1A	 
USP19	 	peptidase	 	 	8.38E-03	6.96E-02	DDIT3,IL1B,NR3C1	 
MAP2K3	 	kinase	 	 	8.38E-03	6.96E-02	DDIT3,IL1B,SERPINE1	 
FABP1	 	transporter	 	 	8.38E-03	6.96E-02	ABCG8,CYP7A1,SLC27A1	 
TNF	 	cytokine	 	1.724	8.44E-03	6.96E-02	Ccl9,CD14,CYP2C8,IL18,IL1A,IL1B,LYVE1,NFKBIZ,NOS3,NR3C1,OCLN,SERPINE1,SOCS3,TXNIP	 
MEX3A	 	other	 	-1.000	8.49E-03	6.96E-02	ABCG8,ACADL,CIDEC,PPARGC1A	 
MEF2D	 	transcription regulator	 	 	8.49E-03	6.96E-02	GCLC,JUND,KLF2,NR4A1	 
ERN1	-0.667	kinase	 	0.492	8.62E-03	7.03E-02	CYP1A2,DDIT3,EDEM1,ERP44,IL1B,SLC20A1	 
Cd209b	 	other	 	 	8.88E-03	7.03E-02	IL18,IL1B	 
EIF2A	 	translation regulator	 	 	8.88E-03	7.03E-02	ATF5,DDIT3	 
CTSE	 	peptidase	 	 	8.88E-03	7.03E-02	IL18,IL1B	 
DBI	 	other	 	 	8.88E-03	7.03E-02	ACSS2,LSS	 
EPO	 	cytokine	 	 	8.88E-03	7.03E-02	SOCS3,TFRC	 
DHH	 	peptidase	 	 	8.88E-03	7.03E-02	ADAMTS1,GJA1	 
LRP1	 	transmembrane receptor	Inhibited	-2.000	9.31E-03	7.29E-02	ABCG8,CD14,DDIT3,IL1B	 
TYROBP	 	transmembrane receptor	 	 	9.31E-03	7.29E-02	IL13RA1,IL18,IL1B,LHFPL2	 
ALDH2	 	enzyme	 	 	9.63E-03	7.40E-02	ATF5,GCLC,SLC1A4	 
GDF9	 	growth factor	 	 	9.63E-03	7.40E-02	ID2,ID3,INHBB	 
Rhox5	 	transcription regulator	 	 	9.63E-03	7.40E-02	CA3,Cd24a,PPARGC1A	 
GRN	0.761	growth factor	 	 	9.63E-03	7.40E-02	DDIT3,GRN,IL1B	 
MLXIPL	 	transcription regulator	 	-1.539	9.99E-03	7.64E-02	ACLY,ACSS2,CIDEC,CPT1A,NR1D1,PPARGC1A,RGS16,TXNIP	 
ATP7B	 	transporter	 	-1.000	1.02E-02	7.74E-02	ACLY,CYP7A1,FDPS,LSS	 
MFSD2A	 	transporter	 	 	1.10E-02	8.19E-02	DHCR7,Gstm6,LSS	 
CGAS	 	enzyme	 	 	1.10E-02	8.19E-02	IL1B,Mx2,USP18	 
PYCARD	 	transcription regulator	 	 	1.10E-02	8.19E-02	IL18,IL1B,TGIF1	 
ESRRB	 	transcription regulator	 	 	1.10E-02	8.19E-02	Hspa1b,PFKFB2,SLC6A6	 
RAC2	 	enzyme	 	 	1.11E-02	8.23E-02	ALDOA,Cd24a,IL1B,NR4A1	 
SAMSN1	 	other	 	0.816	1.13E-02	8.38E-02	HDC,IL18,Mx2,NFKBIZ,PLA1A,SOCS3	 
Cyp4a14	3.239	enzyme	 	 	1.17E-02	8.47E-02	IL1A,IL1B	 
CYP2E1	 	enzyme	 	 	1.17E-02	8.47E-02	CYP4A11,Cyp4a14	 
AIM2	 	other	 	 	1.17E-02	8.47E-02	IL18,IL1B	 
ID2	0.754	transcription regulator	 	0.378	1.17E-02	8.47E-02	CD83,GADD45B,ID3,IL17RB,INHBB,IRF5,LEPR,NR4A1,PTPN3,SOCS3	 
PRDM1	 	transcription regulator	 	-1.633	1.19E-02	8.63E-02	ID2,IL1A,IL1B,Keg1,NLRP12,SLC16A5	 
EGR2	 	transcription regulator	 	0.152	1.20E-02	8.66E-02	ID2,ID3,IL1A,IL1B	 
ID3	1.028	transcription regulator	 	1.342	1.21E-02	8.66E-02	CD83,GADD45B,IL17RB,INHBB,IRF5,LEPR,NR4A1,PTPN3,SOCS3	 
PSEN1	 	peptidase	 	0.647	1.22E-02	8.66E-02	ABCC6,GADD45B,GJA1,HES1,IMPACT,OCEL1,PTPRF,UEVLD	 
IKBKG	 	kinase	 	0.436	1.22E-02	8.66E-02	Ccl9,GRN,IL1A,IL1B,RCAN1,RGS16,SOCS3	 
PIK3R1	 	kinase	 	0.314	1.25E-02	8.82E-02	ATF5,DDIT3,ERN1,IL1B,TXNIP	 
Histone h4	 	group	 	 	1.33E-02	9.30E-02	HES1,IL1A,IL1B,SOCS3,SYNPO	 
RIPK2	 	kinase	 	0.277	1.33E-02	9.30E-02	ACADL,CYP7A1,PDE4B,PPARGC1A,SLC27A1	 
LPIN1	 	phosphatase	 	 	1.40E-02	9.70E-02	CPT1A,FDPS,IL1B	 
CD14	1.484	transmembrane receptor	 	 	1.40E-02	9.70E-02	IL13RA1,IL1B,SOCS3	 
HDAC3	 	transcription regulator	 	 	1.41E-02	9.76E-02	ELOVL5,IL18,IL1B,USP18	 
CPT1C	 	enzyme	 	 	1.48E-02	9.87E-02	CPT1A,PPARGC1A	 
CCDC88A	 	other	 	 	1.48E-02	9.87E-02	IL1A,IL1B	 
OGG1	 	enzyme	 	 	1.48E-02	9.87E-02	IL1A,IL1B	 
NLRC4	 	other	 	 	1.48E-02	9.87E-02	IL18,IL1B	 
BMX	 	kinase	 	 	1.48E-02	9.87E-02	HSPA1A/HSPA1B,PPARGC1A	 
COCH	 	other	 	 	1.48E-02	9.87E-02	IL18,IL1B	 
SLC5A5	 	transporter	 	 	1.48E-02	9.87E-02	ABCA3,NUDT7	 
ANGPTL4	 	other	 	 	1.48E-02	9.87E-02	DDIT3,ERN1	 
OGA	 	enzyme	 	1.000	1.49E-02	9.88E-02	Ccl9,CD14,Cd24a,HPGD,IL18,MGLL,SLC27A1,SLC33A1,SOCS3	 
ZMPSTE24	 	peptidase	 	-1.091	1.53E-02	9.99E-02	FMO2,GADD45B,RGS16,SOCS3	 
CYP1A2	-1.121	enzyme	 	1.000	1.53E-02	9.99E-02	ETHE1,GSTM2,RGS16,SLC46A3	 
CYP1B1	 	enzyme	 	1.000	1.53E-02	9.99E-02	ETHE1,GSTM2,RGS16,SLC46A3	 
DIO2	 	enzyme	 	1.342	1.53E-02	9.99E-02	CARMIL1,HSPA1A/HSPA1B,Hspa1b,IER5,IL1B,NR4A1,PPARGC1A,RBM3	 
LDLR	 	transporter	 	 	1.54E-02	1.00E-01	ACLY,CYP7A1,DDIT3,FDPS,GJA1,IL1A,IL1B,NOS3,PPARGC1A,SC5D	 
LPL	 	enzyme	 	 	1.56E-02	1.00E-01	CPT1A,PPARGC1A,SLC27A1	 
SRC	 	kinase	 	 	1.56E-02	1.00E-01	ABCB11,ABCG8,ATP8B1	 
CBL	 	transcription regulator	 	 	1.56E-02	1.00E-01	DDIT3,IL1B,NR4A1	 
EIF2AK2	 	kinase	 	 	1.56E-02	1.00E-01	DDIT3,Hspa1b,IL1B	 
ADRB	 	group	 	1.195	1.57E-02	1.00E-01	ACAT2,ATF5,DDIT3,FDPS,KLF4,LSS,PPARGC1A	 
DOCK8	 	other	 	0.447	1.59E-02	1.01E-01	HDC,IL18,Mx2,NFKBIZ,PLA1A	 
PSMB11	 	peptidase	 	-1.505	1.64E-02	1.03E-01	CYB5B,ENPEP,GADD45B,HSPA1A/HSPA1B,Hspa1b,NR4A1,OCLN	 
G protein alphai	 	group	Activated	2.236	1.68E-02	1.03E-01	ADAMTS1,FOSL2,KLF4,SOCS3,USP18	 
KMT2A	 	transcription regulator	 	0.447	1.68E-02	1.03E-01	ADRA1B,BAG3,MGLL,MYCT1,ZFAND2A	 
FOXA3	0.946	transcription regulator	 	 	1.74E-02	1.03E-01	CPT1A,PPARGC1A,SLC27A1	 
LRP6	 	transmembrane receptor	 	 	1.74E-02	1.03E-01	IL1B,LEPR,PPARGC1A	 
WNT5A	 	cytokine	 	 	1.74E-02	1.03E-01	CD14,IL1B,SH3PXD2A	 
PRKCB	 	kinase	 	 	1.74E-02	1.03E-01	CYP7A1,PPARGC1A,PRKCD	 
mir-155	 	microRNA	 	-1.954	1.77E-02	1.03E-01	DNAJB1,IL1B,NOS3,SOCS3	 
IL17A	 	cytokine	 	1.222	1.78E-02	1.03E-01	HSPB8,IL1B,NFKBIZ,OCLN,RGS16	 
SASH1	 	other	 	0.447	1.78E-02	1.03E-01	HDC,IL18,Mx2,NFKBIZ,PLA1A	 
PAX7	 	transcription regulator	 	0.780	1.78E-02	1.03E-01	Cd24a,ID2,ID3,IL13RA1,PEG3	 
IFNG	 	cytokine	 	0.919	1.81E-02	1.03E-01	Acot1,ATP1B1,Ccl9,CCRL2,CD14,DDIT3,GJA1,HSPA1A/HSPA1B,IDO2,IL18,IL1A,IL1B,IRF5,KLF2,Mx2,NFKBIZ,PRKCD,SLC6A6,SOCS3	 
FFAR3	 	G-protein coupled receptor	 	 	1.82E-02	1.03E-01	IL1A,IL1B	 
ANKRD17	 	other	 	 	1.82E-02	1.03E-01	HDC,SOCS3	 
PARP14	 	enzyme	 	 	1.82E-02	1.03E-01	ID3,Mx2	 
ABCA7	 	transporter	 	 	1.82E-02	1.03E-01	CD14,IL1B	 
TRPM8	 	ion channel	 	 	1.82E-02	1.03E-01	HSPA1A/HSPA1B,RBM3	 
NOD1	 	other	 	 	1.82E-02	1.03E-01	IL1A,IL1B	 
mir-135	 	microRNA	 	 	1.82E-02	1.03E-01	IL1B,KLF4	 
IL18R1	 	transmembrane receptor	 	 	1.82E-02	1.03E-01	IL1A,SOCS3	 
KRIT1	 	other	 	 	1.82E-02	1.03E-01	KLF2,KLF4	 
IRF7	 	transcription regulator	 	1.342	1.88E-02	1.03E-01	CCRL2,IL1A,IRF5,Mx2,USP18	 
PF4	 	cytokine	 	1.131	1.90E-02	1.03E-01	IL1B,KLF4,NFKBIZ,USP18	 
ARRB2	 	other	 	 	1.93E-02	1.03E-01	IL1B,NFKBIZ,SERPINE1	 
PTGS1	 	enzyme	 	 	1.93E-02	1.03E-01	GJA1,IL1B,NOS3	 
EGLN	 	group	 	-0.492	1.98E-02	1.03E-01	APOA4,EFNA1,KLF2,SELENBP1,SERPINE1	 
KRAS	 	enzyme	 	 	2.03E-02	1.03E-01	ABCA3,ACLY,ADH4,IL1B,NOS3,PEG3,POR,TXNIP	 
TFRC	1.240	transporter	 	-1.000	2.03E-02	1.03E-01	ATF5,DDIT3,Gstm6,GSTT2/GSTT2B	 
PRKAA1	 	kinase	 	0.655	2.11E-02	1.03E-01	ELOVL2,FGFR2,IL13RA1,IL17RB,PPARGC1A,SOCS3	 
CASP1	 	peptidase	 	 	2.13E-02	1.03E-01	IL18,IL1A,IL1B	 
SOST	 	other	 	 	2.13E-02	1.03E-01	CPT1A,IL1B,PPARGC1A	 
GPSM3	 	other	 	 	2.13E-02	1.03E-01	IL1B	 
CaMKII	 	complex	 	 	2.13E-02	1.03E-01	IL1B	 
ITPR	 	group	 	 	2.13E-02	1.03E-01	IL1B	 
Mlcp	 	complex	 	 	2.13E-02	1.03E-01	NR4A1	 
Ikb	 	group	 	 	2.13E-02	1.03E-01	NR4A1	 
Mitochondrial complex 1	 	complex	 	 	2.13E-02	1.03E-01	PPARGC1A	 
Tug1	 	other	 	 	2.13E-02	1.03E-01	PPARGC1A	 
ZMIZ1	 	transcription regulator	 	 	2.13E-02	1.03E-01	SERPINE1	 
Il1bos	 	other	 	 	2.13E-02	1.03E-01	IL1B	 
FXN	 	kinase	 	 	2.13E-02	1.03E-01	ACLY	 
PELI3	 	enzyme	 	 	2.13E-02	1.03E-01	IL1B	 
VSIG4	 	other	 	 	2.13E-02	1.03E-01	IL1B	 
CMPK2	 	kinase	 	 	2.13E-02	1.03E-01	IL1B	 
DHDDS	 	enzyme	 	 	2.13E-02	1.03E-01	DDIT3	 
CYBC1	 	other	 	 	2.13E-02	1.03E-01	IL1B	 
DAGLA	 	enzyme	 	 	2.13E-02	1.03E-01	IL1B	 
PSTPIP2	 	other	 	 	2.13E-02	1.03E-01	IL1B	 
Ctf2	 	cytokine	 	 	2.13E-02	1.03E-01	SOCS3	 
SLC17A6	 	transporter	 	 	2.13E-02	1.03E-01	NR4A1	 
LBH	 	transcription regulator	 	 	2.13E-02	1.03E-01	IL1B	 
CLIC1	 	ion channel	 	 	2.13E-02	1.03E-01	IL1B	 
PROTEASE	 	group	 	 	2.13E-02	1.03E-01	HSD3B1	 
TOMM22	 	transporter	 	 	2.13E-02	1.03E-01	HSD3B1	 
JMJD6	0.591	transmembrane receptor	 	 	2.13E-02	1.03E-01	GRN	 
DAPK1	 	kinase	 	 	2.13E-02	1.03E-01	IL1B	 
OSTN	 	other	 	 	2.13E-02	1.03E-01	PPARGC1A	 
FGF20	 	growth factor	 	 	2.13E-02	1.03E-01	MAP3K4	 
GDF2	 	growth factor	 	 	2.13E-02	1.03E-01	LYVE1	 
SLC10A2	 	transporter	 	 	2.13E-02	1.03E-01	CYP7A1	 
KRT1	 	other	 	 	2.13E-02	1.03E-01	IL18	 
miR-185-5p (and other miRNAs w/seed GGAGAGA)	 	mature microRNA	 	 	2.13E-02	1.03E-01	DDIT3	 
PBK	 	kinase	 	 	2.13E-02	1.03E-01	TP53RK	 
L3MBTL2	 	transcription regulator	 	 	2.13E-02	1.03E-01	DDIT3	 
ZNF613	 	transcription regulator	 	 	2.13E-02	1.03E-01	ID2	 
P2RX4	 	ion channel	 	 	2.13E-02	1.03E-01	IL1B	 
GUCY1A1	 	enzyme	 	 	2.13E-02	1.03E-01	NOS3	 
RBM3	0.835	other	 	 	2.13E-02	1.03E-01	DDIT3	 
FAIM	 	other	 	 	2.13E-02	1.03E-01	NR4A1	 
MXD4	 	transcription regulator	 	 	2.13E-02	1.03E-01	ID2	 
TIMM50	 	phosphatase	 	 	2.13E-02	1.03E-01	HSD3B1	 
A130040M12Rik	 	other	 	 	2.13E-02	1.03E-01	RAB23	 
Kap	 	other	 	 	2.13E-02	1.03E-01	Cyp4a14	 
INHBC	 	growth factor	 	 	2.13E-02	1.03E-01	INHBE	 
CCNK	 	kinase	 	 	2.13E-02	1.03E-01	DDIT3	 
LPCAT1	 	enzyme	 	 	2.13E-02	1.03E-01	DDIT3	 
CCN2	 	growth factor	 	1.982	2.17E-02	1.03E-01	ADAMTS1,FLNB,HES1,SERPINE1	 
SMYD1	 	transcription regulator	 	 	2.17E-02	1.03E-01	ACADL,FH,NT5C2,PPARGC1A	 
MBOAT7	 	enzyme	 	 	2.20E-02	1.03E-01	ACLY,ACSS2	 
COL2A1	 	other	 	 	2.20E-02	1.03E-01	DDIT3,IL1B	 
SUMO1	 	enzyme	 	 	2.20E-02	1.03E-01	ABCB11,CIDEC	 
PKM	 	kinase	 	 	2.20E-02	1.03E-01	IL18,IL1B	 
ODC1	 	enzyme	 	 	2.20E-02	1.03E-01	IL1B,SERPINE1	 
E2F6	 	transcription regulator	 	 	2.20E-02	1.03E-01	GJA1,SERPINE1	 
HAX1	 	other	 	 	2.20E-02	1.03E-01	ABCB11,ABCG8	 
NPC2	 	transporter	 	 	2.20E-02	1.03E-01	IL18,MAP1LC3A	 
Ncoa6	 	transcription regulator	 	 	2.20E-02	1.03E-01	CYP7A1,SERPINE1	 
ST8SIA1	 	enzyme	 	 	2.20E-02	1.03E-01	IL1A,IL1B	 
DGCR8	 	enzyme	 	0.152	2.32E-02	1.08E-01	GJA1,HES1,ID2,PDCD4	 
TANK	 	other	 	 	2.33E-02	1.08E-01	IL1A,NFKBIZ,PLA1A	 
TERC	 	other	 	 	2.33E-02	1.08E-01	CYP2C8,CYP4A11,NR1D1	 
IRF9	 	transcription regulator	 	 	2.33E-02	1.08E-01	IL18,IL1A,SOCS3	 
IFNAR1	 	transmembrane receptor	 	0.046	2.49E-02	1.15E-01	Ccl9,IL18,IL1A,IL1B,SERPINE1,SOCS3,USP18	 
JAK1	 	kinase	 	 	2.55E-02	1.15E-01	CD14,IL1B,SOCS3	 
IL12A	 	cytokine	 	 	2.55E-02	1.15E-01	IL1A,IL1B,SOCS3	 
BCL3	 	transcription regulator	 	 	2.55E-02	1.15E-01	IL1A,IL1B,NR4A1	 
MARK2	 	kinase	 	 	2.55E-02	1.15E-01	HDC,IL18,NFKBIZ	 
HOXC6	 	transcription regulator	 	 	2.55E-02	1.15E-01	BCO2,CHRNA2,FGFR2	 
E2F1	 	transcription regulator	 	 	2.58E-02	1.15E-01	ACADL,FGFR2,HES1,Hspa1b,ID3,PPARGC1A,SERPINE1	 
SLC30A7	 	transporter	 	 	2.60E-02	1.15E-01	EPHX2,SLC27A1	 
MFN2	 	enzyme	 	 	2.60E-02	1.15E-01	DDIT3,IL1B	 
PSMB8	 	peptidase	 	 	2.60E-02	1.15E-01	GJA1,IL1A	 
MAS1	 	G-protein coupled receptor	 	 	2.60E-02	1.15E-01	IL1B,NOS3	 
MOGAT1	1.954	enzyme	 	 	2.60E-02	1.15E-01	ACADL,CPT1A	 
CNOT3	 	other	 	 	2.60E-02	1.15E-01	LEPR,PPARGC1A	 
PLAT	 	peptidase	 	 	2.60E-02	1.15E-01	IL1B,SERPINE1	 
PAX3	 	transcription regulator	 	 	2.60E-02	1.15E-01	ID2,ID3	 
EPHA2	1.061	kinase	 	 	2.60E-02	1.15E-01	IL18,IL1B	 
DUSP14	 	phosphatase	 	 	2.60E-02	1.15E-01	IL18,NFKBIZ	 
STAT6	 	transcription regulator	 	-0.885	2.71E-02	1.19E-01	Acot1,Cd24a,CIDEC,CPT1A,CYP4A11,Cyp4a14,EHHADH,EPHA2,GADD45B,IL1B,PMS1,PPARGC1A,SELENBP1	 
AGTR1	 	G-protein coupled receptor	 	 	2.78E-02	1.22E-01	Gstm6,SERPINE1,TXNIP	 
NR4A1	2.991	ligand-dependent nuclear receptor	 	-0.245	2.81E-02	1.23E-01	ACLY,DDIT3,G0S2,HDC,IL1B,NDUFS6,NR4A1,PPA1,SERPINE1	 
NFkB (complex)	 	complex	 	0.954	2.82E-02	1.23E-01	IL18,IL1A,IL1B,NLRP12,SOCS3,TFRC	 
MAP3K8	 	kinase	 	0.170	2.87E-02	1.25E-01	FLNB,IER5,IL18,IL1A,IL1B,SOCS3,TXNIP	 
RELA	 	transcription regulator	 	0.298	2.93E-02	1.27E-01	CD14,CYP1A1,DDIT3,IL1A,IL1B,NR4A1	 
PSEN2	 	peptidase	 	0.447	2.95E-02	1.28E-01	ABCC6,GJA1,IMPACT,PTPRF,UEVLD	 
Ccl2	 	cytokine	 	1.103	2.96E-02	1.28E-01	Ccl9,CD14,IL1B,KLF4	 
ABCB1	 	transporter	 	 	3.02E-02	1.28E-01	CPEB2,IL1B,PLK3	 
EPHX2	0.816	enzyme	 	 	3.03E-02	1.28E-01	HES1,IL1B	 
B4GALNT1	 	enzyme	 	 	3.03E-02	1.28E-01	IL1A,IL1B	 
TREX1	 	enzyme	 	 	3.03E-02	1.28E-01	Mx2,USP18	 
PLA2G2E	 	enzyme	 	 	3.03E-02	1.28E-01	IL1B,SERPINE1	 
CYP51A1	 	enzyme	 	 	3.03E-02	1.28E-01	LSS,SC5D	 
EGLN3	 	enzyme	 	 	3.03E-02	1.28E-01	NOS3,OCLN	 
PTGER4	 	G-protein coupled receptor	 	-1.633	3.07E-02	1.29E-01	IL18,IL1B,LHFPL2,Mx2,PDCD4,TOR3A,USP18	 
NFATC2	 	transcription regulator	 	-0.128	3.07E-02	1.29E-01	CD83,IL18,IL1A,IL1B,Mx2,NFKBIZ,SOCS3	 
Nr1h	 	group	Inhibited	-2.369	3.17E-02	1.33E-01	ACLY,ATP1B1,IL1B,Mx2,NFKBIZ,PPARGC1A	 
ARHGAP31	 	other	 	 	3.28E-02	1.37E-01	GADD45B,ID2,OCLN	 
MERTK	 	kinase	 	 	3.28E-02	1.37E-01	HDC,IL18,IL1B	 
STAT1	 	transcription regulator	 	1.073	3.34E-02	1.39E-01	CCRL2,CYP1A2,CYP2C8,CYP4A11,IL18,IL1B,Mx2,SOCS3	 
IL-1R	 	group	 	 	3.49E-02	1.42E-01	IL1A,IL1B	 
SEL1L	 	other	 	 	3.49E-02	1.42E-01	DDIT3,EDEM1	 
PRF1	 	transporter	 	 	3.49E-02	1.42E-01	IL18,IL1B	 
ADRB3	 	G-protein coupled receptor	 	 	3.49E-02	1.42E-01	IL1B,PPARGC1A	 
INSIG2	 	other	 	 	3.49E-02	1.42E-01	ACLY,FDPS	 
ATF6	 	transcription regulator	 	 	3.49E-02	1.42E-01	CPT1A,DDIT3	 
PTPRE	 	phosphatase	 	 	3.49E-02	1.42E-01	IL18,PLA1A	 
DGAT1	 	enzyme	 	 	3.49E-02	1.42E-01	CPT1A,DDIT3	 
PDK4	 	kinase	 	 	3.49E-02	1.42E-01	IL1B,PPARGC1A	 
TRIM21	 	enzyme	 	 	3.49E-02	1.42E-01	GCLC,IL1B	 
IL13	 	cytokine	 	0.762	3.53E-02	1.42E-01	IL13RA1,IL1B,PPARGC1A,TFRC,VNN1	 
FGF21	 	growth factor	 	 	3.54E-02	1.42E-01	ACLY,CPT1A,PPARGC1A	 
CIDEC	3.830	other	 	 	3.54E-02	1.42E-01	ACADL,CPT1A,PPARGC1A	 
GFI1	 	transcription regulator	Inhibited	-2.382	3.54E-02	1.42E-01	FOSL2,GJA1,ID2,IL1A,IL1B,KLF2	 
LIPE	 	enzyme	 	 	3.67E-02	1.47E-01	G0S2,GJA1,HSPA1A/HSPA1B,ID2,MAPKAPK2,NR4A1	 
TNFRSF1A	 	transmembrane receptor	 	1.388	3.67E-02	1.47E-01	IL1A,IL1B,SERPINE1,SOCS3,TFRC,THBD	 
NR1H2	 	ligand-dependent nuclear receptor	 	-1.131	3.68E-02	1.47E-01	ABCA2,ABCG8,CYP7A1,FDPS,IL1B	 
CPT1B	 	enzyme	 	-0.277	3.76E-02	1.48E-01	ABCB4,ACADL,FH,MGLL,NDUFS6,PPARGC1A,PTPRF,SLC27A1,SOCS3	 
TP63	 	transcription regulator	 	-1.000	3.84E-02	1.48E-01	FGFR2,HES1,SLC41A2,SNAI2,ULK2	 
MAP4K4	 	kinase	 	-1.633	3.94E-02	1.48E-01	ACLY,HADHB,MGLL,NT5C2,PEX16,PEX19	 
PCSK9	 	peptidase	 	 	3.97E-02	1.48E-01	CYP7A1,IL1B	 
CRKL	 	kinase	 	 	3.97E-02	1.48E-01	HDC,PLA1A	 
CCL5	 	cytokine	 	 	3.97E-02	1.48E-01	CCRL2,IL1B	 
SERTAD2	 	transcription regulator	 	 	3.97E-02	1.48E-01	ECH1,PPARGC1A	 
NOX4	 	enzyme	 	 	3.97E-02	1.48E-01	GCLC,SERPINE1	 
TP73	 	transcription regulator	 	-1.463	4.07E-02	1.48E-01	Ccl9,CD83,FGFR2,GRN,HSPB8,ID2,IL1B,ULK2	 
SMAD7	 	transcription regulator	 	 	4.09E-02	1.48E-01	ID2,ID3,IL1B	 
ZFP36	 	transcription regulator	 	-1.214	4.11E-02	1.48E-01	IL1A,IL1B,TFRC,THBD	 
GATA6	 	transcription regulator	 	-1.473	4.17E-02	1.48E-01	FH,HSD3B1,IL1B,LYVE1,STARD13	 
KCP	 	other	 	 	4.22E-02	1.48E-01	PPARGC1A	 
CYP26B1	 	enzyme	 	 	4.22E-02	1.48E-01	ATF5	 
NIPBL	 	transcription regulator	 	 	4.22E-02	1.48E-01	KLF4	 
SLC33A1	-0.541	transporter	 	 	4.22E-02	1.48E-01	IL18	 
ABRAXAS2	 	other	 	 	4.22E-02	1.48E-01	IL1B	 
KLF14	 	transcription regulator	 	 	4.22E-02	1.48E-01	PPARGC1A	 
WDR1	 	other	 	 	4.22E-02	1.48E-01	IL18	 
ECI1	 	enzyme	 	 	4.22E-02	1.48E-01	CYP4A11	 
MLXIP	 	transcription regulator	 	 	4.22E-02	1.48E-01	TXNIP	 
NCEH1	 	enzyme	 	 	4.22E-02	1.48E-01	DDIT3	 
IKKA/B	 	group	 	 	4.22E-02	1.48E-01	IL1B	 
EIF2B5	 	other	 	 	4.22E-02	1.48E-01	IL1B	 
E2F5	 	transcription regulator	 	 	4.22E-02	1.48E-01	SERPINE1	 
MEFV	 	other	 	 	4.22E-02	1.48E-01	IL1B	 
CST3	 	other	 	 	4.22E-02	1.48E-01	IL1B	 
PTK6	 	kinase	 	 	4.22E-02	1.48E-01	FABP2	 
CTSG	 	peptidase	 	 	4.22E-02	1.48E-01	IL1B	 
BAG4	 	other	 	 	4.22E-02	1.48E-01	IL1B	 
CCL1	 	cytokine	 	 	4.22E-02	1.48E-01	SERPINE1	 
LHB	 	other	 	 	4.22E-02	1.48E-01	HSD3B1	 
NCL	 	other	 	 	4.22E-02	1.48E-01	KLF2	 
STRA6	 	transporter	 	 	4.22E-02	1.48E-01	SOCS3	 
miR-155-3p (miRNAs w/seed UCCUACC)	 	mature microRNA	 	 	4.22E-02	1.48E-01	DNAJB1	 
