© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
RELA	 	transcription regulator	 	 	2.20E-02	7.17E-02	BCL2L1,DDIT3,NFKBIA	 
PRKAA2	 	kinase	 	 	2.26E-02	7.25E-02	DDIT3,NFKBIA,SOCS3	 
BHLHE40	 	transcription regulator	 	 	2.26E-02	7.25E-02	BCL2L1,IFI16,RND3	 
MAPK1	 	kinase	 	 	2.26E-02	7.25E-02	CISH,FOSL2,SOCS2	 
IL10RA	 	transmembrane receptor	 	-0.447	2.31E-02	7.34E-02	DDIT4,IFI16,IRF1,IRGM,S1PR1	 
SETD2	 	enzyme	 	 	2.32E-02	7.34E-02	CCN2,RHOB	 
PLAU	 	peptidase	 	 	2.32E-02	7.34E-02	F3,PIM3	 
ARHGAP21	 	other	 	 	2.32E-02	7.34E-02	IRF1,IRGM	 
AIP	 	transcription regulator	 	 	2.42E-02	7.55E-02	RASGRP1,S1PR1	 
YAP1	 	transcription regulator	 	 	2.42E-02	7.55E-02	ANKRD1,CCN2	 
TAZ	 	enzyme	 	 	2.42E-02	7.55E-02	CCN2,PLK2	 
IRF3	 	transcription regulator	 	 	2.42E-02	7.55E-02	IFI16,IRF1,IRGM	 
MEF2C	 	transcription regulator	 	 	2.52E-02	7.60E-02	MYOD1,ZFP36	 
LIPE	 	enzyme	 	 	2.53E-02	7.60E-02	ANKRD1,G0S2,NRIP1	 
TNFRSF1A	 	transmembrane receptor	 	 	2.53E-02	7.60E-02	CCN2,MYOD1,SOCS3	 
NR1H3	 	ligand-dependent nuclear receptor	 	 	2.59E-02	7.60E-02	BCL2L1,MID1IP1,NFKBIA,SOCS1	 
PTPN1	 	phosphatase	 	 	2.63E-02	7.60E-02	NFKBIA,SOCS1	 
JUN/JUNB/JUND	 	group	 	 	2.71E-02	7.60E-02	BCL2L1	 
IgG	 	complex	 	 	2.71E-02	7.60E-02	CSF1	 
MLYCD	 	enzyme	 	 	2.71E-02	7.60E-02	UCP3	 
G6PC3	 	phosphatase	 	 	2.71E-02	7.60E-02	DDIT3	 
SOX11	 	transcription regulator	 	 	2.71E-02	7.60E-02	MYOD1	 
IDO	 	group	 	 	2.71E-02	7.60E-02	SOCS3	 
PACS1	 	other	 	 	2.71E-02	7.60E-02	DDIT3	 
ERCC2	 	enzyme	 	 	2.71E-02	7.60E-02	UCP3	 
CNGB3	 	ion channel	 	 	2.71E-02	7.60E-02	DDIT3	 
PSMB9	 	peptidase	 	 	2.71E-02	7.60E-02	NFKBIA	 
CDK9	 	kinase	 	 	2.71E-02	7.60E-02	DDIT3	 
HSD11B2	 	enzyme	 	 	2.71E-02	7.60E-02	TSC22D3	 
BDKRB1	 	G-protein coupled receptor	 	 	2.71E-02	7.60E-02	CCN2	 
UACA	 	other	 	 	2.71E-02	7.60E-02	CEBPD	 
STAU1	 	transporter	 	 	2.71E-02	7.60E-02	MYOD1	 
ADRB1	 	G-protein coupled receptor	 	 	2.71E-02	7.60E-02	DDIT3	 
SMURF2	 	enzyme	 	 	2.71E-02	7.60E-02	CCN2	 
CBLC	 	enzyme	 	 	2.71E-02	7.60E-02	DDIT3	 
PAK1	 	kinase	 	 	2.71E-02	7.60E-02	F3	 
GNA11	 	enzyme	 	 	2.71E-02	7.60E-02	ADAMTS1	 
PPP1R15A	 	other	 	 	2.71E-02	7.60E-02	DDIT3	 
Cxcl3	 	cytokine	 	 	2.71E-02	7.60E-02	CEBPD	 
STK17B	 	kinase	 	 	2.71E-02	7.60E-02	BCL2L1	 
GADD45GIP1	 	other	 	 	2.71E-02	7.60E-02	DDIT3	 
SOCS2	1.304	other	 	 	2.71E-02	7.60E-02	PIM3	 
mir-155	 	microRNA	 	 	2.74E-02	7.66E-02	SOCS1,SOCS3	 
NLRX1	 	other	 	 	2.85E-02	7.94E-02	IRF1,NFKBIA	 
TLR7	 	transmembrane receptor	 	 	2.95E-02	8.16E-02	IRF1,NFKBIA,SOCS1	 
EBF1	 	transcription regulator	 	 	2.95E-02	8.16E-02	IRF1,SOCS1,SOCS3	 
GPS2	 	transcription regulator	 	 	2.96E-02	8.16E-02	RHOB,SOCS1	 
XBP1	 	transcription regulator	 	 	3.07E-02	8.35E-02	DDIT3,S1PR1	 
C3	 	peptidase	 	 	3.07E-02	8.35E-02	CSF1,UCP3	 
PTPN11	 	phosphatase	 	 	3.07E-02	8.35E-02	CSF1,Pln	 
EIF2AK3	 	kinase	 	 	3.14E-02	8.35E-02	DDIT3,KLF4,ZFP36	 
SMAD3	 	transcription regulator	 	 	3.14E-02	8.35E-02	CCN2,DDIT3,S1PR1	 
ATG7	 	enzyme	 	 	3.18E-02	8.35E-02	NFKBIA,SOCS3	 
SERCA	 	group	 	 	3.24E-02	8.35E-02	ZFP36	 
CCAR1	 	transcription regulator	 	 	3.24E-02	8.35E-02	CEBPD	 
PDCD10	 	other	 	 	3.24E-02	8.35E-02	KLF4	 
SAMD4A	 	translation regulator	 	 	3.24E-02	8.35E-02	UCP3	 
LYL1	 	transcription regulator	 	 	3.24E-02	8.35E-02	BCL2L1	 
F2R	 	G-protein coupled receptor	 	 	3.24E-02	8.35E-02	CCN2	 
miR-483-3p (miRNAs w/seed CACUCCU)	 	mature microRNA	 	 	3.24E-02	8.35E-02	SOCS3	 
PPM1B	 	phosphatase	 	 	3.24E-02	8.35E-02	CEBPD	 
IGFBP1	 	other	 	 	3.24E-02	8.35E-02	BCL2L1	 
PIAS4	 	transcription regulator	 	 	3.24E-02	8.35E-02	IRF1	 
PRKRA	 	other	 	 	3.24E-02	8.35E-02	IRF1	 
GADD45B	 	other	 	 	3.24E-02	8.35E-02	BCL2L1	 
BIRC2	 	enzyme	 	 	3.24E-02	8.35E-02	CSF1	 
GJA8	 	transporter	 	 	3.24E-02	8.35E-02	DDIT3	 
VIPR1	 	G-protein coupled receptor	 	 	3.24E-02	8.35E-02	IRF1	 
EFEMP2	 	other	 	 	3.24E-02	8.35E-02	CCN2	 
ARNTL	 	transcription regulator	 	 	3.30E-02	8.45E-02	DBP,PER2	 
SOX9	 	transcription regulator	 	 	3.30E-02	8.45E-02	ADAMTS1,CCN2	 
IGF1R	 	transmembrane receptor	 	 	3.38E-02	8.60E-02	ANKRD1,BCL2L1,DDIT3,UCP3	 
Tcf7	 	transcription regulator	 	 	3.38E-02	8.60E-02	CISH,SOCS2,SOCS3,TNFRSF19	 
PRKAG3	 	other	 	 	3.66E-02	9.02E-02	ANKRD1,GADD45G	 
SCD	 	enzyme	 	 	3.66E-02	9.02E-02	ANGPTL4,UCP3	 
Ccl2	 	cytokine	 	 	3.66E-02	9.02E-02	CSF1,KLF4	 
PRCP	 	peptidase	 	 	3.77E-02	9.02E-02	KLF4	 
PIMREG	 	other	 	 	3.77E-02	9.02E-02	SOCS3	 
EIF2A	 	translation regulator	 	 	3.77E-02	9.02E-02	DDIT3	 
SLC16A3	 	transporter	 	 	3.77E-02	9.02E-02	PFKFB3	 
SLC39A14	 	transporter	 	 	3.77E-02	9.02E-02	DDIT3	 
HNRNPR	 	other	 	 	3.77E-02	9.02E-02	PLK2	 
PSMB10	 	peptidase	 	 	3.77E-02	9.02E-02	NFKBIA	 
PTPRB	 	phosphatase	 	 	3.77E-02	9.02E-02	CCN2	 
TRPC1	 	ion channel	 	 	3.77E-02	9.02E-02	MYOD1	 
ING4	 	transcription regulator	 	 	3.77E-02	9.02E-02	NFKBIA	 
RPS6KB2	 	kinase	 	 	3.77E-02	9.02E-02	BCL2L1	 
FYB1	 	other	 	 	3.77E-02	9.02E-02	BCL2L1	 
TNFRSF12A	 	transmembrane receptor	 	 	3.77E-02	9.02E-02	MYOD1	 
PIWIL2	 	enzyme	 	 	3.77E-02	9.02E-02	BCL2L1	 
UBE2I	 	enzyme	 	 	3.77E-02	9.02E-02	CEBPD	 
DHH	 	peptidase	 	 	3.77E-02	9.02E-02	ADAMTS1	 
TFR2	 	transporter	 	 	3.77E-02	9.02E-02	BCL2L1	 
Gm26313	 	other	 	 	3.77E-02	9.02E-02	PLK2	 
DUSP1	 	phosphatase	 	 	3.78E-02	9.02E-02	SOCS1,ZFP36	 
STING1	 	other	 	 	3.90E-02	9.29E-02	DDIT3,IFI16	 
DNMT3A	 	enzyme	 	 	4.02E-02	9.53E-02	IRF1,PLK2,S1PR1	 
WNT3A	 	cytokine	 	 	4.03E-02	9.53E-02	KLF4,TNFRSF19	 
ACOX1	 	enzyme	 	 	4.24E-02	9.69E-02	ADAMTS1,DDIT3,FAM214A	 
STAT4	 	transcription regulator	 	 	4.28E-02	9.69E-02	BCL2L1,GADD45G	 
PARP1	 	enzyme	 	 	4.28E-02	9.69E-02	IRGM,SOCS1	 
CTNS	 	transporter	 	 	4.30E-02	9.69E-02	DDIT3	 
ADGRF5	 	G-protein coupled receptor	 	 	4.30E-02	9.69E-02	CSF1	 
TFAP2A	 	transcription regulator	 	 	4.30E-02	9.69E-02	KLF4	 
MST1	 	growth factor	 	 	4.30E-02	9.69E-02	CCN2	 
SLC7A5	 	transporter	 	 	4.30E-02	9.69E-02	DDIT3	 
TTN	 	kinase	 	 	4.30E-02	9.69E-02	Pln	 
STK4	 	kinase	 	 	4.30E-02	9.69E-02	NFKBIA	 
PTGDR	 	G-protein coupled receptor	 	 	4.30E-02	9.69E-02	IFI16	 
XIAP	 	enzyme	 	 	4.30E-02	9.69E-02	CSF1	 
BDKRB2	 	G-protein coupled receptor	 	 	4.30E-02	9.69E-02	CCN2	 
PIM2	 	kinase	 	 	4.30E-02	9.69E-02	SOCS1	 
ABL1	 	kinase	 	 	4.30E-02	9.69E-02	CSF1	 
TOPBP1	 	other	 	 	4.30E-02	9.69E-02	HIC1	 
Usp17la (includes others)	 	peptidase	 	 	4.30E-02	9.69E-02	KLF4	 
Hif1	 	complex	 	 	4.30E-02	9.69E-02	DDIT4	 
ZFP36	-0.770	transcription regulator	 	 	4.41E-02	9.91E-02	SOCS1,ZFP36	 
EOMES	 	transcription regulator	 	 	4.54E-02	1.01E-01	APLNR,RND3	 
TRAF3IP2	 	enzyme	 	 	4.54E-02	1.01E-01	CCN2,CSF1	 
MYB	 	transcription regulator	 	 	4.54E-02	1.01E-01	BCL2L1,SOCS2	 
PPP1R15B	 	phosphatase	 	 	4.82E-02	1.04E-01	DDIT3	 
ROCK2	 	kinase	 	 	4.82E-02	1.04E-01	MYOD1	 
UBD	 	other	 	 	4.82E-02	1.04E-01	UCP3	 
mir-148	 	microRNA	 	 	4.82E-02	1.04E-01	SOCS1	 
miR-27a-3p (and other miRNAs w/seed UCACAGU)	 	mature microRNA	 	 	4.82E-02	1.04E-01	IFI16	 
PIM1	 	kinase	 	 	4.82E-02	1.04E-01	SOCS1	 
INS	 	other	 	 	4.82E-02	1.04E-01	CCN2	 
MECOM	 	transcription regulator	 	 	4.82E-02	1.04E-01	GADD45G	 
CDON	 	other	 	 	4.82E-02	1.04E-01	CCN2	 
ANGPTL4	-2.268	other	 	 	4.82E-02	1.04E-01	DDIT3	 
Hmga2	 	enzyme	 	 	4.82E-02	1.04E-01	MYOD1	 
KLF13	 	transcription regulator	 	 	4.82E-02	1.04E-01	BCL2L1	 
CEBPA	 	transcription regulator	 	 	4.94E-02	1.06E-01	APLNR,CEBPD,G0S2	 
BCL6	 	transcription regulator	 	 	4.94E-02	1.06E-01	BCL2L1,CSF1,IRF1	 
DIO2	 	enzyme	 	 	4.94E-02	1.06E-01	DDIT4,GADD45G,SLC10A6	 
