© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
GLI1	 	transcription regulator	 	 	8.11E-03	9.18E-02	BCL2,CSF1,SOCS2,SOCS3	 
ITGB3	 	transmembrane receptor	 	-1.000	8.11E-03	9.18E-02	CSF1,RUNX1,SMAD3,TGFBR2	 
OGA	 	enzyme	Activated	2.496	8.16E-03	9.18E-02	BCL2,CASQ2,CAVIN2,CD53,GADD45G,GAS1,HPGDS,LEP,PRKG1,SOCS1,SOCS2,SOCS3,TNFRSF12A	 
METTL14	 	enzyme	 	 	8.61E-03	9.62E-02	ERN1,IGFBP5,THBS1	 
REL	 	transcription regulator	Activated	2.577	8.91E-03	9.89E-02	AHR,BACH2,BCL3,ESR1,MAFG,MAP3K8,MYC,NAB2,NFE2L2,NR4A3,NRARP,PLK2,VIM	 
CYP19A1	 	enzyme	 	-0.133	9.34E-03	1.03E-01	B3GNT5,BCL2,ESR1,FGF2,HOMER1,LEP,OSMR,PPARG	 
LGR4	 	transmembrane receptor	 	0.447	9.80E-03	1.07E-01	AHR,LEF1,MYC,SLC16A10,WNT5A	 
TCF12	 	transcription regulator	 	0.000	1.05E-02	1.08E-01	ID3,IL7R,LILRB4,MAF,PPARG,RARG	 
Ptprd	 	phosphatase	 	 	1.07E-02	1.08E-01	GADD45G,IGFBP5,MYC	 
PRLR	 	transmembrane receptor	 	 	1.07E-02	1.08E-01	FGF2,IGFBP5,LEP	 
Mir218	 	microRNA	 	 	1.07E-02	1.08E-01	LEF1,Tcf7	 
Hottip	 	other	 	 	1.07E-02	1.08E-01	SMAD3,TGFBR2	 
LGALS12	 	other	 	 	1.07E-02	1.08E-01	LEP,PPARG	 
ALDH3A2	 	enzyme	 	 	1.07E-02	1.08E-01	GCLM,HMOX1	 
MC3R	 	G-protein coupled receptor	 	 	1.07E-02	1.08E-01	HMOX1,LEP	 
HTR2C	 	G-protein coupled receptor	 	 	1.07E-02	1.08E-01	LEP,PPARG	 
LMO4	 	transcription regulator	 	 	1.07E-02	1.08E-01	PPARG,PPARGC1A	 
STAU1	 	transporter	 	 	1.07E-02	1.08E-01	MEF2C,MYC	 
YAP/TAZ	 	group	 	 	1.07E-02	1.08E-01	HSPA1A/HSPA1B,HSPB1	 
SOCS2	0.869	other	 	 	1.07E-02	1.08E-01	GHR,PPARG	 
FOXP3	 	transcription regulator	 	 	1.13E-02	1.13E-01	BCL2,CSF1,DUSP4,IKZF2,IKZF4,IL7R,MAF,NR4A3,PPARG,SOCS2	 
TAF4	 	transcription regulator	 	 	1.21E-02	1.20E-01	BCL6,GAS1,GAS5,MAFF,MAFK,PPARGC1A,RUNX1,THBS1	 
SPI1	 	transcription regulator	 	1.982	1.25E-02	1.23E-01	BCL6,CD180,CD79B,CIITA,IKZF1,IL7R,LEF1,MEF2C,PTPRC,TLR2	 
PRKAA2	 	kinase	 	0.213	1.25E-02	1.23E-01	BCL2,ERN1,LEP,NFIB,PPARGC1A,SMAD3,SOCS3,VIM,ZNF462	 
IFNG	 	cytokine	Activated	2.357	1.26E-02	1.23E-01	AHR,BCL2,BCL3,BTG1,CIITA,CSF1,DAPK1,FGF2,HLA-DOB,HSPA1A/HSPA1B,ICOSLG/LOC102723996,IFI16,IL7R,IRF1,IRS2,ITPK1,MAP3K8,MYC,MYD88,PFKFB3,PPARG,SBNO2,SMAD3,SOCS1,SOCS3,TGFBR2,THBS1,TLR2	 
Vegf	 	group	 	0.342	1.26E-02	1.23E-01	ANGPTL7,CA4,LEF1,LEP,Mt2,PKDCC,PPARGC1A	 
mir-10	 	microRNA	 	 	1.30E-02	1.26E-01	MYD88,SYVN1,TGFBR2	 
IFNLR1	 	transmembrane receptor	 	 	1.33E-02	1.28E-01	ATF3,CSF1,MYC,THBS1,TLR2	 
CEBPA	 	transcription regulator	 	0.244	1.34E-02	1.28E-01	G0S2,GAS1,IER3,IRS2,LEP,MYC,PPARG,PPARGC1A,RGL1,SERPINE1,THBS1	 
BTNL2	 	transmembrane receptor	 	-0.378	1.35E-02	1.29E-01	Hspa1b,IKZF2,RALGDS,RRAGD,SELL,TMEM64,TNFRSF1B	 
Alpha catenin	 	group	Inhibited	-2.343	1.40E-02	1.32E-01	ADAMTS1,BCL3,IL2RG,IRF1,S100A9,SGK1,SOCS3,TNFRSF12A,VIM	 
ASXL1	 	transcription regulator	Inhibited	-2.000	1.41E-02	1.32E-01	ENO2,G0S2,PPARG,SERPINE1	 
EGR1	 	transcription regulator	 	1.968	1.45E-02	1.35E-01	F3,FTL,HMOX1,LEP,MYC,SERPINE1,SOCS1	 
EZR	 	other	 	 	1.56E-02	1.41E-01	ATF3,DDIT4,EIF4EBP1	 
FAT1	 	other	 	 	1.57E-02	1.41E-01	PRRX1,VIM	 
PNPLA8	 	enzyme	 	 	1.57E-02	1.41E-01	HMOX1,Mt1	 
WNT7A	 	cytokine	 	 	1.57E-02	1.41E-01	ESR1,WNT5A	 
PIAS4	 	transcription regulator	 	 	1.57E-02	1.41E-01	IRF1,LEF1	 
BIRC2	 	enzyme	 	 	1.57E-02	1.41E-01	CSF1,MAP3K14	 
ATF5	 	transcription regulator	 	 	1.57E-02	1.41E-01	EIF4EBP1,GAS5	 
IL2RG	3.023	transmembrane receptor	 	0.254	1.58E-02	1.41E-01	ABCG1,ARHGAP45,BCL2,BCL6,IL7R,RHOH	 
YY1	 	transcription regulator	 	-1.890	1.58E-02	1.41E-01	ANKRD1,ARID3A,ARID3B,BTLA,CIITA,DDIT4,DNMT3A,GADD45G,ICOSLG/LOC102723996,ID3,IGFBP5,MAT2A,PNRC2,VAV1	 
IRF9	 	transcription regulator	Inhibited	-2.000	1.59E-02	1.41E-01	CIITA,IRF1,SOCS1,SOCS3	 
ZNF106	 	other	Inhibited	-2.236	1.61E-02	1.42E-01	ALAS2,GPNMB,HSPB1,SERPINA3,TNFRSF12A	 
PML	 	transcription regulator	 	-1.937	1.65E-02	1.44E-01	FTL,GCLM,HMOX1,HSPB1,LEP,NFE2L2,PPARGC1A	 
HDAC2	-0.559	transcription regulator	 	-1.400	1.65E-02	1.44E-01	BCL6,CAVIN2,CDT1,ESR1,GABARAPL1,MYC,S100A9	 
STAT5B	 	transcription regulator	 	-0.466	1.76E-02	1.51E-01	ABCD2,ALAS2,BAIAP2,BCL2,BCL6,CISH,CYP4A11,DAPK1,G0S2,GADD45B,PDZRN3,RAB30,RO60,SOCS2	 
NCOA1	 	transcription regulator	 	-0.392	1.76E-02	1.51E-01	Calm1 (includes others),FGF2,LEP,MYC,NFIB,PPARG,RARB	 
PLG	 	peptidase	 	1.067	1.76E-02	1.51E-01	CSF1,MFGE8,RALA,SERPINE1,VAV1	 
IRS1	 	enzyme	 	0.185	1.81E-02	1.55E-01	GAS5,HMOX1,IRS2,LEP,MEF2C,PPARG,PPARGC1A,Tcf7,WNT5A	 
MYB	 	transcription regulator	 	1.969	1.83E-02	1.55E-01	BCL2,IL7R,PRAG1,RGCC,SLC1A5,SOCS2	 
FUT8	 	enzyme	 	 	1.85E-02	1.55E-01	GAS1,HCCS,NFE2L2	 
XDH	 	enzyme	 	 	1.85E-02	1.55E-01	PPARG,SERPINE1,VIM	 
VEGFB	 	growth factor	 	 	1.85E-02	1.55E-01	ATF3,CA4,PPARGC1A	 
PTPN1	 	phosphatase	 	-1.069	1.93E-02	1.60E-01	ARID5A,IRS2,LEP,PPARGC1A,SOCS1	 
POR	0.797	enzyme	 	-0.152	2.00E-02	1.63E-01	AHR,CIITA,CYP4A11,GADD45B,HMOX1,Mt1,PFKFB3,PGD,POR,PPARG,RAB30,SERPINA3	 
CAV1	 	transmembrane receptor	 	1.103	2.04E-02	1.63E-01	BLOC1S6,ESR1,LEP,NR3C2,SERPINE1,SLC20A1,SLC7A2,THBS1	 
IL6	 	cytokine	 	0.898	2.08E-02	1.63E-01	ANGPT1,BCL2,BCL6,CXCL13,IL7R,LEP,MAF,MYC,PPARG,SERPINA3,SOCS3,TNFRSF1B	 
NFATC2	 	transcription regulator	 	1.912	2.10E-02	1.63E-01	CD83,CXCR5,IER3,IRF1,MAF,PLK2,PPARG,SOCS1,SOCS3,TLR2	 
ADAM10	 	peptidase	 	 	2.12E-02	1.63E-01	CSF1,DTNA,GADD45G,ICOSLG/LOC102723996,MEF2C,Pln,S100A9	 
FTO	 	enzyme	 	 	2.15E-02	1.63E-01	HSPA1A/HSPA1B,LEP	 
SULT2B1	 	enzyme	 	 	2.15E-02	1.63E-01	BCL2,MYC	 
HNRNPR	 	other	 	 	2.15E-02	1.63E-01	PLK2,THBS1	 
PDE6B	 	enzyme	 	 	2.15E-02	1.63E-01	HMOX1,NFE2L2	 
SNTA1	 	other	 	 	2.15E-02	1.63E-01	AQP4,DTNA	 
PLA2G1B	 	enzyme	 	 	2.15E-02	1.63E-01	LEP,PPARG	 
PROC	 	peptidase	 	 	2.15E-02	1.63E-01	SERPINE1,THBD	 
FERMT1	 	other	 	 	2.15E-02	1.63E-01	LEF1,WNT5A	 
PON1	 	phosphatase	 	 	2.15E-02	1.63E-01	HMOX1,PPARG	 
EPO	 	cytokine	 	 	2.15E-02	1.63E-01	SOCS3,TFRC	 
CCDC80	 	other	 	 	2.15E-02	1.63E-01	LEP,PPARG	 
ENPP2	 	enzyme	 	 	2.15E-02	1.63E-01	LEP,PPARG	 
CAMKK2	 	kinase	 	 	2.15E-02	1.63E-01	LEP,PPARGC1A	 
Gm26313	 	other	 	 	2.15E-02	1.63E-01	PLK2,THBS1	 
OPA1	 	enzyme	 	 	2.17E-02	1.63E-01	MYD88,S100A9,TLR2	 
COMMD1	 	transporter	 	 	2.17E-02	1.63E-01	DDIT4,PFKFB3,TFRC	 
PKD1	 	ion channel	 	-1.596	2.21E-02	1.65E-01	CPEB3,EIF4EBP1,HDAC9,LARP4B,MYC,P2RX7,PDCL,PKNOX2,PPRC1,PRKCB,RGS3,RPS6KA5,SEMA4C	 
ALDH1A2	 	enzyme	 	-1.969	2.22E-02	1.65E-01	ATF3,CSF1,FGF2,RARB	 
STAT2	 	transcription regulator	 	 	2.22E-02	1.65E-01	CIITA,IRF1,SOCS1,SOCS3	 
PI3K (complex)	 	complex	 	0.970	2.25E-02	1.67E-01	DDIT4,GCLM,HMOX1,IL7R,LEF1,MYC,NFE2L2	 
ADRB	 	group	 	-0.853	2.31E-02	1.70E-01	AACS,ANKRD1,ATF3,CAVIN2,DDIT4,GCLM,HMOX1,PPARGC1A,SRXN1	 
MYD88	0.880	other	Activated	2.729	2.32E-02	1.70E-01	BCL3,CXCL13,DNMT3A,IGFBP5,IRF1,MAFF,MYC,SERPINE1,SLC7A2,SOCS1,SOCS3,TLR2,ZC3H12A,ZC3H12C	 
PTEN	 	phosphatase	 	-1.693	2.40E-02	1.76E-01	ANGPT1,ATF3,BCL2,CA8,CXCL13,ESR1,ETV3,F3,GPR160,MYC,PFKFB3,PPARG,PPARGC1A,PRKCB,PTPRC,RUNX1,SOCS3,SOX4,TGFBR2,UBIAD1	 
IRS2	0.907	enzyme	 	-1.451	2.46E-02	1.76E-01	HMOX1,LEP,PPARG,PPARGC1A	 
GPS2	 	transcription regulator	 	-1.342	2.47E-02	1.76E-01	ALAS2,RGL1,SGK1,SHISA5,SOCS1	 
CALR	 	transcription regulator	 	 	2.51E-02	1.76E-01	Calm1 (includes others),CASQ2,MEF2C	 
SMO	 	G-protein coupled receptor	 	 	2.51E-02	1.76E-01	BCL2,PPARG,SOX18	 
GATA3	 	transcription regulator	 	0.368	2.64E-02	1.76E-01	AGPAT5,BCL2,Hrnr,PPARG,RGCC,S100A9,SPIB,Tcf7	 
CCN2	 	growth factor	 	1.387	2.67E-02	1.76E-01	ADAMTS1,CAVIN2,MYC,SERPINE1,SOX4	 
CRBN	 	enzyme	 	 	2.81E-02	1.76E-01	LEP,MYC	 
TTN	 	kinase	 	 	2.81E-02	1.76E-01	Calm1 (includes others),Pln	 
mir-221	 	microRNA	 	 	2.81E-02	1.76E-01	ESR1,MAF	 
RGS19	 	enzyme	 	 	2.81E-02	1.76E-01	MEF2C,MYC	 
DKK1	 	growth factor	 	 	2.81E-02	1.76E-01	LEF1,MYC	 
ZBTB32	 	transcription regulator	 	 	2.81E-02	1.76E-01	CIITA,FANCC	 
GPC1	 	transmembrane receptor	 	 	2.81E-02	1.76E-01	EFNA1,PTK2B	 
PARP2	 	enzyme	 	 	2.81E-02	1.76E-01	LEP,PPARG	 
SERPINE1	1.369	other	 	-0.555	2.88E-02	1.76E-01	ANKRD1,BCL6,FGF2,IER3,TGFBR2	 
MEIS2	 	transcription regulator	 	 	2.88E-02	1.76E-01	BCL2,ID3,WNT5A	 
MGLL	 	enzyme	 	 	2.88E-02	1.76E-01	LEP,PPARG,PPARGC1A	 
ENG	 	transmembrane receptor	 	 	2.88E-02	1.76E-01	SERPINE1,TGFBR2,THBS1	 
SAMSN1	 	other	Activated	2.646	2.98E-02	1.76E-01	ARID5A,IRF1,RGCC,SAP30,SOCS1,SOCS3,ZC3H12A	 
SOCS3	2.681	phosphatase	 	-0.790	2.99E-02	1.76E-01	IRS2,LEP,PPARGC1A,SOCS3	 
DRD2	 	G-protein coupled receptor	 	1.000	2.99E-02	1.76E-01	ITGB6,SERPINE1,TGFBR2,THBS1	 
PAK2	 	kinase	 	-1.000	2.99E-02	1.76E-01	ID3,IFI16,IGFBP5,LDLRAP1	 
KMT2A	 	transcription regulator	 	1.633	3.12E-02	1.76E-01	ABCD2,BCL2,MYC,MYCT1,TRIB1,ZFAND2A	 
DMD	 	other	 	 	3.21E-02	1.76E-01	ANKRD1,AQP4,ARHGAP20,CLIP4,GALNT17,GSDME,KY,MEF2C,NQO2,PPARGC1A,PPP1R14C,SCHIP1,VIM	 
IL21	 	cytokine	 	-0.577	3.27E-02	1.76E-01	BCL2,BCL6,IL7R,SOCS3	 
TXNRD1	 	enzyme	 	-1.982	3.27E-02	1.76E-01	HMOX1,MOCOS,PGD,SRXN1	 
GSR	 	enzyme	Inhibited	-2.000	3.27E-02	1.76E-01	HMOX1,MOCOS,PGD,SRXN1	 
ALOX5	 	enzyme	 	 	3.28E-02	1.76E-01	LEP,MYD88,SOCS1	 
let-7	 	microRNA	 	 	3.28E-02	1.76E-01	IRS2,MYC,THBS1	 
VAV3	 	cytokine	 	 	3.28E-02	1.76E-01	BCL2,RALA,VIM	 
PAX7	 	transcription regulator	 	1.117	3.32E-02	1.76E-01	AHR,ID3,PKIA,PPARG,PRRX1,RASA3	 
CCND1	 	transcription regulator	 	0.000	3.33E-02	1.76E-01	ID3,ITGB6,PPARG,PTPRC,SOX4	 
PLC	 	group	 	 	3.39E-02	1.76E-01	MYC	 
Mitochondrial complex 1	 	complex	 	 	3.39E-02	1.76E-01	PPARGC1A	 
MRAP2	 	other	 	 	3.39E-02	1.76E-01	LEP	 
Ces1b/Ces1c	 	enzyme	 	 	3.39E-02	1.76E-01	GHR	 
Tug1	 	other	 	 	3.39E-02	1.76E-01	PPARGC1A	 
Hoxaas3	 	other	 	 	3.39E-02	1.76E-01	RUNX1	 
ZMIZ1	 	transcription regulator	 	 	3.39E-02	1.76E-01	SERPINE1	 
FBXO11	 	enzyme	 	 	3.39E-02	1.76E-01	BCL6	 
H2BW2	 	other	 	 	3.39E-02	1.76E-01	DNMT3A	 
SIRT7	1.055	enzyme	 	 	3.39E-02	1.76E-01	PPARG	 
CLPX	 	enzyme	 	 	3.39E-02	1.76E-01	ALAS2	 
BBS2	 	other	 	 	3.39E-02	1.76E-01	LEP	 
Ctf2	 	cytokine	 	 	3.39E-02	1.76E-01	SOCS3	 
RAI1	 	other	 	 	3.39E-02	1.76E-01	LEP	 
SP6	 	transcription regulator	 	 	3.39E-02	1.76E-01	LEF1	 
2810408I11Rik	 	other	 	 	3.39E-02	1.76E-01	CCNYL1	 
SAMD4B	1.058	other	 	 	3.39E-02	1.76E-01	NANOS1	 
MKKS	 	other	 	 	3.39E-02	1.76E-01	LEP	 
SLC39A4	 	transporter	 	 	3.39E-02	1.76E-01	Mt1	 
PNRC2	-0.539	other	 	 	3.39E-02	1.76E-01	LEP	 
Myosin2	 	complex	 	 	3.39E-02	1.76E-01	PPARG	 
DLAT	 	enzyme	 	 	3.39E-02	1.76E-01	CISH	 
NECTIN3	 	other	 	 	3.39E-02	1.76E-01	Pvr	 
PYY	 	other	 	 	3.39E-02	1.76E-01	LEP	 
RBMS1	 	other	 	 	3.39E-02	1.76E-01	MYC	 
OSTN	 	other	 	 	3.39E-02	1.76E-01	PPARGC1A	 
EHD4	0.613	enzyme	 	 	3.39E-02	1.76E-01	EHD1	 
MAT2B	 	enzyme	 	 	3.39E-02	1.76E-01	HMOX1	 
NEK1	 	kinase	 	 	3.39E-02	1.76E-01	RIPK1	 
PTP4A3	 	phosphatase	 	 	3.39E-02	1.76E-01	MYC	 
CAMKK1	 	kinase	 	 	3.39E-02	1.76E-01	FBXW7	 
PAPPA	 	peptidase	 	 	3.39E-02	1.76E-01	IGFBP5	 
RBBP4	 	enzyme	 	 	3.39E-02	1.76E-01	MYC	 
BPTF	 	transcription regulator	 	 	3.39E-02	1.76E-01	MYC	 
DAB2IP	 	other	 	 	3.39E-02	1.76E-01	VIM	 
miR-10a-5p (and other miRNAs w/seed ACCCUGU)	 	mature microRNA	 	 	3.39E-02	1.76E-01	TGFBR2	 
miR-142-5p (and other miRNAs w/seed AUAAAGU)	 	mature microRNA	 	 	3.39E-02	1.76E-01	TGFBR2	 
miR-450b-5p (miRNAs w/seed UUUGCAG)	 	mature microRNA	 	 	3.39E-02	1.76E-01	RUNX1	 
mir-450	 	microRNA	 	 	3.39E-02	1.76E-01	RUNX1	 
PLSCR3	 	enzyme	 	 	3.39E-02	1.76E-01	LEP	 
SOS2	 	other	 	 	3.39E-02	1.76E-01	SELL	 
SMARCA1	 	transcription regulator	 	 	3.39E-02	1.76E-01	MYC	 
PUS1	 	enzyme	 	 	3.39E-02	1.76E-01	RARB	 
Scd2	 	enzyme	 	 	3.39E-02	1.76E-01	PPARG	 
HUNK	 	kinase	 	 	3.39E-02	1.76E-01	MYC	 
AHNAK	 	other	 	 	3.39E-02	1.76E-01	MYC	 
KHDRBS1	 	transcription regulator	 	 	3.39E-02	1.76E-01	LEP	 
DNAJA3	 	other	 	 	3.39E-02	1.76E-01	BCL2	 
SOS1	 	other	 	 	3.39E-02	1.76E-01	SELL	 
MAT2A	-0.602	enzyme	 	 	3.39E-02	1.76E-01	HMOX1	 
CA2	 	enzyme	 	 	3.39E-02	1.76E-01	CA4	 
HOXB4	 	transcription regulator	 	 	3.39E-02	1.76E-01	RARB	 
HNRNPL	 	other	 	 	3.39E-02	1.76E-01	PTPRC	 
CREB5	 	transcription regulator	 	 	3.39E-02	1.76E-01	PPARG	 
ACSS1	 	enzyme	 	 	3.39E-02	1.76E-01	LEP	 
GNG3	 	enzyme	 	 	3.39E-02	1.76E-01	LEP	 
MED17	 	transcription regulator	 	 	3.39E-02	1.76E-01	RARB	 
Rbfox3	 	other	 	 	3.39E-02	1.76E-01	RBFOX2	 
PTPRCAP	 	other	 	 	3.39E-02	1.76E-01	PTPRC	 
Ifnz (includes others)	 	cytokine	 	 	3.39E-02	1.76E-01	IRF1	 
UBE2D2	 	enzyme	 	 	3.39E-02	1.76E-01	ESR1	 
NOTCH1	 	transcription regulator	 	1.713	3.52E-02	1.79E-01	BCL2,IL7R,LEF1,MYC,PPARG,TGFBR2	 
Hsp90	 	group	 	 	3.53E-02	1.79E-01	HSPA1A/HSPA1B,ZFAND2A	 
SIK3	 	kinase	 	 	3.53E-02	1.79E-01	LEP,PPARGC1A	 
SYVN1	0.829	transporter	 	 	3.53E-02	1.79E-01	ERN1,NFE2L2	 
Mup1 (includes others)	 	other	 	 	3.53E-02	1.79E-01	PPARG,PPARGC1A	 
MECOM	 	transcription regulator	 	 	3.53E-02	1.79E-01	GADD45G,MAP3K14	 
AEBP1	 	peptidase	 	 	3.53E-02	1.79E-01	ABCG1,PPARG	 
E2F3	 	transcription regulator	 	 	3.57E-02	1.80E-01	FGF2,ID3,LEP,SERPINE1	 
CD36	 	transmembrane receptor	 	0.000	3.57E-02	1.80E-01	LEP,Pln,PPARG,PPARGC1A	 
MDM2	 	transcription regulator	 	 	3.70E-02	1.86E-01	ATF3,BCL2,SERPINE1	 
ESRRB	 	transcription regulator	 	 	3.70E-02	1.86E-01	Hspa1b,MEF2C,Pitpnc1	 
PPARD	 	ligand-dependent nuclear receptor	 	1.233	3.78E-02	1.89E-01	BCL2,LPIN2,MFGE8,PPARG,PPARGC1A,PRKAG3,RASGRP1,Snhg5,TCEA3,THBS1,TNFRSF12A	 
IFN Beta	 	group	 	1.387	3.82E-02	1.91E-01	GAS5,IFI16,IRF1,SERPINE1,THBS1	 
TIMP3	 	other	Inhibited	-2.000	3.89E-02	1.93E-01	ITGB6,SERPINE1,TGFBR2,THBS1	 
Histone h3	 	group	 	 	4.00E-02	1.98E-01	ABCD2,CA4,GHR,IKZF4,NRARP,PPARG,PPARGC1A,RARB,S100A9,SELL,SOCS3,SYPL2,TRIB1	 
DUSP1	 	phosphatase	 	-1.342	4.08E-02	2.01E-01	AACS,IER3,S100A9,SERPINE1,SOCS1	 
ELL2	0.601	transcription regulator	 	0.000	4.08E-02	2.01E-01	CNST,LMAN1,MYC,SLC66A3,TRIB1	 
LCAT	 	enzyme	 	 	4.15E-02	2.04E-01	MYC,PPARG,PPARGC1A	 
TNFRSF1A	 	transmembrane receptor	Activated	2.155	4.20E-02	2.05E-01	GHR,IER3,P2RX7,SELL,SERPINE1,SOCS3,TFRC,THBD	 
AMPK	 	complex	 	 	4.22E-02	2.05E-01	CIITA,DUSP4,PPARGC1A,VIM	 
miR-204-5p (and other miRNAs w/seed UCCCUUU)	 	mature microRNA	 	-1.091	4.22E-02	2.05E-01	BCL2,MYC,SMAD3,TGFBR2	 
NOS2	 	enzyme	 	1.938	4.31E-02	2.05E-01	BCL2,CD53,HMGB2,IRS2,LEP,LILRB4,PPARGC1A,SERPINA3,SLC1A5,Tcf7	 
BIRC3	 	enzyme	 	 	4.31E-02	2.05E-01	CSF1,MAP3K14	 
ANKRD17	 	other	 	 	4.31E-02	2.05E-01	ARID5A,SOCS3	 
PARP14	 	enzyme	 	 	4.31E-02	2.05E-01	F3,ID3	 
SGPL1	 	enzyme	 	 	4.31E-02	2.05E-01	BCL2,PPARG	 
SRD5A2	 	enzyme	 	 	4.31E-02	2.05E-01	IRS2,Mt1	 
FBN1	 	other	 	 	4.31E-02	2.05E-01	PPARG,SERPINE1	 
IL18R1	 	transmembrane receptor	 	 	4.31E-02	2.05E-01	SOCS1,SOCS3	 
HOXA4	 	transcription regulator	 	 	4.31E-02	2.05E-01	ANKRD1,MYC	 
IKBKG	 	kinase	 	1.348	4.38E-02	2.07E-01	CSF1,IFI16,Mt1,Mt2,PPARG,SGK1,SOCS3,TNFRSF1B	 
ARNT	 	transcription regulator	 	 	4.41E-02	2.08E-01	BCL2,GAS1,IRS2,MYO1C,SELL,VIM	 
LCK	 	kinase	 	1.000	4.57E-02	2.14E-01	CISH,GADD45B,MYC,RPS27L	 
miR-30c-5p (and other miRNAs w/seed GUAAACA)	 	mature microRNA	 	-1.980	4.57E-02	2.14E-01	IRS2,LOXL4,PPARG,TGFBR2	 
NR1H3	 	ligand-dependent nuclear receptor	 	1.246	4.58E-02	2.14E-01	ABCG1,ARL4C,ATF3,LY86,MFGE8,MID1IP1,Mt1,Mt2,PPARGC1A,SLC16A10,SOCS1,TRIB1	 
NR4A3	3.211	ligand-dependent nuclear receptor	 	 	4.63E-02	2.14E-01	IKZF4,PDP1,PPARGC1A	 
TNFAIP3	 	enzyme	 	 	4.63E-02	2.14E-01	BCL2,CSF1,TFRC	 
SFRP1	 	transmembrane receptor	 	 	4.63E-02	2.14E-01	SERPINE1,Tcf7,VIM	 
CD14	 	transmembrane receptor	 	 	4.63E-02	2.14E-01	CISH,SOCS1,SOCS3	 
VAV2	 	transcription regulator	 	 	4.63E-02	2.14E-01	BCL2,RALA,VIM	 
Irgm1	 	other	 	-1.909	4.68E-02	2.15E-01	Apol11b (includes others),CXCL13,ID3,IFI16,IRF1,LILRB4,TLR2	 
STAT3	 	transcription regulator	 	0.294	4.87E-02	2.23E-01	BCL3,BCL6,CIITA,IFI16,IGFBP5,IKZF2,IRF1,MYC,PPARGC1A,RUNX1,SERPINA3,SERPINE1,SOCS1,SOCS3,TNFRSF1B	 
SOCS1	3.613	other	Inhibited	-2.414	4.90E-02	2.24E-01	CISH,Gvin1 (includes others),IFI16,IRF1,IRS2,SOCS3	 
Il3	 	cytokine	 	 	4.93E-02	2.25E-01	CISH,CSF1,RO60,SOCS1,TNFRSF1B	 
IL6ST	 	transmembrane receptor	 	 	4.94E-02	2.25E-01	MAF,MYC,SOCS1,TNFRSF1B	 
APOE	 	transporter	 	-1.830	5.05E-02	2.28E-01	APOD,ATF3,CSF1,F3,HMOX1,Hspa1b,LEP,PPARG,PRKCB,S100A9,SERPINA3,SERPINE1,SOCS3	 
ZBTB10	 	other	Activated	2.927	5.48E-02	2.28E-01	ARID5A,CD83,CD8A,IFI16,IRF1,MAP3K14,MYD88,NR4A3,SERPINE1	 
PRKAA1	 	kinase	 	1.800	5.60E-02	2.28E-01	ATF3,BCL2,NFIB,PPARGC1A,SMAD3,SOCS3,ZNF462	 
GHR	-0.654	transmembrane receptor	 	-1.987	6.12E-02	2.28E-01	GHR,IGFBP5,LEP,PPARG	 
mir-21	 	microRNA	Inhibited	-2.137	6.27E-02	2.28E-01	CD180,GAS5,Gvin1 (includes others),ICOSLG/LOC102723996,IFI16,IRF1,TGFBR2,TLR2	 
SMAD3	-1.123	transcription regulator	Activated	2.408	6.27E-02	2.28E-01	BCL2,DUSP4,ESR1,MYC,PPARGC1A,S1PR4,SERPINE1,VIM	 
CYP1A2	 	enzyme	Activated	2.000	6.54E-02	2.28E-01	ACOT11,Mt1,Mt2,SOCS2	 
CYP1B1	 	enzyme	Activated	2.000	6.54E-02	2.28E-01	ACOT11,Mt1,Mt2,SOCS2	 
CD40	 	transmembrane receptor	 	1.886	6.57E-02	2.28E-01	BCL2,ERN1,ICOSLG/LOC102723996,MYC,SELL,SYVN1	 
APC	 	enzyme	Inhibited	-2.156	6.62E-02	2.28E-01	ID3,IGFBP5,MYC,PCDH15,PRKCB,Tcf7,TNFRSF12A	 
BHLHE40	 	transcription regulator	 	-1.890	8.04E-02	2.55E-01	C1orf21,CXCR5,IFI16,LEF1,PPP2R3A,SELL,Tcf7	 
UCP1	 	transporter	Activated	2.333	8.17E-02	2.58E-01	ANKRD1,EIF4EBP1,ERN1,ESRRG,MYC,OTUB2,PGD,Snhg12,XPR1	 
CSF2	 	cytokine	 	1.915	8.43E-02	2.65E-01	ABCG1,CD180,CIITA,CISH,LEP,MYC,OSMR,PPARG,TLR2,TNFRSF1B	 
TNFRSF1B	1.303	transmembrane receptor	 	1.891	9.73E-02	2.65E-01	CXCL13,P2RX7,SELL,SERPINE1,SOCS3	 
CTCF	 	transcription regulator	Inhibited	-2.000	1.02E-01	2.66E-01	CD83,MYC,SGK1,TLR2,TNFRSF12A	 
CHUK	 	kinase	 	1.937	1.14E-01	2.90E-01	CSF1,IFI16,Mt1,Mt2,SGK1,SOCS3,TNFRSF1B	 
TLR2	1.411	transmembrane receptor	Activated	2.425	1.14E-01	2.90E-01	ATF3,CISH,IRF1,LEP,MYD88,SOCS1,SOCS3	 
HSF1	 	transcription regulator	 	1.940	1.16E-01	2.93E-01	DNAJB1,HSPA1A/HSPA1B,Hspa1b,HSPB1,PPARG,PPARGC1A	 
