© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
CDKN2A	 	transcription regulator	 	0.423	2.17E-04	6.04E-03	CCND1,CDKN1A,CEBPB,CEBPD,Cxcl11,CXCL13,EFNA1,EGR1,GADD45G,IFI35,IL1B,PSMB9,TNF,TNFRSF1A,TNFRSF1B,TP53,VEGFA	201 (15)
ICAM1	1.133	transmembrane receptor	 	1.342	2.18E-04	6.04E-03	ICAM1,IL1B,SREBF1,TNF,VCAM1,VEGFA	172 (14)
XDH	 	enzyme	 	0.447	2.18E-04	6.04E-03	CCN2,CEBPA,CEBPB,IL1B,SERPINE1,TNF	 
mir-155	 	microRNA	 	-0.340	2.22E-04	6.07E-03	CEBPA,CEBPB,Cxcl11,DNAJB1,IL1B,PELI1,SOCS3,TNF,WEE1,ZNF652	128 (9)
OSMR	 	transmembrane receptor	 	0.000	2.30E-04	6.24E-03	BCL3,CISH,FASN,FOS,LRG1,PIM1,PSMB9,SOCS3,SREBF1,STAT3,ZFP36	137 (8)
STAT6	 	transcription regulator	 	-0.073	2.52E-04	6.76E-03	BCL3,CAMK1D,Ccdc50,Cd24a,Chil3/Chil4,CISH,CLDN2,EFHD2,EGR1,EPHA2,FASN,GADD45G,GBP3,IFI16,IL1B,IRAK3,IRS2,ISG15,LILRB4,NEDD1,NFIL3,NFKBIA,OASL,PDGFA,PDK4,PPARGC1A,STAT2,STAT5B,TMED8,TNF,XBP1,ZBP1,Zfp53,ZNF608,ZNF613	179 (15)
Histone h4	 	group	 	 	2.60E-04	6.91E-03	CCNE1,ESR1,FOS,HES1,IL1B,KALRN,SHANK2,SOCS3,SREBF1,STAT3,SYNPO,TNF	88 (5)
ATF4	 	transcription regulator	 	-0.748	2.68E-04	7.04E-03	ARHGAP24,CDKN1A,CEBPB,CTH,CYP7A1,DDIT4,FASN,GADD45A,HERPUD1,KLF9,MID1IP1,NDRG1,PCK1,Pmaip1,SLC38A2,SREBF1,VEGFA	131 (8)
EGR1	-3.022	transcription regulator	 	1.157	2.75E-04	7.15E-03	BACE1,CDKN1A,F3,GADD45A,ICAM1,IL1B,JUND,NDRG1,PDGFA,SERPINE1,TNF,TP53,VCAM1	157 (7)
NCOR1	 	transcription regulator	 	-1.633	2.91E-04	7.42E-03	BCL3,CEBPA,CYP7A1,DDX58,ELOVL3,FASN,ISG15,STAT2,ZBP1	 
PER2	1.872	transcription regulator	 	-0.152	2.96E-04	7.42E-03	CCND1,CCNE1,PER1,PER3	 
Irgm1	 	other	Inhibited	-2.559	3.04E-04	7.42E-03	Cxcl11,CXCL13,DDX58,ID2,ID3,IFI16,IFI35,IL1B,ISG15,LILRB4,OASL,TLR2,TNF,TRIM56,ZBP1	120 (9)
IFNG	 	cytokine	Activated	2.521	3.06E-04	7.42E-03	ACOD1,BCL3,BTG1,CCN2,CDKN1A,CEACAM1,CEBPA,CEBPB,CEBPD,CERS6,Chil3/Chil4,CSF1,Cxcl11,CXCR4,DUSP1,GBP3,GJA1,GJB2,GPR146,HCAR2,ICAM1,IFI16,IL1B,IRF5,IRS2,LCN2,MRC1,NFKBIA,PCK1,PIM1,PSMB9,RBCK1,RNF31,Saa3,SLC29A1,SMAGP,SOCS3,SREBF1,STAT2,STAT3,TAP1,TLR2,TNF,TNFRSF1A,TNFSF10,TP53,VCAM1,VEGFA,ZBTB16	180 (15)
NELFB	 	other	 	0.447	3.07E-04	7.42E-03	CCN2,CDKN1A,GADD45A,MKNK2,VEGFA	 
Igm	 	complex	 	 	3.11E-04	7.42E-03	CDKN1A,EGR1,PIM1,RBL2,TP53,XBP1	202 (15)
GJA1	-1.040	transporter	Activated	2.449	3.11E-04	7.42E-03	CCND1,CDKN1A,FOXO1,GJB2,IL1B,TNF	 
FMO3	 	enzyme	 	-0.816	3.11E-04	7.42E-03	FASN,FOXO1,G6PC,PDK4,PPARGC1A,SREBF1	 
ARRB1	 	transcription regulator	 	 	3.11E-04	7.42E-03	EGR1,F3,FASN,SCARB1,SERPINE1,TNF	139 (14)
Il3	 	cytokine	 	-0.697	3.71E-04	8.75E-03	CDKN1A,CISH,CSF1,FOS,LCN2,NFIL3,PIM1,PRTN3,TNFRSF1A,TNFRSF1B,TP53	261 (19)
STAT5a/b	 	group	 	1.664	3.78E-04	8.75E-03	AKT1,CAVIN2,Chil3/Chil4,CISH,CLEC1B,DUSP1,ID2,IRAG1,PIM1,SOCS3	 
STEAP3	 	transporter	 	0.632	3.78E-04	8.75E-03	ACER2,CCN2,Cd24a,CEBPB,ERRFI1,KLF15,S1PR1,TGM2,VEGFA,ZYX	 
PRKCB	 	kinase	 	0.943	4.29E-04	9.78E-03	CYP7A1,EGR1,FASN,FOS,IRS2,PPARGC1A,SREBF1	190 (13)
mir-193	 	microRNA	 	-1.633	4.34E-04	9.78E-03	FAT1,INF2,MYO1C,NPHS1,SYNPO,VEGFA	 
CSF1R	 	kinase	 	-0.896	4.34E-04	9.78E-03	CCND1,CD163,CSF1,FOS,MRC1,VCAM1	 
DDX58	0.592	enzyme	 	1.818	4.46E-04	9.98E-03	DDX58,DLL1,GBP3,IFI35,ISG15,Pmaip1,SOCS3,STAT2,TNF,TNFSF10	150 (12)
EPHX2	 	enzyme	 	-0.600	4.76E-04	1.05E-02	DLL1,HES1,ICAM1,IL1B,VCAM1	 
P2RY2	 	G-protein coupled receptor	 	0.447	4.76E-04	1.05E-02	CCND1,CDKN1A,NFE2L2,SESN2,VCAM1	 
Alpha catenin	 	group	 	-1.268	4.87E-04	1.06E-02	BCL3,IGFBP1,IL1B,LAMA4,NFKBIA,SAA1,Saa3,SGK1,SOCS3,STEAP4,TGM2,TNF,TNFAIP2,TSPAN8,VCAM1,ZYX	37 (3)
CREM	 	transcription regulator	 	-1.485	5.04E-04	1.09E-02	BHLHE40,BTG2,CEBPB,EGR1,ERRFI1,FOS,IRS2,MIDN,MKNK2,NAB2,NFIL3,PER1,TNF,VEGFA	 
ACKR2	 	G-protein coupled receptor	Inhibited	-2.333	5.17E-04	1.10E-02	ACOD1,ADAR,DDX58,IFI16,IL1B,ISG15,OASL,STAT2,TNF	 
PTK2	 	kinase	 	-0.570	5.17E-04	1.10E-02	ACTA1,CCND1,CDKN1A,FOS,GATA4,KRT18,OCLN,SERPINB1,VCAM1	195 (12)
ARNTL	-2.909	transcription regulator	 	1.593	5.25E-04	1.10E-02	CCNG2,CEBPA,DBP,FASN,IL1B,NFE2L2,PER1,PER2,PER3,SREBF1	25 (2)
SIRT1	 	transcription regulator	 	-0.319	5.25E-04	1.10E-02	ADAR,CCND1,CEBPB,CYP2B6,DBP,DDX58,FOXO1,G6PC,GABARAPL1,GADD45A,GATA4,GBP3,HJURP,IL1B,KALRN,LAMA4,PANK3,PCK1,PDK4,Pmaip1,PPARGC1A,PSMB9,RGS16,RTP4,SDS,SHANK2,SLC29A1,STAT3,SYNPO,TAP1,TBC1D8,TNF	170 (14)
THRB	 	ligand-dependent nuclear receptor	 	-0.620	5.39E-04	1.12E-02	AKT1,BCL3,BTG2,CCND1,CCNE1,Cxcl11,CYP7A1,DDC,FASN,FOS,FZD7,G6PC,GDI1,HEXIM1,NCOR2,PER1,STAT5B,TLR2,TNF,TNFSF10,TP53,WNT5B	197 (18)
SNAI1	 	transcription regulator	 	0.000	5.52E-04	1.13E-02	CCN2,CCND1,CCNE1,CDK2,CDKN1A,CLDN3,SLC29A1	26 (3)
SOCS3	1.794	phosphatase	Activated	2.021	5.63E-04	1.14E-02	FOS,G6PC,IL1B,IRS2,PCK1,PPARGC1A,SOCS3,TNF	206 (18)
CSK	 	kinase	 	0.762	5.66E-04	1.14E-02	CLEC1B,FGR,IL1B,TNF	157 (9)
mir-21	 	microRNA	 	-1.414	5.89E-04	1.18E-02	ARNTL,BTG2,CDKN1A,DBP,GAS5,GBP3,IFI16,MARCO,NPAS2,Orm1 (includes others),PER2,PER3,STAT2,TAP1,TGM1,TLR2,TNF	129 (9)
ROCK1	 	kinase	 	-0.128	5.90E-04	1.18E-02	ACTA1,CCN2,CCND1,ICAM1,LAMA4,VCAM1	 
YAP1	 	transcription regulator	 	0.493	6.18E-04	1.22E-02	ACTG1,AKT1,CAVIN2,CCN2,CCND1,EGR1,GADD45A,MYH9,SERPINE1	21 (2)
IL10	 	cytokine	Inhibited	-2.694	6.21E-04	1.22E-02	APCS,BCL3,CD163,Cd24a,CDKN1A,Chil3/Chil4,ICAM1,IL13RA1,IL1B,INHBA,LIPA,MRC1,SCARB1,SOCS3,THPO,TLR2,TLR8,TNF,TNFRSF1A,TNFSF10,VCAM1,VEGFA,ZFP36	132 (13)
IL2	 	cytokine	 	0.518	6.25E-04	1.22E-02	CDKN1A,CISH,CSF1,Gm4956,GPLD1,IFT80,IKZF4,IL1B,LILRB4,MYO1E,NDRG1,NRP1,PELI1,PTPN3,RNF128,SOCS3,STAT5B,TLR2,TNF,TNFRSF1A,TNFRSF1B	206 (16)
TNFRSF1A	0.956	transmembrane receptor	 	1.696	6.56E-04	1.24E-02	APCS,BACE1,CCN2,ICAM1,IL1B,LCN2,PDGFA,PIM1,SAA1,Saa3,SERPINE1,SOCS3,TNF,TNFRSF1A,VCAM1,VEGFA	146 (13)
PI3K (complex)	 	complex	 	1.002	6.64E-04	1.24E-02	CCND1,CCNE1,CYP7A1,DDIT4,DUSP1,GCLC,IL1B,NFE2L2,RFX4,SREBF1,TGM2,TNF,TP53	191 (13)
EIF2AK1	 	kinase	 	 	6.67E-04	1.24E-02	Hamp/Hamp2,IL1B,TNF	 
F2RL3	 	G-protein coupled receptor	 	 	6.67E-04	1.24E-02	EGR1,FOS,TNF	60 (6)
ELK3	 	transcription regulator	 	 	6.67E-04	1.24E-02	EGR1,FOS,SERPINE1	 
RRM2B	 	enzyme	 	 	6.67E-04	1.24E-02	CDKN1A,Pmaip1,TP53INP1	130 (6)
FOXO1	-0.849	transcription regulator	 	-1.024	6.82E-04	1.25E-02	CCND1,CDKN1A,CYP7A1,FABP5,FASN,FOS,FOXO1,FOXP4,G6PC,GABARAPL1,IGFBP1,IRF5,IRS2,MRPS2,NR1H4,PCK1,PDK4,PPARGC1A,Prg4,S1PR1,SERPINB1,SESN3,STAT2,STAT5B,VCAM1	131 (9)
SREBF1	1.474	transcription regulator	 	0.736	6.89E-04	1.25E-02	CDKN1A,FASN,G6PC,IRS2,NFIL3,PCK1,SERPINE1,SREBF1	 
Ifnar	 	group	Activated	2.268	7.04E-04	1.25E-02	DDX58,IFI16,IFI35,IL1B,ISG15,OASL,PSMB9,STAT2,TAP1,TLR2,TNF,TNFSF10,VCAM1,ZBP1	126 (11)
Ptprd	 	phosphatase	 	0.447	7.07E-04	1.25E-02	CDKN1A,CEBPD,GADD45G,IFI35,PSMB9	100 (6)
RETN	 	other	 	1.154	7.07E-04	1.25E-02	G6PC,SOCS3,STAT3,TNF,TP53	 
Cyp2c70	 	enzyme	 	0.246	7.07E-04	1.25E-02	CYP7A1,IL1B,NR1I2,PPARGC1A,TNF	 
NFKBIB	 	transcription regulator	 	 	7.07E-04	1.25E-02	IL1B,NFKBIA,TNF,TNFSF10,TP53INP1	133 (9)
HNF4A	 	transcription regulator	 	-0.657	7.32E-04	1.29E-02	ACMSD,ACSS2,AQP8,CCND1,CDKN1A,CEACAM1,CLDN1,CLDN2,Crb3,Cyp2b13/Cyp2b9,CYP7A1,EFNA1,EGR1,G6PC,GJB2,GPLD1,Hamp/Hamp2,HNF1B,HOOK3,INHBA,NR1H4,NR1I2,OCLN,PCK1,PDK4,SCARB1,SGSH,SRSF3,SYBU,SYNPO,XBP1,ZFP36	 
P38 MAPK	 	group	Activated	2.134	7.70E-04	1.34E-02	CCND1,CCNE1,CDKN1A,CEBPA,DUSP1,EGR1,FOS,IL1B,SERPINE1,SOCS3,TNF,TNFRSF1A	177 (17)
S100A8	 	other	 	-1.264	7.88E-04	1.37E-02	ICAM1,IL1B,NFKBIA,Saa3,TNF,VCAM1	34 (3)
LEPR	 	transmembrane receptor	 	0.511	8.35E-04	1.44E-02	ANGPTL4,BTG1,CDK2,FASN,GADD45G,GATA4,ID2,IRS2,LCN2,PPARGC1A,SCARB1,SERPINE1,SOCS3,SREBF1,STAT2,STAT3,TNF,TP53INP1,TSC22D3	156 (15)
PPARD	 	ligand-dependent nuclear receptor	 	-0.416	8.46E-04	1.45E-02	ANGPTL4,C11orf86,CCND1,CYP2B6,FASN,GAS6,ICAM1,IL1B,INHBE,LGALS4,LPIN2,MFSD2A,PDK4,PER3,PPARGC1A,ST3GAL5,STBD1,Tlr12,TLR5,TNF,TP53	112 (6)
GNAS	 	enzyme	 	-1.744	8.69E-04	1.47E-02	ARL4D,CDK2,CEBPA,FASN,FOS,FOSL2,G6PC,NRP1,PPARGC1A	101 (6)
SCARB1	-0.711	transporter	 	-1.912	8.79E-04	1.47E-02	DDIT4,FASN,FOXO1,IL1B,SREBF1,TNF,VCAM1	221 (16)
TERC	 	other	 	 	8.79E-04	1.47E-02	ALAD,ARNTL,CDKN1A,CRY1,Cyp2b13/Cyp2b9,EGR1,Orm1 (includes others)	 
RXRA	 	ligand-dependent nuclear receptor	 	-1.422	8.82E-04	1.47E-02	CCND1,CEBPA,CYP2B6,CYP7A1,FASN,GAS6,GCLC,HNF1B,IL1B,LCN2,MARCO,PDGFA,SREBF1,TNF,WEE1	 
DUSP1	-0.952	phosphatase	 	-0.645	9.66E-04	1.59E-02	AACS,DUSP1,ELOVL3,IL1B,MRC1,PNRC1,SERPINE1,SYNPO,TNF,ZFP36	187 (16)
Gcg	 	other	Inhibited	-3.162	9.66E-04	1.59E-02	CTH,ETNPPL,FABP5,GAS2,HAL,Hamp/Hamp2,MFSD2A,SDS,SLC25A51,SLC7A2	 
HSPA9	 	other	 	-1.000	9.74E-04	1.59E-02	CDKN1A,FOXO1,HES1,SESN2	 
IRAK4	0.646	kinase	 	 	9.97E-04	1.62E-02	BTG2,EGR1,ERRFI1,FOS,IL1B,IRF5,NFKBIA,RGS16,SLC25A25,TNF,ZFP36	209 (17)
MEX3A	 	other	Activated	2.828	1.01E-03	1.62E-02	ANGPTL4,CCND1,FZD7,NRP1,PCK1,PDK4,PPARGC1A,TUBA1A	 
MMP2	 	peptidase	 	 	1.01E-03	1.62E-02	ACTA1,CEBPB,IL1B,INSIG2,PDK4,PPARGC1A,SCARB1,TNF	 
TRPV4	 	ion channel	 	1.016	1.03E-03	1.64E-02	FOS,PPARGC1A,Saa3,SOCS3,TLR2,VCAM1	 
HDAC1	 	transcription regulator	 	-1.432	1.04E-03	1.65E-02	CAVIN2,CCNE1,CDKN1A,CEBPA,DENND2B,DHFR,E2F2,EGR1,GABARAPL1,NFKBIA,PCK1,POLE4,PPARGC1A,SGK1,SLC35D1,TGM2,TP53,TSC22D3	 
TLR2	1.682	transmembrane receptor	 	0.752	1.05E-03	1.65E-02	CDKN1A,Chil3/Chil4,CISH,DUSP1,FOS,FOXO1,GADD45A,GBP3,GJA1,ICAM1,IL1B,IRAK4,SOCS3,TNF,TNFSF10,TP53	239 (19)
HSF1	 	transcription regulator	 	-1.265	1.07E-03	1.67E-02	CCN2,CCNE1,CEBPB,DNAJB1,FASN,ICAM1,IL1B,LAMA4,MSH3,PPARGC1A,SREBF1,STAG2,TNF,VCAM1	140 (13)
RGS2	 	enzyme	 	-1.604	1.07E-03	1.67E-02	BTG2,CEBPD,Crb3,Cxcl11,EFNA1,ERRFI1,GJA1,Hmgn2 (includes others),MARCO,MFSD2A,MKNK2,RCAN1,SCARB1,SREBF1	 
IL12A	 	cytokine	 	1.849	1.09E-03	1.69E-02	ICAM1,IL1B,SOCS3,STAT2,STAT3,TNF,VCAM1	156 (12)
REL	 	transcription regulator	 	-0.143	1.21E-03	1.86E-02	ACSS2,ARFGAP3,ATXN1,BCL3,CCND1,CDKN1A,DCLRE1B,DDX18,DHFR,ESR1,EVI5,FRMD4B,ICAM1,IRF5,NAB2,NFE2L2,PLK2,SLC22A15,STAT3,STAT5B,TNF	 
RETNLB	 	other	 	1.155	1.24E-03	1.89E-02	AKT1,BMP1,CCN2,IL13RA1,IL1B,KLF15,LMNB1,MID1,PLA2G15,Saa3,STOM,TLR2	 
CAV1	 	transmembrane receptor	 	0.133	1.31E-03	1.99E-02	ACVRL1,CCND1,CCNE1,CDKN1A,ESR1,FGB,ICAM1,INHBA,KRT18,SERPINE1,SLC20A1,SLC7A2,TXNL4A,VCAM1	140 (11)
GAS2L3	 	other	 	0.555	1.40E-03	2.09E-02	BTG2,CDKN1A,PLK2,SLC19A2,TP53	 
ONECUT1	 	transcription regulator	 	-0.152	1.40E-03	2.09E-02	CYP7A1,FASN,G6PC,HNF1B,NR1I2	 
VCP	 	enzyme	 	 	1.40E-03	2.09E-02	HERPUD1,LMNB1,SYNE1,TMPO,VCAM1	 
DYSF	 	other	 	 	1.44E-03	2.13E-02	ABRACL,ACTG1,Ctla2a/Ctla2b,DNAJB1,ELOVL3,ERRFI1,FASN,GABARAPL1,IFI16,LILRB4,MRC1,SREBF1,TMEM50B	 
PARP14	 	enzyme	 	-0.068	1.55E-03	2.25E-02	F3,ID3,ISG15,PIM1	 
mir-15	 	microRNA	 	-0.124	1.55E-03	2.25E-02	CCND1,CCNE1,IL1B,Rnf125	 
LCP2	 	other	 	 	1.55E-03	2.25E-02	ID3,NRP1,THPO,ZBTB16	 
SMAD4	 	transcription regulator	 	-1.579	1.55E-03	2.25E-02	CCND1,CDKN1A,CNMD,GJA1,ICAM1,ID2,IL1B,IRAK3,KLF15,NFKBIA,SMAD6,TNF	101 (7)
TPPP2	 	other	 	 	1.60E-03	2.26E-02	CDKN1A,RCAN1,TP53	 
Cxcl3	 	cytokine	 	 	1.60E-03	2.26E-02	CEBPA,CEBPB,CEBPD	 
Muc1	 	transmembrane receptor	 	 	1.60E-03	2.26E-02	CCND1,PDGFA,TNF	 
RECK	 	other	 	 	1.60E-03	2.26E-02	CCND1,CDKN1A,TP53	 
SMAD3	 	transcription regulator	 	-0.332	1.62E-03	2.28E-02	CCN2,CCND1,CDKN1A,ESR1,FOS,FOXO1,G6PC,HP,IL1B,JUND,Orm1 (includes others),POLE4,PPARGC1A,S1PR1,SERPINE1,TNF	165 (18)
TNFAIP3	 	enzyme	 	-1.725	1.69E-03	2.37E-02	CSF1,ICAM1,IL1B,NFKBIA,TNF,VCAM1	178 (15)
PLIN5	 	other	 	0.600	1.70E-03	2.37E-02	FASN,GCLC,IL1B,NFE2L2,PDK4,PPARGC1A,SREBF1,TNF	106 (9)
SLC13A1	 	transporter	 	-1.387	1.76E-03	2.44E-02	ACTG1,ANKS4B,AQP8,ARRDC2,BYSL,CD163,CLPX,Cyp2b13/Cyp2b9,GALE,KLF9,PCK1,TUBA1C,XBP1	 
BCL6	 	transcription regulator	Inhibited	-2.254	1.80E-03	2.48E-02	ACAT2,ADCY9,BCL3,CSF1,GABARAPL1,GABPB1,IL13RA1,IL1B,LPIN1,MCM3AP,MRC1,Pmaip1,RNASEL,RWDD3,SLC39A8,STAT3,TNF,TP53	150 (14)
NR4A2	 	ligand-dependent nuclear receptor	 	-0.523	1.87E-03	2.55E-02	DDC,GPLD1,IKZF4,LILRB4,PITX3,SESN3,SLC39A8,TSC22D3,ZBP1	 
ATG7	 	enzyme	Inhibited	-2.158	1.87E-03	2.55E-02	IL1B,MARCO,NFKBIA,SCARB1,SOCS3,SREBF1,TNF,TNFRSF1A,TP53	169 (14)
INSIG1	 	other	 	-0.528	1.95E-03	2.63E-02	AACS,ACSS2,CXCL13,CXCR4,FABP5,FASN,LCN2,LIPA,LPIN1,MARCO,MRC1,SCARB1,SREBF1	 
CYP1A1	 	enzyme	 	1.265	1.95E-03	2.63E-02	CCND1,CYP2B6,DAG1,ETHE1,MARCO,MID1,ODC1,PWP1,RGS16,SHANK2,ST3GAL4,TMPO,WEE1	 
26s Proteasome	 	complex	 	-1.664	1.98E-03	2.66E-02	Chil3/Chil4,DDX58,FOXO1,GAS5,Pmaip1,SOCS3,TP53	86 (5)
IFNLR1	 	transmembrane receptor	 	 	2.00E-03	2.67E-02	CSF1,Cxcl11,IL1B,ISG15,OASL,TLR2,TNF,TNFAIP2	 
ZC3H12A	 	enzyme	 	-0.970	2.12E-03	2.79E-02	CEBPA,CEBPB,CEBPD,IL1B,TNF,TNFRSF1B	88 (11)
BCAP31	 	transporter	 	-1.709	2.12E-03	2.79E-02	G6PC,IL1B,SAA1,SREBF1,TNF,XBP1	28 (3)
NPC1	 	transporter	 	0.579	2.14E-03	2.79E-02	ARNTL,CCND1,CHKA,CYP7A1,EGR1,LIPA,MYLIP,PLIN4,SREBF1,STAT3,TNF,XBP1	160 (7)
LIF	 	cytokine	 	1.134	2.14E-03	2.79E-02	CCNE1,CEBPB,IL1B,KLF10,PELI1,PTPN1,RGS4,SOCS3,STAT3,TNF,TP53,XBP1	148 (12)
GPD1	 	enzyme	 	 	2.15E-03	2.79E-02	C11orf86,CCND1,CPNE8,CXCL13,Cyp2b13/Cyp2b9,CYP2B6,ELOVL3,GADD45A,Hamp/Hamp2,KRT23,NOL3,SERPINB1,SUCNR1	 
SMAD1	 	transcription regulator	 	 	2.33E-03	2.99E-02	Hamp/Hamp2,PDGFA,SMAD6,VEGFA	 
NFIC	 	transcription regulator	 	 	2.33E-03	2.99E-02	CCND1,CDKN1A,PDGFA,TP53	 
PLAU	 	peptidase	 	1.510	2.34E-03	2.99E-02	CCND1,Chil3/Chil4,F3,GJA1,IL1B,PIM3,SERPINB1,TNF	 
AGER	 	transmembrane receptor	 	1.031	2.37E-03	3.02E-02	CDKN1A,EGR1,IL1B,SERPINE1,TNF,TP53,VEGFA	217 (16)
PTEN	 	phosphatase	 	0.279	2.38E-03	3.02E-02	AKT1,BMP1,BTG2,CA8,CCND1,CCNE1,CDKN1A,CEBPA,CEBPB,CELSR1,CLDN1,CXCL13,ESR1,ETS2,F3,FASN,FOS,FOXO1,GPR146,IL1B,MME,MRC1,PIM1,PITX3,PPARGC1A,PTPRK,SLC35D1,SOCS3,SREBF1,STAT3,TNF,TP53,VCAM1,VEGFA	226 (18)
KAT2A	 	enzyme	Activated	2.333	2.46E-03	3.11E-02	AKT1,CCND1,E2F2,FABP5,G6PC,GCLC,HNRNPD,PCK1,XPO1	 
FOXF1	 	transcription regulator	 	0.277	2.51E-03	3.12E-02	CCND1,CCNE1,CDK2,CDKN1A,VCAM1	 
IFI16	-1.257	transcription regulator	 	1.400	2.51E-03	3.12E-02	DHFR,ID2,IL1B,ISG15,TNF	80 (7)
IRF6	 	transcription regulator	 	1.387	2.51E-03	3.12E-02	Chil3/Chil4,MRC1,PPARGC1A,RCAN1,SCARB1	 
LEP	 	growth factor	 	1.757	2.55E-03	3.15E-02	ANGPTL4,CCND1,CDKN1A,Chil3/Chil4,CYP7A1,F3,FASN,FOS,G6PC,GCLC,ICAM1,IL1B,LIPA,MLX,PPARGC1A,PTPN1,Saa3,SERPINE1,SOCS3,SREBF1,STAT3,STEAP4,TNF,TP53,VCAM1,VEGFA	139 (15)
UCP1	 	transporter	 	0.077	2.60E-03	3.18E-02	Cd24a,CTH,DDX58,ESRRG,GADD45A,GOT1,Hmgn2 (includes others),IL1B,ODC1,OTUB2,PCK1,PSD3,RNASEL,SLC41A1,SRM,STAP2,STBD1,TNF	 
SLC25A13	 	transporter	 	 	2.60E-03	3.18E-02	C11orf86,CCND1,CPNE8,CXCL13,Cyp2b13/Cyp2b9,CYP2B6,ELOVL3,GADD45A,Hamp/Hamp2,KRT23,NOL3,SERPINB1,SUCNR1	 
EIF4EBP1	 	translation regulator	 	1.483	2.63E-03	3.20E-02	CEBPA,CEBPB,CEBPD,EGR1,NFIL3,PPARGC1A	100 (6)
ZBTB10	 	other	Activated	2.792	2.63E-03	3.20E-02	ACOD1,DDX58,GBP3,IFI16,IL1B,ISG15,OASL,PARP9,RTP4,SERPINE1,STAT2,TKFC,TNF,TNFRSF1A,Treml4,ZBP1,ZBTB20	 
SQSTM1	 	transcription regulator	 	-0.216	2.72E-03	3.28E-02	Cxcl11,CYP2B6,GCLC,IL1B,NFE2L2,NFKBIA,PLK2,TNF	95 (7)
SOX2	 	transcription regulator	 	0.194	2.73E-03	3.28E-02	ABTB2,BHLHE40,CCN2,CCND1,CHRD,CXCR4,CYP2J2,DDC,DLL1,ETS2,FOXO4,GAL3ST1,GATA4,ID3,KRT18,L3MBTL3,LIMA1,MFSD2A,POLE4,RASGEF1B,RCAN1,RNF43,S1PR5,SGK2,SOX13,TBX3,TEC,TMEM100	 
MAPK9	 	kinase	 	0.864	2.74E-03	3.28E-02	BMP1,CDKN1A,CEBPB,Cxcl11,EGR1,FOS,FOSL2,GADD45A,IL1B,JUND,TNF,TP53,ZFP36,ZYX	222 (18)
MTOR	 	kinase	 	-0.218	2.90E-03	3.33E-02	CCND1,CCNE1,CEBPA,CEBPB,DAG1,DDIT4,DUSP1,FABP5,Hamp/Hamp2,IL1B,PIM1,PPARGC1A,SERPINB1,SOCS3,STAT3,TLR5,TMCC1,TNF,TP53	144 (12)
MED1	 	transcription regulator	 	0.863	2.91E-03	3.33E-02	CCND1,CCNE1,CDK2,CEBPA,CYP2B6,CYP7A1,FASN,FOXO1,GADD45A,IGFBP1,POLE4,TBX3	26 (2)
KLF4	 	transcription regulator	 	-0.090	2.91E-03	3.33E-02	CDKN1A,Chil3/Chil4,GADD45A,GATA4,GJB2,KLHL24,PFDN4,POLE4,RCAN1,SCARB1,TBX3,TP53	 
MIR17HG	 	other	 	-1.182	2.99E-03	3.33E-02	CCND1,CCNE1,CELSR1,DCHS1,DLL1,FNDC3B,HEG1,IKZF4,LRP6,NCOR2,PTPRK,RNF111,SMAD6,TBX3	 
PPARGC1A	-1.036	transcription regulator	Inhibited	-2.049	3.04E-03	3.33E-02	ANG,ARNTL,CEBPB,CEBPD,CYP7A1,FASN,G6PC,INHBA,IRS2,LIPA,LPIN1,MAP2K6,PCK1,PDK4,PPARGC1A,Saa3,SLC25A25,SOCS3,SREBF1,TNF,VEGFA	 
SERCA	 	group	 	 	3.06E-03	3.33E-02	BTG2,EGR1,ZFP36	 
F2R	 	G-protein coupled receptor	 	 	3.06E-03	3.33E-02	CCN2,EGR1,FOS	60 (6)
CHEK2	 	kinase	 	 	3.06E-03	3.33E-02	CDKN1A,Pmaip1,TP53	 
JARID2	 	transcription regulator	 	 	3.06E-03	3.33E-02	CCND1,CCNE1,CDKN1A	 
BIRC2	 	enzyme	 	 	3.06E-03	3.33E-02	CCNE1,CSF1,TNF	172 (11)
RGCC	 	other	 	 	3.06E-03	3.33E-02	FASN,IL1B,SREBF1	 
SMAD5	 	transcription regulator	 	 	3.06E-03	3.33E-02	Hamp/Hamp2,PDGFA,VEGFA	 
MSK1/2	 	group	 	 	3.12E-03	3.33E-02	DUSP1,FOS	 
DCAF1	 	kinase	 	 	3.12E-03	3.33E-02	CDKN1A,Pmaip1	 
IKKA/B	 	group	 	 	3.12E-03	3.33E-02	IL1B,TNF	 
E2F5	 	transcription regulator	 	 	3.12E-03	3.33E-02	DHFR,SERPINE1	 
FGR	1.465	kinase	 	 	3.12E-03	3.33E-02	FGR,TNF	 
CTSG	 	peptidase	 	 	3.12E-03	3.33E-02	IL1B,TNF	 
TWIST2	 	transcription regulator	 	 	3.12E-03	3.33E-02	IL1B,TNF	 
SLC7A11	 	transporter	 	 	3.12E-03	3.33E-02	IL1B,TNF	 
CUL1	 	enzyme	 	 	3.12E-03	3.33E-02	CCNE1,TP53	 
PAGR1	 	other	 	 	3.12E-03	3.33E-02	CEBPB,CEBPD	86 (7)
ITPR3	 	ion channel	 	 	3.12E-03	3.33E-02	G6PC,PCK1	 
