© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
SLC27A1	 	transporter	 	 	4.37E-02	1.84E-01	PPARG	 
PLAGL1	 	transcription regulator	 	 	4.37E-02	1.84E-01	PPARG	 
IL22RA1	 	transmembrane receptor	 	 	4.37E-02	1.84E-01	NOS2	 
PTGDS	 	enzyme	 	 	4.37E-02	1.84E-01	DUSP4	 
TBXT	 	transcription regulator	 	 	4.37E-02	1.84E-01	KDR	 
COL1A2	 	other	 	 	4.37E-02	1.84E-01	SERPINE1	 
ADAM15	 	peptidase	 	 	4.37E-02	1.84E-01	KDR	 
Irs4	 	other	 	 	4.37E-02	1.84E-01	IRS2	 
NDP	 	growth factor	 	 	4.37E-02	1.84E-01	Mt1	 
SMAD6	 	transcription regulator	 	 	4.37E-02	1.84E-01	NOS2	 
MAPK8	 	kinase	 	1.980	4.46E-02	1.86E-01	CAT,FOSL1,HMOX1,PPARGC1B	 
HSP90B1	 	other	 	 	4.50E-02	1.86E-01	NOS2,TLR4	 
SRD5A1	 	enzyme	 	 	4.50E-02	1.86E-01	IRS2,Mt1	 
COP1	 	enzyme	 	 	4.50E-02	1.86E-01	GPNMB,IFI16	 
TAF4	 	transcription regulator	 	 	4.62E-02	1.91E-01	MAFF,MAFK,MAP3K6,THBS1	 
PPARD	 	ligand-dependent nuclear receptor	 	1.274	4.72E-02	1.94E-01	LPIN2,NOS2,NUDT18,PPARG,PRKAG3,THBS1	 
MAPK14	 	kinase	 	1.108	4.77E-02	1.96E-01	CAT,DNMT3A,NOS2,PPARGC1B	 
CD14	 	transmembrane receptor	 	 	4.86E-02	1.98E-01	CISH,SOCS3	 
ITGB3	 	transmembrane receptor	 	 	4.86E-02	1.98E-01	KDR,SMAD3	 
PTGER2	 	G-protein coupled receptor	 	0.000	4.93E-02	1.99E-01	AURKA,KIF22,NOS2,THBS1	 
IFNG	 	cytokine	 	-0.077	4.95E-02	1.99E-01	FAM107A,FGF2,FOSB,IFI16,IRS2,ITPK1,NCALD,NOS2,PPARG,SMAD3,SOCS3,THBS1,TLR4	 
ACOX1	 	enzyme	Inhibited	-2.236	5.87E-02	2.01E-01	ACER2,CAT,IMPACT,NFE2L2,SLC20A1	 
ZBTB10	 	other	Activated	2.159	6.16E-02	2.08E-01	ARID5A,IFI16,MAP3K14,NR4A3,SERPINE1	 
NRAS	 	enzyme	 	-1.982	6.87E-02	2.19E-01	CXXC5,IFI16,PKIA,TMEM43	 
UCP1	 	transporter	Activated	2.236	8.07E-02	2.31E-01	GOLM1,GREM2,OTUB2,Snhg12,XPR1	 
SOX2	 	transcription regulator	Inhibited	-2.621	1.31E-01	2.73E-01	GAB2,KDR,MIF4GD,PARD6B,PPARG,TET1,TTYH2	 
