© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
MTTP	 	transporter	 	-1.092	8.53E-06	3.51E-04	ABCG5,ABCG8,APOA4,CCL3L3,CIDEC,CPT1A,CXCL3,ERN1,GOT1,TNF,XBP1	14 (2)
PML	-0.685	transcription regulator	 	-0.945	8.63E-06	3.51E-04	ACADL,ACADM,CDKN1A,CEBPE,CPT1A,HADHB,HMGCS1,HMOX1,HSPB1,ID2,IDI1,IL1B,LIPC,NDRG1,NSFL1C,SREBF1,TXN2,YWHAG	267 (9)
APOE	 	transporter	 	-1.118	9.28E-06	3.72E-04	ABCA2,ABCG8,ACAT1,ATF3,CASP3,CCL3L3,CPT1A,CTSV,CXCL3,Cyb5r3,CYP7A1,CYP8B1,F2R,FKBP5,HABP2,HMOX1,HSP90AB1,Hspa1b,HSPD1,IL1A,IL1B,KLF4,MSR1,MYBBP1A,NPNT,PCSK9,PHLDA1,RCAN1,S100A8,SERPINE1,SOCS3,TIAM1,TNF,TNFRSF14,XBP1,ZYX	262 (14)
SREBF2	 	transcription regulator	 	-1.327	9.91E-06	3.90E-04	FADS2,FDFT1,HMGCS1,INSIG1,MVK,PTCH1,SC5D,SREBF1	 
GPD1	 	enzyme	 	 	1.03E-05	4.01E-04	ACLY,ACOT2,ALPL,Aox3,APOA4,C11orf86,C8A,Clec2e/Clec2h,CYP2C8,F11,FADS3,GADD45A,GSTA5,HAO1,Hsd3b4 (includes others),MTHFD1L,NOL3,NUDT7,SUCNR1,UGT2B17	 
TICAM1	0.739	other	 	1.563	1.06E-05	4.05E-04	Apol7e (includes others),BCL3,CCL3L3,CCRL2,Cxcl11,CXCL2,CXCL3,DUSP1,Ifi47,IL18,IL1A,IL1B,IRF1,MEFV,Mx2,NFKBIZ,PILRA,PSTPIP2,SAMHD1,SERPINE1,SOCS3,TNF,TNFAIP3,TNFSF10	276 (14)
NR1H4	 	ligand-dependent nuclear receptor	 	-0.721	1.27E-05	4.77E-04	ABCB11,ABCB4,ABCG5,ABCG8,ATP8B1,CYP2C8,CYP7A1,CYP8B1,FABP2,G6PC,GSTA3,Gsta4,GSTA5,GSTM1,Gstm3,GSTM5,HNF4A,IL1B,LIPC,Slco1a1,SREBF1,TNF	153 (8)
IRAK4	 	kinase	 	1.337	1.39E-05	5.15E-04	ATF3,CSRNP1,CXCL2,CXCL3,IL1B,IRF1,IRF5,MAP3K8,NFKBIZ,NR4A1,PHLDA1,RGS16,SLC25A25,TNF,TNFAIP3,ZFP36	326 (17)
HOXA10	 	transcription regulator	 	-0.447	1.44E-05	5.18E-04	ADM,ALPL,AQP1,CA3,CTSV,GSTA3,Gstt1,HLA-DQB1,ID1,INMT,KLF10,LEPR,MYCN,NR4A1,PEG3,PIK3R1,PROS1,SLC27A1,THBD,YWHAG	 
SLC25A13	 	transporter	 	 	1.44E-05	5.18E-04	ACLY,ACOT2,ALPL,Aox3,APOA4,C11orf86,C8A,Clec2e/Clec2h,CYP2C8,F11,FADS3,GADD45A,GSTA5,HAO1,Hsd3b4 (includes others),MTHFD1L,NOL3,NUDT7,SUCNR1,UGT2B17	 
PRDM1	 	transcription regulator	 	-1.709	1.62E-05	5.76E-04	ALPL,ARG2,CIITA,CLDN1,CXCL2,CXCL3,Cyp2d9 (includes others),Eci3,Gsta4,GSTA5,ID2,IL1A,IL1B,Keg1,MYC,NLRP12,SLC16A5,TNF,XBP1	46 (2)
SPARC	 	other	Activated	3.578	1.69E-05	5.91E-04	ACOT2,ARG2,ATM,BHLHE40,BLM,BRIP1,CHRNA2,CIART,CIDEC,CLDN1,CYP1A1,CYP8B1,FOXQ1,LOXL4,LYVE1,NDRG1,PER2,TRIM5,TSKU,USP2	 
HSF1	 	transcription regulator	Activated	2.922	1.98E-05	6.83E-04	ACADL,ACLY,AHSA1,BAG3,DNAJA1,DNAJB1,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,HSPA8,HSPB1,HSPD1,HSPE1,HSPH1,IL1B,INHBB,SREBF1,STIP1,TNF	 
POU2F1	 	transcription regulator	 	 	2.10E-05	7.14E-04	Aldh1a7,AOX1,ATM,COX10,DDIT4,DECR1,GAS5,GSTM1,GSTM5,Gstt1,IDH1,LY6E,SESN2,TNFRSF14	 
IL1B	3.971	cytokine	Activated	3.288	2.17E-05	7.28E-04	ABCB11,ATF3,CSRNP1,Cxcl11,CXCL2,CXCL3,DDIT4,FKBP5,GBP6,IL1A,IL1B,IRF1,MAP3K8,NFKBIZ,NR4A1,PHLDA1,RGS16,S100A8,SLC25A25,Slco1a1,SOCS3,SUCNR1,TNF,TNFAIP3,TXNIP,UAP1,ZFP36	255 (13)
EGR1	 	transcription regulator	 	1.491	2.36E-05	7.81E-04	CACNA2D4,CASP3,CCL3L3,CDKN1A,CXCL2,CXCL3,CYP17A1,GADD45A,HMOX1,IL1B,JUNB,MYC,NDRG1,PDGFC,PNPLA2,SERPINE1,TNF	 
SIGIRR	-0.579	transmembrane receptor	 	-1.620	2.70E-05	8.80E-04	CCL3L3,CXCL2,CXCL3,IL18,IL1A,IL1B,PITX3,TNF	43 (3)
CCL22	 	cytokine	 	-1.999	2.73E-05	8.80E-04	CCL3L3,CXCL2,CXCL3,TNF	 
NRIP1	 	transcription regulator	 	-0.661	2.82E-05	8.98E-04	ACO2,AIFM2,CYP4B1,GYS2,HADHB,IDH3A,IL1B,OPLAH,PPP1R3B,PYGL,SLC16A10,TNF	 
EIF2AK3	 	kinase	 	1.395	2.87E-05	9.03E-04	ABCF2,AMY2B,ARF4,ATF3,ATF5,ATP2A2,BET1L,CARS1,CBX4,CTSC,ERN1,GADD45A,KLF4,MYC,NDRG1,PNLIP,SIAH2,SLC1A4,TARS1,TRIB3,TXNIP,XBP1,ZFP36	 
MAP4K4	 	kinase	Inhibited	-2.025	3.00E-05	9.32E-04	ACLY,ACO2,ARAF,COX10,DHRS4,DLST,GOT1,HADHA,HADHB,HMGCL,HSD3B7,KYAT3,MAFB,MGLL,MLXIPL,NT5C2,OGDH,PEX11A,PLA2G12A,PTS,SREBF1,SUCLG1	 
CYP1A1	-1.406	enzyme	 	1.732	3.12E-05	9.57E-04	ACOT11,ARAF,CNN2,CYP17A1,CYP26A1,ETHE1,GAMT,GSTM2,Gstm3,IGFBP2,KRT19,LYAR,ODC1,PTP4A1,RGS16,SHANK2,SLC46A3,Slco1a1,WEE1	 
ITPR2	 	ion channel	Inhibited	-2.795	4.22E-05	1.28E-03	Bst2,G6PC,GBP6,Gm4951,HSPA8,Ifi47,Iigp1,Ly6a (includes others)	 
EP300	 	transcription regulator	 	-0.152	4.52E-05	1.35E-03	ARHGEF10L,BANK1,BCLAF1,CKB,CYP7A1,DHRS3,FRMD4B,GFRA1,GM2A,HDAC11,ID1,ID2,MAFG,MAP3K8,MFHAS1,MME,NDRG1,NPR1,POLE4,PTPRF,RGL1,Rnf125,RPS6KA1,SLC27A1,SOCS3,ST6GAL1,STOM,TNF,TNFAIP3,TRAF1,TSPAN31,TUBA8,ULK2,YPEL2	 
SQSTM1	 	transcription regulator	 	-0.792	4.70E-05	1.39E-03	ATM,CITED2,Cxcl11,CXCL2,GCLC,GSTM5,HMOX1,IL18,IL1B,IRF1,PLK2,TNF	321 (12)
PCK1	 	kinase	Inhibited	-2.449	4.78E-05	1.40E-03	ACADL,ACADM,CRAT,EHHADH,IL1B,TNF	 
MAPKAPK2	 	kinase	 	0.779	5.00E-05	1.44E-03	CCL3L3,CITED2,CXCL2,CXCL3,HSPB1,HSPB8,Iigp1,IL18,MSR1,PLA1A,STAT5A,TNF,ZFP36	110 (8)
MAP3K8	0.829	kinase	 	1.727	5.05E-05	1.44E-03	Apol7e (includes others),ARRDC3,CIITA,COBLL1,COLEC12,Cxcl11,CXCL2,CXCL3,DNAJC2,FLNB,IER3,IER5,IL18,IL1A,IL1B,IRF2BPL,JUNB,LAD1,SOCS3,STK17B,TICAM1,TNF,TSPAN33,TXNIP	221 (10)
MEF2D	 	transcription regulator	 	-0.902	5.31E-05	1.49E-03	BACH2,COL3A1,GCLC,GSTA3,Gsta4,GSTA5,HMOX1,JUNB,NR4A1,SRXN1,ZFP36	 
TLR9	 	transmembrane receptor	Activated	3.819	5.33E-05	1.49E-03	ADAMTS4,ARG2,ATF3,CCL3L3,CISH,CTH,CXCL2,CXCL3,DUSP1,GADD45B,HMOX1,IER3,IL18,IL1A,IL1B,LILRB4,MYC,NFKBIZ,NR4A1,ORMDL1,PHLDA1,S100A8,SERPINE1,SGMS2,SGPL1,SOCS3,TNF,UAP1	268 (15)
Esrra	 	transcription regulator	 	0.258	5.62E-05	1.55E-03	ACADL,ACADM,ACAT1,ALDOA,APOA4,CPT1A,CRAT,ECH1,ENO1,FABP2,GALM,GOT1,HSD3B1,IDH3A,IL1A,KCNQ1,LEPR,PPA1,PYGL,TNF	 
CYP1A2	-1.423	enzyme	 	1.732	5.99E-05	1.62E-03	ACOT11,CYP17A1,CYP26A1,ETHE1,GSTM2,Gstm3,IGFBP2,RGS16,SHANK2,SLC46A3,Slco1a1,WEE1	 
CYP1B1	 	enzyme	 	1.732	5.99E-05	1.62E-03	ACOT11,CYP17A1,CYP26A1,ETHE1,GSTM2,Gstm3,IGFBP2,RGS16,SHANK2,SLC46A3,Slco1a1,WEE1	 
FOXO1	 	transcription regulator	 	1.181	6.19E-05	1.65E-03	ABCB4,ACLY,AIFM2,BACH2,BANK1,BNIP3,CDKN1A,CPT1A,CYP7A1,ELOVL5,ENPEP,FLNB,FOXA2,G6PC,GRN,IGFBP1,IRF5,JUNB,KLF4,LRAT,MAVS,MLXIPL,MRPS2,MYC,MYCN,NDUFA8,NDUFAF1,NDUFAF4,PNPLA2,PRKCD,SESN3,STAT5B,TXNIP	98 (3)
DYSF	 	other	 	 	6.71E-05	1.77E-03	ACLY,ACTG1,APBA3,CD74,CD83,CTSV,DGAT1,DNAJB1,HLA-DQA1,HLA-DQB1,HSPA1A/HSPA1B,HSPB1,IDH3A,LILRB4,PROS1,PRPF4B,SREBF1,TMEM50B	 
TLR4	 	transmembrane receptor	Activated	3.058	7.81E-05	2.04E-03	ATF3,ATM,CCL3L3,CD14,CISH,CITED2,Cxcl11,CXCL2,CXCL3,HLA-DQA1,HMOX1,HNRNPU,Ifi47,Iigp1,IL18,IL1A,IL1B,IRF1,KDM6B,LILRB4,Mx2,NFKBID,NFKBIZ,NLRP3,ORMDL1,PLA1A,PLK2,PML,RGS16,SGMS2,SGPL1,SIGIRR,SOCS3,STAT5A,TNF,TNFAIP3,TNFSF10,TRAF1,TSPAN33,XBP1	184 (14)
ATF4	 	transcription regulator	 	0.416	9.14E-05	2.36E-03	ABCG5,ABCG8,APBA3,ATF3,ATF5,CARS1,CDKN1A,CPT1A,CTH,CYP7A1,DDIT4,GADD45A,HNF4A,IGFBP2,KLF4,NDRG1,NID2,PEG3,Pmaip1,SREBF1,TRIB3	 
E2F1	 	transcription regulator	 	-1.380	9.95E-05	2.55E-03	ACADL,ALPL,AMY2B,BNIP3,CASP3,CDK2,DHFR,DUSP1,FGFR2,GM2A,HES1,Hspa1b,ID3,IDH3A,INMT,MYC,NCL,PIK3R1,Pmaip1,SERPINE1,TP53BP2,XRCC1,ZFP36	 
MAPKAPK3	 	kinase	 	1.054	1.04E-04	2.64E-03	CCL3L3,CXCL2,CXCL3,HSPB1,HSPB8,TNF,ZFP36	 
PLIN5	1.122	other	 	-1.769	1.14E-04	2.83E-03	ACADL,ACADM,ACSM5,GCLC,GSTA5,HMOX1,IL1B,PNPLA2,POR,SREBF1,TNF	129 (8)
ABCB6	 	transporter	 	-1.980	1.14E-04	2.83E-03	CYP1A1,CYP1A2,Cyp2c23,Cyp2c40 (includes others),Cyp2c54 (includes others),Cyp2d9 (includes others),CYP2R1,Cyp3a25 (includes others),CYP4A11,CYP4B1,SLC25A39	 
PTPRJ	 	phosphatase	 	1.155	1.19E-04	2.91E-03	CCL3L3,CITED2,Cxcl11,CXCL2,CXCL3,Iigp1,IL18,IL1A,Mx2,NFKBIZ,PLA1A,TNF	194 (10)
Nr1h	 	group	Inhibited	-2.467	1.26E-04	3.07E-03	ACLY,ARG2,ATP1B1,BCL3,CCL3L3,Cxcl11,F2R,G6PC,IL1B,MED1,MLXIPL,Mx2,NFKBIZ,NLRP3,PML,PTCH1,RGN,SREBF1,TNF,ZBTB16	114 (10)
PTAFR	 	G-protein coupled receptor	Inhibited	-2.000	1.29E-04	3.10E-03	CCL3L3,CXCL2,IL1B,TNF	40 (4)
ESR1	 	ligand-dependent nuclear receptor	 	0.175	1.35E-04	3.23E-03	ABCB11,ABCG5,ABCG8,AQP1,ARRDC3,BMP2,CD74,CDKN1A,CYP17A1,CYP1A1,CYP4A11,Cyp4a14,CYP7A1,CYP8B1,Gsta4,HBA1/HBA2,Iigp1,IL1B,INHBB,INMT,IRF5,KATNAL1,LEPR,PSEN2,RDH16,Slco1a1,STAT5A,SULT1C2,Tmsb4x (includes others),TNF,TXNIP,UGT2B28,UGT2B7	181 (8)
IRF9	 	transcription regulator	 	-1.673	1.41E-04	3.33E-03	CIITA,GBP6,Ifi47,Iigp1,IL18,IL1A,IRF1,SOCS3,TNF	96 (7)
IFNLR1	 	transmembrane receptor	 	 	1.44E-04	3.38E-03	ATF3,CCL3L3,Ccl9,Cxcl11,CXCL2,CXCL3,IL1A,IL1B,MYC,TNF,TNFAIP3	 
TFRC	1.373	transporter	 	-1.732	1.47E-04	3.41E-03	ATF3,ATF5,BNIP3,CASP3,DDIT4,Gstm6,GSTT2/GSTT2B,HMOX1,LDHA,Pmaip1,SRXN1,XBP1	 
FGFR4	 	kinase	 	-1.408	1.60E-04	3.68E-03	ACLY,CDKN1A,CYP7A1,DGAT1,KDR,MLXIPL,SREBF1	144 (5)
SREBF1	-2.107	transcription regulator	 	0.922	1.70E-04	3.86E-03	ACLY,CDKN1A,DPY19L3,FADS2,G6PC,MAT1A,SC5D,SERPINE1,SREBF1,ULK2	15 (2)
NFATC2	 	transcription regulator	 	-0.280	1.75E-04	3.95E-03	ATM,CCL3L3,CD83,CITED2,Cxcl11,CXCL2,CXCL3,IER3,Iigp1,IL18,IL1A,IL1B,IRF1,KDM6B,Mx2,NFKBIZ,PLK2,PML,SOCS3,STAT5A,TNF,TRAF1,ZBTB32	219 (14)
ARHGAP21	 	other	 	0.302	1.82E-04	4.05E-03	ATM,CITED2,Cxcl11,CXCL2,Iigp1,IL18,IRF1,Mx2,NFKBIZ,PLA1A,TNF	 
IL10	 	cytokine	 	-0.651	1.83E-04	4.05E-03	ARG2,ASAH1,BCL3,CCL3L3,Ccl9,CD14,Cd24a,CD74,CDKN1A,CTSC,CTSV,CXCL2,CXCL3,ELAVL1,HLA-DMA,HLA-DQB1,HMOX1,Iigp1,IL13RA1,IL18,IL1A,IL1B,MSR1,NFKBID,S100A8,SOCS3,TNF,TNFSF10,ZFP36	272 (15)
JAK1	 	kinase	 	1.539	1.88E-04	4.09E-03	BCL3,BMF,CCL3L3,CD14,CDKN1A,ID1,IL1B,MAP3K8,SOCS3	167 (11)
CD14	1.471	transmembrane receptor	 	1.179	1.90E-04	4.09E-03	CCL3L3,CISH,CXCL2,IL13RA1,IL1B,MSR1,SOCS3,TNF	239 (12)
HSD17B4	0.564	enzyme	 	-1.941	1.90E-04	4.09E-03	ACAA1,ACOT2,BMP2,CYP4A11,Cyp4a14,MGLL,PEX11A,PTCH1	 
OGG1	 	enzyme	Activated	2.144	1.94E-04	4.15E-03	CCL3L3,CXCL2,IL1A,IL1B,TNF	91 (7)
MTOR	 	kinase	 	1.944	2.05E-04	4.36E-03	ACADL,ACADM,ATP2A2,CASP3,CNP,CYCS,DCTN1,DDIT4,DUSP1,FDPS,GSTM5,HBA1/HBA2,HSP90AB1,HSPB1,IL1B,LDHA,MDH2,MLXIPL,MYC,PIM1,SOCS3,TMCC1,TNF,TXNIP,UBE2O,UGGT1	141 (7)
SERPINE1	3.402	other	 	-0.775	2.21E-04	4.64E-03	Acot1,CASP3,CXCL2,DUSP1,FBLN2,HBA1/HBA2,HLA-DQB1,IER3,ITGB3,JUNB,PHLDA1,ZFP36	 
IFNAR1	 	transmembrane receptor	 	0.283	2.42E-04	5.05E-03	Apol7e (includes others),Apol9a/Apol9b,ATF3,AXL,CCL3L3,Ccl9,CIITA,Cxcl11,CXCL2,CXCL3,HMGCS1,IDI1,IL18,IL1A,IL1B,IRF1,Ly6a (includes others),MYC,SERPINE1,SOCS3,TNF,TNFAIP3	178 (14)
SLC22A5	 	transporter	 	-1.667	2.48E-04	5.09E-03	ACADL,ACADM,CDKN1A,COL3A1,HADHB,ITGB5,JUNB,SMURF1,TNF	 
AGTR1	 	G-protein coupled receptor	 	0.277	2.48E-04	5.09E-03	CASP3,COL3A1,DUSP1,GSTA5,GSTM5,Gstm6,HMOX1,SERPINE1,TXNIP	 
IKBKB	 	kinase	 	0.118	2.50E-04	5.09E-03	ATF3,BMP2,CCL3L3,Ccl9,Cxcl11,CXCL2,CXCL3,GADD45A,GBP3,GM2A,GRN,Gstt1,HMOX1,IGFBP2,IL1A,IL1B,ITGB3,ITGB5,JUNB,MYC,NAGLU,NR6A1,RCAN1,RGS16,SMURF1,SOCS3,Tmsb4x (includes others),TNF	276 (15)
ELOVL5	1.151	enzyme	 	-0.970	2.57E-04	5.14E-03	ABCG8,ACADL,EHHADH,ELOVL2,FADS2,MLXIPL	 
VCAN	 	other	 	1.067	2.57E-04	5.14E-03	CCL3L3,CDKN1A,CXCL3,HYAL1,IL1B,TNF	49 (3)
BCAP31	 	transporter	 	-0.780	2.61E-04	5.19E-03	CCL3L3,ERN1,G6PC,IL1B,INSIG1,SREBF1,TNF,XBP1	 
SMARCA5	 	transcription regulator	 	0.382	2.68E-04	5.29E-03	ATP8B4,BET1,CDKN1A,CELSR1,CRIP1,EPHA2,FKBP5,GBP6,GFRA1,GM2A,Gvin1 (includes others),HES1,IL17RB,Ly6a (includes others),MPZL2,PHLDA1,PLK2,Pmaip1,SEMA4A,SPIB,ZNF442	 
SLC13A1	 	transporter	 	-1.698	2.89E-04	5.66E-03	ACLY,ACTG1,APOA4,AQP8,ARRDC2,BYSL,CHST7,Cyp3a25 (includes others),FABP2,HNMT,HSPA8,HSPB1,IGFBP2,INMT,INSIG1,NRN1,XBP1	 
PRKAA1	 	kinase	 	0.801	3.10E-04	6.01E-03	ATF3,ELOVL2,FGFR2,GALM,Gsta4,Ifi47,IL13RA1,IL17RB,IL22RA1,JAK2,KCNA2,LDHA,Ly6a (includes others),PPP1R3B,SOCS3,TNF,ZFP36L1,ZYX	 
TGFBR2	 	kinase	 	-0.659	3.20E-04	6.13E-03	ABHD17C,BCL3,BHLHE40,CCL3L3,CDKN1A,CKB,CXCL2,DDIT4,EMD,ENHO,EPOP,Fam25c,FKBP5,GADD45B,IL1A,KRT19,LDHA,Ly6a (includes others),MSR1,MVK,NAB2,NFKBID,NFKBIZ,ODC1,PTCH1,REEP6,Retnlg,RPUSD3,S100A8,SLC66A2,SOCS3	 
UCP1	 	transporter	Activated	2.506	3.21E-04	6.13E-03	ACOT2,ATF5,CASP3,Cd24a,CHCHD10,CTH,CTSV,ENHO,ERN1,GADD45A,GOLM1,GOT1,GSTM1,Hmgn2 (includes others),IL1B,MAP1LC3A,MTHFD1L,MYC,ODC1,REEP6,SRM,TNF,TRIB3,TXN2	 
IFT88	 	other	 	1.782	3.42E-04	6.39E-03	ACLY,CYP51A1,FOXA2,HMGCS1,IDI1,LSS,PTCH1	102 (3)
MMP11	 	peptidase	 	-0.378	3.42E-04	6.39E-03	CLPP,HSPD1,HSPE1,IGFBP1,LDHA,PSMD1,XBP1	 
FABP1	 	transporter	 	-1.720	3.42E-04	6.39E-03	ABCG5,ABCG8,CYP7A1,GOT1,PNPLA2,SLC27A1,SREBF1	 
ZFP36	0.880	transcription regulator	Inhibited	-2.597	3.50E-04	6.48E-03	CCL3L3,CXCL2,CXCL3,IER3,IL1A,IL1B,MEFV,PIM1,S100A8,TFRC,THBD,TNF,ZFP36	298 (13)
ERBB2	 	kinase	 	-1.664	3.58E-04	6.59E-03	ACSS2,CDKN1A,CYP51A1,EHF,EPHX2,HSD17B11,HSPA1A/HSPA1B,IDI1,ITGB3,LSS,MYC,MYCN,PMVK,STK17B,TRAF1	 
Gm35986	 	other	 	1.987	3.64E-04	6.64E-03	FDFT1,HMGCS1,IDI1,MVK	 
CAMK2G	 	kinase	 	 	3.78E-04	6.80E-03	CDKN1A,HBA1/HBA2,HBB	 
VTN	 	other	 	 	3.78E-04	6.80E-03	CXCL3,IL1B,TNF	58 (4)
PPARGC1A	 	transcription regulator	Activated	2.139	3.86E-04	6.90E-03	ACADL,ACADM,ACAT1,APOA4,CTSC,CYCS,CYP7A1,DGAT1,FBLN2,FDPS,G6PC,GFRA1,HMOX1,IDH3A,KYAT3,LDHA,MDH2,MSMO1,NSDHL,PIK3R1,RBP4,Sik1,SLC25A25,SMYD1,SOCS3,SREBF1,TNF,TRIB3	92 (4)
NR1H2	 	ligand-dependent nuclear receptor	Inhibited	-2.199	3.99E-04	7.03E-03	ABCA2,ABCG5,ABCG8,AQP1,Cxcl11,CXCL2,CYP7A1,FDFT1,FDPS,HSD17B4,IL1B,PNPLA2,PTCH1,SLC16A10,SREBF1,TNF	53 (3)
EHHADH	1.815	enzyme	Inhibited	-2.433	4.02E-04	7.03E-03	ACAA1,ACOT2,CYP4A11,Cyp4a14,MGLL,PEX11A	 
CCL5	 	cytokine	Activated	2.412	4.02E-04	7.03E-03	CCL3L3,CCRL2,CXCL2,CXCL3,IL1B,TNF	91 (7)
ATP7B	 	transporter	Inhibited	-2.530	4.34E-04	7.53E-03	ACLY,Cyp2c40 (includes others),CYP51A1,CYP7A1,FDFT1,FDPS,HMGCS1,IDI1,LSS,MSMO1	 
ARRB2	 	other	 	-1.729	4.71E-04	8.12E-03	CXCL2,CXCL3,IL1B,JUNB,MYC,NFKBIZ,SERPINE1,TNF	264 (10)
ALDH2	 	enzyme	 	1.195	4.82E-04	8.25E-03	ATF5,CTH,GCLC,GSTA3,Gsta4,GSTA5,SLC1A4	 
CEBPA	 	transcription regulator	 	-0.341	4.88E-04	8.25E-03	ABCA3,ACLY,AKR1B10,APOA4,ARG2,ASL,BHMT,CDKN1A,DHCR7,DHFR,FOXA2,G6PC,IER3,LEPR,Ly6a (includes others),MYC,MYCN,PPP1R14A,RGL1,RGS2,SERPINE1,SREBF1,TIAM1	124 (6)
TCOF1	 	transporter	 	 	4.89E-04	8.25E-03	ADM,ARL4D,AZIN1,BCLAF1,BNIP3,DDX42,DNAJC11,GALK1,MED1,NDRG1,Nolc1,POLR3A,RBM10,RGPD4 (includes others)	 
CTNNB1	 	transcription regulator	 	-1.014	4.92E-04	8.25E-03	ABCF3,ACAA1,ACADL,ACAT2,ATM,BHLHE40,BMP2,CA3,CDKN1A,CELSR1,CIDEC,COL27A1,CRIP1,CYP1A1,CYP1A2,Cyp2d9 (includes others),CYP4F12,CYP51A1,CYP8B1,DIXDC1,F2R,FBLN2,FOXA2,FZD7,G6PC,GADD45B,GALM,GHR,Gulo,HADHA,HES1,HMGCS1,Hsd3b4 (includes others),ID2,IDI1,IL1B,KDR,LAMB1,LECT2,LIMD2,MOGAT1,MYC,MYCN,NR6A1,NUDT7,PPP2CA,PTCH1,RBP4,RGN,S100A8,Slco1a1	198 (9)
LIPE	 	enzyme	 	-1.387	5.76E-04	9.60E-03	AQP1,ATF3,CD74,CITED2,FKBP5,HLA-DQA1,HSPA1A/HSPA1B,ID2,INMT,MED1,NR4A1,PFKFB1,RBP4,RXRG,SOX18,SREBF1,TKT,TNF,YWHAG	 
NR4A1	1.622	ligand-dependent nuclear receptor	 	-0.747	5.84E-04	9.67E-03	ACLY,ACO2,ADM,CYP17A1,DLST,EHF,ENO1,G6PC,GALM,GSTM5,HMOX1,IDH3A,IL1B,Ly6a (includes others),LY6E,MDH2,MED1,NDUFS6,NOL3,NR4A1,OGDH,PC,PPA1,RPS6KA1,SERPINE1,SREBF1,SUCLG1,TNF	73 (3)
HDAC5	 	transcription regulator	 	0.816	6.18E-04	1.02E-02	ACADL,ACADM,CDKN1A,CPT1A,G6PC,HMGCL,IGFBP1,MYC	 
PDE3B	 	enzyme	 	 	6.29E-04	1.02E-02	G6PC,SERPINE1,SOCS3,TNF,TRIB3	 
CTSB	 	peptidase	 	1.455	6.29E-04	1.02E-02	CTSV,CXCL2,CXCL3,IL1B,TNF	59 (4)
mir-21	 	microRNA	 	0.948	6.39E-04	1.03E-02	Casp12,CCL3L3,CDKN1A,COL3A1,GAS5,GBP3,GBP6,Gvin1 (includes others),Ifi47,Iigp1,IL18,IRF1,JAK2,Klrk1,NLRP3,PDCD4,PER2,PILRB,TNF,TRAF1	204 (11)
ACSS2	-1.022	enzyme	 	0.378	6.63E-04	1.06E-02	ACAA1,CTDSP2,DGAT1,EHHADH,FABP2,LSS,SREBF1	 
Tcf7	 	transcription regulator	 	-0.244	6.90E-04	1.10E-02	CCL3L3,CD83,CEPT1,CHCHD10,CISH,ETNK1,FDPS,GM2A,GSAP,HSD17B11,ID2,ID3,KLF6,LONRF1,LYSMD2,MSMO1,NR6A1,NRN1,PHLDA1,PRKD3,SC5D,SH3BGRL2,SOCS3,TIAM1,TICAM1,TNF,TOX,USP27X,YPEL2,ZC3H12D	 
P38 MAPK	 	group	Activated	3.549	7.57E-04	1.20E-02	ARG2,BNIP3,CCL3L3,CDKN1A,CXCL3,DUSP1,HMOX1,IL1A,IL1B,JUNB,MYC,SERPINE1,SOCS3,TNF	315 (16)
RIPK2	 	kinase	Activated	2.151	7.78E-04	1.22E-02	ABCG5,ACADL,ACADM,CXCL2,CXCL3,CYP7A1,DGAT1,MEFV,PNPLA2,SLC27A1,SREBF1,TNF,TRAF1	84 (7)
EGFR	 	kinase	Activated	2.607	7.86E-04	1.23E-02	ACY1,BCL7C,CASP3,CD3EAP,CDK2,EPHA2,HSPE1,IL1B,IRF1,IVNS1ABP,JUNB,LYAR,MYC,NCL,NUDC,ODC1,SERPINE1,TIMM10,TNF,WEE1	336 (17)
STAT3	 	transcription regulator	 	1.784	7.94E-04	1.23E-02	BCL3,CASP3,CCL3L3,CCRL2,CD74,CDKN1A,CIITA,CXCL2,CXCL3,CYP26A1,G6PC,GADD45A,GBP3,GBP6,HLA-DQA1,IGFBP1,IL1A,IL1B,IRF1,IRF5,JUNB,Klrk1,MT-ND6,Mx2,MYC,NFKBIZ,PHLDA1,PIM1,POLE4,SERPINE1,SOCS3,SREBF1,TNF,TNFSF10,ZFP36	308 (15)
TXNIP	-0.575	other	 	-0.022	8.00E-04	1.23E-02	Acot1,CDKN1A,Cyp4a14,CYP8B1,DHCR7,FABP2,IL1B,TXNIP	239 (7)
IL1R2	 	transmembrane receptor	 	-1.951	8.00E-04	1.23E-02	CXCL2,CXCL3,IL1B,TNF	 
VEGFB	 	growth factor	 	1.455	8.76E-04	1.33E-02	Acaa1b,Acot1,ACOT2,ATF3,EHHADH,SLC27A1	 
ACE2	 	peptidase	 	-1.633	8.76E-04	1.33E-02	BNIP3,CASP3,CXCL3,IL1B,SERPINE1,TNF	15 (2)
PRKAA2	 	kinase	 	0.943	8.93E-04	1.34E-02	ELOVL2,ERN1,FGFR2,GALM,Gsta4,Ifi47,IL13RA1,IL17RB,IL22RA1,JAK2,KCNA2,LDHA,Ly6a (includes others),PPP1R3B,SOCS3,TNF,ZFP36L1,ZYX	 
FAM3B	 	cytokine	 	 	8.94E-04	1.34E-02	CCN4,CDKN1A,GAS2,IER3,KRT19,LDHA,MED1	 
