© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	-0E00	6.99E-03	NaN	TLR4	
Role of PKR in Interferon Induction and Antiviral Response	-0E00	8.13E-03	NaN	TLR4	
TREM1 Signaling	-0E00	1.41E-02	NaN	TLR4	
Role of NFAT in Regulation of the Immune Response	-0E00	5.19E-03	NaN	Calm1 (includes others),GNG11	
NF-κB Activation by Viruses	-0E00	1.28E-02	NaN	MAP3K14	
CCR5 Signaling in Macrophages	-0E00	6.47E-03	NaN	Calm1 (includes others),GNG11	
Calcium-induced T Lymphocyte Apoptosis	-0E00	7.72E-03	NaN	Calm1 (includes others),HDAC2	
IL-17 Signaling	-0E00	1.27E-02	NaN	MAP3K14,NOS2	
Airway Pathology in Chronic Obstructive Pulmonary Disease	-0E00	9.52E-03	NaN	FGF2	
CXCR4 Signaling	-0E00	6.17E-03	NaN	GNG11	
CD28 Signaling in T Helper Cells	-0E00	3.16E-03	NaN	Calm1 (includes others)	
Dendritic Cell Maturation	-0E00	8.15E-03	NaN	MAP3K14,PLCD4,TLR4	
Angiopoietin Signaling	-0E00	1.32E-02	NaN	FOXO1	
Neuropathic Pain Signaling In Dorsal Horn Neurons	-0E00	1.01E-02	NaN	PLCD4	
Factors Promoting Cardiogenesis in Vertebrates	-0E00	6.9E-03	NaN	PLCD4	
Thrombin Signaling	-0E00	9.8E-03	NaN	GNG11,PLCD4	
iCOS-iCOSL Signaling in T Helper Cells	-0E00	6.51E-03	NaN	Calm1 (includes others),GAB2	
Molecular Mechanisms of Cancer	-0E00	1.39E-02	NaN	AURKA,FOXO1,GAB2,GNG11,HDAC2,SMAD3	
HMGB1 Signaling	-0E00	1.29E-02	NaN	SERPINE1,TLR4	
Maturity Onset Diabetes of Young (MODY) Signaling	-0E00	1.39E-02	NaN	KCNJ8	
Melanocyte Development and Pigmentation Signaling	-0E00	1.08E-02	NaN	RPS6KA5	
ATM Signaling	-0E00	1.05E-02	NaN	GADD45G	
Prolactin Signaling	-0E00	1.18E-02	NaN	SOCS3	
Type I Diabetes Mellitus Signaling	-0E00	9.77E-03	NaN	MAP3K14,NOS2,SOCS3	
Gα12/13 Signaling	-0E00	7.69E-03	NaN	CDH4	
p70S6K Signaling	-0E00	7.69E-03	NaN	PLCD4	
G Beta Gamma Signaling	-0E00	7.87E-03	NaN	GNG11	
Communication between Innate and Adaptive Immune Cells	-0E00	3.56E-03	NaN	TLR4	
Crosstalk between Dendritic Cells and Natural Killer Cells	-0E00	1.41E-02	NaN	TLR4	
Cdc42 Signaling	-0E00	8.4E-03	NaN	CDC42EP2,EXOC6,TNK2	
EIF2 Signaling	-0E00	4.88E-03	NaN	EIF4A1	
Rac Signaling	-0E00	7.35E-03	NaN	ANK1	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	-0E00	1.38E-02	NaN	Calm1 (includes others),FOXO1,MAP3K14	
Phospholipase C Signaling	-0E00	1.08E-02	-1.000	Calm1 (includes others),GNG11,HDAC2,HMOX1,PLCD4	
Ovarian Cancer Signaling	-0E00	6.45E-03	NaN	HDAC2	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00	6.87E-03	NaN	MAP3K14,TLR4	
Regulation of eIF4 and p70S6K Signaling	-0E00	5.88E-03	NaN	EIF4A1	
Glioblastoma Multiforme Signaling	-0E00	1.19E-02	NaN	FOXO1,PLCD4	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	-0E00	1.02E-02	NaN	Calm1 (includes others),SMAD3,TOB1	
Nur77 Signaling in T Lymphocytes	-0E00	6.73E-03	NaN	Calm1 (includes others),HDAC2	
PKCθ Signaling in T Lymphocytes	-0E00	5.59E-03	NaN	MAP3K14,MAP3K6	
Antiproliferative Role of TOB in T Cell Signaling	-0E00	8.4E-03	NaN	SMAD3,TOB1	
Cyclins and Cell Cycle Regulation	-0E00	1.23E-02	NaN	HDAC2	
Role of Tissue Factor in Cancer	-0E00	8.93E-03	NaN	RPS6KA5	
RhoGDI Signaling	-0E00	9.62E-03	NaN	CDH4,GNG11	
Gap Junction Signaling	-0E00	1.04E-02	NaN	PLCD4,TUBB6	
Telomerase Signaling	-0E00	9.71E-03	NaN	HDAC2	
VEGF Family Ligand-Receptor Interactions	-0E00	1.22E-02	NaN	KDR	
Ephrin B Signaling	-0E00	1.41E-02	NaN	GNG11	
ErbB Signaling	-0E00	1.1E-02	NaN	FOXO1	
GDNF Family Ligand-Receptor Interactions	-0E00	1.33E-02	NaN	IRS2	
Netrin Signaling	-0E00	1.41E-02	NaN	ABLIM1	
Salvage Pathways of Pyrimidine Ribonucleotides	-0E00	1.09E-02	NaN	MAP3K6	
Epithelial Adherens Junction Signaling	-0E00	1.32E-02	NaN	MYO5C,TUBB6	
PEDF Signaling	-0E00	1.2E-02	NaN	PPARG	
Granulocyte Adhesion and Diapedesis	-0E00	1.21E-02	NaN	MMP15,SDC4	
Tec Kinase Signaling	-0E00	5.21E-03	NaN	GNG11,TLR4	
Estrogen Receptor Signaling	-0E00	1.26E-02	-2.236	FOXO1,GNG11,MMP15,PLCD4,PRKAG3	
SAPK/JNK Signaling	-0E00	6.41E-03	NaN	DUSP4,GNG11	
PTEN Signaling	-0E00	1.34E-02	NaN	FOXO1,KDR	
GABA Receptor Signaling	-0E00	7.87E-03	NaN	GNG11	
Wnt/β-catenin Signaling	-0E00	1.19E-02	NaN	RARB,SOX4	
Chemokine Signaling	-0E00	1.33E-02	NaN	Calm1 (includes others)	
Integrin Signaling	-0E00	4.9E-03	NaN	TNK2	
Apoptosis Signaling	-0E00	9.71E-03	NaN	MAP3K14	
NF-κB Signaling	-0E00	1.06E-02	1.000	HDAC2,KDR,MAP3K14,TLR4	
Hypoxia Signaling in the Cardiovascular System	-0E00	1.35E-02	NaN	UBE2D1	
T Cell Receptor Signaling	-0E00	2.49E-03	NaN	Calm1 (includes others)	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	-0E00	1.43E-02	NaN	PLCD4	
Gustation Pathway	-0E00	1.31E-02	NaN	GNG11,PDE4A	
PD-1, PD-L1 cancer immunotherapy pathway	-0E00	1.08E-02	NaN	SMAD3	
Th1 and Th2 Activation Pathway	-0E00	1.29E-02	NaN	MAF,SOCS3	
Th1 Pathway	-0E00	9.17E-03	NaN	SOCS3	
IL-7 Signaling Pathway	-0E00	1.3E-02	NaN	FOXO1	
Neuroinflammation Signaling Pathway	-0E00	1.41E-02	1.000	HMOX1,NFE2L2,NOS2,TLR4	
Th17 Activation Pathway	-0E00	3.64E-03	NaN	SOCS3	
Endocannabinoid Neuronal Synapse Pathway	-0E00	1.37E-02	NaN	GNG11,PLCD4	
Endocannabinoid Developing Neuron Pathway	-0E00	8.2E-03	NaN	GNG11	
BAG2 Signaling Pathway	-0E00	1.23E-02	NaN	UBE2D1	
T Cell Exhaustion Signaling Pathway	-0E00	8.62E-03	NaN	FOXO1,KDR,SMAD3	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	-0E00	4.75E-03	NaN	NOS1,NOS2	
Necroptosis Signaling Pathway	-0E00	7.04E-03	NaN	TLR4	
Xenobiotic Metabolism AHR Signaling Pathway	-0E00	1.27E-02	NaN	NQO2	
Semaphorin Neuronal Repulsive Signaling Pathway	-0E00	1.39E-02	NaN	PDE4A,SEMA6D	
GM-CSF Signaling	-0E00	1.43E-02	NaN	CISH	
Ephrin Receptor Signaling	-0E00	1.01E-02	NaN	GNG11,MAP3K14	
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	-0E00	9.35E-03	NaN	ATP6V1H	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	-0E00	1.41E-02	NaN	TLR4	
