© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
ESR1	 	ligand-dependent nuclear receptor	 	1.465	1.63E-05	4.03E-04	ABCB11,ABCG5,ABCG8,ARRDC3,CDKN1A,CYP1A1,CYP4A11,Cyp4a14,CYP7A1,Gsta4,IL1B,INHBB,KATNAL1,LEPR,NOS3,NR0B2,PSEN2,Slco1a1,SULT1C2,TNF,TXNIP,UGT2B28,UGT2B7	83 (8)
CFTR	 	ion channel	 	0.418	2.07E-05	5.08E-04	ACAA1,CYP4A11,DMBT1,FABP2,FDFT1,FDPS,HSD17B2,IL1B,NFKBIZ,POR,SOCS3,TNF	66 (7)
CFB	 	peptidase	 	0.970	2.16E-05	5.24E-04	CXCL2,CXCL3,DDIT3,IL1B,SREBF1,THBD	 
CD300LF	 	other	 	0.378	2.44E-05	5.66E-04	ACADL,ACSS2,CPT1A,IL1A,IL1B,SLC27A1,SLC2A3	37 (5)
ITCH	 	enzyme	 	-1.890	2.44E-05	5.66E-04	ELOVL5,IL1A,IL1B,SC5D,SLC2A3,TFRC,TNF	145 (14)
CBL	 	transcription regulator	Inhibited	-2.607	2.44E-05	5.66E-04	CCL3L3,CXCL2,CXCL3,DDIT3,HMOX1,IL1B,TNF	156 (18)
STAT1	 	transcription regulator	 	0.083	2.44E-05	5.66E-04	APOBEC3B,BCL6,CASP3,CCL3L3,CDKN1A,Chil3/Chil4,Cxcl11,CXCL3,CYP1A2,CYP2C8,CYP4A11,IL1B,Mx2,MYC,PDGFA,SOCS3,SORT1,SREBF1,TNF	122 (16)
NR3C1	 	ligand-dependent nuclear receptor	 	-1.691	2.46E-05	5.66E-04	ANGPTL4,BRD2,CCL3L3,CDKN1A,Cxcl11,DDIT4,DUSP1,FBXO30,G6PC,HCAR2,HNF4A,Hsd3b4 (includes others),HSP90AB1,IGFBP1,IL1A,IL1B,NFKBIA,NOS3,OCLN,PNPLA2,PTGR1,PYGL,TNF	161 (13)
PCK1	 	kinase	Inhibited	-2.236	2.59E-05	5.86E-04	ACADL,CRAT,EHHADH,IL1B,TNF	 
PDE3B	 	enzyme	 	 	2.59E-05	5.86E-04	G6PC,SERPINE1,SOCS3,TNF,TRIB3	96 (8)
FOXO1	 	transcription regulator	 	0.356	2.66E-05	5.94E-04	ACLY,CDKN1A,CPT1A,CYP7A1,ELOVL5,FLNB,FOXA2,G6PC,GCK,GPR17,GRN,IGFBP1,IRS2,JUNB,KLF4,LRAT,MAVS,MYC,NDUFAF4,PNPLA2,STAT5B,TXNIP	93 (7)
SQSTM1	 	transcription regulator	 	-0.513	2.69E-05	5.94E-04	ARID5A,CITED2,Cxcl11,CXCL2,GCLC,HMOX1,IL1B,NFKBIA,TNF	127 (12)
RIPK2	 	kinase	 	1.586	2.71E-05	5.94E-04	ABCG5,ACADL,CXCL2,CXCL3,CYP7A1,MEFV,PDE4B,PNPLA2,SLC27A1,SREBF1,TNF	122 (11)
Ccl2	 	cytokine	Activated	2.169	2.87E-05	6.23E-04	CCL3L3,Ccl9,CD14,CXCL2,CXCL3,IL1B,ITGB3,KDR,KLF4,TNF	129 (13)
ERK1/2	 	group	Activated	2.573	3.13E-05	6.66E-04	CCL3L3,CXCL3,IL1A,IL1B,IRS2,JUNB,LEPR,MYC,SERPINE1,SOCS3,TNF	132 (14)
FMO3	 	enzyme	 	-0.816	3.14E-05	6.66E-04	ABCG5,ABCG8,ACADL,EHHADH,G6PC,SREBF1	 
APC	 	enzyme	Inhibited	-2.107	3.15E-05	6.66E-04	CDKN1A,CXCL2,CXCL3,FABP2,FH,HADHB,HES1,ID1,ID2,ID3,MYC,TIAM1,TIGAR,TNF	155 (18)
CYP1A2	-1.046	enzyme	 	1.667	3.25E-05	6.75E-04	CYP26A1,ETHE1,GSTM2,Gstm3,RGS16,SHANK2,SLC46A3,Slco1a1,WEE1	 
CYP1B1	 	enzyme	 	1.667	3.25E-05	6.75E-04	CYP26A1,ETHE1,GSTM2,Gstm3,RGS16,SHANK2,SLC46A3,Slco1a1,WEE1	 
PPARGC1A	 	transcription regulator	 	0.373	3.75E-05	7.70E-04	ACADL,ALAS1,APOA4,CEBPB,CYP7A1,FDPS,G6PC,HMOX1,IDH3A,IRS2,KYAT1,LDHA,NSDHL,PIK3R1,Sik1,SLC25A25,SOCS3,SREBF1,TNF,TRIB3	28 (2)
SLC7A2	 	transporter	Inhibited	-2.219	4.31E-05	8.71E-04	CCL3L3,Chil3/Chil4,CXCL2,CXCL3,IL1B	 
NRG4	1.256	growth factor	 	-0.994	4.31E-05	8.71E-04	CIDEC,EHHADH,ELOVL5,GCK,SREBF1	 
IL1RN	 	cytokine	 	-1.145	4.45E-05	8.91E-04	CYP1A2,CYP7A1,IL1A,IL1B,NR0B2,TNF	22 (4)
mir-155	 	microRNA	 	-1.575	4.68E-05	9.30E-04	CEBPB,Cxcl11,DNAJB1,HMOX1,IL1B,NOS3,SOCS3,TNF,WEE1	73 (11)
STAT6	 	transcription regulator	 	-1.171	4.73E-05	9.30E-04	Acot1,ARID5A,BCL3,BCL6,CCL3L3,Cd24a,Chil3/Chil4,CIDEC,CISH,CPT1A,CXCL2,CXCL3,CYP4A11,Cyp4a14,EHHADH,EPHA2,IL1B,IRS2,MVK,NFKBIA,PDGFA,PMS1,PNPLA2,SELENBP1,STAT5B,TNF,USP2,XBP1	182 (19)
Map3k7	 	kinase	 	1.186	4.77E-05	9.30E-04	BHLHE40,CASP3,CCL3L3,Cxcl11,CXCL3,IL1B,MVK,Mx2,NFKBIA,NFKBIZ,TNF	139 (12)
RELA	 	transcription regulator	 	0.167	4.81E-05	9.30E-04	CD14,CITED2,CXCL2,CXCL3,CYP1A1,DDIT3,Gstm3,HMOX1,IL1A,IL1B,MYC,NFKBIA,Pmaip1,TNF	148 (13)
VTN	 	other	 	 	5.01E-05	9.62E-04	CXCL3,IL1B,TNF	131 (14)
PI3K (complex)	 	complex	 	-0.191	5.11E-05	9.65E-04	CYP7A1,DDIT4,DUSP1,GCLC,GSTA5,HMOX1,IL1B,MYC,NOS3,RFX4,SREBF1,TNF	160 (14)
NPC1	 	transporter	 	1.387	5.11E-05	9.65E-04	ABCG8,ACKR4,CCL3L3,CYP7A1,DDIT3,HMGCS1,KLF4,LSS,MVK,SREBF1,TNF,XBP1	48 (6)
Nr1h	 	group	Inhibited	-2.751	5.89E-05	1.09E-03	ACLY,ATP1B1,BCL3,CCL3L3,Cxcl11,G6PC,GCK,IL1B,Mx2,NFKBIZ,NLRP3,SREBF1,TNF,ZBTB16	74 (11)
IL1R2	 	transmembrane receptor	 	-1.951	5.90E-05	1.09E-03	CXCL2,CXCL3,IL1B,TNF	 
EIF2S1	 	translation regulator	 	 	6.07E-05	1.09E-03	ACP3,CHAC1,DDIT3,HMOX1,IFRD1,PHLDA1,SESN2,TRIB3	 
NFATC2	 	transcription regulator	 	0.233	6.07E-05	1.09E-03	ACP3,CCL3L3,CD83,CITED2,Cxcl11,CXCL2,CXCL3,IER3,IL1A,IL1B,KDM6B,Mx2,NFKBIA,NFKBIZ,SOCS3,TNF	164 (15)
CYB5R4	 	enzyme	 	-1.013	6.16E-05	1.09E-03	ACSL3,ATF3,DDIT3,GCLC,HMOX1,XBP1	 
USP19	 	peptidase	 	-1.724	6.16E-05	1.09E-03	DDIT3,DDIT4,FKBP5,IL1B,KLF15,TNF	35 (6)
CLEC4E	 	other	 	1.773	6.16E-05	1.09E-03	CCL3L3,CPT1A,CXCL2,CXCL3,IL1B,TNF	83 (14)
FABP1	 	transporter	 	-1.471	6.16E-05	1.09E-03	ABCG5,ABCG8,CYP7A1,PNPLA2,SLC27A1,SREBF1	32 (3)
ELANE	 	peptidase	 	1.982	6.80E-05	1.19E-03	CCL3L3,CEBPE,CXCL2,IL1B,TNF	51 (6)
RPL22	 	translation regulator	Inhibited	-2.219	6.80E-05	1.19E-03	ATF3,CDKN1A,DDIT3,Pmaip1,XBP1	 
MET	 	kinase	 	1.086	7.30E-05	1.26E-03	ARID5A,BMF,CCL3L3,CITED2,CLDN1,Cxcl11,GCLC,Hspa1b,MYC,NFKBIZ,SOCS3,TGIF1	48 (5)
LRP1	 	transmembrane receptor	 	-1.994	7.39E-05	1.27E-03	ABCG5,ABCG8,CCL3L3,CD14,DDIT3,IL1B,SLC2A3,TNF	147 (15)
TGFBR2	 	kinase	 	-1.802	7.93E-05	1.35E-03	ABHD17C,BCL3,BHLHE40,CCL3L3,CDKN1A,CXCL2,DDIT4,FKBP5,FOXA1,IL1A,LDHA,METRNL,MVK,NAB2,NFKBIA,NFKBIZ,ODC1,Retnlg,SLC66A2,SOCS3,ZBTB46	 
S100A8	 	other	Inhibited	-2.156	8.36E-05	1.42E-03	CXCL2,CXCL3,HMOX1,IL1B,NFKBIA,TNF	80 (4)
Ige	 	complex	 	1.941	8.78E-05	1.48E-03	CCL3L3,Ccl9,CXCL2,IL1A,IL1B,MYC,TNF	121 (12)
TCF7L2	 	transcription regulator	 	-1.216	8.90E-05	1.49E-03	ACAA1,ACADL,ACSL3,ADAMTS4,AGO3,ATP8B1,CDKN1A,CNP,CYP2C8,CYP7A1,EHHADH,ERBB3,FGFR2,FH,G6PC,ID1,ID2,ID3,IRS2,MYC,PIGA,RASGEF1B,SC5D,TNS1,YPEL2	42 (2)
SERPINE1	2.913	other	 	-1.168	9.16E-05	1.51E-03	Acot1,BCL6,CASP3,CXCL2,DUSP1,IER3,ITGB3,JUNB,PHLDA1	 
MAPKAPK2	 	kinase	 	0.373	9.16E-05	1.51E-03	CCL3L3,CITED2,CXCL2,CXCL3,DDIT3,HSPB1,HSPB8,NFKBIA,TNF	143 (15)
IKBKG	 	kinase	 	0.552	9.57E-05	1.56E-03	ATP2A2,Ccl9,CEBPB,CXCL2,GRN,IL1A,IL1B,JUNB,NAGLU,RCAN1,RGS16,SOCS3,TNF,Ttf1	151 (16)
STAT5A	 	transcription regulator	 	0.529	1.01E-04	1.63E-03	BCL6,CASP3,CCL3L3,CDKN1A,CEBPB,CISH,GADD45A,ID2,KLF10,MYC,PIM1,SOCS3,SREBF1,STAT5B,TNF,YWHAG	112 (15)
VCAN	 	other	 	1.067	1.02E-04	1.65E-03	CCL3L3,CDKN1A,CXCL3,IL1B,TNF	40 (5)
IRS1	 	enzyme	 	0.128	1.05E-04	1.68E-03	CCN4,CEBPB,DDIT3,G6PC,GCK,HMOX1,IGFBP1,IRS2,KLF4,PDGFA,PIK3R1,PTPRF,SREBF1,TRIB3	131 (11)
Rxr	 	group	 	 	1.10E-04	1.70E-03	IL1A,IL1B,KDM6B,MYC,Neat1,PDGFA,SREBF1	 
AGTR1	 	G-protein coupled receptor	 	1.000	1.10E-04	1.70E-03	CASP3,DUSP1,GSTA5,Gstm6,HMOX1,SERPINE1,TXNIP	 
LRP5	 	transmembrane receptor	 	-1.945	1.10E-04	1.70E-03	FOXA1,FOXA2,GCK,HNF4A,IL1B,IRS2,TNF	44 (5)
ACSS2	-1.198	enzyme	 	0.000	1.11E-04	1.70E-03	ACAA1,CTDSP2,EHHADH,FABP2,LSS,SREBF1	 
Mt1	 	other	Inhibited	-2.433	1.11E-04	1.70E-03	ATF3,ETS2,IL1B,MYC,SERPINE1,TNF	134 (10)
Mt2	 	other	Inhibited	-2.433	1.11E-04	1.70E-03	ATF3,ETS2,IL1B,MYC,SERPINE1,TNF	134 (10)
LDLR	 	transporter	 	-1.513	1.13E-04	1.70E-03	ACLY,APOBEC1,CCL3L3,CDKN1A,CYP7A1,DDIT3,DUSP1,FDPS,G6PC,IER3,IL1A,IL1B,ITGB3,MYC,NOS3,SC5D,SREBF1,TNF,TRIB1,UBC	172 (15)
Cyp4a14	3.159	enzyme	Activated	2.000	1.14E-04	1.70E-03	CXCL3,IL1A,IL1B,TNF	 
MVP	 	other	 	1.959	1.14E-04	1.70E-03	CXCL2,CXCL3,IL1B,TNF	 
HSPD1	 	enzyme	 	1.969	1.14E-04	1.70E-03	CXCL2,CXCL3,IL1B,TNF	 
TOPBP1	 	other	 	-0.927	1.14E-04	1.70E-03	CDKN1A,COQ8A,GADD45A,Pmaip1	 
PIK3R1	0.822	kinase	 	1.073	1.26E-04	1.86E-03	DDIT3,ERN1,HMOX1,IL1B,LDHA,MYC,PIK3R1,TNF,TRIB3,TXNIP	160 (17)
EGR2	 	transcription regulator	 	-0.359	1.29E-04	1.87E-03	BCL6,BHLHE40,ID2,ID3,IL1A,IL1B,MYC,ZBTB16	121 (16)
NRIP1	 	transcription regulator	 	0.403	1.29E-04	1.87E-03	CYP4B1,HADHB,IDH3A,IL1B,PPP1R3B,PYGL,SLC16A10,TNF	 
IFNAR1	 	transmembrane receptor	 	0.843	1.29E-04	1.87E-03	Apol7e (includes others),ATF3,CCL3L3,Ccl9,Cxcl11,CXCL2,CXCL3,HMGCS1,IL1A,IL1B,MYC,SERPINE1,SOCS3,TNF,TNFAIP3	144 (13)
TNF	3.164	cytokine	Activated	2.048	1.31E-04	1.88E-03	CCL3L3,Ccl9,CD14,CEBPB,Cxcl11,CXCL2,CXCL3,CYP2C8,HMOX1,IL1A,IL1B,LYVE1,NFKBIA,NFKBIZ,NLRP3,NOS3,OCLN,PLXNB2,SERPINE1,SOCS3,TNF,TNFAIP3,TXNIP,UBE2H,USP2,YWHAG	134 (14)
CHUK	 	kinase	 	0.536	1.38E-04	1.96E-03	Ccl9,CEBPB,Cxcl11,CXCL2,CXCL3,GRN,IL1A,JUNB,NAGLU,NFKBIA,RCAN1,RGS16,SOCS3,TNF	108 (10)
TLR2	 	transmembrane receptor	Activated	2.289	1.38E-04	1.96E-03	ATF3,CASP3,CCL3L3,CDKN1A,Chil3/Chil4,CISH,CXCL2,CXCL3,DUSP1,GADD45A,IL1A,IL1B,SOCS3,TNF	167 (17)
CEBPA	 	transcription regulator	 	-0.342	1.38E-04	1.96E-03	ACLY,APOA4,CDKN1A,DHCR7,FOXA2,G0S2,G6PC,GATA6,IER3,IRS2,LEPR,MYC,RGL1,SERPINE1,SREBF1,TIAM1	76 (6)
PRKCI	 	kinase	 	-1.406	1.49E-04	2.07E-03	CXCL2,CXCL3,FOXA2,IL1A,SREBF1	131 (12)
CCL5	 	cytokine	Activated	2.227	1.49E-04	2.07E-03	CCL3L3,CXCL2,CXCL3,IL1B,TNF	154 (14)
CXCL2	5.226	cytokine	 	1.953	1.49E-04	2.07E-03	CCL3L3,CXCL2,CXCL3,IL1B,TNF	149 (15)
VDR	 	transcription regulator	 	1.077	1.65E-04	2.28E-03	CEBPB,CISH,CLIP1,GADD45A,GATA6,ID1,IER3,IL1A,NOS3,NPHS1,ODC1,PTPRF,Slco1a1,SOCS3,SREBF1,THBD,TXNIP,WSB1	 
IRS2	-1.778	enzyme	 	0.811	1.67E-04	2.29E-03	ACLY,G6PC,GCK,HMOX1,IGFBP1,SREBF1,TNF	123 (15)
SCD	 	enzyme	 	-0.439	1.68E-04	2.29E-03	ACADL,ANGPTL4,CCL3L3,CPT1A,IL1B,PNPLA2,SLC27A1,SREBF1,TNF	125 (13)
MTOR	 	kinase	 	1.205	1.78E-04	2.41E-03	ACADL,ATP2A2,CASP3,CEBPB,CNP,DDIT4,DUSP1,FDPS,HSP90AB1,HSPB1,IL1B,LDHA,MYC,PIM1,SOCS3,TNF,TXNIP	103 (11)
IL4	 	cytokine	Activated	2.134	1.88E-04	2.45E-03	ABCA2,ABHD17C,ALAS1,BCL3,BCL6,BHLHE40,CCL3L3,Cd24a,Chil3/Chil4,CISH,CITED2,CXCL3,DDIT4,FKBP5,FLNB,FOXA1,GCAT,IER3,IL1B,LDHA,METRNL,MVK,MYC,NAB2,NFKBIA,NFKBIZ,ODC1,PIM1,Retnlg,SEMA4A,SLC66A2,SOCS3,Srrm2,TFRC,TNF,USP2,XBP1,ZBTB46	200 (16)
Ciap	 	group	 	-1.406	1.89E-04	2.45E-03	CCL3L3,CXCL2,IL1A,IL1B,MYC,TNF	138 (12)
TNFAIP3	1.423	enzyme	Inhibited	-2.174	1.89E-04	2.45E-03	IL1B,NFKBIA,NLRP3,TFRC,TNF,TNFAIP3	128 (13)
CD14	1.445	transmembrane receptor	 	1.953	1.89E-04	2.45E-03	CCL3L3,CISH,CXCL2,IL1B,SOCS3,TNF	105 (10)
HSD17B4	 	enzyme	Inhibited	-2.433	1.89E-04	2.45E-03	ACAA1,ACOT2,CYP4A11,Cyp4a14,MGLL,PEX11A	 
Gcg	 	other	 	0.333	1.94E-04	2.45E-03	APOA4,ATP1B1,CYP2C8,GSTA5,LHPP,PEX11A,SLC3A1,Slco1a1,TFRC	 
B3GNT2	 	enzyme	 	 	1.95E-04	2.45E-03	CD14,IL1B,TNF	113 (8)
IKBIP	 	other	 	 	1.95E-04	2.45E-03	CXCL2,NFKBIZ,TNF	133 (13)
miR-130a-3p (and other miRNAs w/seed AGUGCAA)	 	mature microRNA	 	 	1.95E-04	2.45E-03	CXCL2,CXCL3,TNF	80 (11)
LUM	 	other	 	 	1.95E-04	2.45E-03	CXCL2,IL1B,TNF	 
CYP8B1	 	enzyme	 	 	1.95E-04	2.45E-03	ABCG5,ABCG8,CYP7A1	 
FGF19	 	growth factor	 	 	1.95E-04	2.45E-03	ABCG5,ABCG8,CYP7A1	 
PELI2	 	enzyme	 	 	1.95E-04	2.45E-03	CXCL2,IL1B,TNF	99 (11)
CCDC88A	 	other	 	-1.964	2.00E-04	2.46E-03	CXCL3,IL1A,IL1B,TNF	133 (13)
PPP1R15B	 	phosphatase	 	1.000	2.00E-04	2.46E-03	CHAC1,DDIT3,SESN2,TRIB3	 
HSPA9	 	other	 	0.000	2.00E-04	2.46E-03	CDKN1A,HES1,MYC,SESN2	 
ANGPTL4	-1.695	other	 	-1.000	2.00E-04	2.46E-03	CXCL3,DDIT3,ERN1,XBP1	 
NEIL2	 	enzyme	 	1.342	2.09E-04	2.57E-03	BCL6,CCL3L3,CD14,CEBPB,Cxcl11,CXCL2,CXCL3,IL1A,IL1B,TNF	133 (15)
EIF2AK3	 	kinase	 	1.410	2.14E-04	2.60E-03	ATF3,ATP2A2,CBX4,CEBPB,DDIT3,ERN1,ETS2,GADD45A,KLF4,MYC,SLC1A4,TRIB3,TXNIP,XBP1	 
Tcf7	 	transcription regulator	 	-1.292	2.25E-04	2.72E-03	CCL3L3,CD83,CISH,E130308A19Rik,FDPS,GSAP,ID2,ID3,IKZF4,NRN1,PHLDA1,PRKD3,PTGER2,SC5D,SOCS3,TIAM1,TNF,TOX,YPEL2,ZC3H12D	 
LEF1	 	transcription regulator	 	-1.360	2.35E-04	2.84E-03	CD83,E130308A19Rik,GSAP,ID2,IKZF4,MYC,NRN1,PHLDA1,PTGER2,TIAM1,YPEL2,ZC3H12D	 
FADD	 	other	Inhibited	-2.530	2.36E-04	2.84E-03	ARID5A,CASP7,Cxcl11,CXCL2,JUNB,Mx2,MYC,PIM1,TIAM2,TNFAIP3	20 (3)
SRC	 	kinase	 	-1.408	2.40E-04	2.87E-03	ABCB11,ABCG5,ABCG8,ATP8B1,DUSP1,MYC	110 (5)
ERK	 	group	Activated	2.178	2.50E-04	2.96E-03	CDKN1A,CYP1A1,HMOX1,IL1B,MYC,NFKBIZ,SORT1,TNF	154 (13)
NOS2	 	enzyme	 	0.122	2.53E-04	2.99E-03	ATP2A2,CASP3,CCL3L3,Ccl9,CD14,CDKN1A,Chil3/Chil4,CXCL2,CXCL3,G6PC,IL1B,IRS2,KDR,NOS3,TKT,TNF	129 (12)
IL17A	 	cytokine	 	1.818	2.66E-04	3.13E-03	CXCL2,CXCL3,GADD45A,HSPB8,IL1B,NFKBIZ,OCLN,RGS16,SLC12A3,TNF	111 (14)
XDH	 	enzyme	 	1.000	2.89E-04	3.32E-03	CEBPB,CXCL3,IL1B,SERPINE1,TNF	 
VEGFB	 	growth factor	 	1.172	2.89E-04	3.32E-03	Acot1,ACOT2,ATF3,EHHADH,SLC27A1	 
ACE2	 	peptidase	 	-1.342	2.89E-04	3.32E-03	CASP3,CXCL3,IL1B,SERPINE1,TNF	88 (7)
SREBF2	 	transcription regulator	Inhibited	-2.186	2.89E-04	3.32E-03	FDFT1,HMGCS1,MVK,SC5D,SREBF1	 
SIRT6	 	enzyme	 	-0.651	2.91E-04	3.32E-03	ACSL3,CIDEC,CYP2C18,G6PC,IL1B,LSS,PIGA,TNF	85 (8)
NOD2	 	other	 	1.591	2.91E-04	3.32E-03	CXCL2,CXCL3,IL1A,IL1B,MEFV,NFKBIA,PDE4B,TNF	112 (11)
SMAD7	 	transcription regulator	 	-0.198	2.97E-04	3.32E-03	CDKN1A,ID1,ID2,ID3,IL1B,NFKBIA,TNF	124 (12)
TXNRD1	 	enzyme	 	1.709	2.97E-04	3.32E-03	GCLC,Gsta4,GSTA5,Gstm3,HMOX1,PTGR1,TKT	 
GSR	 	enzyme	 	1.912	2.97E-04	3.32E-03	GCLC,Gsta4,GSTA5,Gstm3,HMOX1,PTGR1,TKT	 
GNAQ	 	enzyme	 	1.915	2.97E-04	3.32E-03	ADAMTS1,ATF3,PLAUR,Rnf125,SERPINE1,SOCS3,THBD	 
NOD1	 	other	 	 	3.24E-04	3.56E-03	CXCL2,IL1A,IL1B,TNF	75 (14)
IL18R1	 	transmembrane receptor	 	0.000	3.24E-04	3.56E-03	CCL3L3,IL1A,SOCS3,TNF	141 (12)
CDKN2A	 	transcription regulator	 	1.655	3.25E-04	3.56E-03	CCL3L3,Ccl9,CDKN1A,CEBPB,Cxcl11,EFNA1,FOXA1,IL1A,IL1B,ITGB3,MYC,PEG3,TNF	104 (13)
LIPE	 	enzyme	 	-1.067	3.25E-04	3.56E-03	ATF3,BCL6,CEBPB,CITED2,FKBP5,G0S2,HSPA1A/HSPA1B,ID2,PFKFB1,SREBF1,TKT,TNF,YWHAG	 
NKX3-1	 	transcription regulator	 	 	3.38E-04	3.67E-03	CA3,CA8,CASP7,FKBP5,MYC,PIK3R1,PIM1,VNN1	 
PF4	 	cytokine	 	0.524	3.38E-04	3.67E-03	FOXA2,IL1B,KLF4,NFKBIA,NFKBIZ,Rfx5,TNF,TNFAIP3	23 (4)
N-cor	 	group	 	-1.342	3.50E-04	3.79E-03	CDKN1A,CIDEC,CXCL2,DHRS3,ELOVL5,IL1A,IL1B,LHPP,PDGFA,RGL1,SREBF1	64 (5)
EIF2AK4	 	kinase	 	-1.404	3.77E-04	4.04E-03	ATP2A2,CHAC1,CYP2C18,DDIT3,IL1B,TNF	56 (7)
IRAK3	 	kinase	 	-0.727	3.77E-04	4.04E-03	CXCL2,CXCL3,ETS2,NFKBIA,TNF,TNFAIP3	127 (12)
OPA1	 	enzyme	Inhibited	-2.216	3.88E-04	4.06E-03	DDIT3,IL1B,NLRP3,TNF,XBP1	83 (4)
FGFR4	 	kinase	 	 	3.88E-04	4.06E-03	ACLY,CDKN1A,CYP7A1,KDR,SREBF1	 
FABP4	 	transporter	 	1.467	3.88E-04	4.06E-03	IL1A,IL1B,NOS3,SOCS3,TNF	156 (16)
MAPK7	 	kinase	 	1.387	3.88E-04	4.06E-03	CXCL2,CXCL3,IL1A,IL1B,PTGER2	 
FDFT1	-1.313	enzyme	 	-0.447	3.88E-04	4.06E-03	ABCG5,ABCG8,CYP7A1,FDPS,SREBF1	 
THRB	 	ligand-dependent nuclear receptor	Inhibited	-2.605	4.28E-04	4.46E-03	BCL3,CCN4,Cxcl11,CXCL2,CXCL3,CYP7A1,FDPS,FRAT1,FZD6,FZD7,G6PC,ID1,MYC,NUDT7,SH2D4A,STAT5B,TNF	153 (17)
STAT5a/b	 	group	 	0.152	4.51E-04	4.62E-03	BCL6,Chil3/Chil4,CISH,DUSP1,ID2,IL1A,PIM1,SOCS3	53 (4)
PNPLA2	0.674	enzyme	 	0.540	4.51E-04	4.62E-03	ACADL,Acot1,ACOT2,CPT1A,Gstm3,PNPLA2,SREBF1,TNF	57 (4)
C3	 	peptidase	 	1.459	4.51E-04	4.62E-03	CASP3,CCL3L3,Ccl9,CXCL2,CXCL3,IL1A,IL1B,TNF	87 (13)
STEAP3	-0.629	transporter	 	-0.707	4.51E-04	4.62E-03	Cd24a,CEBPB,HSPA8,ITGB3,KLF15,P4HA1,PIK3R1,TFRC	 
HDAC5	-0.463	transcription regulator	 	0.000	4.65E-04	4.67E-03	ACADL,CDKN1A,CPT1A,G6PC,IGFBP1,MYC	 
CTSC	 	peptidase	 	 	4.74E-04	4.67E-03	CXCL3,IL1B,TNF	83 (11)
ALDH3A2	 	enzyme	 	 	4.74E-04	4.67E-03	GCLC,GSTA5,HMOX1	 
AMBP	 	transporter	 	 	4.74E-04	4.67E-03	CXCL2,CXCL3,IL1B	42 (5)
PRSS8	 	peptidase	 	 	4.74E-04	4.67E-03	IL1A,IL1B,OCLN	 
CBLC	 	enzyme	 	 	4.74E-04	4.67E-03	DDIT3,HMOX1,TNF	 
Muc1	 	transmembrane receptor	 	 	4.74E-04	4.67E-03	CXCL2,PDGFA,TNF	20 (4)
YAP/TAZ	 	group	 	 	4.74E-04	4.67E-03	HSP90AA1,HSPA1A/HSPA1B,HSPB1	 
E2F1	 	transcription regulator	Inhibited	-2.186	4.74E-04	4.67E-03	ACADL,CASP3,CASP7,DUSP1,FGFR2,HES1,Hspa1b,ID3,IDH3A,IRS2,MYC,PIK3R1,Pmaip1,SERPINE1	50 (5)
Esrra	 	transcription regulator	 	0.333	4.93E-04	4.76E-03	ACADL,ALDOA,APOA4,CPT1A,CRAT,FABP2,HSD3B1,IDH3A,IL1A,LEPR,PYGL,TNF	 
LECT2	 	other	 	-0.343	4.94E-04	4.76E-03	CCL3L3,CXCL3,IL1B,TNF	70 (8)
COL2A1	 	other	 	 	4.94E-04	4.76E-03	DDIT3,IL1B,TNF,XBP1	 
CTSB	 	peptidase	 	1.953	4.94E-04	4.76E-03	CXCL2,CXCL3,IL1B,TNF	52 (9)
HAX1	 	other	 	1.982	4.94E-04	4.76E-03	ABCB11,ABCG5,ABCG8,NR0B2	 
LEPR	2.161	transmembrane receptor	 	-0.728	5.14E-04	4.93E-03	ANGPTL4,APOA4,ATP2A2,BTG1,CCAR1,CCL3L3,GATA4,GCK,ID2,IRS2,LEPR,SERPINE1,SOCS3,SREBF1,TNF	168 (17)
SCARB1	 	transporter	 	-1.664	5.69E-04	5.42E-03	ABCG5,ABCG8,DDIT4,IL1B,SREBF1,TNF	173 (18)
SLC13A1	 	transporter	 	-0.302	5.69E-04	5.42E-03	ACLY,APOA4,AQP8,ARRDC2,BYSL,FABP2,G0S2,HSPA8,HSPB1,NRN1,XBP1	 
RETNLB	 	other	 	-1.265	5.76E-04	5.43E-03	CASP3,CCL3L3,Ccl9,CCN4,FZD6,IL1B,KLF15,MYC,MYCT1,STOM	 
SOCS1	 	other	 	-1.808	5.76E-04	5.43E-03	CDKN1A,Chil3/Chil4,CISH,DUSP1,FKBP5,IL1B,IRS2,Mx2,SOCS3,TNF	176 (17)
RXRA	 	ligand-dependent nuclear receptor	 	-1.657	5.86E-04	5.50E-03	Ccl9,CYP1A2,CYP4A11,CYP7A1,FOXA1,GCLC,IL1A,IL1B,PDGFA,SREBF1,TNF,WEE1	39 (5)
Histone h3	 	group	 	 	6.05E-04	5.66E-03	ADRA1B,CDKN1A,FGFR2,FOXA2,GATA4,GATA6,GCNT4,HES1,HNF4A,ID2,IKZF4,IL1B,LRAT,MGLL,PTGR1,SOCS3,SREBF1,TNFAIP3,TRIB1	 
CYP1A1	-1.067	enzyme	 	1.667	6.25E-04	5.82E-03	CYP26A1,ETHE1,GSTM2,Gstm3,ODC1,PTP4A1,RGS16,SHANK2,SLC46A3,Slco1a1,WEE1	 
