© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
PCSK9	 	peptidase	Activated	2.213	 	2.13E-05	4.64E-04	Ccl2,CYP7A1,ICAM1,IL1B,TLR2,TRAF6	 
NFKBIA	-0.592	transcription regulator	Activated	2.449	 	2.31E-05	5.00E-04	Ccl2,CCL3L3,CXCL2,CXCL3,HES1,ICAM1,IL1B,S100A8,S100A9,TAT,TLR2,TNF	84 (7)
MAP3K8	 	kinase	Activated	2.367	 	2.38E-05	5.05E-04	ARRDC3,CBFB,Ccl2,CEBPD,Cxcl11,CXCL2,CXCL3,GPR146,IER3,IER5,IL1B,JUNB,PTGER2,RGS3,SOCS3,TNF,TXNIP,ZC3H6	135 (17)
SOCS1	 	other	Inhibited	-2.354	bias	2.38E-05	5.05E-04	ACOD1,CCND1,CISH,CXCL10,DUSP1,GBP5,GBP6,IL1B,IRF1,IRS2,Mx2,SOCS3,TNF	133 (15)
NLRP12	 	other	Inhibited	-2.646	bias	2.43E-05	5.08E-04	BCL3,CXCL2,ICAM1,IL1B,MAP3K14,TIRAP,TNF	109 (12)
TRPV4	 	ion channel	Activated	2.606	bias	2.43E-05	5.08E-04	Ccl2,CCL3L3,CXCL10,CXCL2,PPARGC1A,SOCS3,TLR2	 
GFI1	 	transcription regulator	Inhibited	-2.409	bias	2.68E-05	5.53E-04	BCL3,Ccl2,FOSL2,FOXO1,ICAM1,ID2,IL1B,IRF1,MAFB,NFKBIA,RELB,RIPK1,S1PR1,SGK1,TNF,TNFRSF1A	128 (13)
THRA	 	ligand-dependent nuclear receptor	 	-0.171	 	2.70E-05	5.53E-04	ANGPTL4,ATF4,Ccl2,CCND1,CIRBP,CXCL10,Cxcl11,CXCL2,CXCL3,CYP7A1,HMOX1,TNF	143 (12)
PTGER4	 	G-protein coupled receptor	Inhibited	-3.152	 	2.90E-05	5.87E-04	ARRDC3,Ccl2,CCL3L3,CCNG2,CXCL10,CXCR4,DAXX,DYRK1B,FBXL20,GBP6,HCAR2,IL1B,IRF1,MAFB,Mx2,S1PR1,TNF,TP53INP1	120 (11)
PARP14	 	enzyme	 	0.200	 	2.94E-05	5.87E-04	CXCL10,F3,ID3,Mx2,PIM1	 
mir-15	 	microRNA	 	0.232	 	2.94E-05	5.87E-04	Ccl2,CCND1,CCNE1,IL1B,Rnf125	 
NR3C1	 	ligand-dependent nuclear receptor	Inhibited	-3.146	 	2.98E-05	5.90E-04	ANGPTL4,Ccl2,CCL3L3,CEBPD,CXCL10,Cxcl11,DDIT4,DUSP1,FBXO30,G6PC,HCAR2,HNF4A,IGFBP1,IL1B,MKNK2,NFKBIA,OCLN,ONECUT1,PCK1,SGK1,SLC25A33,TAT,TNF,TSC22D3,UGCG	157 (16)
IL6	 	cytokine	Activated	2.485	 	3.14E-05	6.17E-04	APCS,BMP2,Ccl2,CCL3L3,CCND1,CCNE1,CXCL2,CXCL3,ICAM1,ID1,ID2,JUNB,SAA1,SLC39A14,Slco1a4,SOCS3,STAT3,TNF,TNFRSF1A,TNFRSF1B,VEGFA	161 (15)
MSR1	 	transmembrane receptor	 	-0.235	 	3.28E-05	6.28E-04	ACOD1,CXCL10,CXCL2,CXCL3,IL1B,TNF	122 (14)
EZR	 	other	 	0.808	 	3.28E-05	6.28E-04	ATF3,ATF4,DDIT4,IL1B,TNF,TRIB3	69 (8)
LAMA5	 	other	 	1.455	bias	3.28E-05	6.28E-04	Ccl2,CCL3L3,CXCL10,CXCL3,TNF,TNFRSF1B	 
ZBTB10	 	other	Activated	4.231	bias	3.86E-05	7.34E-04	ACOD1,AGO3,ARID5A,CASP4,CCL3L3,CXCL10,GBP5,GBP6,IL1B,IRF1,MAP3K14,Mx2,MYD88,RELB,SERPINE1,STAT2,TNF,TNFRSF1A	 
NR5A2	 	ligand-dependent nuclear receptor	 	-0.711	 	4.12E-05	7.76E-04	CEBPB,CEBPD,CXCL10,CYP7A1,FOXA2,Hspa1b,ICAM1,IGFBP1,IL1B,JUNB,ONECUT1,TNF,TNFRSF1B	26 (4)
KLF2	 	transcription regulator	 	-1.226	 	4.58E-05	8.28E-04	Ccl2,CXCL2,F3,GATA4,IL1B,NFKBIA,S1PR1,TFRC,TNF	44 (6)
CD14	 	transmembrane receptor	Activated	2.183	bias	4.58E-05	8.28E-04	Ccl2,CCL3L3,CISH,CXCL2,IL1B,SOCS3,TNF	106 (11)
TLR8	 	transmembrane receptor	 	1.977	 	4.60E-05	8.28E-04	Ccl2,CXCL2,IL1B,TNF	47 (6)
mir-873	 	microRNA	 	1.192	 	4.60E-05	8.28E-04	Ccl2,CXCL3,TNF,TNFAIP3	84 (7)
BIRC2	 	enzyme	 	0.152	 	4.60E-05	8.28E-04	CCNE1,CSF1,MAP3K14,TNF	114 (12)
PILRA	 	other	 	-0.577	 	4.60E-05	8.28E-04	Ccl2,CXCL2,IL1B,TNF	 
SAA1	3.992	transporter	Activated	2.425	bias	4.88E-05	8.72E-04	Ccl2,CCL3L3,CXCL10,IL1B,S100A8,S100A9	79 (10)
IL17RD	 	other	Inhibited	-2.219	bias	5.20E-05	9.14E-04	Ccl2,CXCL3,IL1B,Retnlg,S100A9	85 (6)
COL2A1	 	other	 	 	 	5.20E-05	9.14E-04	ATF4,HSPA5,IL1B,TNF,XBP1	 
CBL	 	transcription regulator	Inhibited	-2.579	bias	6.13E-05	1.07E-03	CCL3L3,CXCL2,CXCL3,HMOX1,IL17RA,IL1B,TNF	126 (18)
GJA1	 	transporter	Activated	2.433	 	7.06E-05	1.21E-03	BMP2,CCND1,FOXO1,GJB2,IL1B,TNF	74 (4)
MAPK7	 	kinase	 	0.808	 	7.06E-05	1.21E-03	CXCL2,CXCL3,IL1B,PTGER2,STEAP4,VEGFA	 
CXCR2	 	G-protein coupled receptor	 	-0.186	 	7.06E-05	1.21E-03	Ccl2,CCL3L3,CXCL10,CXCL2,CXCL3,TNF	136 (12)
C1QTNF12	 	other	 	 	 	7.73E-05	1.27E-03	Ccl2,IL1B,TNF	54 (7)
IKK (complex)	 	complex	 	 	 	7.73E-05	1.27E-03	CXCL10,IL1B,TNF	115 (11)
TOX	 	transcription regulator	 	 	 	7.73E-05	1.27E-03	FOXO1,ID2,ZBTB7B	 
SFRP5	 	transmembrane receptor	 	 	 	7.73E-05	1.27E-03	Ccl2,IL1B,TNF	 
AGTRAP	 	G-protein coupled receptor	 	 	 	7.73E-05	1.27E-03	Ccl2,HMOX1,VEGFA	 
VTN	 	other	 	 	 	7.73E-05	1.27E-03	CXCL3,IL1B,TNF	110 (11)
FOXO1	-0.908	transcription regulator	 	0.055	 	8.07E-05	1.31E-03	BLNK,CCND1,CCNF,CYP7A1,FOXA2,FOXO1,G6PC,GCK,GPR17,HSPA5,IGFBP1,IRS2,JUNB,MAVS,NDUFAF4,PCK1,PDK4,PPARGC1A,Prg4,S1PR1,STAT2,STAT5B,TXNIP	133 (9)
EGR1	 	transcription regulator	Activated	3.243	bias	8.41E-05	1.36E-03	Ccl2,CCL3L3,CXCL2,CXCL3,F3,GADD45A,HMOX1,ICAM1,IL1B,JUNB,SERPINE1,TNF	113 (7)
SLC7A2	-1.068	transporter	 	-1.342	 	8.60E-05	1.36E-03	CCL3L3,CXCL10,CXCL2,CXCL3,IL1B	 
NELFB	 	other	 	-0.447	 	8.60E-05	1.36E-03	ATF3,CCN2,GADD45A,MKNK2,VEGFA	 
mir-146	 	microRNA	Inhibited	-2.111	bias	8.60E-05	1.36E-03	Ccl2,IL1B,MYD88,TNF,TRAF6	130 (13)
PIK3R1	0.543	kinase	 	1.393	 	8.65E-05	1.36E-03	ATF4,CXCL10,F3,FOXO1,HMOX1,HSPA5,IL1B,PIK3R1,TNF,TRIB3,TXNIP	137 (18)
SAMSN1	1.584	other	Activated	3.051	bias	8.76E-05	1.37E-03	ARID5A,CCL3L3,CXCL10,Cxcl11,CXCL2,DAXX,IRF1,Mx2,NFKBIZ,PELI1,SOCS3,STAT2,TNF	97 (7)
PPARGC1A	-0.970	transcription regulator	 	-0.909	 	9.37E-05	1.45E-03	ALAS1,CEBPB,CEBPD,CTSC,CXCL10,CYP7A1,FBXO32,G6PC,HMOX1,IRS2,MAP2K6,PCK1,PDK4,PIK3R1,PPARGC1A,SLC25A25,SOCS3,TNF,TRIB3,VEGFA,WDR77	 
RORA	 	ligand-dependent nuclear receptor	 	-0.515	 	9.44E-05	1.45E-03	Ccl2,CCL3L3,CISH,CXCL10,CYP2B6,G6PC,IGFBP1,IL1B,KCNK5,LPIN2,LRTM1,NFKBIA,PCK1,S100A8,S100A9,SLC15A4,Slco1a4,TNF	159 (15)
IL1A	 	cytokine	Activated	2.937	 	9.94E-05	1.50E-03	Ccl2,CXCL10,CXCL2,CXCL3,IL1B,NFKBIZ,S100A8,STAT3,TNF	95 (12)
PRKCA	 	kinase	 	1.663	 	9.95E-05	1.50E-03	CXCL2,CXCL3,ID1,S100A8,S100A9,TNF	115 (13)
STAT6	 	transcription regulator	 	-0.328	 	9.96E-05	1.50E-03	ARID5A,BCL3,Ccl2,CCL3L3,Cd24a,CISH,CNR2,CXCL10,CXCL2,CXCL3,EFHD2,GBP5,GBP6,IL1B,IRF1,IRS2,LY6D,NFKBIA,NMD3,PDK4,PPARGC1A,SAMSN1,SOCS2,STAT2,STAT5B,TBC1D17,TMED8,TNF,TNIP2,XBP1	173 (16)
EGFR	 	kinase	Activated	3.228	bias	1.01E-04	1.52E-03	CCND1,CD3EAP,CEBPB,F3,IL1B,IRF1,JUNB,ODC1,QTRT2,RANBP1,SERPINE1,TIMM10,TNF,TRMT2A,UBE2S,WEE1	144 (15)
ST14	 	peptidase	 	1.981	bias	1.04E-04	1.55E-03	CXCL2,ICAM1,IL1B,TNF	 
GNB2	 	enzyme	 	 	 	1.11E-04	1.62E-03	CCL3L3,CXCL3,DUSP1,FOSL2,IER3,IL1B,MAFB,TSC22D3	 
GNB1	 	enzyme	 	 	 	1.11E-04	1.62E-03	CCL3L3,CXCL3,DUSP1,FOSL2,IER3,IL1B,MAFB,TSC22D3	 
MAPK8	 	kinase	 	0.987	 	1.11E-04	1.62E-03	Ccl2,CCND1,CEBPB,DUSP1,FOSL2,GADD45A,GCK,HMOX1,IL1B,SESN2,TNF,TNFAIP3,ZFP36	172 (19)
ERK1/2	 	group	Activated	2.613	bias	1.15E-04	1.67E-03	Ccl2,CCL3L3,CXCL3,F3,IL1B,IRS2,JUNB,SERPINE1,SOCS3,SYVN1,TNF	114 (13)
PRKAA	 	group	 	-1.432	 	1.35E-04	1.90E-03	Ccl2,CXCL10,G6PC,PPARGC1A,TNF	48 (6)
ELANE	 	peptidase	 	1.982	bias	1.35E-04	1.90E-03	CCL3L3,CEBPD,CXCL2,IL1B,TNF	52 (8)
IL17RA	0.606	transmembrane receptor	Activated	2.400	bias	1.35E-04	1.90E-03	Ccl2,CXCL2,CXCL3,IL1B,S100A8,S100A9,TNF	149 (16)
IFNGR1	 	transmembrane receptor	 	1.967	 	1.36E-04	1.90E-03	Ccl2,CCL3L3,CXCL10,CXCL3,ICAM1,IL1B,TNF,TNFRSF1A	98 (14)
CYB5R4	 	enzyme	 	-1.605	bias	1.37E-04	1.90E-03	ATF3,EIF2S1,HMOX1,HSPA5,PPARGC1A,XBP1	 
IL23A	 	cytokine	Activated	2.425	bias	1.37E-04	1.90E-03	Ccl2,CXCL10,IL1B,S100A8,S100A9,TNF	123 (13)
CLEC4E	 	other	Activated	2.383	bias	1.37E-04	1.90E-03	Ccl2,CCL3L3,CXCL2,CXCL3,IL1B,TNF	72 (12)
THBS4	 	other	Activated	2.425	 	1.37E-04	1.90E-03	ATF4,Ccl2,CXCL10,HSPA5,ICAM1,MANF	 
NOD2	 	other	Activated	2.607	bias	1.42E-04	1.95E-03	ACOD1,CXCL10,CXCL2,CXCL3,ICAM1,IL1B,MEFV,NFKBIA,TNF	103 (12)
IL2	 	cytokine	 	1.342	 	1.42E-04	1.95E-03	CASP4,Ccl2,CISH,CSF1,CXCL10,CXCL3,HSPA5,IKZF4,IL1B,PELI1,PTGER2,RPS6KA5,SOCS2,SOCS3,STAT5B,TLR2,TNF,TNFRSF1A,TNFRSF1B	178 (17)
DOCK8	 	other	Activated	2.111	bias	1.51E-04	2.06E-03	ARID5A,CXCL10,Cxcl11,DAXX,IRF1,Mx2,NFKBIZ,PELI1,RGS1,STAT2,TNF	 
ID3	2.939	transcription regulator	 	0.508	 	1.54E-04	2.08E-03	BCL3,CCNE1,CCNG2,CEBPB,CSF1,CXCR4,DUSP1,E2F2,ETS2,FOXO1,FOXO3,ICAM1,IKZF4,MAP2K6,MAP3K14,PIK3R1,RELB,SOCS3,TNFRSF1A	 
NR1I3	 	ligand-dependent nuclear receptor	 	0.894	bias	1.56E-04	2.10E-03	ALAS1,APCS,CYP2B6,CYP7A1,G6PC,HNF4A,ICAM1,INSIG2,PCK1,Slco1a4,STEAP4,TNFAIP2,TNFRSF1A	 
STAT5A	 	transcription regulator	 	0.093	 	1.66E-04	2.22E-03	CASP4,Ccl2,CCL3L3,CCND1,CCNE1,CEBPB,CISH,FOSL2,GADD45A,ID2,PIM1,SOCS2,SOCS3,STAT5B,TNF,TNFRSF1A,ZFP36	103 (14)
PTPRJ	 	phosphatase	Activated	2.333	bias	1.68E-04	2.23E-03	ARID5A,CCL3L3,CEBPD,Cxcl11,CXCL2,CXCL3,Mx2,NFKBIZ,TNF	102 (10)
Map3k7	 	kinase	 	0.590	 	1.72E-04	2.28E-03	Ccl2,CCL3L3,CXCL10,Cxcl11,CXCL3,IL1B,Mx2,NFKBIA,NFKBIZ,S100A9,TNF	116 (12)
STAT5B	-0.706	transcription regulator	 	-0.471	 	1.79E-04	2.36E-03	A1BG,ACOT1,ASAP1,CASP4,CCL3L3,CCND1,CCNE1,CISH,CYP2B6,GADD45A,KRT19,OMD,PDK4,RABIF,RFX4,SLC16A5,Slco1a4,SOCS2,SYBU,TNF,TNFRSF1A,ZFP36	61 (5)
IFNAR1	 	transmembrane receptor	Activated	2.133	 	1.91E-04	2.48E-03	ACOD1,ATF3,CCL3L3,CSF1,CXCL10,Cxcl11,CXCL2,CXCL3,IL1B,IRF1,SERPINE1,SOCS3,TLR2,TNF,TNFAIP2,TNFAIP3	136 (13)
MXD1	 	transcription regulator	Inhibited	-2.714	bias	1.96E-04	2.48E-03	IARS1,MARS2,MYBBP1A,MYCL,MYD88,NOP14,NOP2,NOP56,NOP58,RARS1,TOP1	 
GPS2	 	transcription regulator	 	-1.000	 	1.98E-04	2.48E-03	ASAP1,BLNK,Ccl2,CCL3L3,DHRS3,FOXO1,RAB20,SGK1,TNF	26 (4)
NFkB (complex)	 	complex	Activated	3.031	bias	2.00E-04	2.48E-03	Ccl2,CCL3L3,CCND1,CXCL10,CXCL2,CXCL3,ICAM1,IL1B,NFKBIA,SOCS3,TFRC,TLR2,TNF,TNFAIP3	134 (16)
PI3K (complex)	 	complex	 	0.610	bias	2.00E-04	2.48E-03	Ccl2,CCND1,CCNE1,CXCL10,CYP7A1,DDIT4,DUSP1,FBXO32,HMOX1,IL1B,RFX4,TNF	137 (15)
GPR84	 	G-protein coupled receptor	Activated	2.000	bias	2.00E-04	2.48E-03	Ccl2,CCL3L3,IL1B,TNF	95 (8)
PPT1	 	enzyme	Inhibited	-2.000	bias	2.00E-04	2.48E-03	Ccl2,CXCL10,CXCL3,TNF	 
TRIM38	 	other	 	-0.298	 	2.00E-04	2.48E-03	CXCL10,IL1B,TNF,TRAF6	113 (15)
CD5L	 	transmembrane receptor	 	-1.732	 	2.00E-04	2.48E-03	Ccl2,IL1B,TLR2,TNF	63 (9)
PLCE1	 	enzyme	 	1.969	bias	2.00E-04	2.48E-03	Ccl2,CXCL2,CXCL3,TNF	81 (10)
MVP	 	other	 	1.959	bias	2.00E-04	2.48E-03	CXCL2,CXCL3,IL1B,TNF	 
VCAN	 	other	 	0.555	 	2.02E-04	2.48E-03	Ccl2,CCL3L3,CXCL3,IL1B,TNF	54 (7)
PRF1	 	transporter	 	 	 	2.02E-04	2.48E-03	Ccl2,CCL3L3,CXCL10,IL1B,TNF	102 (13)
E2F1	 	transcription regulator	 	-0.328	 	2.08E-04	2.55E-03	AMY2B,BOK,CCND1,CCNE1,CDC25A,DUSP1,HES1,Hspa1b,ID3,IRS2,PDK4,PIK3R1,PPARGC1A,SERPINE1,TP53INP1,ZFP36	 
JAK1	 	kinase	Activated	2.621	bias	2.16E-04	2.58E-03	BCL3,CCL3L3,ID1,IL1B,SAA1,SOCS3,STAT3	103 (10)
MALT1	 	peptidase	 	0.933	bias	2.16E-04	2.58E-03	CXCL2,CXCL3,FOXO1,FOXO3,IKZF4,S100A8,TNF	123 (14)
IL12A	 	cytokine	Activated	2.565	 	2.16E-04	2.58E-03	CXCL10,ICAM1,IL1B,SOCS3,STAT2,STAT3,TNF	119 (12)
BCL3	2.650	transcription regulator	 	-1.910	 	2.16E-04	2.58E-03	CXCL10,CXCL2,CXCL3,ICAM1,IL1B,NFKBIA,TNF	129 (15)
TLR7	 	transmembrane receptor	 	1.794	bias	2.17E-04	2.59E-03	ATF3,Ccl2,CCND1,CEBPB,CXCL2,CXCL3,ETS2,GPR17,IRF1,JUNB,NFKBIA,SLC12A3,STAT2,TNF,TNFAIP3	125 (16)
PPARA	 	ligand-dependent nuclear receptor	 	-1.393	 	2.28E-04	2.70E-03	ANGPTL4,APCS,Ccl2,CCND1,CEBPB,CEBPD,CYP2B6,CYP7A1,DYNLL1,ETHE1,FBXO21,G6PC,GCK,H2AX,HNF4A,IL1B,LY6D,NFKBIA,PAQR7,PCK1,PDK4,PHLDA1,PPARGC1A,RFX4,RNF186,S100A8,S100A9,SAA1,SOCS2,SRM,TLR2,TNF	126 (9)
Mt1	 	other	Inhibited	-2.219	bias	2.45E-04	2.88E-03	ATF3,CCND1,ETS2,IL1B,SERPINE1,TNF	85 (7)
Mt2	 	other	Inhibited	-2.219	bias	2.45E-04	2.88E-03	ATF3,CCND1,ETS2,IL1B,SERPINE1,TNF	85 (7)
CARD9	 	other	 	1.720	bias	2.68E-04	3.13E-03	Ccl2,CXCL10,CXCL2,CXCL3,IL1B,TLR2,TNF	106 (15)
TRAF3IP2	 	enzyme	Activated	2.634	bias	2.71E-04	3.15E-03	Ccl2,CCN2,CSF1,CXCL2,CXCL3,ICAM1,IL1B,NFKBIZ,STEAP4,TNF	126 (13)
CASP8	 	peptidase	 	-0.415	 	2.89E-04	3.28E-03	CCL3L3,CSF1,CXCL10,Cxcl11,IL1B,NLRP3,S100A9,TNF	85 (13)
SHARPIN	 	other	Inhibited	-2.000	 	2.93E-04	3.28E-03	CASP4,CXCL10,IL1B,RIPK1,TNFAIP3	86 (11)
PROCR	 	other	 	-1.218	 	2.93E-04	3.28E-03	Ccl2,GBP6,IL1B,PELI1,TNF	 
SPTLC2	 	enzyme	 	-1.387	bias	2.93E-04	3.28E-03	ATF4,CCN2,EIF2AK3,HSPA5,XBP1	53 (3)
CCL5	 	cytokine	Activated	2.227	bias	2.93E-04	3.28E-03	CCL3L3,CXCL2,CXCL3,IL1B,TNF	137 (14)
IKBIP	 	other	 	 	 	3.00E-04	3.28E-03	CXCL2,NFKBIZ,TNF	116 (11)
RNF152	-1.342	enzyme	 	 	 	3.00E-04	3.28E-03	CXCL10,IL1B,TNF	 
MCOLN2	 	ion channel	 	 	 	3.00E-04	3.28E-03	Ccl2,CCL3L3,CXCL3	 
miR-130a-3p (and other miRNAs w/seed AGUGCAA)	 	mature microRNA	 	 	 	3.00E-04	3.28E-03	CXCL2,CXCL3,TNF	65 (8)
LUM	 	other	 	 	 	3.00E-04	3.28E-03	CXCL2,IL1B,TNF	 
RBP3	 	transporter	 	 	 	3.00E-04	3.28E-03	RIPK1,TNF,TNFRSF1A	 
PELI2	 	enzyme	 	 	 	3.00E-04	3.28E-03	CXCL2,IL1B,TNF	85 (13)
PIK3CG	 	kinase	 	0.208	 	3.13E-04	3.42E-03	Ccl2,CXCL10,CXCR4,FOSL2,GBP5,GBP6,ICAM1,IL17RA,IL1B,IRF1,TLR2,TNF	143 (17)
EP300	 	transcription regulator	 	 	 	3.17E-04	3.44E-03	ARHGEF3,ARID5A,CXCR4,CYP7A1,DHRS3,FOSL2,FOXO1,FRMD4B,HDAC11,ID1,ID2,NPAS2,PCK1,PDK4,PPARGC1A,RASA3,Rnf125,SLC7A11,SOCS3,TIPARP,TNF,TNFAIP3	 
FLT3LG	 	cytokine	 	1.000	bias	3.20E-04	3.46E-03	CXCL2,CXCL3,CXCR4,IL1B,SLC12A3,TNF	 
NOS3	 	enzyme	 	-1.732	 	3.31E-04	3.53E-03	BMP2,Ccl2,CCN2,CXCL3,F3,ICAM1,TNF	153 (18)
MTTP	 	transporter	 	-1.980	 	3.31E-04	3.53E-03	CCL3L3,CXCL3,EIF2AK3,EIF2S1,HSPA5,TNF,XBP1	 
IFIH1	 	enzyme	 	1.242	bias	3.31E-04	3.53E-03	CISH,CXCL10,CXCL2,NFKBIA,PHLDA1,RND3,TNF	132 (15)
OLFM4	 	other	 	-1.980	bias	3.49E-04	3.62E-03	Ccl2,CCL3L3,IL1B,TNF	72 (4)
PPP1R15B	0.411	phosphatase	 	0.000	bias	3.49E-04	3.62E-03	ATF4,CEBPG,SESN2,TRIB3	 
SELE	 	transmembrane receptor	 	0.105	 	3.49E-04	3.62E-03	Ccl2,CCL3L3,IL1B,TNF	125 (15)
OGG1	 	enzyme	 	1.896	 	3.49E-04	3.62E-03	CCL3L3,CXCL2,IL1B,TNF	79 (10)
COCH	 	other	Activated	2.000	bias	3.49E-04	3.62E-03	Ccl2,CXCL2,IL1B,TNF	 
CTTN	 	other	 	1.982	bias	3.49E-04	3.62E-03	Ccl2,CXCL2,IL1B,TNF	 
KAT2A	 	enzyme	Activated	3.000	bias	3.67E-04	3.79E-03	CCND1,CDC25A,CDCA7,E2F2,G6PC,HSP90AA1,PCK1,RANBP1,UBE2S	 
HMOX1	0.931	enzyme	Inhibited	-2.021	 	4.05E-04	4.04E-03	Ccl2,CXCL10,H2AX,HMOX1,ICAM1,IL1B,TNF	140 (16)
IRS2	-1.143	enzyme	 	1.500	 	4.05E-04	4.04E-03	G6PC,GCK,HMOX1,IGFBP1,PCK1,PPARGC1A,TNF	101 (10)
ARHGAP21	 	other	Activated	2.828	bias	4.07E-04	4.04E-03	ARID5A,CXCL10,Cxcl11,CXCL2,IRF1,Mx2,NFKBIZ,TNF	 
Ciap	 	group	Inhibited	-2.186	bias	4.11E-04	4.04E-03	Ccl2,CCL3L3,CCND1,CXCL2,IL1B,TNF	127 (12)
BCL2L11	 	other	 	-1.732	 	4.11E-04	4.04E-03	Ccl2,CCL3L3,CCND1,CXCL2,IL1B,TNF	90 (14)
GLI1	 	transcription regulator	 	1.964	 	4.11E-04	4.04E-03	Ccl2,CCND1,CSF1,PIM1,SOCS2,SOCS3	 
CYBB	 	enzyme	 	1.342	 	4.11E-04	4.04E-03	Ccl2,CCN2,CXCL10,CXCL3,IL1B,TNF	133 (17)
NPM1	 	transcription regulator	 	 	 	4.11E-04	4.04E-03	Ccl2,CSF1,CXCL2,CXCL3,VEGFA	96 (7)
ZBP1	 	other	 	1.342	bias	4.11E-04	4.04E-03	CCL3L3,CXCL10,IL1B,NFKBIA,TNF	82 (6)
ONECUT1	2.224	transcription regulator	 	 	 	4.11E-04	4.04E-03	CYP7A1,FOXA2,G6PC,HNF4A,ONECUT1	 
RBP4	 	other	Activated	2.199	bias	4.11E-04	4.04E-03	Ccl2,IL1B,MYD88,NLRP3,TNF	47 (5)
CNR2	-0.729	G-protein coupled receptor	 	1.461	 	4.11E-04	4.04E-03	Ccl2,CCN2,IL1B,NPHS1,TNF	76 (11)
ID2	2.035	transcription regulator	 	0.000	 	4.18E-04	4.09E-03	BCL3,CCNE1,CCNG2,CEBPB,CSF1,CXCR4,DUSP1,E2F2,ETS2,FOXO1,FOXO3,ICAM1,ID3,IKZF4,MAP2K6,MAP3K14,PIK3R1,RELB,SOCS3,TNFRSF1A	 
RIPK2	 	kinase	Activated	2.655	 	4.56E-04	4.44E-03	ACOD1,Ccl2,CXCL10,CXCL2,CXCL3,CYP7A1,ICAM1,MEFV,PPARGC1A,TNF	117 (13)
ATF4	0.583	transcription regulator	 	0.718	bias	4.62E-04	4.48E-03	ATF3,CEBPB,CEBPG,CYP7A1,DDIT4,GADD45A,HNF4A,IARS1,MID1IP1,PCK1,SLC38A2,TRIB3,VEGFA,WARS1	89 (6)
STAT1	 	transcription regulator	Activated	2.569	 	4.73E-04	4.57E-03	ACOD1,CASP4,Ccl2,CCL3L3,CXCL10,Cxcl11,CXCL3,GBP5,GBP6,ICAM1,IL1B,IRF1,Mx2,SOCS3,STAT2,STAT3,TNF,TRAFD1	166 (14)
GLI2	 	transcription regulator	 	 	 	4.88E-04	4.65E-03	CCL3L3,CCND1,CXCL10,CXCL2,CXCL3,FOXA2,IL1B,RCAN1,TNF	 
SCD	 	enzyme	 	0.519	 	4.88E-04	4.65E-03	ANGPTL4,Ccl2,CCL3L3,CXCL10,IL1B,PDK4,PPARGC1A,PTPN1,TNF	117 (14)
Ccl2	3.489	cytokine	Activated	2.745	 	4.88E-04	4.65E-03	Ccl2,CCL3L3,CSF1,CXCL10,CXCL2,CXCL3,IL1B,TBX3,TNF	121 (13)
TNFSF11	 	cytokine	 	-0.092	 	4.91E-04	4.67E-03	MAFB,NFKBIA,RELB,SH3PXD2A,SRC,TNF,TRAF6	 
ZC3H12A	 	enzyme	 	-1.732	 	5.22E-04	4.92E-03	Ccl2,CEBPB,CEBPD,IL1B,TNF,TNFRSF1B	132 (15)
LTB4R	 	G-protein coupled receptor	Activated	2.449	 	5.22E-04	4.92E-03	Ccl2,CCL3L3,CXCL3,PTPN1,TNF,VEGFA	84 (13)
MAPK14	 	kinase	 	-0.353	 	5.28E-04	4.96E-03	Ccl2,CCND1,CXCL10,Cxcl11,DUSP1,G6PC,IL1B,MAP2K6,PCK1,PPARGC1A,TNF,ZFP36	106 (15)
FOS	 	transcription regulator	 	-0.243	 	5.47E-04	5.02E-03	ARID3A,ASAP1,B4GALT1,CCND1,CCNE1,CXCL10,F3,FLRT2,GATA4,HMOX1,HSPB8,IRS2,ODC1,PHLDA1,PTPN12,RIPK1,S100A8,S100A9,SOCS3,TIPARP,TNF,Tpm4,UGCG	87 (4)
BACH2	 	transcription regulator	 	-0.822	 	5.59E-04	5.02E-03	FOXO1,HMOX1,ID3,JUNB,MAFB,MYCL,S100A8,S100A9,XBP1	 
CYP1A2	 	enzyme	 	1.414	 	5.61E-04	5.02E-03	CCND1,CYP2B6,ETHE1,PWP1,RGS16,SOCS2,ST3GAL4,WEE1	 
LGALS3	 	other	 	0.194	 	5.61E-04	5.02E-03	Ccl2,CCL3L3,CEBPB,ICAM1,PPARGC1A,SAA1,SOCS3,TNF	131 (15)
CYP1B1	 	enzyme	 	1.414	 	5.61E-04	5.02E-03	CCND1,CYP2B6,ETHE1,PWP1,RGS16,SOCS2,ST3GAL4,WEE1	 
BIRC3	 	enzyme	 	0.577	 	5.62E-04	5.02E-03	CSF1,IL1B,MAP3K14,TNF	116 (13)
F630028O10Rik	 	other	 	-1.982	bias	5.62E-04	5.02E-03	Ccl2,CXCL2,IL1B,TNF	 
ACVRL1	 	kinase	 	 	 	5.62E-04	5.02E-03	ID1,PLAUR,SERPINE1,VEGFA	 
CRY1	 	enzyme	 	0.943	 	5.62E-04	5.02E-03	IL1B,PCK1,PER2,SGK1	 
BRD2	 	kinase	 	1.000	bias	5.62E-04	5.02E-03	Ccl2,IL1B,SLC4A1,TNF	 
