© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
CRY2	 	enzyme	 	 	 	3.42E-02	7.15E-02	FOS	 
ODC1	 	enzyme	 	 	 	3.42E-02	7.15E-02	SERPINE1	 
SELPLG	 	other	 	 	 	3.42E-02	7.15E-02	CD160	 
E2F6	 	transcription regulator	 	 	 	3.42E-02	7.15E-02	SERPINE1	 
OSTM1	 	other	 	 	 	3.42E-02	7.15E-02	FOS	 
IFRD1	 	other	 	 	 	3.42E-02	7.15E-02	MYOD1	 
MYZAP	 	other	 	 	 	3.42E-02	7.15E-02	FOS	 
CYP1A1	 	enzyme	 	 	 	3.50E-02	7.28E-02	Mt1,Mt2	 
EP300	 	transcription regulator	 	 	 	3.54E-02	7.36E-02	CD160,FOSL2,Rnf125	 
TET2	 	enzyme	 	 	 	3.56E-02	7.37E-02	IFI16,TRIB2	 
DICER1	 	enzyme	 	 	 	3.62E-02	7.47E-02	CD160,FOS,SERPINE1	 
ESR1	 	ligand-dependent nuclear receptor	 	 	 	3.66E-02	7.49E-02	FOS,FOSB,SOX4	 
SOX4	2.289	transcription regulator	 	 	 	3.70E-02	7.49E-02	Mt1,MYOD1	 
SLC30A7	 	transporter	 	 	 	3.73E-02	7.49E-02	IRS2	 
MYOG	 	transcription regulator	 	 	 	3.73E-02	7.49E-02	IFI16	 
PFKFB3	 	kinase	 	 	 	3.73E-02	7.49E-02	FGF2	 
ELAVL1	 	other	 	 	 	3.73E-02	7.49E-02	MYOD1	 
ITGB6	 	other	 	 	 	3.73E-02	7.49E-02	SERPINE1	 
SSTR2	 	G-protein coupled receptor	 	 	 	3.73E-02	7.49E-02	FOS	 
RGS2	 	enzyme	 	 	 	3.84E-02	7.65E-02	BTG2,ERRFI1	 
GATA4	 	transcription regulator	 	 	 	3.84E-02	7.65E-02	FGF2,TRIB2	 
RARA	 	ligand-dependent nuclear receptor	 	 	 	3.84E-02	7.65E-02	ELL2,FOSL2	 
METTL14	 	enzyme	 	 	 	4.03E-02	7.83E-02	THBS1	 
STK3	 	kinase	 	 	 	4.03E-02	7.83E-02	SOX4	 
CXCL12	 	cytokine	 	 	 	4.03E-02	7.83E-02	JUNB	 
MAPKAP1	 	other	 	 	 	4.03E-02	7.83E-02	IFI16	 
B4GALNT1	 	enzyme	 	 	 	4.03E-02	7.83E-02	FOS	 
TREX1	 	enzyme	 	 	 	4.03E-02	7.83E-02	IFI16	 
PLA2G2E	 	enzyme	 	 	 	4.03E-02	7.83E-02	SERPINE1	 
ITPR1	 	ion channel	 	 	 	4.03E-02	7.83E-02	FOS	 
FZD9	 	G-protein coupled receptor	 	 	 	4.34E-02	8.19E-02	IFI16	 
PRKG1	 	kinase	 	 	 	4.34E-02	8.19E-02	SERPINE1	 
MC4R	 	G-protein coupled receptor	 	 	 	4.34E-02	8.19E-02	FOS	 
NOTCH3	 	transcription regulator	 	 	 	4.34E-02	8.19E-02	KDR	 
PRLR	 	transmembrane receptor	 	 	 	4.34E-02	8.19E-02	FGF2	 
NF1	 	other	 	 	 	4.34E-02	8.19E-02	FGF2	 
SH3BP2	1.734	other	 	 	 	4.34E-02	8.19E-02	FOS	 
HDC	 	enzyme	 	 	 	4.34E-02	8.19E-02	FOS	 
Klra7 (includes others)	 	transmembrane receptor	 	 	 	4.34E-02	8.19E-02	Mt1	 
FOS	2.467	transcription regulator	 	 	 	4.59E-02	8.58E-02	FOS,IRS2,Mt2	 
PGF	 	growth factor	 	 	 	4.64E-02	8.58E-02	FOSB	 
SPTLC2	 	enzyme	 	 	 	4.64E-02	8.58E-02	THBS1	 
ZFPM2	 	transcription regulator	 	 	 	4.64E-02	8.58E-02	KDR	 
UBE3A	 	enzyme	 	 	 	4.64E-02	8.58E-02	SERPINE1	 
TNK1	 	kinase	 	 	 	4.64E-02	8.58E-02	IFI16	 
NOX4	 	enzyme	 	 	 	4.64E-02	8.58E-02	SERPINE1	 
MIR17HG	 	other	 	 	 	4.66E-02	8.59E-02	Sik1,SOX4	 
MAPK1	 	kinase	 	 	 	4.74E-02	8.71E-02	FOS,FOSL2	 
LEP	 	growth factor	 	 	 	4.77E-02	8.75E-02	CRHR2,FOS,SERPINE1	 
GAS2L3	 	other	 	 	 	4.94E-02	8.78E-02	BTG2	 
GLIS2	 	transcription regulator	 	 	 	4.94E-02	8.78E-02	SERPINE1	 
CASP3	 	peptidase	 	 	 	4.94E-02	8.78E-02	MYOD1	 
NREP	 	other	 	 	 	4.94E-02	8.78E-02	FGF2	 
NPY1R	 	G-protein coupled receptor	 	 	 	4.94E-02	8.78E-02	FOS	 
NT5E	 	phosphatase	 	 	 	4.94E-02	8.78E-02	SERPINE1	 
CD47	 	transmembrane receptor	 	 	 	4.94E-02	8.78E-02	KDR	 
RHOA	 	enzyme	 	 	 	4.94E-02	8.78E-02	FOS	 
Gm12602	 	other	 	 	 	4.94E-02	8.78E-02	BTG2	 
POU2F2	 	transcription regulator	 	 	 	4.94E-02	8.78E-02	ELL2	 
PRKN	 	enzyme	 	 	 	4.94E-02	8.78E-02	KDR	 
