© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
NFkB (complex)	 	complex	 	-0.747	 	1.85E-02	7.73E-02	BCL2L1,CYP3A5,NFKBIA,SOCS3	 
STAT4	 	transcription regulator	 	 	 	1.85E-02	7.73E-02	BCL2L1,GADD45G,RRAD	 
JAK	 	group	 	 	 	1.86E-02	7.73E-02	BCL2L1	 
Rps15a-ps4	 	other	 	 	 	1.86E-02	7.73E-02	NFKBIA	 
ADRM1	 	other	 	 	 	1.86E-02	7.73E-02	NFKBIA	 
Integrin alpha 4 beta 1	 	complex	 	 	 	1.86E-02	7.73E-02	BCL2L1	 
Iga	 	complex	 	 	 	1.86E-02	7.73E-02	PDGFB	 
MOAP1	 	other	 	 	 	1.86E-02	7.73E-02	HMOX1	 
FCGRT	 	transmembrane receptor	 	 	 	1.86E-02	7.73E-02	ALB	 
KLHL40	0.951	other	 	 	 	1.86E-02	7.73E-02	TP53INP1	 
STRA6	 	transporter	 	 	 	1.86E-02	7.73E-02	SOCS3	 
AGPS	 	enzyme	 	 	 	1.86E-02	7.73E-02	BCL2L1	 
PAGR1	 	other	 	 	 	1.86E-02	7.73E-02	CEBPD	 
ADCYAP1R1	 	G-protein coupled receptor	 	 	 	1.86E-02	7.73E-02	PER2	 
CIAPIN1	 	other	 	 	 	1.86E-02	7.73E-02	BCL2L1	 
HSPA1A/HSPA1B	2.680	enzyme	 	 	 	1.86E-02	7.73E-02	Hspa1b	 
Prl3d1 (includes others)	 	other	 	 	 	1.86E-02	7.73E-02	BCL2L1	 
DEK	 	transcription regulator	 	 	 	1.86E-02	7.73E-02	NFKBIA	 
RELA	 	transcription regulator	 	 	 	1.90E-02	7.90E-02	BCL2L1,HMOX1,NFKBIA,PDGFB	 
LCAT	 	enzyme	 	 	 	1.92E-02	7.90E-02	APOA1,UCP3	 
ZFP36	-0.751	transcription regulator	 	 	 	1.93E-02	7.90E-02	PLAU,SOCS1,ZFP36	 
HRAS	 	enzyme	 	 	 	1.93E-02	7.90E-02	ANKRD1,CCN2,PER2	 
PRKAA2	 	kinase	 	0.152	 	1.96E-02	8.00E-02	ALB,CYP3A5,NFKBIA,SOCS3	 
TRAF3IP2	 	enzyme	 	 	 	2.02E-02	8.16E-02	CCN2,CSF1,TNFRSF12A	 
NR1H4	 	ligand-dependent nuclear receptor	 	-0.068	 	2.02E-02	8.16E-02	AMBP,CYP3A5,S1PR1,UCP3	 
ING1	 	transcription regulator	 	 	 	2.08E-02	8.35E-02	ANGPTL4,ZFP36	 
PTCH1	 	transmembrane receptor	 	 	 	2.08E-02	8.35E-02	DLL4,MYOD1	 
GFI1	 	transcription regulator	 	1.951	bias	2.20E-02	8.79E-02	GADD45G,NFKBIA,S1PR1,SGK1	 
CBL	 	transcription regulator	 	 	 	2.25E-02	8.90E-02	HMOX1,UCP3	 
EIF2AK2	 	kinase	 	 	 	2.25E-02	8.90E-02	BCL2L1,Hspa1b	 
PIK3R1	 	kinase	 	 	 	2.28E-02	8.98E-02	BCL2L1,F3,HMOX1	 
STAT1	 	transcription regulator	 	0.524	 	2.37E-02	9.27E-02	CYP3A5,IFI16,PDGFA,SOCS1,SOCS3	 
TSC1	 	other	 	 	 	2.37E-02	9.27E-02	CCN2,HMOX1,PLAU	 
IRS1	 	enzyme	 	 	 	2.40E-02	9.31E-02	CEBPD,HMOX1,PDGFA,UCP3	 
FCGR2B	 	transmembrane receptor	 	 	 	2.42E-02	9.31E-02	SOCS1,SOCS3	 
DLL4	0.730	other	 	 	 	2.42E-02	9.31E-02	EGFL7,PDGFB	 
JUND	 	transcription regulator	 	 	 	2.42E-02	9.31E-02	IKZF2,SOCS1	 
ERK1/2	 	group	 	 	 	2.47E-02	9.44E-02	F3,PLAU,SOCS3	 
KCNE3	 	ion channel	 	 	 	2.57E-02	9.73E-02	CISH,HSPA1A/HSPA1B,OSGIN1	 
FAS	 	transmembrane receptor	 	 	 	2.57E-02	9.73E-02	CCN2,CSF1,NFKBIA	 
SNAI1	 	transcription regulator	 	 	 	2.60E-02	9.83E-02	ANKRD1,CCN2	 
REL	 	transcription regulator	 	0.277	bias	2.74E-02	9.84E-02	BCL2L1,DCLRE1B,NR4A3,NRARP,PLK2	 
FADD	 	other	 	 	 	2.76E-02	9.84E-02	GADD45B,SOCS1,TIPARP	 
HNF4A	 	transcription regulator	 	1.216	 	2.77E-02	9.84E-02	CYP3A5,EFNA1,GADD45B,HPX,PYGO1,SERPINA1,ZFP36	 
FH	 	enzyme	 	 	 	2.77E-02	9.84E-02	HMOX1	 
AGTRAP	 	G-protein coupled receptor	 	 	 	2.77E-02	9.84E-02	HMOX1	 
KLK3	 	peptidase	 	 	 	2.77E-02	9.84E-02	KNG1	 
mir-483	 	microRNA	 	 	 	2.77E-02	9.84E-02	SOCS3	 
LRPAP1	 	other	 	 	 	2.77E-02	9.84E-02	SERPINA3	 
UGDH	 	enzyme	 	 	 	2.77E-02	9.84E-02	SPRY2	 
HCRT	 	other	 	 	 	2.77E-02	9.84E-02	PER2	 
FGF18	 	growth factor	 	 	 	2.77E-02	9.84E-02	CSF1	 
MAP1S	 	enzyme	 	 	 	2.77E-02	9.84E-02	BCL2L1	 
CUL4B	 	other	 	 	 	2.77E-02	9.84E-02	ZFP36	 
BCL2A1	 	other	 	 	 	2.77E-02	9.84E-02	BCL2L1	 
miR-338-3p (miRNAs w/seed CCAGCAU)	 	mature microRNA	 	 	 	2.79E-02	9.84E-02	PDGFA,PDGFB	 
miR-335-3p (miRNAs w/seed UUUUCAU)	 	mature microRNA	 	 	 	2.79E-02	9.84E-02	PDGFA,PDGFB	 
BRCA1	 	transcription regulator	 	 	 	2.79E-02	9.84E-02	GADD45B,HMOX1	 
JUN	 	transcription regulator	 	 	 	2.81E-02	9.91E-02	IFI16,PLAU,RARG,SOCS3	 
SCARB1	 	transporter	 	 	 	2.97E-02	1.04E-01	APOA1,DDIT4	 
CHADL	 	other	 	 	 	2.97E-02	1.04E-01	FAM107A,PDGFA	 
IRF9	 	transcription regulator	 	 	 	2.97E-02	1.04E-01	SOCS1,SOCS3	 
EGLN	 	group	 	 	 	3.08E-02	1.07E-01	A1BG,EFNA1,Mup1 (includes others)	 
FOXP3	 	transcription regulator	 	 	 	3.12E-02	1.08E-01	CSF1,IKZF2,NR4A3,SOCS2	 
JAK1	 	kinase	 	 	 	3.17E-02	1.08E-01	MYOD1,SOCS3	 
FECH	 	enzyme	 	 	 	3.17E-02	1.08E-01	CYP3A5,HMOX1	 
IL12A	 	cytokine	 	 	 	3.17E-02	1.08E-01	SOCS1,SOCS3	 
SMARCA4	 	transcription regulator	 	 	 	3.19E-02	1.08E-01	GADD45B,GADD45G,SOCS2	 
BTNL2	 	transmembrane receptor	 	 	 	3.30E-02	1.10E-01	Hspa1b,IKZF2,RALGDS	 
Rxr	 	group	 	 	 	3.37E-02	1.10E-01	PDGFA,PDGFB	 
miR-29b-3p (and other miRNAs w/seed AGCACCA)	 	mature microRNA	 	 	 	3.37E-02	1.10E-01	PDGFA,PDGFB	 
AGTR1	 	G-protein coupled receptor	 	 	 	3.37E-02	1.10E-01	HMOX1,SGK1	 
TNFSF12	 	cytokine	 	 	 	3.53E-02	1.10E-01	KLF15,MYOD1,NFKBIA	 
ALDH1A2	 	enzyme	 	 	 	3.57E-02	1.10E-01	CCN2,CSF1	 
STAT2	 	transcription regulator	 	 	 	3.57E-02	1.10E-01	SOCS1,SOCS3	 
NOS3	 	enzyme	 	 	 	3.57E-02	1.10E-01	CCN2,F3	 
Gm15807/Hmgn5	 	other	 	 	 	3.57E-02	1.10E-01	AZGP1,Mup1 (includes others)	 
PML	 	transcription regulator	 	 	 	3.64E-02	1.10E-01	APOA1,HMOX1,UCP3	 
MNK1/2	 	group	 	 	 	3.68E-02	1.10E-01	SPRY2	 
MYLK2	 	kinase	 	 	 	3.68E-02	1.10E-01	MYOD1	 
PANX1	 	transporter	 	 	 	3.68E-02	1.10E-01	HMOX1	 
SAR1B	 	enzyme	 	 	 	3.68E-02	1.10E-01	APOA1	 
FLT4	 	transmembrane receptor	 	 	 	3.68E-02	1.10E-01	SOCS1	 
DIO1	 	enzyme	 	 	 	3.68E-02	1.10E-01	UCP3	 
NOTCH4	 	transcription regulator	 	 	 	3.68E-02	1.10E-01	DLL4	 
CD8A	 	other	 	 	 	3.68E-02	1.10E-01	BCL2L1	 
CD93	 	other	 	 	 	3.68E-02	1.10E-01	ZNF503	 
mir-365	 	microRNA	 	 	 	3.68E-02	1.10E-01	MYOD1	 
miR-1-3p (and other miRNAs w/seed GGAAUGU)	 	mature microRNA	 	 	 	3.68E-02	1.10E-01	Mup1 (includes others)	 
STRN	 	other	 	 	 	3.68E-02	1.10E-01	SGK1	 
HS6ST1	 	enzyme	 	 	 	3.68E-02	1.10E-01	SPRY2	 
LPAR1	 	G-protein coupled receptor	 	 	 	3.68E-02	1.10E-01	CCN2	 
ATF1	 	transcription regulator	 	 	 	3.68E-02	1.10E-01	UCP3	 
TRHR	 	G-protein coupled receptor	 	 	 	3.68E-02	1.10E-01	SOCS3	 
Ifi202b	 	other	 	 	 	3.68E-02	1.10E-01	MYOD1	 
RAPSN	 	other	 	 	 	3.68E-02	1.10E-01	SOCS3	 
GCH1	 	enzyme	 	 	 	3.68E-02	1.10E-01	HMOX1	 
CDK6	 	kinase	 	 	 	3.68E-02	1.10E-01	SOCS3	 
GFI1B	 	transcription regulator	 	 	 	3.68E-02	1.10E-01	SOCS1	 
FBLN5	 	other	 	 	 	3.68E-02	1.10E-01	SERPINA1	 
ELK3	 	transcription regulator	 	 	 	3.68E-02	1.10E-01	HMOX1	 
EPC1	 	transcription regulator	 	 	 	3.68E-02	1.10E-01	MYOD1	 
BAG1	 	other	 	 	 	3.68E-02	1.10E-01	Hspa1b	 
RRM2B	 	enzyme	 	 	 	3.68E-02	1.10E-01	TP53INP1	 
IFNAR1	 	transmembrane receptor	 	 	 	3.68E-02	1.10E-01	CSF1,IFI16,SOCS1,SOCS3	 
ARHGAP31	 	other	 	 	 	3.78E-02	1.12E-01	CCN2,GADD45B	 
HNF1B	 	transcription regulator	 	 	 	3.78E-02	1.12E-01	ALDOB,AMBP	 
ADAM10	 	peptidase	 	 	 	4.13E-02	1.23E-01	CSF1,GADD45G,Pln	 
IL7	 	cytokine	 	 	 	4.20E-02	1.24E-01	BCL2L1,SOCS1	 
PAK2	 	kinase	 	 	 	4.20E-02	1.24E-01	IFI16,LDLRAP1	 
PI3K (complex)	 	complex	 	 	 	4.25E-02	1.24E-01	BCL2L1,DDIT4,HMOX1	 
ITGB2	 	transmembrane receptor	 	 	 	4.43E-02	1.24E-01	BCL2L1,GADD45B	 
IL21	 	cytokine	 	 	 	4.43E-02	1.24E-01	BCL2L1,SOCS3	 
IL27RA	 	transmembrane receptor	 	 	 	4.43E-02	1.24E-01	DLL4,SOCS3	 
PYGO2	 	other	 	 	 	4.57E-02	1.24E-01	PDGFB	 
JUN/JUNB/JUND	 	group	 	 	 	4.57E-02	1.24E-01	BCL2L1	 
IgG	 	complex	 	 	 	4.57E-02	1.24E-01	CSF1	 
MLYCD	 	enzyme	 	 	 	4.57E-02	1.24E-01	UCP3	 
SOX11	 	transcription regulator	 	 	 	4.57E-02	1.24E-01	MYOD1	 
IDO	 	group	 	 	 	4.57E-02	1.24E-01	SOCS3	 
ALDH3A2	 	enzyme	 	 	 	4.57E-02	1.24E-01	HMOX1	 
ERCC2	 	enzyme	 	 	 	4.57E-02	1.24E-01	UCP3	 
PSMB9	 	peptidase	 	 	 	4.57E-02	1.24E-01	NFKBIA	 
MC3R	 	G-protein coupled receptor	 	 	 	4.57E-02	1.24E-01	HMOX1	 
HSD11B2	 	enzyme	 	 	 	4.57E-02	1.24E-01	TSC22D3	 
BDKRB1	 	G-protein coupled receptor	 	 	 	4.57E-02	1.24E-01	CCN2	 
UACA	 	other	 	 	 	4.57E-02	1.24E-01	CEBPD	 
STAU1	 	transporter	 	 	 	4.57E-02	1.24E-01	MYOD1	 
SMURF2	 	enzyme	 	 	 	4.57E-02	1.24E-01	CCN2	 
CBLC	 	enzyme	 	 	 	4.57E-02	1.24E-01	HMOX1	 
PAK1	 	kinase	 	 	 	4.57E-02	1.24E-01	F3	 
GNA11	 	enzyme	 	 	 	4.57E-02	1.24E-01	ADAMTS1	 
Cxcl3	 	cytokine	 	 	 	4.57E-02	1.24E-01	CEBPD	 
Muc1	 	transmembrane receptor	 	 	 	4.57E-02	1.24E-01	PDGFA	 
RECK	 	other	 	 	 	4.57E-02	1.24E-01	SPRY2	 
STK17B	 	kinase	 	 	 	4.57E-02	1.24E-01	BCL2L1	 
YAP/TAZ	 	group	 	 	 	4.57E-02	1.24E-01	HSPA1A/HSPA1B	 
MET	 	kinase	 	 	 	4.65E-02	1.26E-01	Hspa1b,PLK2,SOCS3	 
MEX3A	 	other	 	 	 	4.88E-02	1.31E-01	ANGPTL4,APOA1	 
EIF2S1	 	translation regulator	 	 	 	4.88E-02	1.31E-01	CHAC1,HMOX1	 
MED13	 	transcription regulator	 	 	 	4.88E-02	1.31E-01	Apoc1,KNG1	 
SLC16A2	 	transporter	 	 	 	4.88E-02	1.31E-01	SLCO1B3,UCP3	 
SAMSN1	 	other	 	 	 	4.92E-02	1.31E-01	SAP30,SOCS1,SOCS3	 
Tcf7	 	transcription regulator	 	-1.982	 	5.72E-02	1.43E-01	CISH,RARG,SOCS2,SOCS3,TNFRSF19	 
NOS2	 	enzyme	Activated	2.000	 	6.06E-02	1.44E-01	AZGP1,ITIH4,LILRB4,SERPINA3	 
