© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
PPAR Signaling	8.79E-01	5.71E-02	0.000	MAP3K14,NFKBIE,PPARG,PPARGC1A,RALA,TNFRSF1B	
HGF Signaling	8.76E-01	5.43E-02	1.342	AKT3,ELF1,ITGB6,MAP3K14,MAP3K8,PRKCB,RALA	
Hepatic Cholestasis	8.73E-01	5.06E-02	NaN	ESR1,LEP,MAP3K14,MYD88,NFKBIE,PPRC1,PRKACA,PRKCB,TNFRSF1B	
PXR/RXR Activation	8.7E-01	6.67E-02	NaN	AKT3,PAPSS2,PPARGC1A,PRKACA	
Endometrial Cancer Signaling	8.7E-01	6.67E-02	NaN	AKT3,LEF1,MYC,RALA	
Gα12/13 Signaling	8.63E-01	5.38E-02	0.816	AKT3,CDH4,MEF2C,NFKBIE,PTK2B,RALA,VAV1	
PEDF Signaling	8.6E-01	6.02E-02	0.000	AKT3,BCL2,NFKBIE,PPARG,RALA	
Cardiomyocyte Differentiation via BMP Receptors	8.57E-01	1E-01	NaN	BMPR1A,MEF2C	
GADD45 Signaling	8.57E-01	1E-01	NaN	GADD45B,GADD45G	
Methylglyoxal Degradation III	8.57E-01	1E-01	NaN	CYP4A11,PTGR2	
GNRH Signaling	8.33E-01	4.95E-02	0.378	CACNA1I,Calm1 (includes others),GNG11,MAP3K14,MAP3K8,PRKACA,PRKCB,PTK2B,RALA	
Regulation Of The Epithelial Mesenchymal Transition In Development Pathway	8.3E-01	5.88E-02	NaN	LEF1,MAML1,PYGO1,Tcf7,WNT5A	
CDK5 Signaling	8.24E-01	5.5E-02	-1.633	PPM1L,PPP1R10,PPP1R14C,PPP2R3A,PRKACA,RALA	
Signaling by Rho Family GTPases	8.21E-01	4.62E-02	0.000	ARHGEF9,BAIAP2,CDC42EP1,CDC42EP2,CDH4,GNG11,ITGB6,PIP4K2B,PTK2B,RHOH,SEPTIN11,VIM	
Tetrapyrrole Biosynthesis II	8.12E-01	2E-01	NaN	ALAS2	
α-tocopherol Degradation	8.12E-01	2E-01	NaN	CYP4A11	
Mitotic Roles of Polo-Like Kinase	7.99E-01	6.25E-02	NaN	PLK2,PLK3,PPM1L,PPP2R3A	
Remodeling of Epithelial Adherens Junctions	7.99E-01	6.25E-02	NaN	RALA,TUBA1C,TUBB,TUBB6	
Ubiquinol-10 Biosynthesis (Eukaryotic)	7.9E-01	9.09E-02	NaN	CYP4A11,MICAL1	
Cell Cycle: G1/S Checkpoint Regulation	7.83E-01	6.15E-02	0.000	HDAC2,HDAC9,MYC,SMAD3	
Germ Cell-Sertoli Cell Junction Signaling	7.8E-01	4.94E-02	NaN	MAP3K14,MAP3K8,RALA,RHOH,TGFBR2,TUBA1C,TUBB,TUBB6	
HER-2 Signaling in Breast Cancer	7.75E-01	4.79E-02	0.333	AKT3,ELF1,ITGB6,MYC,NFKBIE,PARD6B,PRKCB,RALA,SMAD3	
Hereditary Breast Cancer Signaling	7.59E-01	5.04E-02	NaN	AKT3,FANCC,GADD45B,GADD45G,HDAC2,HDAC9,RALA	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	7.59E-01	8.7E-02	NaN	PTPN6,SOCS1	
Gαq Signaling	7.52E-01	4.85E-02	1.134	AKT3,Calm1 (includes others),GNG11,HMOX1,NFKBIE,PRKCB,PTK2B,RHOH	
Nitric Oxide Signaling in the Cardiovascular System	7.5E-01	5.22E-02	-0.447	AKT3,Calm1 (includes others),PRKACA,PRKCB,PRKG1,SLC7A1	
Ceramide Biosynthesis	7.4E-01	1.67E-01	NaN	KDSR	
UDP-N-acetyl-D-glucosamine Biosynthesis II	7.4E-01	1.67E-01	NaN	GFPT2	
Apelin Pancreas Signaling Pathway	7.35E-01	6.67E-02	NaN	ERN1,PRKACA,PRKAG3	
IL-22 Signaling	7.3E-01	8.33E-02	NaN	AKT3,SOCS3	
IL-1 Signaling	7.3E-01	5.43E-02	1.000	GNG11,MAP3K14,MYD88,NFKBIE,PRKACA	
Gap Junction Signaling	7.3E-01	4.66E-02	NaN	AKT3,PLCD4,PRKACA,PRKCB,PRKG1,RALA,TUBA1C,TUBB,TUBB6	
NAD Signaling Pathway	7.26E-01	4.93E-02	0.378	AKT3,ERN1,FGF2,PPARGC1A,PRKAG3,SIRT7,TNKS2	
IL-10 Signaling	7.17E-01	5.8E-02	NaN	HMOX1,MAP3K14,NFKBIE,SOCS3	
Melatonin Signaling	7.17E-01	5.8E-02	-1.000	Calm1 (includes others),PLCD4,PRKACA,PRKCB	
Melanocyte Development and Pigmentation Signaling	7.17E-01	5.38E-02	-1.342	BCL2,PRKACA,PTPN6,RALA,RPS6KA5	
IL-23 Signaling Pathway	7.17E-01	6.52E-02	NaN	AKT3,RUNX1,SOCS3	
Semaphorin Neuronal Repulsive Signaling Pathway	7.06E-01	4.86E-02	-0.816	AKT3,ITGB6,MICAL1,PDE4A,PRKACA,PRKG1,SEMA6C	
Regulation of eIF4 and p70S6K Signaling	7.03E-01	4.71E-02	1.000	AKT3,EIF4A1,EIF4EBP1,ITGB6,PPM1L,PPP2R3A,RALA,RPS27L	
Cardiac Hypertrophy Signaling	7.01E-01	4.42E-02	-0.302	Calm1 (includes others),GNG11,HSPB1,MAP3K14,MAP3K8,MEF2C,PLCD4,PRKACA,RALA,RHOH,TGFBR2	
Tight Junction Signaling	6.84E-01	4.65E-02	NaN	AKT3,BET1L,MYO5C,PPM1L,PPP2R3A,PRKACA,TGFBR2,TNFRSF1B	
Estrogen-mediated S-phase Entry	6.78E-01	7.69E-02	NaN	ESR1,MYC	
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	6.78E-01	7.69E-02	NaN	PIP4K2B,PLCD4	
Glioma Signaling	6.7E-01	4.92E-02	0.000	AKT3,Calm1 (includes others),HDAC2,HDAC9,PRKCB,RALA	
Phagosome Maturation	6.68E-01	4.73E-02	NaN	ATP6AP2,ATP6V1A,BET1L,RILP,TUBA1C,TUBB,TUBB6	
Sumoylation Pathway	6.68E-01	5.15E-02	0.000	DNMT3A,HDAC2,RHOH,RNF4,UBE2I	
Tumor Microenvironment Pathway	6.68E-01	4.6E-02	1.414	AKT3,BCL2,CSF1,FGF2,LEP,MAP3K14,MYC,RALA	
PTEN Signaling	6.58E-01	4.7E-02	0.000	AKT3,BCL2,BMPR1A,GHR,ITGB6,RALA,TGFBR2	
GP6 Signaling Pathway	6.5E-01	4.84E-02	0.447	AKT3,Calm1 (includes others),FGG,PRKCB,SCHIP1,VAV1	
TNFR1 Signaling	6.46E-01	6E-02	NaN	MAP3K14,NFKBIE,RIPK1	
Virus Entry via Endocytic Pathways	6.44E-01	5.05E-02	NaN	FLNC,ITGB6,PRKCB,RALA,TFRC	
IL-15 Signaling	6.33E-01	5.33E-02	1.000	AKT3,IL2RG,MYC,RALA	
Chemokine Signaling	6.33E-01	5.33E-02	0.000	Calm1 (includes others),PRKCB,PTK2B,RALA	
Macropinocytosis Signaling	6.33E-01	5.33E-02	NaN	CSF1,ITGB6,PRKCB,RALA	
Antigen Presentation Pathway	6.29E-01	7.14E-02	NaN	CIITA,HLA-DOB	
G Beta Gamma Signaling	6.2E-01	4.72E-02	0.000	AKT3,CACNA1I,GNG11,PRKACA,PRKCB,RALA	
Clathrin-mediated Endocytosis Signaling	6.09E-01	4.42E-02	NaN	APOD,FGF2,GAK,HIP1R,ITGB6,LDLRAP1,STON2,TFRC	
α-Adrenergic Signaling	6E-01	4.85E-02	NaN	Calm1 (includes others),GNG11,PRKACA,PRKCB,RALA	
Apoptosis Signaling	6E-01	4.85E-02	1.000	BCL2,MAP3K14,NFKBIE,RALA,TNFRSF1B	
NF-κB Signaling	5.88E-01	3.99E-02	1.291	AKT3,BMPR1A,GHR,HDAC2,MAP3K14,MAP3K8,MYD88,NFKBIE,PRKACA,PRKCB,RALA,RIPK1,TGFBR2,TLR2,TNFRSF1B	
Role of IL-17A in Psoriasis	5.85E-01	1.11E-01	NaN	S100A9	
Heme Biosynthesis II	5.85E-01	1.11E-01	NaN	ALAS2	
Opioid Signaling Pathway	5.83E-01	4.14E-02	-0.632	AKT3,CACNA1I,Calm1 (includes others),GNG11,LEF1,MYC,PRKACA,PRKCB,RALA,RGS3,RPS6KA5	
TR/RXR Activation	5.7E-01	5E-02	NaN	AKT3,BCL3,PPARGC1A,RXRG	
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	5.59E-01	4.67E-02	-1.000	ATP6AP2,ATP6V1A,BCL2,NFKBIE,RALA	
Cyclins and Cell Cycle Regulation	5.58E-01	4.94E-02	NaN	HDAC2,HDAC9,PPM1L,PPP2R3A	
BAG2 Signaling Pathway	5.58E-01	4.94E-02	1.000	HSPA1A/HSPA1B,Hspa1b,MYC,UBE2D1	
Regulation Of The Epithelial Mesenchymal Transition By Growth Factors Pathway	5.54E-01	4.26E-02	1.134	AKT3,FGF2,PARD6B,RALA,SMAD3,TGFBR2,TNFRSF1B,VIM	
CD27 Signaling in Lymphocytes	5.53E-01	5.36E-02	NaN	MAP3K14,MAP3K8,NFKBIE	
G-Protein Coupled Receptor Signaling	5.51E-01	4.06E-02	NaN	AKT3,DUSP4,MAP3K8,MC5R,NFKBIE,PDE4A,PRKACA,PRKCB,PTK2B,RALA,RASGRP1	
Prostanoid Biosynthesis	5.47E-01	1E-01	NaN	HPGDS	
Pentose Phosphate Pathway	5.47E-01	1E-01	NaN	PGD	
γ-glutamyl Cycle	5.47E-01	1E-01	NaN	GCLM	
LPS-stimulated MAPK Signaling	5.36E-01	4.82E-02	1.000	MAP3K14,NFKBIE,PRKCB,RALA	
Rac Signaling	5.36E-01	4.41E-02	0.000	ANK1,BAIAP2,ITGB6,PIP4K2B,PTK2B,RALA	
4-1BB Signaling in T Lymphocytes	5.29E-01	6.06E-02	NaN	MAP3K14,NFKBIE	
Retinoate Biosynthesis I	5.29E-01	6.06E-02	NaN	RDH13,RDH14	
FGF Signaling	5.24E-01	4.76E-02	-1.000	AKT3,FGF2,PTPN6,RPS6KA5	
Erythropoietin Signaling Pathway	5.14E-01	4.22E-02	-0.378	AKT3,IRS2,LEP,NFKBIE,PRKCB,PTPN6,RALA	
Sphingosine-1-phosphate Signaling	5.11E-01	4.46E-02	1.342	AKT3,PLCD4,PTK2B,RHOH,S1PR4	
Hematopoiesis from Multipotent Stem Cells	5.11E-01	9.09E-02	NaN	CSF1	
Cholecystokinin/Gastrin-mediated Signaling	5.02E-01	4.42E-02	0.447	MEF2C,PRKCB,PTK2B,RALA,RHOH	
Glioblastoma Multiforme Signaling	5E-01	4.17E-02	0.378	AKT3,LEF1,MYC,PLCD4,RALA,RHOH,WNT5A	
Role of RIG1-like Receptors in Antiviral Innate Immunity	4.93E-01	5.71E-02	NaN	NFKBIE,RIPK1	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	4.93E-01	4.39E-02	-0.447	CACNA1I,GNG11,PLCD4,PRKACA,PRKCB	
Xenobiotic Metabolism PXR Signaling Pathway	4.92E-01	4.14E-02	-1.134	HS2ST1,HS3ST5,PPARGC1A,PPP1R10,PPP1R14C,PRKACA,PRKCB	
Cellular Effects of Sildenafil (Viagra)	4.88E-01	4.23E-02	NaN	Calm1 (includes others),MYO5C,PDE4A,PLCD4,PRKACA,PRKG1	
Ephrin Receptor Signaling	4.85E-01	4.04E-02	-1.000	AKT3,ANGPT1,EFNA1,GNG11,ITGB6,MAP3K14,RALA,RGS3	
Actin Nucleation by ARP-WASP Complex	4.83E-01	4.55E-02	NaN	BAIAP2,ITGB6,RALA,RHOH	
Neuroinflammation Signaling Pathway	4.78E-01	3.87E-02	3.317	AKT3,BCL2,HLA-DOB,HMOX1,MFGE8,MYD88,NFE2L2,P2RX7,RIPK1,TGFBR2,TLR2	
Neuregulin Signaling	4.76E-01	4.31E-02	1.000	AKT3,ITGB6,MYC,PRKCB,RALA	
NGF Signaling	4.76E-01	4.31E-02	0.447	AKT3,MAP3K14,MAP3K8,RALA,RPS6KA5	
Heparan Sulfate Biosynthesis (Late Stages)	4.76E-01	4.84E-02	NaN	EXTL2,HS2ST1,HS3ST5	
Axonal Guidance Signaling	4.65E-01	3.69E-02	NaN	ADAMTS1,AKT3,BAIAP2,EFNA1,GNG11,ITGB6,MICAL1,PLCD4,PRKACA,PRKCB,RALA,RGS3,SEMA4C,SEMA6C,TUBA1C,TUBB,TUBB6,WNT5A	
Corticotropin Releasing Hormone Signaling	4.65E-01	4.14E-02	-1.342	CACNA1I,Calm1 (includes others),CRHR2,MEF2C,PRKACA,PRKCB	
Notch Signaling	4.62E-01	5.41E-02	NaN	LFNG,MAML1	
Renin-Angiotensin Signaling	4.6E-01	4.24E-02	0.447	PRKACA,PRKCB,PTK2B,PTPN6,RALA	
Docosahexaenoic Acid (DHA) Signaling	4.47E-01	5.26E-02	NaN	AKT3,BCL2	
Salvage Pathways of Pyrimidine Ribonucleotides	4.45E-01	4.35E-02	0.000	APOBEC2,DAPK1,MAP3K8,SGK1	
Role of Wnt/GSK-3β Signaling in the Pathogenesis of Influenza	4.42E-01	4.62E-02	NaN	LEF1,Tcf7,WNT5A	
Pyridoxal 5'-phosphate Salvage Pathway	4.42E-01	4.62E-02	NaN	DAPK1,MAP3K8,SGK1	
Glutamate Receptor Signaling	4.42E-01	4.62E-02	NaN	Calm1 (includes others),GNG11,HOMER1	
EIF2 Signaling	4.41E-01	3.9E-02	0.000	AKT3,ATF3,BCL2,EIF4A1,MYC,RALA,RPL3,RPS27L	
Calcium Signaling	4.41E-01	3.9E-02	-0.447	CACNA1I,Calm1 (includes others),CASQ2,HDAC2,HDAC9,MEF2C,MYO5C,PRKACA	
Intrinsic Prothrombin Activation Pathway	4.33E-01	5.13E-02	NaN	FGG,THBD	
Dermatan Sulfate Biosynthesis (Late Stages)	4.33E-01	5.13E-02	NaN	HS2ST1,HS3ST5	
Granzyme A Signaling	4.27E-01	7.14E-02	NaN	HMGB2	
DNA Double-Strand Break Repair by Homologous Recombination	4.27E-01	7.14E-02	NaN	RAD52	
Telomere Extension by Telomerase	4.27E-01	7.14E-02	NaN	TNKS2	
Choline Biosynthesis III	4.27E-01	7.14E-02	NaN	HMOX1	
RhoGDI Signaling	4.24E-01	3.85E-02	0.816	ARHGAP9,ARHGEF9,CDH4,ESR1,GNG11,ITGB6,PIP4K2B,RHOH	
ATM Signaling	4.19E-01	4.21E-02	NaN	GADD45B,GADD45G,PPM1L,PPP2R3A	
Retinol Biosynthesis	4.19E-01	5E-02	NaN	RDH13,RDH14	
Inhibition of ARE-Mediated mRNA Degradation Pathway	4.09E-01	3.92E-02	0.816	AKT3,PPM1L,PPP2R3A,PRKACA,TNFRSF1B,ZFP36L2	
Huntington's Disease Signaling	4.07E-01	3.72E-02	0.000	AKT3,BET1L,DNAJB1,GNG11,HDAC2,HDAC9,HSPA1A/HSPA1B,Hspa1b,PRKCB,SGK1	
Chondroitin Sulfate Biosynthesis (Late Stages)	4.07E-01	4.88E-02	NaN	HS2ST1,HS3ST5	
UVA-Induced MAPK Signaling	4.02E-01	4.12E-02	NaN	PLCD4,RALA,RPS6KA5,TNKS2	
Basal Cell Carcinoma Signaling	4.01E-01	4.35E-02	NaN	LEF1,Tcf7,WNT5A	
Heparan Sulfate Biosynthesis	4.01E-01	4.35E-02	NaN	EXTL2,HS2ST1,HS3ST5	
Synaptogenesis Signaling Pathway	3.98E-01	3.67E-02	0.302	AKT3,BET1L,Calm1 (includes others),CDH4,EFNA1,EIF4EBP1,PRKACA,RALA,RASGRP1,STXBP4,THBS1	
HMGB1 Signaling	3.97E-01	3.87E-02	1.000	AKT3,LEP,RALA,RHOH,SERPINE1,TNFRSF1B	
Oncostatin M Signaling	3.94E-01	4.76E-02	NaN	OSMR,RALA	
April Mediated Signaling	3.94E-01	4.76E-02	NaN	MAP3K14,NFKBIE	
fMLP Signaling in Neutrophils	3.84E-01	3.91E-02	-1.342	Calm1 (includes others),GNG11,NFKBIE,PRKCB,RALA	
Crosstalk between Dendritic Cells and Natural Killer Cells	3.82E-01	4.23E-02	NaN	CD83,IL2RG,TNFRSF1B	
Ephrin B Signaling	3.82E-01	4.23E-02	NaN	GNG11,RGS3,VAV1	
Netrin Signaling	3.82E-01	4.23E-02	NaN	CACNA1I,PRKACA,PRKG1	
B Cell Activating Factor Signaling	3.81E-01	4.65E-02	NaN	MAP3K14,NFKBIE	
Triacylglycerol Biosynthesis	3.81E-01	4.65E-02	NaN	AGPAT5,LPIN2	
Synaptic Long Term Depression	3.73E-01	3.72E-02	0.378	CACNA1I,PLCD4,PPM1L,PPP2R3A,PRKCB,PRKG1,RALA	
Spliceosomal Cycle	3.7E-01	4.55E-02	NaN	CASC3,SF3B1	
Type I Diabetes Mellitus Signaling	3.68E-01	3.58E-02	0.632	BCL2,HLA-DOB,IRF1,MAP3K14,MYD88,NFKBIE,RIPK1,SOCS1,SOCS2,SOCS3,TNFRSF1B	
Estrogen Receptor Signaling	3.67E-01	3.54E-02	0.000	AKT3,BCL2,EIF4EBP1,ESR1,GNG11,LEP,MYC,PLCD4,PPARGC1A,PRKACA,PRKAG3,PRKCB,RALA,RBFOX2	
Phagosome Formation	3.65E-01	3.82E-02	NaN	ITGB6,PLCD4,PRKCB,RHOH,TLR2	
Dermatan Sulfate Degradation (Metazoa)	3.63E-01	5.88E-02	NaN	IDUA	
nNOS Signaling in Neurons	3.59E-01	4.44E-02	NaN	Calm1 (includes others),PRKCB	
Toll-like Receptor Signaling	3.56E-01	4.05E-02	NaN	MAP3K14,MYD88,TLR2	
Hypoxia Signaling in the Cardiovascular System	3.56E-01	4.05E-02	NaN	NFKBIE,UBE2D1,UBE2I	
T Cell Receptor Signaling	3.49E-01	3.49E-02	2.496	AKT3,Calm1 (includes others),CD8A,HLA-DOB,ICOSLG/LOC102723996,LEF1,NFKBIE,PTK2B,PTPN6,PTPRC,RALA,RASGRP1,Tcf7,VAV1	
Ephrin A Signaling	3.47E-01	4.35E-02	NaN	EFNA1,VAV1	
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	3.45E-01	5.56E-02	NaN	ITPK1	
nNOS Signaling in Skeletal Muscle Cells	3.36E-01	4.26E-02	NaN	CACNA1I,Calm1 (includes others)	
Xenobiotic Metabolism CAR Signaling Pathway	3.32E-01	3.61E-02	-1.633	HS2ST1,HS3ST5,PPARGC1A,PPM1L,PPP2R3A,PRKCB	
Antiproliferative Role of Somatostatin Receptor 2	3.31E-01	3.9E-02	NaN	GNG11,PTPN6,RALA	
Estrogen-Dependent Breast Cancer Signaling	3.31E-01	3.9E-02	NaN	AKT3,ESR1,RALA	
Role of MAPK Signaling in the Pathogenesis of Influenza	3.31E-01	3.9E-02	NaN	AKT3,BCL2,RALA	
Methionine Degradation I (to Homocysteine)	3.28E-01	5.26E-02	NaN	MAT2A	
DNA damage-induced 14-3-3σ Signaling	3.28E-01	5.26E-02	NaN	AKT3	
LPS/IL-1 Mediated Inhibition of RXR Function	3.21E-01	3.51E-02	-0.816	ABCG1,CYP4A11,HS2ST1,HS3ST5,MYD88,PAPSS2,PPARGC1A,TNFRSF1B	
Regulation of Actin-based Motility by Rho	3.21E-01	3.7E-02	NaN	BAIAP2,ITGB6,PIP4K2B,RHOH	
Insulin Secretion Signaling Pathway	3.18E-01	3.47E-02	-0.707	BET1L,CACNA1I,EIF4A1,EIF4EBP1,GHR,PLCD4,PRKACA,PRKCB,RPS6KA5	
Chondroitin Sulfate Biosynthesis	3.17E-01	4.08E-02	NaN	HS2ST1,HS3ST5	
Endoplasmic Reticulum Stress Pathway	3.12E-01	5E-02	NaN	ERN1	
Melanoma Signaling	3.07E-01	4E-02	NaN	AKT3,RALA	
Amyloid Processing	3.07E-01	4E-02	NaN	AKT3,PRKACA	
Apelin Adipocyte Signaling Pathway	3E-01	3.7E-02	NaN	PPARGC1A,PRKACA,PRKAG3	
Dilated Cardiomyopathy Signaling Pathway	2.99E-01	3.52E-02	-1.000	AKT3,BCL2,CACNA1I,MYO5C,PRKACA	
UVC-Induced MAPK Signaling	2.98E-01	3.92E-02	NaN	PRKCB,RALA	
LXR/RXR Activation	2.97E-01	3.57E-02	-1.000	ABCG1,APOD,RXRG,TNFRSF1B	
Cysteine Biosynthesis III (mammalia)	2.97E-01	4.76E-02	NaN	MAT2A	
Thrombin Signaling	2.93E-01	3.43E-02	0.000	AKT3,ARHGEF9,GNG11,PLCD4,PRKCB,RALA,RHOH	
VEGF Family Ligand-Receptor Interactions	2.93E-01	3.66E-02	NaN	AKT3,PRKCB,RALA	
Fc Epsilon RI Signaling	2.91E-01	3.54E-02	1.000	AKT3,PRKCB,RALA,VAV1	
Dermatan Sulfate Biosynthesis	2.89E-01	3.85E-02	NaN	HS2ST1,HS3ST5	
BMP signaling pathway	2.87E-01	3.61E-02	NaN	BMPR1A,PRKACA,RALA	
Bupropion Degradation	2.83E-01	4.55E-02	NaN	POR	
CDP-diacylglycerol Biosynthesis I	2.83E-01	4.55E-02	NaN	AGPAT5	
FXR/RXR Activation	2.79E-01	3.48E-02	NaN	AKT3,APOD,PPARG,PPARGC1A	
Endocannabinoid Neuronal Synapse Pathway	2.78E-01	3.42E-02	0.000	CACNA1I,FAAH,GNG11,PLCD4,PRKACA	
FcγRIIB Signaling in B Lymphocytes	2.73E-01	3.53E-02	NaN	CACNA1I,CD79B,RALA	
FAK Signaling	2.73E-01	3.45E-02	NaN	AKT3,ARHGAP26,ITGB6,RALA	
Atherosclerosis Signaling	2.73E-01	3.45E-02	NaN	APOD,CSF1,F3,TNFRSF12A	
Activation of IRF by Cytosolic Pattern Recognition Receptors	2.72E-01	3.7E-02	NaN	NFKBIE,RIPK1	
Lymphotoxin β Receptor Signaling	2.72E-01	3.7E-02	NaN	AKT3,MAP3K14	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	2.72E-01	3.7E-02	NaN	AKT3,NFKBIE	
SPINK1 Pancreatic Cancer Pathway	2.72E-01	3.7E-02	NaN	SMAD3,TGFBR2	
Tryptophan Degradation X (Mammalian, via Tryptamine)	2.7E-01	4.35E-02	NaN	RDH14	
Glycolysis I	2.7E-01	4.35E-02	NaN	ENO2	
IL-15 Production	2.68E-01	3.42E-02	2.000	IRF1,MUSK,PTK2B,TYRO3	
PDGF Signaling	2.67E-01	3.49E-02	NaN	MYC,PRKCB,RALA	
Role of CHK Proteins in Cell Cycle Checkpoint Control	2.64E-01	3.64E-02	NaN	PPM1L,PPP2R3A	
MSP-RON Signaling Pathway	2.64E-01	3.64E-02	NaN	CSF1,TLR2	
Relaxin Signaling	2.64E-01	3.36E-02	-1.000	AKT3,GNG11,NFKBIE,PDE4A,PRKACA	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	2.63E-01	3.39E-02	NaN	AKT3,BMPR1A,RALA,WNT5A	
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	2.58E-01	4.17E-02	NaN	AGPAT5	
Gluconeogenesis I	2.58E-01	4.17E-02	NaN	ENO2	
CNTF Signaling	2.56E-01	3.57E-02	NaN	RALA,RPS6KA5	
Cancer Drug Resistance By Drug Efflux	2.42E-01	3.45E-02	NaN	AKT3,RALA	
Glutathione-mediated Detoxification	2.36E-01	3.85E-02	NaN	HPGDS	
Apelin Liver Signaling Pathway	2.36E-01	3.85E-02	NaN	EDN3	
Polyamine Regulation in Colon Cancer	2.28E-01	3.33E-02	NaN	MYC,PPARG	
Sonic Hedgehog Signaling	2.25E-01	3.7E-02	NaN	PRKACA	
Circadian Rhythm Signaling	-0E00	3.12E-02	NaN	CRY2	
Leukocyte Extravasation Signaling	-0E00	3.21E-02	1.342	ARHGAP9,PRKCB,PTK2B,RASGRP1,RHOH,VAV1	
Amyotrophic Lateral Sclerosis Signaling	-0E00	1.77E-02	NaN	AKT3,BCL2	
Actin Cytoskeleton Signaling	-0E00	2.54E-02	NaN	BAIAP2,FGF2,ITGB6,MYO5C,RALA,VAV1	
Mitochondrial Dysfunction	-0E00	6.29E-03	NaN	BCL2	
Role of BRCA1 in DNA Damage Response	-0E00	1.25E-02	NaN	FANCC	
Caveolar-mediated Endocytosis Signaling	-0E00	2.74E-02	NaN	FLNC,ITGB6	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	-0E00	2.8E-02	NaN	LEP,MYD88,PRKCB,TLR2	
MIF Regulation of Innate Immunity	-0E00	2.38E-02	NaN	NFKBIE	
Role of NFAT in Regulation of the Immune Response	-0E00	2.08E-02	0.000	AKT3,Calm1 (includes others),CD79B,GNG11,HLA-DOB,MEF2C,NFKBIE,RALA	
CCR5 Signaling in Macrophages	-0E00	1.62E-02	NaN	CACNA1I,Calm1 (includes others),GNG11,PRKCB,PTK2B	
CD40 Signaling	-0E00	3.03E-02	NaN	MAP3K14,NFKBIE	
Calcium-induced T Lymphocyte Apoptosis	-0E00	1.54E-02	NaN	Calm1 (includes others),HDAC2,HLA-DOB,PRKCB	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	-0E00	4.27E-03	NaN	BCL2	
IL-17 Signaling	-0E00	2.55E-02	1.000	AKT3,LEP,MAP3K14,RALA	
Airway Pathology in Chronic Obstructive Pulmonary Disease	-0E00	2.86E-02	NaN	APOD,FGF2,LEP	
CXCR4 Signaling	-0E00	3.09E-02	0.447	AKT3,GNG11,PRKCB,RALA,RHOH	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00	1.76E-02	NaN	AKT3,CD8A,PPM1L,PPP2R3A,PTPN6	
T Helper Cell Differentiation	-0E00	2.57E-02	NaN	BCL6,CXCR5,HLA-DOB,ICOSLG/LOC102723996,IL2RG,TGFBR2,TNFRSF1B	
CCR3 Signaling in Eosinophils	-0E00	3.12E-02	NaN	Calm1 (includes others),GNG11,PRKCB,RALA	
CD28 Signaling in T Helper Cells	-0E00	2.22E-02	0.447	AKT3,Calm1 (includes others),HLA-DOB,NFKBIE,PTPN6,PTPRC,VAV1	
Dendritic Cell Maturation	-0E00	2.72E-02	2.530	AKT3,CD83,HLA-DOB,LEP,MAP3K14,MYD88,NFKBIE,PLCD4,TLR2,TNFRSF1B	
Mechanisms of Viral Exit from Host Cells	-0E00	2.56E-02	NaN	PRKCB	
Reelin Signaling in Neurons	-0E00	2.44E-02	NaN	AKT3,ARHGEF9,MAP4K1	
Neuropathic Pain Signaling In Dorsal Horn Neurons	-0E00	3.03E-02	NaN	PLCD4,PRKACA,PRKCB	
Endothelin-1 Signaling	-0E00	2.72E-02	0.447	HMOX1,MYC,PLCD4,PRKCB,RALA	
Agrin Interactions at Neuromuscular Junction	-0E00	2.99E-02	NaN	MUSK,RALA	
Semaphorin Signaling in Neurons	-0E00	1.72E-02	NaN	RHOH	
iCOS-iCOSL Signaling in T Helper Cells	-0E00	2.93E-02	1.890	AKT3,Calm1 (includes others),GAB2,HLA-DOB,ICOSLG/LOC102723996,IL2RG,NFKBIE,PTPRC,VAV1	
Maturity Onset Diabetes of Young (MODY) Signaling	-0E00	1.39E-02	NaN	APOD	
CREB Signaling in Neurons	-0E00	3.11E-02	-1.000	AKT3,BMPR1A,CACNA1I,Calm1 (includes others),CRHR2,FGF2,GHR,GNG11,GPR160,GPR180,GTF2B,MC5R,PLCD4,PRKACA,PRKCB,RALA,S1PR4,TGFBR2	
Renal Cell Carcinoma Signaling	-0E00	2.63E-02	NaN	AKT3,RALA	
Allograft Rejection Signaling	-0E00	3.82E-03	NaN	HLA-DOB	
Autoimmune Thyroid Disease Signaling	-0E00	4.12E-03	NaN	HLA-DOB	
Graft-versus-Host Disease Signaling	-0E00	4.12E-03	NaN	HLA-DOB	
G Protein Signaling Mediated by Tubby	-0E00	2.27E-02	NaN	GNG11	
