© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
IRF9	0.762	transcription regulator	 	-1.890	 	1.06E-07	5.16E-06	Cxcl9,GBP6,Ifi47,IFIT2,IRF1,IRF8,RTP4,SOCS3,STAT1,STAT2,Tgtp1/Tgtp2,TNF,ZBP1	133 (10)
ATF4	1.125	transcription regulator	 	1.941	bias	1.11E-07	5.33E-06	AARS1,ABCA1,ABCG8,APEX1,ARHGAP24,ATF3,ATF6,CDKN1A,CEBPB,CEBPG,DDIT4,ERO1A,FASN,GADD45A,IARS1,KLF9,LARS1,MID1IP1,MTHFD2,NARS1,NDRG1,PCK1,SLC38A2,SREBF1,STX5,VEGFA,WARS1,WFS1	199 (10)
CREM	 	transcription regulator	 	0.607	bias	1.26E-07	5.95E-06	ABCA1,ATF3,BHLHE40,CEBPB,CIART,CSRNP1,EGR1,ERRFI1,FOS,HMGCR,HSPA4,IRS2,LDLR,LSS,MIDN,MKNK2,NAB2,NFIL3,PER1,SERTAD1,SPTY2D1,TIPARP,TNF,VEGFA	 
Nr1h	 	group	Inhibited	-2.475	 	1.30E-07	6.05E-06	ABCA1,BCL3,Ccl2,CCL3L3,CCND2,CCR2,CSF1,CXCL10,Cxcl11,ELOVL6,FASN,G6PC,HCK,IFIH1,IL1B,INSIG2,MARCKSL1,Mx2,MYLIP,NFKB2,NFKBIZ,PPARGC1A,SREBF1,TAP1,TNF,TP53,ZBTB16	136 (10)
VDR	 	transcription regulator	 	-0.383	 	1.47E-07	6.72E-06	AGTR1,AKT1,ARHGEF3,Ccl2,CCND1,CCND2,CEBPB,CISH,CSF1,CXCL10,DSG1,EGFR,EGR1,ELOVL3,F3,GADD45A,HK2,ICAM1,ID1,IER3,IL1RN,ISG15,LDLR,MYD88,NPHS1,ODC1,PPP1CA,RELB,RNF144A,S100A9,SOCS3,SREBF1,TLR2,TMEM100,TXNIP,VEGFA,WSB1	178 (9)
SLC13A1	 	transporter	Inhibited	-2.858	 	1.58E-07	7.09E-06	ACTG1,ANKS4B,AQP8,ARRDC2,BYSL,CLPX,Cyp3a25 (includes others),ELOVL6,GALE,GBP2,HK2,HSPA5,Igtp,KLF9,MAD2L2,MVD,PCK1,SDF2L1,SRPRA,TFG,Tgtp1/Tgtp2,TUBA1C,XBP1,YARS1	 
RUNX1	 	transcription regulator	Activated	2.784	 	1.64E-07	7.25E-06	APEX1,ATF4,CCND1,CDKN1A,CEBPA,CSF2RB,EBNA1BP2,EVI5,FSCN1,GNL3,GPATCH4,ID2,IFIT1B,Igtp,IL1B,IPO4,Irgm1,ISG15,MYBBP1A,MYC,NFIL3,NOC4L,NOP2,PLEK,PPAN,RRP15,RRP9,STAT1,STAT3	45 (2)
JAK1	 	kinase	Activated	2.894	bias	1.73E-07	7.53E-06	BCL3,CCL3L3,CD14,CDKN1A,EIF2AK2,FOS,ID1,IL1B,LRG1,Orm1 (includes others),SAA1,SOCS3,STAT3	175 (10)
Cyp2c70	 	enzyme	 	-0.371	 	1.82E-07	7.83E-06	ABCC1,Ccl2,CYP8B1,HMGCR,IL1B,LDLR,NR1I2,PPARGC1A,TNF	 
CRY2	 	enzyme	 	1.219	 	2.19E-07	9.28E-06	ARNTL,DBP,FOS,IL1B,PCK1,PER1,PER2,SGK1	45 (3)
DNASE2	 	enzyme	Inhibited	-2.952	bias	2.76E-07	1.15E-05	Apol9a/Apol9b,CXCL10,CXCL2,DHX58,Hamp/Hamp2,IFIT1B,IFIT3,ISG15,RTP4,TNF,TNFSF10,USP18,ZBP1	 
HIF1A	 	transcription regulator	 	0.348	 	3.18E-07	1.31E-05	AKT1,AXIN2,BACE1,CAVIN2,Ccl2,CCL3L3,CCN2,CCND1,CCR2,CDKN1A,CSF1,CXCL2,CXCR4,DDIT4,ERO1A,GJA1,Hamp/Hamp2,HK2,ICAM1,IL1B,NDRG1,NFKB2,NFKBIA,NFKBIZ,RELB,SERPINE1,SOCS3,TFRC,TLR2,TNF,TNFAIP2,TTN,VEGFA	263 (15)
OSM	 	cytokine	 	1.673	 	3.45E-07	1.40E-05	ACSL3,BCL3,CASP4,Ccl2,CEBPA,CISH,CXCL13,CXCL2,FASN,FOS,Hamp/Hamp2,IL1B,LRG1,MRC1,SOCS3,STAT3,TNF,VEGFA,ZFP36	283 (18)
DDIT3	 	transcription regulator	Activated	2.026	bias	4.39E-07	1.75E-05	ATF3,CASP4,CEBPA,CEBPD,ERO1A,FOXO1,HSPA5,IL1B,ITGAM,PPARGC1A,STAT3,STAT5A,WARS1,XBP1	202 (13)
SRD5A1	 	enzyme	 	-0.333	bias	4.57E-07	1.80E-05	AKT1,CLDN1,CLDN2,FASN,G6PC,HMGCR,IRS1,IRS2,LCN2,PCK1,SREBF1	 
TBK1	 	kinase	 	0.917	 	4.76E-07	1.85E-05	ACOD1,CCL3L3,CXCL10,Cxcl11,CXCL2,Cxcl9,DDX58,ICAM1,IFIH1,IFIT1B,IFIT2,IFIT3,ISG15,ISG20,MARCO,Mx2,NFKBIZ,OASL,SLCO3A1,TLR2,TNF,USP18	187 (16)
IL2	 	cytokine	 	1.656	 	7.05E-07	2.70E-05	ABCA1,ABCC1,CASP4,Ccl2,CCR2,CDKN1A,CISH,CSF1,CXCL10,Cxcl9,HSP90B1,HSPA5,IKZF4,IL1B,ITGA6,ITGB8,LILRB4,MYC,MYO1E,NDRG1,NRP1,PELI1,PTGER2,PTPN3,RNF128,RPS6KA5,SOCS3,STAT5B,SWAP70,TLR2,TNF,TNFRSF1A,TNFRSF1B,TTN	308 (20)
NR1H2	 	ligand-dependent nuclear receptor	 	0.082	 	7.39E-07	2.79E-05	ABCA1,ABCG8,APCS,Ccl2,Chil3/Chil4,CXCL10,Cxcl11,CXCL2,ELOVL6,FASN,GBP4,HMGCR,IFIT2,IL1B,IL1RN,LDLR,MRC1,NFKBIA,Saa3,SREBF1,THRA,TNF	177 (13)
IL10	 	cytokine	Inhibited	-3.255	 	7.63E-07	2.84E-05	ABCA1,APCS,BCL3,Ccl2,CCL3L3,CCR2,CD14,Cd24a,CDKN1A,Chil3/Chil4,CXCL10,CXCL2,Cxcl9,HCK,HMOX1,ICAM1,Igtp,IL13RA1,IL1B,IL1RN,ITGAM,LIPA,MRC1,MSR1,MYD88,RAB20,S100A9,SCARB1,SOCS3,THPO,TLR1,TLR2,TNF,TNFRSF1A,TNFSF10,VEGFA,ZFP36	262 (14)
INSIG1	 	other	Inhibited	-2.106	bias	7.96E-07	2.93E-05	AACS,ABCA1,CXCL10,CXCL13,CXCL2,CXCR4,ELOVL6,FASN,HMGCR,IRF8,LCN2,LDLR,LIPA,LPIN1,LSS,MARCO,MRC1,NFKBIZ,S100A9,SCAP,SCARB1,SREBF1,STAT5A	30 (3)
NR3C1	 	ligand-dependent nuclear receptor	Inhibited	-4.490	 	8.28E-07	3.01E-05	ABCA1,AKT1,ANGPTL4,Ccl2,CCL3L3,CDKN1A,CEBPD,CKS1B,CXCL10,Cxcl11,Cxcl9,DDIT4,DDX5,DUSP1,EGR1,ERRFI1,FOS,G6PC,GBP2,HCAR2,IFIT1B,IFIT2,IGFBP1,IL1B,ISG15,LPIN1,MKNK2,NFIL3,NFKBIA,OASL,OCLN,PCK1,PER1,PPP1CA,SGK1,SLC25A33,TAT,Tgtp1/Tgtp2,TNF,Trim30a/Trim30d,TSC22D3,UGCG	223 (17)
IL6	 	cytokine	Activated	3.838	 	8.38E-07	3.01E-05	APCS,C5AR1,Ccl2,CCL3L3,CCND1,CCNE1,Chil3/Chil4,CLDN2,CXCL13,CXCL2,FOS,Hamp/Hamp2,HPX,ICAM1,ID1,ID2,IL1RN,IRS1,ITGAM,LCN2,MYC,NR1I2,Orm1 (includes others),RORA,SAA1,Saa3,SLC39A14,SOCS3,STAT1,STAT3,TNF,TNFRSF1A,TNFRSF1B,TNFSF10,VEGFA	216 (14)
CYB5R4	 	enzyme	 	-1.796	bias	9.18E-07	3.25E-05	ACSL3,ATF3,ATF6,EIF2S1,FASN,GCLC,HMOX1,HSPA5,PPARGC1A,XBP1	 
DUSP1	-1.064	phosphatase	Inhibited	-2.161	 	1.00E-06	3.46E-05	AACS,Ccl2,CCL3L3,CXCL2,DUSP1,ELOVL3,IER3,IL1B,IL1RN,MRC1,PAQR7,PNRC1,S100A9,SERPINE1,SYNPO,TNF,ZFP36	265 (20)
ELL2	-0.759	transcription regulator	Activated	3.500	bias	1.00E-06	3.46E-05	ARFGAP3,CREB3L2,CRELD2,DNAJB9,EDEM3,FNDC3A,FNDC3B,HSPA13,MANF,MYC,PLPP5,SEC24D,SEC61A1,SRPRA,TENT5C,TXNDC11,XBP1	 
LGALS3	 	other	 	0.846	 	1.14E-06	3.90E-05	Ccl2,CCL3L3,CCR2,CEBPA,CEBPB,Chil3/Chil4,FASN,ICAM1,ITGAM,LMNB1,MSR1,PPARGC1A,SAA1,SOCS3,TNF	252 (18)
MAPKAPK2	 	kinase	 	0.618	 	1.27E-06	4.27E-05	Ccl2,CCL3L3,CEBPD,CXCL10,CXCL2,HSPA5,HSPB8,MARCO,MRC1,MSR1,NFKBIA,NFKBIB,STAT5A,TNF,TP53,ZFP36	173 (13)
NR5A2	 	ligand-dependent nuclear receptor	Inhibited	-2.650	 	1.29E-06	4.27E-05	ABCG8,C3AR1,C5AR1,CEBPB,CEBPD,CEL,CELA1,CXCL10,Cxcl9,CYP8B1,FOS,ICAM1,IGFBP1,IL1B,IL1RN,LDLR,NR1I2,PNLIP,SCARB1,TNF,TNFRSF1B	190 (8)
BCAP31	 	transporter	Inhibited	-2.747	bias	1.30E-06	4.27E-05	ATF6,Ccl2,CCL3L3,CXCL10,G6PC,HSPA5,IL1B,SAA1,SREBF1,TNF,XBP1	135 (11)
STING1	 	other	Activated	3.061	bias	1.32E-06	4.27E-05	CCL3L3,CXCL10,CXCL2,Cxcl9,GAS7,GBP5,HSPA5,IFIT1B,IFIT3,IL1B,ISG15,LCN2,OASL,RGS16,Serpina3g (includes others),TNF,USP18	191 (16)
NCOR1	 	transcription regulator	Inhibited	-2.331	bias	1.33E-06	4.27E-05	BCL3,CEBPA,CXCL10,DDX58,ELOVL3,FASN,IFIT1B,IFIT2,IFIT3,ISG15,MYD88,STAT2,THRSP,ZBP1	 
SOCS3	3.088	phosphatase	 	1.228	 	1.46E-06	4.62E-05	Ccl2,CXCL10,FOS,G6PC,IFIT2,IL1B,IRS1,IRS2,Mx2,PCK1,PPARGC1A,SOCS3,TNF	185 (17)
TREM1	 	transmembrane receptor	 	1.376	bias	1.47E-06	4.62E-05	Ccl2,CD14,CEBPB,CXCL10,IL1B,IL6R,MYD88,NFKB2,NFKBIA,NFKBIB,TLR2,TNF	 
SENP3	 	peptidase	Activated	3.357	bias	1.57E-06	4.89E-05	CCL3L3,CXCL10,Cxcl9,EIF2AK2,IFIT2,IFIT3,ISG15,ISG20,MYD88,OASL,STAT1,TAP1,TNFSF10,TYMP,WARS1	111 (8)
PI3K (complex)	 	complex	Activated	2.313	 	1.59E-06	4.91E-05	ABCA1,Ccl2,CCND1,CCND2,CCNE1,CXCL10,DDIT4,DUSP1,GCLC,HMOX1,IL1B,IL1RN,ITGA6,MYC,NFKB2,RFX4,SMN1/SMN2,SREBF1,TGM2,TNF,TP53	293 (19)
S100A8	 	other	Inhibited	-2.718	 	1.63E-06	4.96E-05	Ccl2,CXCL10,CXCL2,Cxcl9,HMOX1,ICAM1,IL1B,NFKBIA,Saa3,TNF	179 (6)
CEBPB	-1.103	transcription regulator	Activated	3.171	 	1.79E-06	5.41E-05	C3AR1,CCL3L3,CCND2,CCNE1,CD14,CDC25A,CDKN1A,CEBPA,CEBPB,CEBPD,CTPS1,CXCL10,DDX39A,DDX5,DHFR,EIF2S1,FOS,GADD45A,H2AX,HPX,HUS1,IER3,IL1B,IL1RN,IRAK3,IRF9,IRS1,IRS2,KLF10,KPNA2,LCN2,LMNB1,MSR1,MYC,NOP56,NRP1,NUP107,PA2G4,PCK1,PPARGC1A,RCAN1,RORA,SAA1,Saa3,SERPINE1,SLC38A2,SRP54,SRSF2,TFRC,TMEM50B,TMPO,TNF,TP53,TUBB,UBE2S,UNG,WEE1,XDH,ZKSCAN1	286 (20)
KITLG	 	growth factor	 	-0.837	 	2.22E-06	6.62E-05	Ccl2,CD14,CEBPA,CSF1,EGR1,FOS,GJA1,HCK,IL1B,PIM1,PRTN3,TNF	308 (21)
APOE	 	transporter	Inhibited	-2.023	 	2.44E-06	7.21E-05	ABCA1,ABCG8,ATF3,ATF4,C3AR1,C5AR1,Ccl2,CCL3L3,CCN2,CCND2,CSF1,CYP8B1,EGR1,F3,HMGCR,HMOX1,HSP90B1,HSPA5,ICAM1,IL1B,IL1RN,ITGAM,LCN2,LDLR,LIMS2,LIPA,MAP2K3,MSR1,MYBBP1A,MYLIP,PHLDA1,RCAN1,S100A9,SCARB1,SERPINE1,SOCS3,TIFA,TNF,TNFRSF1A,XBP1	284 (18)
TGFBR2	 	kinase	Inhibited	-2.870	bias	2.52E-06	7.36E-05	ABHD17C,ACOD1,BCL3,BHLHE40,CCL3L3,CCND1,CCNE1,CDKN1A,CSF1,CXCL2,DDIT4,DNAJC12,FASN,H2AX,HK2,ICAM1,IRF8,ITGAM,LY6D,MAP2K3,MFSD2A,MRC1,MSR1,NAB2,NFIL3,NFKBIA,NFKBIE,NFKBIZ,NRP1,ODC1,PLSCR1,RBL2,S100A9,SAA1,Saa3,Serpina3g (includes others),SH3BP2,SOCS3,ZNF219	 
IRAK4	0.580	kinase	Activated	2.163	 	2.74E-06	7.85E-05	ATF3,Ccl2,CSRNP1,CXCL10,CXCL2,EGR1,ERRFI1,FOS,IFIT1B,IL1B,IRF1,NFKBIA,NFKBIZ,PHLDA1,PLSCR1,RGS16,TNF,ZFP36	150 (13)
CGAS	 	enzyme	Activated	2.431	bias	2.77E-06	7.85E-05	CDKN1A,CXCL10,IFIT1B,IFIT3,IL1B,ISG15,Mx2,OASL,TNF,USP18	105 (9)
Mt2	 	other	Inhibited	-2.345	bias	2.77E-06	7.85E-05	ATF3,CCND1,CEBPA,ETS2,FOS,Hamp/Hamp2,IL1B,MYC,SERPINE1,TNF	193 (14)
ATF3	1.572	transcription regulator	Inhibited	-2.424	 	3.02E-06	8.47E-05	BHLHA15,CCND1,CCNE1,CDKN1A,G6PC,GBP2,GBP4,GBP6,ICAM1,NFKBIZ,TLR2,TNF,TP53	358 (22)
ARRB2	 	other	 	-1.491	 	3.26E-06	8.97E-05	Ccl2,CCR2,CXCL2,EGR1,F3,IL1B,MYC,NFKBIZ,SERPINE1,TNF,VEGFA	205 (17)
PTX3	 	other	 	-1.350	bias	3.26E-06	8.97E-05	Ccl2,CCL3L3,CCN2,CCR2,CXCL2,FOS,GATA4,IL1B,TLR2,TNF,TRAF3	241 (16)
IFIH1	0.415	enzyme	 	1.851	bias	3.29E-06	8.97E-05	CISH,CXCL10,CXCL2,EGR1,IFIT1B,ISG15,NFKBIA,PHLDA1,RND3,TANK,TNF,USP18	241 (17)
PPARA	 	ligand-dependent nuclear receptor	 	-1.849	 	3.51E-06	9.47E-05	ABCA1,ABCG8,ANGPTL4,APCS,APEX1,AQP8,Ccl2,CCND1,CDK2,CDKN1A,CEACAM1,CEBPA,CEBPB,CEBPD,CHKA,CROT,CYP8B1,ELOVL3,ELOVL6,ETHE1,FASN,FBXO21,FOS,G6PC,H2AX,HMGCR,HPX,IL1B,KRT23,LGALS4,LSS,LY6D,MMD,MTNR1A,MVD,MYC,NFKBIA,Orm1 (includes others),PAQR7,PBLD,PCK1,PDK4,PHLDA1,PLIN4,PLIN5,PPARGC1A,RFX4,S100A9,SAA1,SAR1A,SAT1,SCARB1,SREBF1,SRM,TDG,TLR2,TNF	273 (15)
P38 MAPK	 	group	Activated	2.883	bias	3.91E-06	1.04E-04	ABCA1,CCL3L3,CCND1,CCND2,CCNE1,CDKN1A,CEBPA,DUSP1,EGR1,FOS,HMOX1,IL1B,JAM2,MYC,SERPINE1,SOCS3,Tgtp1/Tgtp2,TNF,TNFRSF1A	294 (17)
KIT	0.606	transmembrane receptor	 	 	 	4.99E-06	1.32E-04	Ccl2,CCR2,CXCL10,Cxcl9,Ifi47,IFIT2,IFIT3,Igtp,IRF1,KIT,STAT1	192 (12)
C3	 	peptidase	Activated	3.139	 	5.09E-06	1.33E-04	APCS,C5AR1,CASP4,Ccl2,CCL3L3,CSF1,CXCL10,CXCL2,IL1B,ITGAM,LCN2,TNF,TNFRSF1A,VEGFA,ZBP1	196 (14)
Mapk	 	group	 	0.378	bias	5.14E-06	1.34E-04	CCND1,CDKN1A,DBP,GJA1,PER1,PER2,TNF	 
NEIL2	 	enzyme	 	1.134	 	5.48E-06	1.41E-04	Ccl2,CCL3L3,CCR2,CD14,CEBPB,CSF1,CXCL10,Cxcl11,CXCL2,Cxcl9,IL1B,IL1RN,IL6R,MYD88,TIRAP,TLR1,TLR2,TNF	249 (16)
PROCR	 	other	 	0.154	 	6.39E-06	1.62E-04	Ccl2,GBP2,GBP4,GBP6,IL1B,IRF8,PELI1,TNF	 
CXCL2	2.086	cytokine	Activated	2.613	bias	6.39E-06	1.62E-04	Ccl2,CCL3L3,CXCL10,CXCL2,ICAM1,IL1B,ITGAM,TNF	283 (20)
ZMPSTE24	 	peptidase	 	-0.039	 	6.52E-06	1.64E-04	ATF3,CDKN1A,CISH,CXCL2,DDIT4,ETNPPL,FGL1,GADD45A,ICAM1,IGFBP1,RGS16,SOCS3,STAT5B,TNF	245 (15)
ATG7	 	enzyme	Inhibited	-2.291	 	6.68E-06	1.66E-04	ATF4,HK2,IFIH1,IKBKE,IL1B,MARCO,MSR1,MYC,NFKBIA,SCARB1,SOCS3,SREBF1,TNF,TNFRSF1A,TP53	266 (14)
EGFR	1.032	kinase	Activated	2.603	bias	7.16E-06	1.76E-04	AXIN2,CAD,CCND1,CD3EAP,CDK2,CEBPB,Chil3/Chil4,EGR1,F3,GJA1,IL1B,IRF1,LYAR,MYC,ODC1,PA2G4,PSEN1,QTRT1,QTRT2,SERPINE1,SLC25A32,TCERG1,TNF,TRMT2A,UBE2S,WEE1	311 (21)
TLR2	3.343	transmembrane receptor	Activated	2.033	 	7.73E-06	1.89E-04	ATF3,Ccl2,CCL3L3,CDKN1A,Chil3/Chil4,CISH,CXCL10,CXCL2,Cxcl9,DUSP1,FOS,FOXO1,FPR2,GADD45A,GJA1,ICAM1,IL1B,IL1RN,IRAK4,IRF1,MYD88,SOCS3,TNF,TNFSF10,TP53	214 (15)
LEPR	 	transmembrane receptor	 	1.254	 	9.34E-06	2.26E-04	ANGPTL4,BTG1,Ccl2,CCL3L3,CDK2,CREB3L2,EIF3A,FASN,GATA4,H2AZ2,ID2,IL1RN,IRS2,ITGAM,LCN2,LDLR,NUP160,PHLPP1,PPARGC1A,RPL7L1,SCARB1,SERPINE1,SOCS3,SREBF1,STAT2,STAT3,TNF,TP53INP1,TSC22D3	214 (16)
TCF3	 	transcription regulator	Activated	2.194	 	9.54E-06	2.29E-04	ATF3,BHLHA15,CCND2,CCR2,CDKN1A,CREB3L2,CRELD2,DDX58,FOXO1,GIMAP4,HSP90B1,HSPA13,HYOU1,ID2,ID3,KLF2,LILRB4,LY6D,MANF,MORF4L2,PLPP5,RORA,S1PR1,SDF2L1,SEC24D,Serpina3g (includes others),SLC35B1,SMAGP,SPCS2,TENT5C,TLR1,TXNDC11,TXNDC5,XBP1,ZBP1,ZBTB16	 
ALOX15	 	enzyme	 	0.631	 	9.82E-06	2.34E-04	ABCA1,AXIN2,Ccl2,CXCL2,HMOX1,ICAM1,ID3,IL1B,TNF	311 (21)
Il3	 	cytokine	 	0.027	 	1.05E-05	2.49E-04	AATK,ARNT,CCND2,CD14,CDKN1A,CISH,CSF1,FOS,ITGAM,LCN2,NFIL3,PIM1,PRTN3,TNFRSF1A,TNFRSF1B,TP53	279 (16)
NFKB1	 	transcription regulator	Activated	2.380	 	1.07E-05	2.52E-04	Ccl2,CCL3L3,CCND2,CEBPA,Chil3/Chil4,CSF1,CXCL10,Cxcl9,EGFR,EGR1,GADD45A,GJA1,HMOX1,IFIT1B,IL1B,IRF1,ISG15,MYC,NFKBIB,STAT1,TLR2,TNF	301 (16)
SGPP2	 	phosphatase	 	-1.929	 	1.12E-05	2.60E-04	ATF4,DNAJC17,HSPA13,HSPA4,HSPA5,HSPB8,HSPH1,IL1B,TNF,XBP1	112 (7)
CASR	 	G-protein coupled receptor	 	-0.408	 	1.13E-05	2.60E-04	ARHGEF3,CCND1,CCND2,CISH,CSF1,CXCL10,DSG1,EGFR,EGR1,GADD45A,ID1,IER3,ISG15,MYD88,ODC1,PPP1CA,RNF144A,S100A9,SOCS3,TLR2,TMEM100,TXNIP,VEGFA,WSB1	 
SIRT6	 	enzyme	 	-1.961	bias	1.15E-05	2.60E-04	AACS,ACSL3,Ccl2,DBP,ELOVL6,FASN,G6PC,HMGCR,IL1B,IRAK3,LSS,PIGA,PPARGC1A,TNF	293 (16)
mir-155	 	microRNA	 	-1.371	 	1.15E-05	2.60E-04	AGTR1,CEBPA,CEBPB,CXCL10,Cxcl11,HMOX1,IFIT3,IL1B,MYD88,PELI1,SOCS3,STAT1,TNF,WEE1	205 (15)
LDLR	1.107	transporter	 	-0.747	 	1.19E-05	2.62E-04	ABCA1,AXIN2,Ccl2,CCL3L3,CCND1,CCR2,CDKN1A,CEBPA,CKS1B,DUSP1,EGR1,ELOVL6,FASN,FPR2,G6PC,GJA1,HMGCR,HSPA5,ICAM1,IER3,IL1B,IL1RN,LCN2,MID1IP1,MSR1,MVD,MYC,PPARGC1A,RGS1,SCARB1,SREBF1,TAP1,TLR1,TNF,VIPR1,ZBP1	287 (17)
LRBA	 	other	Inhibited	-2.813	bias	1.19E-05	2.62E-04	Ccl2,CCL3L3,CXCL10,FOXO1,IFIT2,IL1B,Mx2,TNF	75 (6)
RIPK2	 	kinase	Activated	2.282	 	1.19E-05	2.62E-04	ABCA1,ACOD1,Ccl2,CXCL10,CXCL2,FASN,HMGCR,ICAM1,LDLR,MARCKSL1,NFKB2,PPARGC1A,SCAP,SLC2A6,SREBF1,TANK,TNF	224 (16)
STAT5A	-0.474	transcription regulator	 	0.368	 	1.20E-05	2.62E-04	ABCA1,ARNT,CASP4,Ccl2,CCL3L3,CCND1,CCND2,CCNE1,CDKN1A,CEBPA,CEBPB,CISH,FOS,GADD45A,ID2,IL6R,KLF10,MYC,PIM1,SOCS3,SREBF1,STAT5A,STAT5B,TANK,TNF,TNFRSF1A,TRAF3,ZFP36	214 (14)
SREBF1	1.588	transcription regulator	 	1.066	bias	1.35E-05	2.94E-04	ABCA1,CDKN1A,ELOVL6,FASN,G6PC,HMGCR,IRS2,NFIL3,PCK1,SERPINE1,SREBF1,THRSP	13 (2)
RPTOR	 	other	 	1.029	 	1.41E-05	3.05E-04	BCL3,Ccl2,CCND2,CDK2,Chil3/Chil4,FASN,G6PC,HK2,HMGCR,Ifi47,IFIT1B,IL13RA1,IL1B,IRF8,IRS1,ITGAM,LBR,LSS,MRC1,MVD,MYC,PCK1,SOCS3,SREBF1,TNF	162 (12)
MAVS	 	other	Activated	3.202	bias	1.44E-05	3.09E-04	CXCL10,CXCL2,DDX58,DHX58,IFIT1B,IFIT2,IFIT3,IL1B,ISG15,ISG20,OASL,STAT1,STAT2,TNF,USP18	124 (13)
ERK1/2	 	group	 	0.441	 	1.48E-05	3.13E-04	ABCA1,ATF6,Ccl2,CCL3L3,CCND2,CEBPA,EGR1,F3,FOS,IL1B,IRS2,MYC,Saa3,SERPINE1,SOCS3,SYVN1,TNF	263 (17)
IKBKE	1.681	kinase	 	0.000	 	1.48E-05	3.13E-04	ACOD1,ADAR,Ccl2,CCL3L3,CXCL10,Cxcl11,CXCL2,Cxcl9,IFIH1,IFIT2,IFIT3,STAT1,TNF	225 (15)
FCGR2A	 	transmembrane receptor	Activated	2.939	bias	1.60E-05	3.35E-04	ACOD1,Ccl2,CXCL10,CXCL2,ICAM1,IL1B,MARCKSL1,SLC2A6,TNF	167 (13)
F2RL1	 	G-protein coupled receptor	 	1.414	bias	1.69E-05	3.52E-04	CCN2,CXCL2,FOS,GBP2,GBP4,GBP6,IL1B,IRF8,PELI1,TNF	100 (8)
ACOX1	 	enzyme	 	-0.369	 	1.75E-05	3.61E-04	ACER2,APCS,CDKN1A,Cyp3a25 (includes others),EGFR,ELOVL3,ETS2,FASN,G6PC,GADD45A,HAL,HSPA5,IGFBP1,KRT23,LCN2,LY6D,Nat8f2,Orm1 (includes others),PDK4,PHLDA1,PLSCR1,Saa3,SGK1,SLC20A1,TM4SF4,TP53,XBP1	96 (4)
GPER1	 	G-protein coupled receptor	 	0.000	 	1.77E-05	3.61E-04	CCND1,CDKN1A,FOS,HSPA5,MYC,NOP58	158 (11)
CD38	 	enzyme	 	1.633	bias	1.77E-05	3.61E-04	CCND2,CCNE1,CISD1,CISH,CRELD2,CSF2RB,ELL2,ERO1A,EVI5,GBP2,GBP4,GBP7,IL6R,JCHAIN,LGALSL,MANF,NDRG1,NFIL3,PIM1,PPARGC1A,RBPMS,SDF2L1,Serpina3g (includes others),SLC39A8,SOCS3,SPCS2,UCK2,XBP1	53 (3)
PLAU	 	peptidase	 	0.545	 	1.97E-05	3.95E-04	Ccl2,CCND1,Chil3/Chil4,EGFR,F3,GJA1,HSPA5,IL1B,PHLDA1,PIM3,RELB,S100A9,TNF	185 (6)
ARHGAP21	 	other	Activated	3.606	bias	1.97E-05	3.95E-04	CXCL10,Cxcl11,CXCL2,Cxcl9,IFIT3,IRF1,IRGM,ISG20,Mx2,NFKBIZ,SLCO3A1,TNF,TRIM21	 
NOS2	 	enzyme	 	1.501	 	2.02E-05	4.00E-04	ACTA1,Ccl2,CCL3L3,CD14,CDKN1A,Chil3/Chil4,CXCL2,Cxcl9,FASN,FOXO1,G6PC,GJA1,IFIT1B,IFIT3,IL1B,IL1RN,IRS1,IRS2,ISG15,LCN2,LILRB4,Orm1 (includes others),PLSCR1,PPARGC1A,Saa3,Tgtp1/Tgtp2,TNF,TNFSF10,VEGFA	207 (15)
CEBPA	0.521	transcription regulator	 	-0.719	 	2.02E-05	4.00E-04	CCND2,CDKN1A,CEBPA,CEBPD,DHFR,FASN,G6PC,GABPB1,Hamp/Hamp2,HMGCR,IER3,IL6R,IRS2,ITGAM,MYC,NR1I2,NRP1,PCK1,PPARGC1A,PPP1R3C,RORA,SAA1,Saa3,SERPINE1,SFTPD,SREBF1,STEAP4,THRA	221 (12)
IL5	 	cytokine	 	1.930	bias	2.24E-05	4.40E-04	CCND2,CCNE1,CISD1,CISH,CRELD2,CSF2RB,ELL2,ERO1A,GBP2,GBP4,GBP7,HSP90B1,HSPA5,JCHAIN,MANF,MYC,NDRG1,NFIL3,PIM1,RBPMS,SDF2L1,Serpina3g (includes others),SLC39A8,SPCS2,UCK2,XBP1	52 (3)
MAPK8	 	kinase	 	0.355	 	2.28E-05	4.46E-04	ABCG8,AKT1,Ccl2,CCND1,CDK2,CDKN1A,CEBPB,CYP8B1,DUSP1,EGR1,FOS,GADD45A,HMGCR,HMOX1,IL1B,MYC,SESN2,TNF,TP53,ZFP36	314 (21)
PLA2G2D	 	enzyme	Inhibited	-2.646	 	2.32E-05	4.49E-04	Ccl2,CCR2,IL1B,ITGAM,MRC1,S100A9,TNF	177 (10)
LIF	 	cytokine	 	1.620	 	2.33E-05	4.49E-04	Ccl2,CCL3L3,CCNE1,CEBPB,CXCL10,CXCL2,HK2,IL1B,IRF1,KLF10,MYC,PELI1,PTPN1,RGS4,SOCS3,STAT3,TNF,TP53,XBP1	203 (16)
