© 2000-2021 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	B-H corrected p-value	Target Molecules in Dataset	Mechanistic Network
CEBPB	-1.048	transcription regulator	 	1.117	1.22E-06	6.40E-05	ATM,C3AR1,CCL3L3,CCNE1,CCRL2,CD14,CEBPA,CEBPB,CIRBP,CSF3R,CTPS1,CXCL10,CXCL3,DCTPP1,DHCR7,DHFR,E2F8,GADD45A,HMGB2,HP,HSP90AA1,HUS1,IER3,IL1B,IL1RN,INMT,IRF9,IRS1,LCN2,LEPR,LYN,MMS22L,MYC,NOP56,NRP1,NUDT21,PCK1,PLAUR,PRDX4,PRKCD,RAD21,RCAN1,RORA,RPA1,SAA1,Saa3,SEC11A,SERPINE1,SLC38A2,SMC3,TFRC,TIMELESS,TK1,TLR8,TMEM50B,TNF,TRIB3,UBE2F,UNG,WEE1,XPO1,ZYX	339 (18)
LGR4	 	transmembrane receptor	 	-0.781	1.86E-06	9.53E-05	AHR,CD14,CDH1,CXCL10,CYP1A2,Gulo,IL1A,IL1B,LECT2,LHPP,MYC,OAT,PLBD1,TNF	27 (3)
CREB1	 	transcription regulator	 	1.789	1.93E-06	9.74E-05	APOLD1,ATF3,CEBPA,CEBPB,Chil3/Chil4,HMGCS1,HSPA4,JUNB,LSS,MEST,MIDN,MVK,MYC,NAB2,NFKBID,PDXK,PER1,SERTAD1,SIAH2,SREBF1,TIPARP,VEGFA	24 (2)
CHUK	 	kinase	 	1.158	2.12E-06	1.05E-04	ACOD1,CASP4,Ccl9,CEBPB,CSF1,CXCL10,Cxcl11,CXCL2,CXCL3,GM2A,GRN,IL1A,IL1RN,JUNB,LCN2,NAGLU,NR6A1,RCAN1,RGS16,Saa3,SGK1,SLC16A2,SOCS3,TNF,TNFAIP2,TNFRSF1B,VEGFA	255 (11)
ID2	2.283	transcription regulator	 	0.138	2.41E-06	1.17E-04	BCL3,BCL6,CBFA2T3,CCNE1,CCNG2,CD83,CEBPB,CSF1,DLL1,DUSP1,ETS2,FOXO1,FOXO3,ICAM1,ICOSLG/LOC102723996,ID3,IKZF4,IL6R,INHBB,ITGB3,KLF6,LEPR,LRIG1,MAP2K6,MAP3K14,MYC,NFKBID,NFKBIE,PDGFA,PIK3R5,PROM1,REL,RELB,RORA,SOCS3,SOCS5,SOX5,TNFRSF1A	46 (2)
JAK1	 	kinase	Activated	2.729	2.70E-06	1.27E-04	BCL3,BMF,CCL3L3,CD14,IL1B,LRG1,MAP3K8,Orm1 (includes others),OSMR,SAA1,SOCS3,STAT3	180 (10)
S100A8	2.819	other	Inhibited	-2.746	2.75E-06	1.27E-04	ARG2,Ccl2,CXCL10,CXCL2,CXCL3,HMOX1,ICAM1,IL1B,Saa3,TNF	44 (3)
FCGR2A	 	transmembrane receptor	Activated	3.101	2.75E-06	1.27E-04	ACOD1,Ccl2,CXCL10,CXCL2,CXCL3,ICAM1,IL1B,MARCKSL1,SLC2A6,TNF	160 (12)
TLR4	 	transmembrane receptor	Activated	4.020	3.25E-06	1.47E-04	ARID5A,ATF3,ATM,Ccl2,CCL3L3,CD14,CERS6,CISH,CITED2,CXCL10,Cxcl11,CXCL2,CXCL3,HHEX,HMOX1,ICAM1,IL18,IL1A,IL1B,IRF1,KDM6B,LILRB4,Mx2,NFKBID,NFKBIZ,NLRP3,NOS3,ORMDL1,ORMDL3,PELI1,PLEK,RBL1,REL,RELB,RGS16,RIPK2,SGMS2,SGPL1,SOCS3,ST3GAL1,STAT2,STAT3,TIMELESS,TLR2,TNF,TNFAIP3,TSPAN33,UGCG,XBP1	311 (14)
TGFBR2	 	kinase	Inhibited	-2.510	4.03E-06	1.79E-04	ABHD17C,ACOD1,ADCY1,BCL3,CCL3L3,CCNE1,CKB,CSF1,CXCL2,DDIT4,ENHO,FKBP5,FPR1,HP,ICAM1,ICOSLG/LOC102723996,IL1A,JAK3,KRT19,LDHA,MAPKAPK2,MFSD2A,MVK,NAB2,NFKBID,NFKBIE,NFKBIZ,NRP1,ODC1,PTH1R,Retnlg,S100A8,S100A9,SAA1,Saa3,SH3BP2,SLC2A1,SLC66A2,SOCS3,ZBTB46	 
RPTOR	 	other	Inhibited	-2.427	4.12E-06	1.79E-04	ACADM,BCL3,Ccl2,CDH1,CDK2,Chil3/Chil4,DHCR7,FDPS,G6PC,HMGCS1,IL1B,IL22RA1,IRS1,LDHA,LSS,MVK,MYC,NLRP3,NSDHL,PCK1,PMVK,SC5D,SLC2A1,SOCS3,SOCS5,SREBF1,TNF	133 (8)
ATF4	 	transcription regulator	 	-1.179	4.16E-06	1.79E-04	ABCG5,ABCG8,APBA3,ARHGAP24,ATF3,CARS1,CEBPB,CEBPG,CHAC1,CYP7A1,DDIT4,GADD45A,HERPUD1,HNF4A,IGFBP2,IGFBP5,NDRG1,NID2,OSMR,PCK1,PEG3,Pmaip1,SLC38A2,SREBF1,TRIB3,VEGFA	149 (7)
AMBP	 	transporter	 	-1.446	4.36E-06	1.85E-04	Ccl2,CXCL2,CXCL3,IL1B,TNFRSF1A	77 (5)
NR0B2	-1.893	ligand-dependent nuclear receptor	 	-1.442	4.89E-06	2.04E-04	ABCB11,ACADM,Ccl2,CIDEC,CYP2C8,CYP7A1,G6PC,GSTA5,GSTM1,Gstm3,HNF4A,IL1B,IL1RN,MAP3K8,NFKBID,PIK3R5,SREBF1,TLR2,TLR8,TNF,TNFAIP3	207 (6)
ARRB2	 	other	Inhibited	-2.219	5.72E-06	2.35E-04	Ccl2,CXCL2,CXCL3,F3,IL1B,JUNB,MYC,NFKBIZ,SERPINE1,TNF,VEGFA	347 (18)
STAT3	0.623	transcription regulator	 	1.217	6.38E-06	2.58E-04	BCL3,BCL6,CASP3,Ccl2,CCL3L3,CCNE1,CCRL2,CEBPB,CLIC5,CXCL10,CXCL2,CXCL3,DLL1,DUSP5,G6PC,GADD45A,GBP5,GBP6,ICAM1,IGFBP1,IGFBP5,IL1A,IL1B,IL1RN,IL6R,IRF1,JUNB,Mx2,MYC,NFKBIZ,NOX4,PCK1,PHLDA1,PIM1,RORA,SAA1,SERPINA3,SERPINE1,SOCS3,SREBF1,STAT2,STAT3,TNF,TNFRSF1B,USP18,VEGFA	277 (15)
PLAU	 	peptidase	 	1.856	6.98E-06	2.78E-04	Ccl2,Chil3/Chil4,CXCL3,F3,IGFBP2,IL1B,PHLDA1,PIM3,PLAUR,RELB,S100A8,S100A9,SLC2A1,TNF	 
NR1H2	 	ligand-dependent nuclear receptor	Inhibited	-2.714	7.28E-06	2.86E-04	ABCA2,ABCG5,ABCG8,APCS,AQP1,Ccl2,CDH1,Chil3/Chil4,CXCL10,Cxcl11,CXCL2,CYP7A1,FDPS,GCK,IL1B,IL1RN,PNPLA2,Saa3,SLC16A2,SREBF1,TNF	184 (11)
INSIG1	-1.700	other	 	0.986	7.73E-06	2.99E-04	ACLY,ACSS2,CXCL10,CXCL13,CXCL2,CXCL3,DHCR7,FDPS,HMGCS1,LCN2,LIPG,LPCAT3,LSS,MVK,NFKBIZ,PMVK,S100A8,S100A9,SREBF1,STEAP2,TM7SF2,VNN1	 
GFI1	 	transcription regulator	Inhibited	-2.172	8.10E-06	3.09E-04	BCL3,Ccl2,F2R,FOSL2,FOXO1,HSP90AB1,ICAM1,ID2,IKBKB,IL1A,IL1B,IL6R,IRAK2,IRF1,ITGB3,KAT2B,MAFB,NFKB2,REL,RELB,RIPK2,SESN3,SGK1,TNF,TNFRSF1A	328 (15)
FOS	 	transcription regulator	 	0.114	8.39E-06	3.15E-04	ABCC1,AKR1D1,ARNT,ATF7IP,B4GALT1,BCAR3,CADM1,CCNE1,CLIP1,CXCL10,ELOVL3,F3,FLRT2,FMN1,GAS2,GATA4,GM2A,GSTA5,HMOX1,HSD17B10,HSD3B1,HSPB8,IGFBP5,KLF6,MYC,NPLOC4,NSDHL,ODC1,PAOX,PHLDA1,PIK3CB,Pmaip1,PTH1R,PTPN12,RARG,S100A8,S100A9,SMURF1,SOCS3,TIPARP,TNF,Tpm4,UGCG	 
IRS2	 	enzyme	 	1.089	8.70E-06	3.16E-04	ACLY,CEBPA,G6PC,GCK,HMOX1,IGFBP1,IRS1,PCK1,SLC2A1,SLC2A2,SREBF1,TNF	309 (14)
Cyp4a14	3.345	enzyme	Activated	2.449	8.87E-06	3.16E-04	Ccl2,CXCL10,CXCL3,IL1A,IL1B,TNF	 
ADGRF5	 	G-protein coupled receptor	Inhibited	-2.433	8.87E-06	3.16E-04	Ccl2,CCL3L3,CSF1,CXCL3,IL1RN,TNF	221 (9)
CYP2E1	 	enzyme	 	0.816	8.87E-06	3.16E-04	C3AR1,C5AR1,Ccl2,CYP4A11,Cyp4a14,TNF	 
SIGIRR	 	transmembrane receptor	 	-1.869	9.33E-06	3.28E-04	Ccl2,CCL3L3,CXCL2,CXCL3,IL18,IL1A,IL1B,PITX3,TNF	207 (11)
CASR	 	G-protein coupled receptor	 	-1.838	9.53E-06	3.28E-04	ARHGEF3,CDH1,CISH,CLIP1,CSF1,CXCL10,DCTPP1,DSG1,GADD45A,GATA6,H2AZ1,IER3,IGFBP5,MYD88,ODC1,S100A8,S100A9,SOCS3,THBD,TK1,TLR2,TXNIP,VEGFA,WSB1,ZYX	 
CISH	3.098	other	Inhibited	-2.357	9.74E-06	3.28E-04	CCL3L3,CCRL2,CD14,CSF1,CXCL3,HCAR2,HMOX1,ID3,IL1A,IL1B,MMP8,MYC,MYCN,NAB2,NCAM1,PLAUR,Retnlg,TNF	249 (11)
CXCL2	5.384	cytokine	Activated	2.607	9.81E-06	3.28E-04	Ccl2,CCL3L3,CXCL10,CXCL2,CXCL3,ICAM1,IL1B,TNF	389 (19)
Tcf7	 	transcription regulator	 	-1.288	9.84E-06	3.28E-04	BACH1,CCL3L3,CD83,CISH,EVI5,FDPS,GM2A,GSAP,HSD17B11,ID2,ID3,IKZF4,ITGB8,KLF6,LONRF1,LPCAT3,LRIG1,LYN,LYSMD2,MAPKAPK2,MYD88,NCOA7,NR6A1,NRN1,NTN4,PHLDA1,Prg4,PRKD3,PTGER2,RARG,REL,SC5D,SOCS2,SOCS3,TICAM1,TLCD5,TNF,TOX,ZC3H12D	 
HNF1A	 	transcription regulator	 	-0.363	1.16E-05	3.83E-04	APCS,ATP7A,BCL6B,C8G,CLIC5,CYP7A1,DCT,FH,FOXA2,FOXA3,FRK,GCK,GNG12,HABP2,HCAR2,HNF4A,IGFBP1,KYAT3,NR1H4,ONECUT1,ORMDL1,PFKFB2,PFKL,PKHD1,RNF186,SERPINA10,SERPINA7,SLC2A2,SLC40A1,Slco1a1,SULT1C2,TAT,UGT2B7	86 (2)
ADIPOQ	 	other	Inhibited	-2.481	1.21E-05	3.91E-04	Acaa1b,ACLY,ACSM5,APOA5,Ccl2,CEBPA,Chil3/Chil4,COL3A1,CXCL10,CXCL2,CYP1A2,Cyp2a12/Cyp2a22,Cyp2c23,Cyp2c54 (includes others),CYP2C8,Cyp3a25 (includes others),CYP4A11,FGFR2,G6PC,GCK,HMOX1,HNF4A,IL1B,IRS1,SLC27A1,STAT3,TNF	323 (12)
SCAP	 	other	Inhibited	-3.478	1.22E-05	3.91E-04	ACLY,ACSS2,ATF3,DHCR7,EHHADH,FDPS,Gstm6,HES6,HMGCS1,INSIG1,LSS,MVK,NSDHL,PMVK,PTGER4,RDH11,SC5D,SREBF1,TM7SF2,TRIB3	 
STAT5A	 	transcription regulator	 	1.467	1.24E-05	3.94E-04	ARNT,ATM,BCL2A1,BCL6,CASP3,CASP4,Ccl2,CCL3L3,CCNE1,CEBPA,CEBPB,CISH,DUSP5,FOSL2,GADD45A,ID2,IL6R,MYC,NOL3,PIM1,RPA1,SOCS2,SOCS3,SREBF1,SRP9,STAT5B,TNF,TNFRSF1A,YWHAG	258 (15)
IL1A	1.578	cytokine	Activated	3.657	1.26E-05	3.97E-04	ADAMTS1,Ccl2,CXCL10,CXCL2,CXCL3,CYP1A2,IL18,IL1B,LCN2,NFKBIZ,S100A8,SERPINA3,STAT3,TNF	236 (12)
EIF2AK3	 	kinase	 	1.000	1.47E-05	4.53E-04	ABCF2,Arf2,ATF3,ATP2A2,BIRC2,CARS1,CBX4,Ccl2,CEBPB,CEBPG,ERN1,ERO1B,ETS2,GADD45A,HERPUD1,MYC,NDRG1,NFKB2,RELB,RNASEL,SIAH2,SPATA5,TARS1,TRIB3,TXNIP,XBP1	 
LIF	 	cytokine	 	1.792	1.48E-05	4.53E-04	Ccl2,CCL3L3,CCNE1,CEBPB,CXCL10,CXCL2,ELF3,FOXA2,IL1B,IRF1,MYC,PELI1,PTPN1,RASA3,RGS4,SOCS3,STAT3,TNF,TSPAN7,XBP1	231 (16)
MAPK8	 	kinase	 	0.630	1.55E-05	4.65E-04	ABCB11,ABCG5,ABCG8,Ccl2,CDH1,CDK2,CEBPB,CYP1A1,DUSP1,FOSL2,GADD45A,GCK,GSTM1,HMGCS1,HMOX1,IL1B,KLF6,MYC,SESN2,TNF,TNFAIP3	419 (19)
KCNJ10	 	ion channel	Activated	3.000	1.57E-05	4.65E-04	Ccl2,CXCL10,GADD45A,GBP5,GBP6,ICAM1,IGFBP2,Pmaip1,TGM1	 
USP19	 	peptidase	 	-1.882	1.57E-05	4.65E-04	Ccl2,CXCL10,DDIT4,FKBP5,FOXO3,IL1B,KLF15,LCN2,TNF	52 (6)
LRBA	 	other	Inhibited	-2.804	1.82E-05	5.30E-04	Ccl2,CCL3L3,CXCL10,FOXO1,FOXO3,IL1B,Mx2,TNF	79 (6)
IL17A	 	cytokine	Activated	3.133	1.86E-05	5.30E-04	Ccl2,CXCL10,CXCL2,CXCL3,GADD45A,HSPB8,ICAM1,IL1B,LCN2,MAP3K1,MAPK14,NFKBIZ,OCLN,RGS16,S100A8,S100A9,SLC12A3,TNF	150 (14)
IFNAR1	 	transmembrane receptor	 	1.425	1.87E-05	5.30E-04	ACOD1,Apol7e (includes others),Apol9a/Apol9b,ATF3,CCL3L3,Ccl9,CLIC5,CSF1,CXCL10,Cxcl11,CXCL13,CXCL2,CXCL3,DLL1,HMGCS1,IL18,IL1A,IL1B,IRF1,MYC,SERPINE1,SOCS3,TLR2,TNF,TNFAIP2,TNFAIP3,USP18	233 (15)
HSF1	 	transcription regulator	Activated	2.406	1.88E-05	5.30E-04	ACLY,AHSA1,BAG3,CCN2,CCNE1,CEBPB,DNAJA1,HSP90AA1,HSP90AB1,HSPA1A/HSPA1B,Hspa1b,HSPA8,HSPB1,HSPD1,HSPE1,HSPH1,ICAM1,IL1B,INHBB,SREBF1,STIP1,TNF	119 (5)
TREM1	 	transmembrane receptor	 	1.674	1.89E-05	5.30E-04	Ccl2,CD14,CEBPB,CXCL10,CXCL3,IL1B,IL6R,MYD88,NFKB2,TLR2,TNF	 
EGFR	 	kinase	Activated	2.010	1.97E-05	5.49E-04	ACY1,AGO2,AHCTF1,BCL7C,CASP3,CD3EAP,CDK2,CEBPB,Chil3/Chil4,EPHA2,F3,HSPE1,IL1B,IRF1,JUNB,MYC,NUDC,ODC1,QTRT2,SERPINE1,SLC25A32,Tchh,TIMM10,TNF,TRMT2A,WEE1	369 (19)
CEBPA	0.627	transcription regulator	 	-0.030	2.12E-05	5.84E-04	ACLY,APOA4,ARG2,ARL6IP5,ASL,CEBPA,CSF3R,DHCR7,DHFR,FOXA2,G6PC,GATA6,IER3,IL6R,LEPR,MYC,MYCN,NR1H4,NRP1,ONECUT1,PCK1,PPP1R3C,RBL1,RORA,SAA1,Saa3,SERPINE1,SREBF1,STEAP4	153 (7)
mir-155	 	microRNA	 	-1.418	2.20E-05	5.94E-04	ARG2,CEBPA,CEBPB,CXCL10,Cxcl11,HMOX1,IL1B,MYD88,NOS3,PELI1,SOCS3,TNF,WEE1,ZNF652	235 (14)
NOD2	 	other	Activated	3.546	2.20E-05	5.94E-04	ACOD1,ARL5C,CXCL10,CXCL2,CXCL3,ICAM1,IL1A,IL1B,MARCKSL1,MEFV,NFKB2,RALGDS,SLC2A6,TNF	144 (12)
TXNRD1	0.376	enzyme	Activated	2.173	2.41E-05	6.38E-04	Ces1g,GCLC,GSTA3,Gsta4,GSTA5,GSTM1,Gstm3,HMOX1,PTGR1,SLC2A1,SRXN1,TKT	 
GSR	 	enzyme	Activated	2.331	2.41E-05	6.38E-04	Ces1g,GCLC,GSTA3,Gsta4,GSTA5,GSTM1,Gstm3,HMOX1,PTGR1,SLC2A1,SRXN1,TKT	 
NLRX1	-0.535	other	 	-1.707	2.87E-05	7.51E-04	IKBKB,IL1A,IL1B,IRF1,MAP3K14,MYD88,NFKB2,NFKBIE,REL,RELB,SLC2A1,STAT2,TNF,TNFAIP3	135 (7)
GPD1	 	enzyme	 	 	3.12E-05	8.07E-04	ACLY,ACOT2,Aox3,APOA4,BCL6,C11orf86,Clec2e/Clec2h,CXCL13,CYP2C8,ELOVL3,F11,GADD45A,GSTA5,Hsd3b4 (includes others),MTHFD1L,NOL3,SERPINA3,SERPINA7,SUCNR1,TTC39C,UGT2B17	 
XDH	 	enzyme	 	0.378	3.18E-05	8.07E-04	Ccl2,CCN2,CEBPA,CEBPB,CXCL3,IL1B,SERPINE1,TNF	 
VEGFB	 	growth factor	 	0.647	3.18E-05	8.07E-04	Acaa1b,Acot1,ACOT2,ATF3,EHHADH,ELOVL3,PDK4,SLC27A1	 
ZFP36	 	transcription regulator	Inhibited	-3.086	3.40E-05	8.56E-04	CCL3L3,CXCL2,CXCL3,E2F8,ICAM1,IER3,IL1A,IL1B,LCN2,MEFV,PIM1,S100A8,S100A9,TFRC,THBD,TNF	178 (11)
PTEN	 	phosphatase	 	0.828	3.72E-05	9.27E-04	ACAA1,ACO2,ATF3,CA3,CA8,Ccl2,CCNE1,CDH1,CEBPA,CEBPB,CELSR1,CHML,CLDN1,COQ10A,CXCL10,CXCL13,CXCL2,EHHADH,ETS2,ETV3,F3,FDPS,FOXA2,FOXO1,FOXO3,FZD6,GNG2,GPR12,GPR146,GPR160,HADHA,HADHB,HMGCS1,IGFBP2,IL1B,INMT,LEPROT,LHPP,LRAT,LSS,MAPK14,MME,MYC,NCAM1,PIM1,PITX3,PTPRK,SOCS3,SREBF1,STAT3,SYK,TNF,VEGFA,VNN1	378 (18)
IL10RA	 	transmembrane receptor	Inhibited	-4.461	4.01E-05	9.90E-04	AADAC,ACOD1,ACSS2,Akr1c14,ARG2,Cd24a,CELA1,Ces1f,Ces1g,Ces2g,CSF3R,CYFIP2,CYP2C18,DDIT4,EHF,GBP5,GBP6,GHR,GSAP,Gsta4,GSTM1,GSTM2,Gstm3,Gstm6,HCAR2,HPGD,HSPA8,IL1A,IL1B,IL1RN,IRF1,LCN2,LRG1,NXPE2,OCLN,PCK1,PDGFRA,PYGL,REPS2,Saa3,SELENBP1,SLC2A1,SLC2A6,SULT1C2,TGM2,TLR2	164 (7)
EP300	 	transcription regulator	 	-0.555	4.27E-05	1.05E-03	ARHGAP24,ARHGEF3,ARID5A,BANK1,BCL6,CKB,CYP7A1,DHRS3,FOSL2,FOXO1,FRMD4B,GM2A,GNG2,HDAC11,ID2,MAP3K8,MFHAS1,MME,NDRG1,PCK1,PDK4,PLEKHF1,PTPRF,RASA3,RNASEL,Rnf125,RPS6KA1,SLC27A1,SOCS3,STOM,TIPARP,TNF,TNFAIP3,TSPAN31,TUBA8,ULK2,USP18,WNT5B	 
SLC25A13	 	transporter	 	 	4.35E-05	1.06E-03	ACLY,ACOT2,Aox3,APOA4,BCL6,C11orf86,Clec2e/Clec2h,CXCL13,CYP2C8,ELOVL3,F11,GADD45A,GSTA5,Hsd3b4 (includes others),MTHFD1L,NOL3,SERPINA3,SERPINA7,SUCNR1,TTC39C,UGT2B17	 
OSMR	0.932	transmembrane receptor	Activated	2.000	4.55E-05	1.09E-03	BCL3,CASP4,Ccl2,CISH,CXCL10,CXCL2,GBP5,JUNB,LRG1,Mx2,PIM1,SBNO2,SOCS3,SREBF1,STAT3	189 (12)
Nr1h	 	group	Inhibited	-2.916	4.78E-05	1.14E-03	ACLY,ARG2,BCL3,Ccl2,CCL3L3,CSF1,CXCL10,Cxcl11,F2R,G6PC,GCK,ICOSLG/LOC102723996,IL1B,MARCKSL1,Mx2,MYLIP,NFKB2,NFKBIZ,NLRP3,RGN,SBNO2,SREBF1,TNF	136 (9)
EGR1	 	transcription regulator	Activated	2.154	4.98E-05	1.18E-03	CACNA2D4,CASP3,Ccl2,CCL3L3,CXCL2,CXCL3,F3,GADD45A,HMOX1,ICAM1,IL1B,JUNB,MYC,NDRG1,PDGFA,PNPLA2,SERPINE1,TNF	 
PI3K (complex)	 	complex	 	0.920	5.14E-05	1.18E-03	Ccl2,CCNE1,CXCL10,CYP7A1,DDIT4,DUSP1,GCLC,GSTA5,HMOX1,IL1B,IL1RN,MYC,NFKB2,NOS3,NOX4,RFX4,SREBF1,TGM2,TNF	404 (18)
NPC1	-0.724	transporter	 	-0.141	5.14E-05	1.18E-03	ABCG8,AKR1C4,CCL3L3,CYP7A1,HMGCS1,LIPG,LSS,MMP15,MMP8,MVK,MYLIP,NPC1,S100A8,S100A9,SRD5A1,SREBF1,STAT3,TNF,XBP1	 
CCL22	 	cytokine	 	-1.999	5.15E-05	1.18E-03	CCL3L3,CXCL2,CXCL3,TNF	 
ID3	2.443	transcription regulator	 	0.718	5.25E-05	1.19E-03	BCL3,BCL6,CBFA2T3,CCNE1,CCNG2,CD83,CEBPB,CSF1,DUSP1,ETS2,FOXO1,FOXO3,ICAM1,ICOSLG/LOC102723996,IKZF4,IL6R,INHBB,ITGB3,KLF6,LEPR,MAP2K6,MAP3K14,MYC,PIK3R5,REL,RELB,RORA,SOCS3,SOCS5,SOX5,TNFRSF1A	 
OPA1	 	enzyme	Inhibited	-2.608	5.29E-05	1.19E-03	IL1B,MYD88,NLRP3,S100A8,S100A9,TLR2,TNF,XBP1	130 (6)
MAPK7	 	kinase	 	1.348	5.29E-05	1.19E-03	BCL2A1,CXCL2,CXCL3,IL1A,IL1B,PTGER2,STEAP4,VEGFA	 
BCL6	-1.831	transcription regulator	 	-1.324	5.64E-05	1.25E-03	Acaa1b,ACAT2,ADCY9,BCL3,CASP3,Ccl2,CCL3L3,CSF1,CXCL3,DPYSL2,EHHADH,GOLM1,HADHA,HADHB,HDAC9,IL18,IL1A,IL1B,IRF1,JMY,JUNB,KLHL23/PHOSPHO2-KLHL23,Pmaip1,RNASEL,RWDD3,SLC39A8,STAT3,TNF	337 (17)
CRY1	 	enzyme	 	0.758	5.73E-05	1.26E-03	CEBPA,IL1B,PCK1,PER1,PER2,SGK1	 
NOS2	 	enzyme	 	1.224	5.77E-05	1.26E-03	ACO1,ATP2A2,BCL2A1,CASP3,Ccl2,CCL3L3,Ccl9,CD14,Chil3/Chil4,CSF3R,CXCL2,CXCL3,FOXO1,G6PC,HMGB2,IL1B,IL1RN,IRS1,KLF6,LCN2,LILRB4,NOS3,Orm1 (includes others),Saa3,SERPINA3,SLC40A1,TKT,TNF,VEGFA	179 (13)
IL17RA	1.094	transmembrane receptor	Activated	2.321	5.90E-05	1.28E-03	Ccl2,CSF3R,CXCL2,CXCL3,IL1A,IL1B,S100A8,S100A9,SELE,TNF	354 (17)
TLR2	3.074	transmembrane receptor	Activated	3.514	6.02E-05	1.30E-03	ATF3,CASP3,Ccl2,CCL3L3,Chil3/Chil4,CISH,CXCL10,CXCL2,CXCL3,DUSP1,FOXO1,FPR2,GADD45A,ICAM1,IL1A,IL1B,IL1RN,IRF1,MYD88,SELE,SLC40A1,SOCS3,TNF,TSPAN33	187 (13)
CREM	 	transcription regulator	 	1.325	6.12E-05	1.31E-03	APOLD1,ATF3,CEBPB,COL3A1,HMGCS1,HSPA4,JUNB,LSS,MEST,MIDN,MVK,NAB2,NFKBID,PDXK,PER1,SERTAD1,SIAH2,TIPARP,TNF,VEGFA	 
TCF7L2	 	transcription regulator	Inhibited	-3.435	6.45E-05	1.37E-03	AATK,ACAA1,ACOT4,ACSL3,ADAMTS4,AKR1C4,CARHSP1,CCN2,CILK1,CNP,CTNNAL1,CYP2C8,CYP7A1,EHHADH,ERBB3,FGFR2,FH,Foxn3,G6PC,ID2,ID3,IDH1,IRS1,KAT2B,MCAM,MOBP,MOSPD2,MYC,NPC1,PAPSS1,PCK1,PELI1,PIM3,RALGDS,RAP2A,RASGEF1B,SC5D,SMURF1,SNX30,SRD5A1,STXBP3,SYDE2,TMEM141,TMEM63A,TNS1	 
IL12B	 	cytokine	Activated	2.759	7.83E-05	1.64E-03	Ccl2,CXCL10,ICAM1,IL1A,IL1B,IRF9,S100A8,S100A9,SOCS3,STAT2,STAT3,TNF	318 (17)
IL1R2	 	transmembrane receptor	 	-1.406	7.91E-05	1.64E-03	CXCL2,CXCL3,ICAM1,IL1B,TNF	 
ERK	 	group	 	1.923	7.92E-05	1.64E-03	Ccl2,CCNE1,COL3A1,CYP1A1,HMOX1,IL1B,IRS1,MYC,NFKBIZ,RECK,SLC2A1,SORT1,TNF	317 (14)
SH3TC2	 	other	Inhibited	-2.530	8.32E-05	1.70E-03	ACLY,DHCR7,FDPS,HMGCS1,LSS,MOBP,MVK,NSDHL,PMVK,SC5D	 
INSR	 	kinase	 	-0.287	8.34E-05	1.70E-03	ACADM,ACO2,ACOT2,AQP1,ARRDC3,ATF3,ATP2A2,BCL2A1,Ccl2,CCNG2,CD83,CEBPA,CERS6,Ces1f,DAG1,DHCR7,ECI1,FDPS,FH,Foxn3,GCK,HADHA,HADHB,HMGCS1,HPGD,HSD17B10,HSPD1,IL1B,INSIG1,IRS1,LEPR,LSS,MARCKSL1,MVK,NFKB2,NOS3,NSDHL,OGDH,PCK1,PDK4,PNPLA2,RUVBL2,SC5D,SEC14L2,SERPINE1,SGMS2,SLC2A1,SOCS3,SREBF1,TLR2,TNF,TNFRSF1A	268 (15)
NCOA1	 	transcription regulator	 	-0.610	8.57E-05	1.72E-03	ALDOA,CA5A,CBX4,CEBPA,CYP7A1,ERBB3,FGFR2,GJB2,IL1RN,JUNB,LECT2,MYC,NCOA2,NFIB,PCK1,SLC2A1,SLC2A2,THPO	 
NR1I2	 	ligand-dependent nuclear receptor	Inhibited	-2.024	8.57E-05	1.72E-03	APOA4,Ccl2,CCL3L3,Cyb5r3,CYP1A1,CYP7A1,DHCR7,GSTA5,GSTM1,Gstm3,Gstm6,HNF4A,INSIG1,NR0B2,NR1H4,POR,SREBF1,TNF	 
NFE2L1	 	transcription regulator	 	0.000	8.94E-05	1.78E-03	CYP4A11,Cyp4a14,GCLC,Gstm3,Gstm6,PSMA7,PSMC2,PSMC3,PSMD12	 
MAPK9	 	kinase	 	0.600	9.05E-05	1.79E-03	ABCB11,ABCG5,ABCG8,Ccl2,CEBPB,Cxcl11,CYP1A1,FOSL2,GADD45A,GSTM1,HMGCS1,IGFBP2,IL18,IL1B,JUNB,KLF6,MYC,NOS3,RBL1,TNF,TNFAIP3,ZYX	328 (18)
PLIN5	 	other	 	-0.920	1.02E-04	1.99E-03	ACADM,ACSM5,GCLC,GSTA5,HMOX1,IL1B,PDK4,PNPLA2,POR,SREBF1,TNF,TXNRD1	203 (9)
IL1R1	 	transmembrane receptor	 	1.987	1.02E-04	1.99E-03	APCS,Ccl2,CCL3L3,CXCL10,CXCL2,CXCL3,ICAM1,IL18,IL1A,IL1B,SAA1,TNF	326 (17)
